Geography,Service occupations—Civilian employed population 16 years and over—Estimate,MoE
"Greensville County, Virginia",27%,± 6.5%
"Greenup County, Kentucky",15%,± 2.1%
"Greenville County, South Carolina",14.70%,± 0.6%
"Greenwood County, Kansas",21.10%,± 4%
"Greenwood County, South Carolina",16.80%,± 2.1%
"Greer County, Oklahoma",24.90%,± 6.1%
"Gregg County, Texas",16.40%,± 1.3%
"Gregory County, South Dakota",16.40%,± 3%
"Grenada County, Mississippi",12%,± 3.5%
"Griggs County, North Dakota",15.90%,± 4.3%
"Grimes County, Texas",14.50%,± 2.5%
"Grundy County, Illinois",16.50%,± 1.5%
"Grundy County, Iowa",13.80%,± 1.9%
"Grundy County, Missouri",14.80%,± 3%
"Grundy County, Tennessee",14.20%,± 2.7%
"Guadalupe County, New Mexico",20.70%,± 9.9%
"Guadalupe County, Texas",15.80%,± 1.2%
"Guánica Municipio, Puerto Rico",27%,± 5.1%
"Guayama Municipio, Puerto Rico",26%,± 3.4%
"Guayanilla Municipio, Puerto Rico",24.40%,± 4.6%
"Guaynabo Municipio, Puerto Rico",13.10%,± 2%
"Guernsey County, Ohio",17.70%,± 2%
"Guilford County, North Carolina",16.10%,± 0.7%
"Gulf County, Florida",17.80%,± 3.1%
"Gunnison County, Colorado",20.40%,± 3.2%
"Gurabo Municipio, Puerto Rico",19%,± 3%
"Guthrie County, Iowa",13.90%,± 2.2%
"Gwinnett County, Georgia",15.30%,± 0.6%
"Haakon County, South Dakota",15.40%,± 5.3%
"Habersham County, Georgia",17.20%,± 1.9%
"Haines Borough, Alaska",19.90%,± 9.6%
"Hale County, Alabama",18.20%,± 4.3%
"Hale County, Texas",19%,± 3.5%
"Halifax County, North Carolina",20.50%,± 2.4%
"Halifax County, Virginia",19.90%,± 3.1%
"Hall County, Georgia",13.90%,± 1%
"Hall County, Nebraska",15.60%,± 1.3%
"Hall County, Texas",20.10%,± 6%
"Hamblen County, Tennessee",18.30%,± 2.4%
"Hamilton County, Florida",24.30%,± 5%
"Hamilton County, Illinois",15.80%,± 4.1%
"Hamilton County, Indiana",11.20%,± 0.8%
"Hamilton County, Iowa",12.70%,± 1.6%
"Hamilton County, Kansas",21.40%,± 6%
"Hamilton County, Nebraska",15.50%,± 3.1%
"Hamilton County, New York",20.80%,± 4.1%
"Hamilton County, Ohio",15.80%,± 0.4%
"Hamilton County, Tennessee",15.80%,± 0.9%
"Hamilton County, Texas",19.60%,± 4.3%
"Hamlin County, South Dakota",13%,± 2.5%
"Hampden County, Massachusetts",20.20%,± 0.8%
"Hampshire County, Massachusetts",16.80%,± 1%
"Hampshire County, West Virginia",15.70%,± 3.9%
"Hampton city, Virginia",18.30%,± 1.6%
"Hampton County, South Carolina",25.20%,± 4.3%
"Hancock County, Georgia",24.50%,± 6.8%
"Hancock County, Illinois",15%,± 1.9%
"Hancock County, Indiana",15.70%,± 1.6%
"Hancock County, Iowa",14.50%,± 2.5%
"Hancock County, Kentucky",15.60%,± 2.8%
"Hancock County, Maine",17.50%,± 1.8%
"Hancock County, Mississippi",15.70%,± 2.9%
"Hancock County, Ohio",17%,± 1.5%
"Hancock County, Tennessee",21.60%,± 5.8%
"Hancock County, West Virginia",18.50%,± 3%
"Hand County, South Dakota",16.10%,± 4.1%
"Hanover County, Virginia",12.80%,± 1.1%
"Hansford County, Texas",18.80%,± 5.3%
"Hanson County, South Dakota",8.90%,± 2.6%
"Haralson County, Georgia",13.20%,± 2.5%
"Hardee County, Florida",17.60%,± 4.7%
"Hardeman County, Tennessee",16.30%,± 3.1%
"Hardeman County, Texas",16.20%,± 4.9%
"Hardin County, Illinois",18.20%,± 4.7%
"Hardin County, Iowa",15.60%,± 2%
"Hardin County, Kentucky",16.70%,± 1.5%
"Hardin County, Ohio",15.90%,± 1.9%
"Hardin County, Tennessee",16.90%,± 2.6%
"Hardin County, Texas",16%,± 2.3%
"Harding County, New Mexico",27.90%,± 14.3%
"Harding County, South Dakota",5.80%,± 4.2%
"Hardy County, West Virginia",17.60%,± 3.5%
"Harford County, Maryland",13.90%,± 0.9%
"Harlan County, Kentucky",20.30%,± 3.3%
"Harlan County, Nebraska",16.90%,± 3.9%
"Harmon County, Oklahoma",19.20%,± 4.6%
"Harnett County, North Carolina",16.70%,± 1.3%
"Harney County, Oregon",26.90%,± 6.1%
"Harper County, Kansas",16%,± 4%
"Harper County, Oklahoma",16.30%,± 5.1%
"Harris County, Georgia",11.80%,± 1.9%
"Harris County, Texas",16.50%,± 0.2%
"Harrison County, Indiana",16.30%,± 2.2%
"Harrison County, Iowa",14.20%,± 1.8%
"Harrison County, Kentucky",14.40%,± 3.1%
"Harrison County, Mississippi",22.60%,± 1.4%
"Harrison County, Missouri",17.10%,± 3.2%
"Harrison County, Ohio",18.90%,± 3.3%
"Harrison County, Texas",16.90%,± 2%
"Harrison County, West Virginia",18.80%,± 1.9%
"Harrisonburg city, Virginia",21.30%,± 1.9%
"Hart County, Georgia",17.10%,± 3.4%
"Hart County, Kentucky",22.10%,± 3.8%
"Hartley County, Texas",9.60%,± 4.6%
"Harvey County, Kansas",16.60%,± 2.4%
"Haskell County, Kansas",16%,± 4.4%
"Haskell County, Oklahoma",20%,± 2.6%
"Haskell County, Texas",25.20%,± 4.8%
"Hatillo Municipio, Puerto Rico",19.20%,± 3.3%
"Hawaii County, Hawaii",24.60%,± 1.5%
"Hawkins County, Tennessee",15.60%,± 1.8%
"Hayes County, Nebraska",16.60%,± 7.4%
"Hays County, Texas",16.10%,± 1.3%
"Haywood County, North Carolina",20.60%,± 2.3%
"Haywood County, Tennessee",22.60%,± 3.7%
"Heard County, Georgia",13.80%,± 3.2%
"Hemphill County, Texas",15.60%,± 6.1%
"Hempstead County, Arkansas",14.50%,± 3%
"Henderson County, Illinois",15.10%,± 3%
"Henderson County, Kentucky",19.40%,± 2.4%
"Henderson County, North Carolina",19.50%,± 1.4%
"Henderson County, Tennessee",17.70%,± 2.8%
"Henderson County, Texas",19.70%,± 1.6%
"Hendricks County, Indiana",12.50%,± 1.1%
"Hendry County, Florida",16.50%,± 3.2%
"Hennepin County, Minnesota",13.30%,± 0.4%
"Henrico County, Virginia",15.30%,± 0.8%
"Henry County, Alabama",16%,± 3.4%
"Henry County, Georgia",15.40%,± 1.1%
"Henry County, Illinois",15.90%,± 2.2%
"Henry County, Indiana",16.30%,± 1.6%
"Henry County, Iowa",18.70%,± 2.4%
"Henry County, Kentucky",22.30%,± 2.7%
"Henry County, Missouri",18.10%,± 2.6%
"Henry County, Ohio",13.70%,± 2%
"Henry County, Tennessee",15.80%,± 2.3%
"Henry County, Virginia",16.60%,± 1.8%
"Herkimer County, New York",18.40%,± 1.5%
"Hernando County, Florida",18.80%,± 1.3%
"Hertford County, North Carolina",18.60%,± 3%
"Hettinger County, North Dakota",13.60%,± 3.9%
"Hickman County, Kentucky",15.10%,± 5%
"Hickman County, Tennessee",17.80%,± 3.9%
"Hickory County, Missouri",26.40%,± 6.6%
"Hidalgo County, New Mexico",17.10%,± 4.4%
"Hidalgo County, Texas",22.70%,± 0.9%
"Highland County, Ohio",16%,± 2%
"Highland County, Virginia",11.20%,± 4.6%
"Highlands County, Florida",21.90%,± 2%
"Hill County, Montana",19.40%,± 2.7%
"Hill County, Texas",16.60%,± 1.7%
"Hillsborough County, Florida",16.20%,± 0.4%
"Hillsborough County, New Hampshire",13.90%,± 0.6%
"Hillsdale County, Michigan",16.30%,± 1.4%
"Hinds County, Mississippi",20.40%,± 1.1%
"Hinsdale County, Colorado",28.40%,± 11.4%
"Hitchcock County, Nebraska",16.20%,± 3%
"Hocking County, Ohio",22.80%,± 2.7%
"Hockley County, Texas",16.30%,± 2.5%
"Hodgeman County, Kansas",14.40%,± 5.1%
"Hoke County, North Carolina",19.10%,± 1.9%
"Holmes County, Florida",26.40%,± 4.1%
"Holmes County, Mississippi",20.20%,± 3.8%
"Holmes County, Ohio",11.10%,± 1.4%
"Holt County, Missouri",14.10%,± 2.6%
"Holt County, Nebraska",13.90%,± 2.1%
"Honolulu County, Hawaii",20.50%,± 0.4%
"Hood County, Texas",13%,± 1.6%
"Hood River County, Oregon",17.90%,± 2.8%
"Hooker County, Nebraska",24.10%,± 7.8%
"Hoonah-Angoon Census Area, Alaska",15.20%,± 5.3%
"Hopewell city, Virginia",19.90%,± 4.1%
"Hopkins County, Kentucky",15.30%,± 1.9%
"Hopkins County, Texas",13.20%,± 1.9%
"Hormigueros Municipio, Puerto Rico",15.10%,± 4.9%
"Horry County, South Carolina",23.10%,± 1.1%
"Hot Spring County, Arkansas",19.50%,± 2.9%
"Hot Springs County, Wyoming",22.20%,± 6.4%
"Houghton County, Michigan",19.90%,± 2.7%
"Houston County, Alabama",18.10%,± 0.9%
"Houston County, Georgia",15.30%,± 1.4%
"Houston County, Minnesota",14.20%,± 2.5%
"Houston County, Tennessee",12.30%,± 2.7%
"Houston County, Texas",23.20%,± 3.6%
"Howard County, Arkansas",17.50%,± 4.3%
"Howard County, Indiana",19.30%,± 1.8%
"Howard County, Iowa",11.20%,± 2.4%
"Howard County, Maryland",11.10%,± 0.7%
"Howard County, Missouri",18.30%,± 2.7%
"Howard County, Nebraska",11.70%,± 2.8%
"Howard County, Texas",19.80%,± 3.1%
"Howell County, Missouri",15%,± 2.5%
"Hubbard County, Minnesota",16.60%,± 1.3%
"Hudson County, New Jersey",15.20%,± 0.5%
"Hudspeth County, Texas",24.80%,± 13.7%
"Huerfano County, Colorado",21.60%,± 5.2%
"Hughes County, Oklahoma",16.50%,± 3.1%
"Hughes County, South Dakota",16.60%,± 3.4%
"Humacao Municipio, Puerto Rico",22.60%,± 3.5%
"Humboldt County, California",21.40%,± 1.8%
"Humboldt County, Iowa",13.50%,± 2.8%
"Humboldt County, Nevada",17.50%,± 3.6%
"Humphreys County, Mississippi",23.60%,± 5.6%
"Humphreys County, Tennessee",16.40%,± 4%
"Hunt County, Texas",18.80%,± 1.4%
"Hunterdon County, New Jersey",11.20%,± 0.9%
"Huntingdon County, Pennsylvania",19.50%,± 1.8%
"Huntington County, Indiana",15.60%,± 1.8%
"Huron County, Michigan",17.10%,± 1.4%
"Huron County, Ohio",14.20%,± 1.5%
"Hutchinson County, South Dakota",14.90%,± 2.8%
"Hutchinson County, Texas",15%,± 2.8%
"Hyde County, North Carolina",14.60%,± 6.5%
"Hyde County, South Dakota",9.70%,± 4.9%
"Iberia Parish, Louisiana",19.60%,± 2.3%
"Iberville Parish, Louisiana",16.90%,± 2.7%
"Ida County, Iowa",15.80%,± 2.3%
"Idaho County, Idaho",21.90%,± 4.1%
"Imperial County, California",27%,± 1.9%
"Independence County, Arkansas",17.50%,± 2.9%
"Indian River County, Florida",19.40%,± 1.8%
"Indiana County, Pennsylvania",19.40%,± 1.6%
"Ingham County, Michigan",17.90%,± 0.9%
"Inyo County, California",21.50%,± 3.3%
"Ionia County, Michigan",15.20%,± 1.3%
"Iosco County, Michigan",19.10%,± 2.4%
"Iowa County, Iowa",16.50%,± 2.3%
"Iowa County, Wisconsin",13.40%,± 1.5%
"Iredell County, North Carolina",13.60%,± 0.9%
"Irion County, Texas",17.50%,± 8.2%
"Iron County, Michigan",19.50%,± 3%
"Iron County, Missouri",22.20%,± 3.6%
"Iron County, Utah",19.90%,± 2.1%
"Iron County, Wisconsin",18.20%,± 2.4%
"Iroquois County, Illinois",16.10%,± 1.7%
"Irwin County, Georgia",16.10%,± 4.7%
"Isabela Municipio, Puerto Rico",22.90%,± 3.8%
"Isabella County, Michigan",24.40%,± 1.8%
"Isanti County, Minnesota",14.20%,± 1.7%
"Island County, Washington",16.70%,± 1.6%
"Isle of Wight County, Virginia",16.60%,± 2.1%
"Issaquena County, Mississippi",17.10%,± 11.7%
"Itasca County, Minnesota",18.90%,± 1.5%
"Itawamba County, Mississippi",15.80%,± 2.9%
"Izard County, Arkansas",13.40%,± 3.5%
"Jack County, Texas",18.80%,± 4.5%
"Jackson County, Alabama",13.60%,± 1.9%
"Jackson County, Arkansas",20.80%,± 3.5%
"Jackson County, Colorado",31.70%,± 10.1%
"Jackson County, Florida",22.40%,± 2.7%
"Jackson County, Georgia",14.90%,± 1.5%
"Jackson County, Illinois",20.30%,± 2.2%
"Jackson County, Indiana",13%,± 2.1%
"Jackson County, Iowa",14.50%,± 2.3%
"Jackson County, Kansas",17.40%,± 2.7%
"Jackson County, Kentucky",18.40%,± 4.5%
"Jackson County, Michigan",18.10%,± 1.3%
"Jackson County, Minnesota",17%,± 2.3%
"Jackson County, Mississippi",17.70%,± 1.5%
"Jackson County, Missouri",16.40%,± 0.5%
"Jackson County, North Carolina",28%,± 3.2%
"Jackson County, Ohio",14.70%,± 2.5%
"Jackson County, Oklahoma",18.90%,± 2.6%
"Jackson County, Oregon",18.90%,± 1.2%
"Jackson County, South Dakota",18.60%,± 7.3%
"Jackson County, Tennessee",17.50%,± 3.3%
"Jackson County, Texas",15.50%,± 3.2%
"Jackson County, West Virginia",12.40%,± 2.8%
"Jackson County, Wisconsin",19.70%,± 1.9%
"Jackson Parish, Louisiana",19.60%,± 2.9%
"James City County, Virginia",15.60%,± 1.5%
"Jasper County, Georgia",15.40%,± 3.2%
"Jasper County, Illinois",14.10%,± 3.3%
"Jasper County, Indiana",15%,± 2.2%
"Jasper County, Iowa",15.60%,± 1.5%
"Jasper County, Mississippi",17.50%,± 4.7%
"Jasper County, Missouri",17%,± 1.4%
"Jasper County, South Carolina",20.70%,± 3.5%
"Jasper County, Texas",21.70%,± 3.1%
"Jay County, Indiana",15.50%,± 1.9%
"Jayuya Municipio, Puerto Rico",19.30%,± 5.8%
"Jeff Davis County, Georgia",15.30%,± 5.9%
"Jeff Davis County, Texas",19.50%,± 14.7%
"Jefferson County, Alabama",16%,± 0.6%
"Jefferson County, Arkansas",21.50%,± 2.1%
"Jefferson County, Colorado",13.70%,± 0.4%
"Jefferson County, Florida",17.20%,± 3.1%
"Jefferson County, Georgia",12.10%,± 3%
"Jefferson County, Idaho",15.20%,± 2.1%
"Jefferson County, Illinois",19.30%,± 1.7%
"Jefferson County, Indiana",16.40%,± 3.3%
"Jefferson County, Iowa",16.80%,± 3.9%
"Jefferson County, Kansas",14.10%,± 2.1%
"Jefferson County, Kentucky",14.40%,± 0.5%
"Jefferson County, Mississippi",33.60%,± 9.8%
"Jefferson County, Missouri",15%,± 0.9%
"Jefferson County, Montana",14.10%,± 2.5%
"Jefferson County, Nebraska",15.90%,± 3.2%
"Jefferson County, New York",21.10%,± 1.5%
"Jefferson County, Ohio",18.60%,± 1.6%
"Jefferson County, Oklahoma",19.80%,± 3.2%
"Jefferson County, Oregon",18.70%,± 3%
"Jefferson County, Pennsylvania",18.20%,± 1.3%
"Jefferson County, Tennessee",17.40%,± 2.5%
"Jefferson County, Texas",20.50%,± 1.2%
"Jefferson County, Washington",18.50%,± 2.6%
"Jefferson County, West Virginia",17%,± 1.8%
"Jefferson County, Wisconsin",17.20%,± 1.7%
"Jefferson Davis County, Mississippi",14.30%,± 4.1%
"Jefferson Davis Parish, Louisiana",22.90%,± 3%
"Jefferson Parish, Louisiana",18.90%,± 0.8%
"Jenkins County, Georgia",8.10%,± 4.1%
"Jennings County, Indiana",17.10%,± 3.4%
"Jerauld County, South Dakota",11.90%,± 4.6%
"Jerome County, Idaho",15.30%,± 2.5%
"Jersey County, Illinois",16.70%,± 2.9%
"Jessamine County, Kentucky",15.70%,± 1.9%
"Jewell County, Kansas",15%,± 3.7%
"Jim Hogg County, Texas",17.10%,± 7.6%
"Jim Wells County, Texas",19%,± 3.1%
"Jo Daviess County, Illinois",16.90%,± 2.1%
"Johnson County, Arkansas",14.80%,± 2.6%
"Johnson County, Georgia",13.60%,± 3.8%
"Johnson County, Illinois",25%,± 3.9%
"Johnson County, Indiana",13.20%,± 1.3%
"Johnson County, Iowa",16.30%,± 1.1%
"Johnson County, Kansas",11.90%,± 0.5%
"Johnson County, Kentucky",19.80%,± 3.7%
"Johnson County, Missouri",19.50%,± 2.1%
"Johnson County, Nebraska",16%,± 3.3%
"Johnson County, Tennessee",24.80%,± 5.2%
"Johnson County, Texas",14.40%,± 1.1%
"Johnson County, Wyoming",17.50%,± 4.9%
"Johnston County, North Carolina",15.40%,± 1.2%
"Johnston County, Oklahoma",16.90%,± 3.6%
"Jones County, Georgia",12%,± 2.4%
"Jones County, Iowa",12.70%,± 2.3%
"Jones County, Mississippi",15.80%,± 1.9%
"Jones County, North Carolina",18.10%,± 4.2%
"Jones County, South Dakota",16%,± 8.3%
"Jones County, Texas",22.60%,± 4.2%
"Josephine County, Oregon",23.80%,± 2.1%
"Juab County, Utah",14.70%,± 3.4%
"Juana Díaz Municipio, Puerto Rico",21.70%,± 3%
"Judith Basin County, Montana",16.60%,± 3.9%
"Juncos Municipio, Puerto Rico",25.50%,± 3.7%
"Juneau City and Borough, Alaska",16.20%,± 2.4%
"Juneau County, Wisconsin",20%,± 1.9%
"Juniata County, Pennsylvania",12.40%,± 1.4%
"Kalamazoo County, Michigan",18.20%,± 0.9%
"Kalawao County, Hawaii",19.40%,± 13.4%
"Kalkaska County, Michigan",19.20%,± 2.4%
"Kanabec County, Minnesota",19.60%,± 2%
"Kanawha County, West Virginia",18.10%,± 1.4%
"Kandiyohi County, Minnesota",15.90%,± 1.4%
"Kane County, Illinois",16.20%,± 0.7%
"Kane County, Utah",24.40%,± 4.1%
"Kankakee County, Illinois",19.10%,± 1.3%
"Karnes County, Texas",26.20%,± 6.8%
"Kauai County, Hawaii",29.70%,± 2.2%
"Kaufman County, Texas",16.20%,± 1.3%
"Kay County, Oklahoma",18.40%,± 1.7%
"Kearney County, Nebraska",16.20%,± 3.3%
"Kearny County, Kansas",13.10%,± 5.5%
"Keith County, Nebraska",14.70%,± 3.3%
"Kemper County, Mississippi",19.40%,± 5.6%
"Kenai Peninsula Borough, Alaska",18.70%,± 1.8%
"Kendall County, Illinois",14.20%,± 1.6%
"Kendall County, Texas",13.20%,± 2%
"Kenedy County, Texas",8.70%,± 16.1%
"Kennebec County, Maine",15.50%,± 1.6%
"Kenosha County, Wisconsin",16.40%,± 1%
"Kent County, Delaware",18.10%,± 1.1%
"Kent County, Maryland",17.50%,± 2.7%
"Kent County, Michigan",14.90%,± 0.6%
"Kent County, Rhode Island",15.90%,± 1.2%
"Kent County, Texas",12.40%,± 10.4%
"Kenton County, Kentucky",14%,± 0.9%
"Keokuk County, Iowa",12.90%,± 1.7%
"Kern County, California",18.60%,± 0.6%
"Kerr County, Texas",20.30%,± 2.6%
"Kershaw County, South Carolina",17.10%,± 1.8%
"Ketchikan Gateway Borough, Alaska",20.90%,± 2.3%
"Kewaunee County, Wisconsin",15%,± 1.5%
"Keweenaw County, Michigan",16.80%,± 4.9%
"Keya Paha County, Nebraska",6.70%,± 4.5%
"Kidder County, North Dakota",13.90%,± 4.8%
"Kimball County, Nebraska",11.90%,± 3.5%
"Kimble County, Texas",17.70%,± 4.6%
"King and Queen County, Virginia",19.60%,± 4.9%
"King County, Texas",16.50%,± 18%
"King County, Washington",13.40%,± 0.2%
"King George County, Virginia",12.70%,± 2%
"King William County, Virginia",16.30%,± 3.2%
"Kingfisher County, Oklahoma",15.30%,± 3.1%
"Kingman County, Kansas",16.60%,± 3.1%
"Kings County, California",20.80%,± 1.6%
"Kings County, New York",21.20%,± 0.3%
"Kingsbury County, South Dakota",14.80%,± 2.4%
"Kinney County, Texas",25.80%,± 15.4%
"Kiowa County, Colorado",19.40%,± 6.5%
"Kiowa County, Kansas",22.70%,± 4.7%
"Kiowa County, Oklahoma",15.60%,± 4%
"Kit Carson County, Colorado",17.20%,± 3.9%
"Kitsap County, Washington",16.80%,± 0.8%
"Kittitas County, Washington",22.70%,± 2.7%
"Kittson County, Minnesota",16.50%,± 2.4%
"Klamath County, Oregon",17.30%,± 1.7%
"Kleberg County, Texas",21.40%,± 3.3%
"Klickitat County, Washington",14.40%,± 2.7%
"Knott County, Kentucky",23.80%,± 4.4%
"Knox County, Illinois",18.40%,± 2.1%
"Knox County, Indiana",20.60%,± 2.6%
"Knox County, Kentucky",23.30%,± 4%
"Knox County, Maine",16.50%,± 2%
"Knox County, Missouri",27.20%,± 6.9%
"Knox County, Nebraska",18.80%,± 2.5%
"Knox County, Ohio",18.60%,± 2%
"Knox County, Tennessee",15.90%,± 0.7%
"Knox County, Texas",14.10%,± 5.1%
"Kodiak Island Borough, Alaska",17.50%,± 4.7%
"Koochiching County, Minnesota",15.90%,± 2.6%
"Kootenai County, Idaho",17.40%,± 1.2%
"Kosciusko County, Indiana",12.70%,± 1.4%
"Kossuth County, Iowa",14.10%,± 2%
"Kusilvak Census Area, Alaska",23.90%,± 4.1%
"La Crosse County, Wisconsin",16.90%,± 1.2%
"La Paz County, Arizona",21%,± 3.8%
"La Plata County, Colorado",16.60%,± 1.9%
"La Salle County, Texas",31.30%,± 7.8%
"Labette County, Kansas",15.70%,± 2.2%
"Lac qui Parle County, Minnesota",13.20%,± 2.1%
"Lackawanna County, Pennsylvania",18.60%,± 0.9%
"Laclede County, Missouri",14.30%,± 2.2%
"Lafayette County, Arkansas",15.60%,± 4.8%
"Lafayette County, Florida",31.90%,± 9.9%
"Lafayette County, Mississippi",17.10%,± 2.1%
"Lafayette County, Missouri",15.40%,± 2.2%
"Lafayette County, Wisconsin",12.40%,± 1.1%
"Lafayette Parish, Louisiana",16.50%,± 1.1%
"Lafourche Parish, Louisiana",17%,± 1.5%
"LaGrange County, Indiana",12.30%,± 1.8%
"Lajas Municipio, Puerto Rico",19.20%,± 4.6%
"Lake and Peninsula Borough, Alaska",20.10%,± 10.1%
"Lake County, California",24.90%,± 2.3%
"Lake County, Colorado",10.30%,± 4.2%
"Lake County, Florida",20%,± 1.3%
"Lake County, Illinois",14.10%,± 0.4%
"Lake County, Indiana",17.40%,± 0.7%
"Lake County, Michigan",25.20%,± 3.8%
"Lake County, Minnesota",21%,± 2.9%
"Lake County, Montana",21.70%,± 2.5%
"Lake County, Ohio",15%,± 0.8%
"Lake County, Oregon",20.70%,± 3.8%
"Lake County, South Dakota",15.70%,± 3.2%
"Lake County, Tennessee",33.80%,± 8.2%
"Lake of the Woods County, Minnesota",18.70%,± 4.7%
"Lamar County, Alabama",13%,± 3.8%
"Lamar County, Georgia",18.80%,± 4.1%
"Lamar County, Mississippi",14%,± 1.9%
"Lamar County, Texas",17.60%,± 2.3%
"Lamb County, Texas",15.20%,± 2.7%
"Lamoille County, Vermont",18.20%,± 2.4%
"LaMoure County, North Dakota",15.80%,± 2.9%
"Lampasas County, Texas",20%,± 3%
"Lancaster County, Nebraska",16.60%,± 0.6%
"Lancaster County, Pennsylvania",15%,± 0.5%
"Lancaster County, South Carolina",13%,± 1.3%
"Lancaster County, Virginia",18.60%,± 3.7%
"Lander County, Nevada",11.90%,± 5.9%
"Lane County, Kansas",17.40%,± 5.8%
"Lane County, Oregon",19%,± 0.7%
"Langlade County, Wisconsin",17.10%,± 2.6%
"Lanier County, Georgia",24.80%,± 7.6%
"Lapeer County, Michigan",14.30%,± 1.1%
"LaPorte County, Indiana",18.80%,± 1.2%
"Laramie County, Wyoming",16.20%,± 1.2%
"Lares Municipio, Puerto Rico",20.30%,± 3.2%
"Larimer County, Colorado",15.50%,± 0.8%
"Larue County, Kentucky",13.80%,± 2.9%
"Las Animas County, Colorado",25.80%,± 3.3%
"Las Marías Municipio, Puerto Rico",24.40%,± 7.1%
"Las Piedras Municipio, Puerto Rico",17.80%,± 3.4%
"LaSalle County, Illinois",17.70%,± 1.2%
"LaSalle Parish, Louisiana",16.90%,± 3.5%
"Lassen County, California",25.10%,± 2.9%
"Latah County, Idaho",16.80%,± 2.4%
"Latimer County, Oklahoma",17.10%,± 2.9%
"Lauderdale County, Alabama",17.10%,± 1.8%
"Lauderdale County, Mississippi",19.10%,± 1.8%
"Lauderdale County, Tennessee",13.60%,± 1.7%
"Laurel County, Kentucky",15.30%,± 1.7%
"Laurens County, Georgia",18.30%,± 2.4%
"Laurens County, South Carolina",19.90%,± 2.4%
"Lavaca County, Texas",13.70%,± 2.5%
"Lawrence County, Alabama",14.60%,± 2.1%
"Lawrence County, Arkansas",16.10%,± 2.6%
"Lawrence County, Illinois",18.90%,± 3.2%
"Lawrence County, Indiana",16.40%,± 2%
"Lawrence County, Kentucky",13.20%,± 3%
"Lawrence County, Mississippi",16.20%,± 4.3%
"Lawrence County, Missouri",17%,± 2.2%
"Lawrence County, Ohio",21%,± 2.1%
"Lawrence County, Pennsylvania",18.90%,± 1.2%
"Lawrence County, South Dakota",23%,± 2.5%
"Lawrence County, Tennessee",16.20%,± 2.2%
"Le Flore County, Oklahoma",19%,± 1.5%
"Le Sueur County, Minnesota",15.70%,± 2%
"Lea County, New Mexico",13.50%,± 1.9%
"Leake County, Mississippi",20.60%,± 3.7%
"Leavenworth County, Kansas",15.90%,± 1.5%
"Lebanon County, Pennsylvania",16.60%,± 1.2%
"Lee County, Alabama",16.70%,± 1.2%
"Lee County, Arkansas",14.50%,± 5.1%
"Lee County, Florida",19.70%,± 0.8%
"Lee County, Georgia",13.80%,± 3%
"Lee County, Illinois",19.10%,± 2.1%
"Lee County, Iowa",18.20%,± 2.1%
"Lee County, Kentucky",18.40%,± 5.8%
"Lee County, Mississippi",12.40%,± 1.6%
"Lee County, North Carolina",16.50%,± 1.9%
"Lee County, South Carolina",17.70%,± 4.1%
"Lee County, Texas",15.70%,± 4%
"Lee County, Virginia",21%,± 4.3%
"Leelanau County, Michigan",17.20%,± 1.9%
"Leflore County, Mississippi",21.70%,± 3.6%
"Lehigh County, Pennsylvania",16%,± 0.8%
"Lemhi County, Idaho",17.60%,± 3.6%
"Lenawee County, Michigan",19.70%,± 1.3%
"Lenoir County, North Carolina",19.30%,± 2.2%
"Leon County, Florida",16.80%,± 1%
"Leon County, Texas",21.20%,± 3.3%
"Leslie County, Kentucky",19.60%,± 4.9%
"Letcher County, Kentucky",19%,± 3.9%
"Levy County, Florida",22.10%,± 2.5%
"Lewis and Clark County, Montana",16%,± 2%
"Lewis County, Idaho",16.50%,± 2.9%
"Lewis County, Kentucky",17%,± 4.4%
"Lewis County, Missouri",18.40%,± 3.2%
"Lewis County, New York",17.90%,± 2%
"Lewis County, Tennessee",14.70%,± 4.2%
"Lewis County, Washington",17.30%,± 1.3%
"Lewis County, West Virginia",17.30%,± 2.9%
"Lexington city, Virginia",18.90%,± 6.8%
"Lexington County, South Carolina",14.50%,± 0.6%
"Liberty County, Florida",24%,± 5.5%
"Liberty County, Georgia",20%,± 2.2%
"Liberty County, Montana",11.80%,± 4.1%
"Liberty County, Texas",15.40%,± 1.9%
"Licking County, Ohio",16.40%,± 1.1%
"Limestone County, Alabama",13%,± 1.5%
"Limestone County, Texas",21%,± 2.6%
"Lincoln County, Arkansas",14.60%,± 4.4%
"Lincoln County, Colorado",19.20%,± 3.8%
"Lincoln County, Georgia",19.90%,± 5.2%
"Lincoln County, Idaho",17.40%,± 3.4%
"Lincoln County, Kansas",17.60%,± 3.9%
"Lincoln County, Kentucky",16.80%,± 3%
"Lincoln County, Maine",15.30%,± 1.7%
"Lincoln County, Minnesota",15.40%,± 2.4%
"Lincoln County, Mississippi",14.80%,± 2.4%
"Lincoln County, Missouri",14.20%,± 1.6%
"Lincoln County, Montana",22.90%,± 3.6%
"Lincoln County, Nebraska",17.20%,± 2.1%
"Lincoln County, Nevada",16.60%,± 8%
"Lincoln County, New Mexico",24.70%,± 4.6%
"Lincoln County, North Carolina",13.50%,± 1.4%
"Lincoln County, Oklahoma",15.10%,± 1.3%
"Lincoln County, Oregon",25.30%,± 2.1%
"Lincoln County, South Dakota",14.20%,± 1.7%
"Lincoln County, Tennessee",13%,± 1.9%
"Lincoln County, Washington",15.20%,± 2.6%
