Geography,Total—Total households—SELECTED HOUSEHOLDS BY TYPE—Householder living alone—65 years and over—Estimate,MoE
"Greene County, Pennsylvania",14.20%,± 1.8%
"Greene County, Tennessee",15.60%,± 1.7%
"Greene County, Virginia",10.20%,± 1.8%
"Greenlee County, Arizona",11.80%,± 4.3%
"Greensville County, Virginia",14.50%,± 3.3%
"Greenup County, Kentucky",16.90%,± 1.9%
"Greenville County, South Carolina",10.50%,± 0.6%
"Greenwood County, Kansas",19.10%,± 2.6%
"Greenwood County, South Carolina",14.50%,± 1.3%
"Greer County, Oklahoma",20.90%,± 4%
"Gregg County, Texas",11.60%,± 1%
"Gregory County, South Dakota",19%,± 3.2%
"Grenada County, Mississippi",12.80%,± 2.9%
"Griggs County, North Dakota",20.10%,± 3.8%
"Grimes County, Texas",13.60%,± 2.7%
"Grundy County, Illinois",10.90%,± 1.3%
"Grundy County, Iowa",13.70%,± 1.8%
"Grundy County, Missouri",17.90%,± 2.9%
"Grundy County, Tennessee",11%,± 2.5%
"Guadalupe County, New Mexico",11.40%,± 4.2%
"Guadalupe County, Texas",8.10%,± 0.9%
"Guánica Municipio, Puerto Rico",17%,± 3.2%
"Guayama Municipio, Puerto Rico",14.70%,± 2.3%
"Guayanilla Municipio, Puerto Rico",13.50%,± 2.7%
"Guaynabo Municipio, Puerto Rico",17%,± 1.3%
"Guernsey County, Ohio",14%,± 1.6%
"Guilford County, North Carolina",11%,± 0.6%
"Gulf County, Florida",13%,± 2.7%
"Gunnison County, Colorado",7.60%,± 2.3%
"Gurabo Municipio, Puerto Rico",9.90%,± 1.9%
"Guthrie County, Iowa",12.40%,± 2%
"Gwinnett County, Georgia",5.70%,± 0.3%
"Haakon County, South Dakota",19.90%,± 7.3%
"Habersham County, Georgia",13.10%,± 1.6%
"Haines Borough, Alaska",24%,± 9.5%
"Hale County, Alabama",19.90%,± 3.3%
"Hale County, Texas",12.10%,± 2.1%
"Halifax County, North Carolina",17.20%,± 1.9%
"Halifax County, Virginia",20.70%,± 1.8%
"Hall County, Georgia",9.10%,± 0.7%
"Hall County, Nebraska",12%,± 1.4%
"Hall County, Texas",14%,± 3.9%
"Hamblen County, Tennessee",12.60%,± 1.7%
"Hamilton County, Florida",11.50%,± 2.7%
"Hamilton County, Illinois",18.80%,± 3.3%
"Hamilton County, Indiana",7.90%,± 0.7%
"Hamilton County, Iowa",19%,± 2.8%
"Hamilton County, Kansas",15.60%,± 6.1%
"Hamilton County, Nebraska",11.10%,± 2.7%
"Hamilton County, New York",12.60%,± 2.7%
"Hamilton County, Ohio",12.40%,± 0.4%
"Hamilton County, Tennessee",12.40%,± 0.6%
"Hamilton County, Texas",21.70%,± 4%
"Hamlin County, South Dakota",7.50%,± 2.1%
"Hampden County, Massachusetts",13.70%,± 0.5%
"Hampshire County, Massachusetts",13.90%,± 1%
"Hampshire County, West Virginia",19.30%,± 3.7%
"Hampton city, Virginia",11.40%,± 0.9%
"Hampton County, South Carolina",15.50%,± 2.6%
"Hancock County, Georgia",21.70%,± 5.8%
"Hancock County, Illinois",17.60%,± 2.3%
"Hancock County, Indiana",11.40%,± 1.2%
"Hancock County, Iowa",13.60%,± 2.7%
"Hancock County, Kentucky",6.40%,± 1.7%
"Hancock County, Maine",17.10%,± 1.4%
"Hancock County, Mississippi",14.60%,± 2.5%
"Hancock County, Ohio",13.30%,± 1.4%
"Hancock County, Tennessee",21%,± 3.9%
"Hancock County, West Virginia",17.80%,± 2.3%
"Hand County, South Dakota",18.30%,± 4%
"Hanover County, Virginia",11.10%,± 1.1%
"Hansford County, Texas",10.20%,± 3.6%
"Hanson County, South Dakota",8.30%,± 2.5%
"Haralson County, Georgia",10.50%,± 2.4%
"Hardee County, Florida",7.50%,± 1.9%
"Hardeman County, Tennessee",13.50%,± 2.2%
"Hardeman County, Texas",15.90%,± 5.3%
"Hardin County, Illinois",15%,± 4.3%
"Hardin County, Iowa",14.90%,± 1.9%
"Hardin County, Kentucky",11.30%,± 1.1%
"Hardin County, Ohio",12.30%,± 1.9%
"Hardin County, Tennessee",13.90%,± 2.6%
"Hardin County, Texas",12.10%,± 1.5%
"Harding County, New Mexico",29.20%,± 8.8%
"Harding County, South Dakota",7.10%,± 3.6%
"Hardy County, West Virginia",12.10%,± 2.5%
"Harford County, Maryland",10.30%,± 0.6%
"Harlan County, Kentucky",12%,± 1.6%
"Harlan County, Nebraska",20.60%,± 3.4%
"Harmon County, Oklahoma",12.10%,± 3.7%
"Harnett County, North Carolina",10.30%,± 0.9%
"Harney County, Oregon",14.30%,± 3.2%
"Harper County, Kansas",16.30%,± 3.1%
"Harper County, Oklahoma",17.90%,± 5.6%
"Harris County, Georgia",8.90%,± 1.8%
"Harris County, Texas",7.40%,± 0.2%
"Harrison County, Indiana",13.10%,± 2.1%
"Harrison County, Iowa",11.60%,± 2%
"Harrison County, Kentucky",16%,± 3.7%
"Harrison County, Mississippi",11%,± 0.7%
"Harrison County, Missouri",14.70%,± 2.1%
"Harrison County, Ohio",16%,± 2.6%
"Harrison County, Texas",10.40%,± 1.4%
"Harrison County, West Virginia",16%,± 1.3%
"Harrisonburg city, Virginia",9.40%,± 1.4%
"Hart County, Georgia",14.30%,± 2.9%
"Hart County, Kentucky",14%,± 2.1%
"Hartley County, Texas",16.20%,± 5.3%
"Harvey County, Kansas",16.50%,± 2.2%
"Haskell County, Kansas",12%,± 3.8%
"Haskell County, Oklahoma",13.30%,± 1.7%
"Haskell County, Texas",16%,± 4%
"Hatillo Municipio, Puerto Rico",11.60%,± 2.4%
"Hawaii County, Hawaii",13.60%,± 1%
"Hawkins County, Tennessee",13.80%,± 1.5%
"Hayes County, Nebraska",15.20%,± 6.1%
"Hays County, Texas",6.60%,± 0.7%
"Haywood County, North Carolina",17.10%,± 1.9%
"Haywood County, Tennessee",13.20%,± 2.5%
"Heard County, Georgia",13.30%,± 3.4%
"Hemphill County, Texas",13.50%,± 5.4%
"Hempstead County, Arkansas",14.60%,± 2.8%
"Henderson County, Illinois",15.80%,± 3.6%
"Henderson County, Kentucky",13.40%,± 1.7%
"Henderson County, North Carolina",15%,± 1.1%
"Henderson County, Tennessee",13.90%,± 2.5%
"Henderson County, Texas",14.30%,± 1.3%
"Hendricks County, Indiana",8%,± 0.9%
"Hendry County, Florida",7.40%,± 2%
"Hennepin County, Minnesota",11.30%,± 0.3%
"Henrico County, Virginia",12.90%,± 0.8%
"Henry County, Alabama",18.10%,± 2.8%
"Henry County, Georgia",9%,± 0.9%
"Henry County, Illinois",15.90%,± 1.6%
"Henry County, Indiana",13.80%,± 1.5%
"Henry County, Iowa",15.50%,± 2.1%
"Henry County, Kentucky",11.20%,± 1.9%
"Henry County, Missouri",16.60%,± 2.2%
"Henry County, Ohio",13.10%,± 1.9%
"Henry County, Tennessee",16.30%,± 1.9%
"Henry County, Virginia",18.40%,± 1.8%
"Herkimer County, New York",16.50%,± 1.2%
"Hernando County, Florida",15%,± 0.9%
"Hertford County, North Carolina",16.40%,± 1.8%
"Hettinger County, North Dakota",23.60%,± 4%
"Hickman County, Kentucky",14.60%,± 5.2%
"Hickman County, Tennessee",12.60%,± 2.4%
"Hickory County, Missouri",26.20%,± 4.4%
"Hidalgo County, New Mexico",18.60%,± 5%
"Hidalgo County, Texas",7.70%,± 0.5%
"Highland County, Ohio",12.80%,± 1.7%
"Highland County, Virginia",16.90%,± 8.3%
"Highlands County, Florida",19%,± 1.6%
"Hill County, Montana",12.50%,± 1.8%
"Hill County, Texas",16.20%,± 1.6%
"Hillsborough County, Florida",9.10%,± 0.3%
"Hillsborough County, New Hampshire",10.50%,± 0.5%
"Hillsdale County, Michigan",13.70%,± 1%
"Hinds County, Mississippi",11.80%,± 1%
"Hinsdale County, Colorado",14.60%,± 6.9%
"Hitchcock County, Nebraska",20.30%,± 4.3%
"Hocking County, Ohio",11.30%,± 1.8%
"Hockley County, Texas",14.40%,± 2%
"Hodgeman County, Kansas",22.80%,± 6.8%
"Hoke County, North Carolina",9.50%,± 1%
"Holmes County, Florida",17.70%,± 2.5%
"Holmes County, Mississippi",14.90%,± 2.4%
"Holmes County, Ohio",8.30%,± 1.5%
"Holt County, Missouri",20.80%,± 3.3%
"Holt County, Nebraska",16.20%,± 3.2%
"Honolulu County, Hawaii",10.50%,± 0.3%
"Hood County, Texas",13.70%,± 1.8%
"Hood River County, Oregon",12.10%,± 2.1%
"Hooker County, Nebraska",27.70%,± 9.2%
"Hoonah-Angoon Census Area, Alaska",16%,± 3.4%
"Hopewell city, Virginia",13.30%,± 2.4%
"Hopkins County, Kentucky",12%,± 1.6%
"Hopkins County, Texas",12.90%,± 1.8%
"Hormigueros Municipio, Puerto Rico",19%,± 2.7%
"Horry County, South Carolina",13.90%,± 0.9%
"Hot Spring County, Arkansas",12.70%,± 2.3%
"Hot Springs County, Wyoming",14.60%,± 3.6%
"Houghton County, Michigan",14.30%,± 1.4%
"Houston County, Alabama",12.90%,± 0.7%
"Houston County, Georgia",8.70%,± 1.1%
"Houston County, Minnesota",13.20%,± 1.9%
"Houston County, Tennessee",15.20%,± 3.3%
"Houston County, Texas",14.60%,± 2.2%
"Howard County, Arkansas",15.80%,± 3%
"Howard County, Indiana",14.80%,± 1.4%
"Howard County, Iowa",12.10%,± 2.3%
"Howard County, Maryland",8.20%,± 0.5%
"Howard County, Missouri",13%,± 2.6%
"Howard County, Nebraska",15.40%,± 3.3%
"Howard County, Texas",10.50%,± 1.5%
"Howell County, Missouri",14.40%,± 1.5%
"Hubbard County, Minnesota",14.10%,± 1.4%
"Hudson County, New Jersey",9%,± 0.4%
"Hudspeth County, Texas",12.60%,± 5.3%
"Huerfano County, Colorado",25.20%,± 4.4%
"Hughes County, Oklahoma",19.60%,± 3.8%
"Hughes County, South Dakota",14%,± 2.4%
"Humacao Municipio, Puerto Rico",17.90%,± 1.9%
"Humboldt County, California",13%,± 0.9%
"Humboldt County, Iowa",14.30%,± 2.9%
"Humboldt County, Nevada",12.40%,± 3.2%
"Humphreys County, Mississippi",11.10%,± 3.1%
"Humphreys County, Tennessee",16.40%,± 3.5%
"Hunt County, Texas",10.50%,± 1.1%
"Hunterdon County, New Jersey",10.40%,± 0.8%
"Huntingdon County, Pennsylvania",14.70%,± 1.1%
"Huntington County, Indiana",13.90%,± 1.6%
"Huron County, Michigan",17.50%,± 1%
"Huron County, Ohio",13.40%,± 1.4%
"Hutchinson County, South Dakota",13.60%,± 2.1%
"Hutchinson County, Texas",15.90%,± 2.9%
"Hyde County, North Carolina",18.30%,± 6.6%
"Hyde County, South Dakota",10.50%,± 3.6%
"Iberia Parish, Louisiana",11%,± 1.4%
"Iberville Parish, Louisiana",8.90%,± 2.3%
"Ida County, Iowa",13%,± 2.8%
"Idaho County, Idaho",15.70%,± 2.9%
"Imperial County, California",9.90%,± 1%
"Independence County, Arkansas",11.70%,± 2.1%
"Indian River County, Florida",19.80%,± 1.4%
"Indiana County, Pennsylvania",14.10%,± 1.2%
"Ingham County, Michigan",11.50%,± 0.7%
"Inyo County, California",16.10%,± 2.7%
"Ionia County, Michigan",10.20%,± 1.2%
"Iosco County, Michigan",20.20%,± 1.8%
"Iowa County, Iowa",13.10%,± 2.1%
"Iowa County, Wisconsin",13.90%,± 1.7%
"Iredell County, North Carolina",9.50%,± 0.8%
"Irion County, Texas",15.30%,± 6.9%
"Iron County, Michigan",19.50%,± 2.4%
"Iron County, Missouri",12.10%,± 2.2%
"Iron County, Utah",8.10%,± 1.4%
"Iron County, Wisconsin",16.50%,± 2.3%
"Iroquois County, Illinois",14.80%,± 1.2%
"Irwin County, Georgia",17.90%,± 4.7%
"Isabela Municipio, Puerto Rico",14%,± 2%
"Isabella County, Michigan",10%,± 0.8%
"Isanti County, Minnesota",12.20%,± 1.4%
"Island County, Washington",14.10%,± 1.4%
"Isle of Wight County, Virginia",12.10%,± 1.7%
"Issaquena County, Mississippi",32.40%,± 11.2%
"Itasca County, Minnesota",16%,± 1.4%
"Itawamba County, Mississippi",13%,± 2.6%
"Izard County, Arkansas",17.30%,± 3.4%
"Jack County, Texas",9.90%,± 3.3%
"Jackson County, Alabama",14%,± 1.6%
"Jackson County, Arkansas",13.70%,± 2.1%
"Jackson County, Colorado",14.40%,± 6%
"Jackson County, Florida",17.60%,± 2%
"Jackson County, Georgia",7.80%,± 1.4%
"Jackson County, Illinois",11.10%,± 1.3%
"Jackson County, Indiana",11.70%,± 1.6%
"Jackson County, Iowa",13.30%,± 1.6%
"Jackson County, Kansas",13.20%,± 2.7%
"Jackson County, Kentucky",15.10%,± 3%
"Jackson County, Michigan",12.30%,± 0.9%
"Jackson County, Minnesota",15.50%,± 2.2%
"Jackson County, Mississippi",12.50%,± 1.3%
"Jackson County, Missouri",11.20%,± 0.4%
"Jackson County, North Carolina",12.50%,± 1.9%
"Jackson County, Ohio",10.90%,± 1.8%
"Jackson County, Oklahoma",12.20%,± 1.9%
"Jackson County, Oregon",15.50%,± 1%
"Jackson County, South Dakota",14.10%,± 5.7%
"Jackson County, Tennessee",17.80%,± 3.4%
"Jackson County, Texas",8.50%,± 2.8%
"Jackson County, West Virginia",15.30%,± 2.8%
"Jackson County, Wisconsin",14.10%,± 2%
"Jackson Parish, Louisiana",16.10%,± 2.8%
"James City County, Virginia",13.30%,± 1.3%
"Jasper County, Georgia",7.50%,± 2.2%
"Jasper County, Illinois",14%,± 2.5%
"Jasper County, Indiana",13.60%,± 2%
"Jasper County, Iowa",13.90%,± 1.8%
"Jasper County, Mississippi",12.40%,± 3.3%
"Jasper County, Missouri",12.40%,± 1%
"Jasper County, South Carolina",12%,± 2.5%
"Jasper County, Texas",16.10%,± 2.7%
"Jay County, Indiana",12.80%,± 2.2%
"Jayuya Municipio, Puerto Rico",8.90%,± 3.1%
"Jeff Davis County, Georgia",13.10%,± 3.7%
"Jeff Davis County, Texas",28.70%,± 14.9%
"Jefferson County, Alabama",12.50%,± 0.4%
"Jefferson County, Arkansas",13.70%,± 1.6%
"Jefferson County, Colorado",11%,± 0.4%
"Jefferson County, Florida",12%,± 3.1%
"Jefferson County, Georgia",14.20%,± 2.5%
"Jefferson County, Idaho",8.80%,± 1.7%
"Jefferson County, Illinois",13.80%,± 1.4%
"Jefferson County, Indiana",14.20%,± 2.2%
"Jefferson County, Iowa",19%,± 3.1%
"Jefferson County, Kansas",13.80%,± 2.3%
"Jefferson County, Kentucky",13%,± 0.5%
"Jefferson County, Mississippi",12.20%,± 5.7%
"Jefferson County, Missouri",10.20%,± 0.8%
"Jefferson County, Montana",10.80%,± 2.7%
"Jefferson County, Nebraska",18.80%,± 3%
"Jefferson County, New York",9.60%,± 0.9%
"Jefferson County, Ohio",16.40%,± 1.2%
"Jefferson County, Oklahoma",19.20%,± 2.8%
"Jefferson County, Oregon",9.60%,± 2.1%
"Jefferson County, Pennsylvania",16.80%,± 1.2%
"Jefferson County, Tennessee",13%,± 1.6%
"Jefferson County, Texas",10.80%,± 0.8%
"Jefferson County, Washington",21.30%,± 2.5%
"Jefferson County, West Virginia",11.70%,± 1.5%
"Jefferson County, Wisconsin",12.80%,± 1.2%
"Jefferson Davis County, Mississippi",15.20%,± 3.2%
"Jefferson Davis Parish, Louisiana",14.90%,± 2.3%
"Jefferson Parish, Louisiana",13.20%,± 0.7%
"Jenkins County, Georgia",17.90%,± 4.9%
"Jennings County, Indiana",11.20%,± 2.2%
"Jerauld County, South Dakota",21.20%,± 4.7%
"Jerome County, Idaho",7.50%,± 1.5%
"Jersey County, Illinois",13.10%,± 2.2%
"Jessamine County, Kentucky",11.20%,± 1.5%
"Jewell County, Kansas",22.10%,± 3.7%
"Jim Hogg County, Texas",5.20%,± 3.1%
"Jim Wells County, Texas",9.70%,± 2.2%
"Jo Daviess County, Illinois",16.30%,± 2.4%
"Johnson County, Arkansas",11.40%,± 2.3%
"Johnson County, Georgia",18.20%,± 3%
"Johnson County, Illinois",14.30%,± 2.7%
"Johnson County, Indiana",9.90%,± 1%
"Johnson County, Iowa",8.40%,± 0.8%
"Johnson County, Kansas",9.70%,± 0.4%
"Johnson County, Kentucky",9%,± 2.4%
"Johnson County, Missouri",8.40%,± 1.3%
"Johnson County, Nebraska",11.90%,± 2.5%
"Johnson County, Tennessee",13.60%,± 2.1%
"Johnson County, Texas",7.70%,± 0.8%
"Johnson County, Wyoming",15.70%,± 4.3%
"Johnston County, North Carolina",9.80%,± 0.8%
"Johnston County, Oklahoma",14.90%,± 2.9%
"Jones County, Georgia",12.20%,± 2.5%
"Jones County, Iowa",11.80%,± 2.3%
"Jones County, Mississippi",12.80%,± 1.9%
"Jones County, North Carolina",15.30%,± 3.6%
"Jones County, South Dakota",14.20%,± 7%
"Jones County, Texas",13.50%,± 2.7%
"Josephine County, Oregon",14.60%,± 1.3%
"Juab County, Utah",8.70%,± 2.4%
"Juana Díaz Municipio, Puerto Rico",12.70%,± 1.5%
"Judith Basin County, Montana",16%,± 4.2%
"Juncos Municipio, Puerto Rico",11.70%,± 2.2%
"Juneau City and Borough, Alaska",12.30%,± 2%
"Juneau County, Wisconsin",14.80%,± 1.6%
"Juniata County, Pennsylvania",14.40%,± 2%
"Kalamazoo County, Michigan",11.20%,± 0.6%
"Kalawao County, Hawaii",9.40%,± 10.2%
"Kalkaska County, Michigan",14.40%,± 2%
"Kanabec County, Minnesota",13.90%,± 1.5%
"Kanawha County, West Virginia",15.60%,± 0.9%
"Kandiyohi County, Minnesota",12%,± 1.6%
"Kane County, Illinois",10.30%,± 0.6%
"Kane County, Utah",14.80%,± 4.9%
"Kankakee County, Illinois",12.80%,± 1.1%
"Karnes County, Texas",13.50%,± 3.2%
"Kauai County, Hawaii",12%,± 1.5%
"Kaufman County, Texas",6.50%,± 0.9%
"Kay County, Oklahoma",15.20%,± 1.3%
"Kearney County, Nebraska",13.80%,± 3%
"Kearny County, Kansas",8.40%,± 3.8%
"Keith County, Nebraska",20.50%,± 3.3%
"Kemper County, Mississippi",15.30%,± 5%
"Kenai Peninsula Borough, Alaska",13.80%,± 1.4%
"Kendall County, Illinois",7.20%,± 1.3%
"Kendall County, Texas",10.60%,± 1.9%
"Kenedy County, Texas",0%,± 59.7%
"Kennebec County, Maine",13.90%,± 0.9%
"Kenosha County, Wisconsin",10.70%,± 0.8%
"Kent County, Delaware",11.30%,± 0.9%
"Kent County, Maryland",17.40%,± 2.4%
"Kent County, Michigan",10.20%,± 0.4%
"Kent County, Rhode Island",13.50%,± 0.8%
"Kent County, Texas",22%,± 13.8%
"Kenton County, Kentucky",10.30%,± 0.8%
"Keokuk County, Iowa",15.40%,± 1.8%
"Kern County, California",8.50%,± 0.4%
"Kerr County, Texas",17.40%,± 1.9%
"Kershaw County, South Carolina",11.20%,± 1.1%
"Ketchikan Gateway Borough, Alaska",11.40%,± 1.7%
"Kewaunee County, Wisconsin",15.20%,± 2.1%
"Keweenaw County, Michigan",16.70%,± 3.8%
"Keya Paha County, Nebraska",17%,± 6.4%
"Kidder County, North Dakota",19.90%,± 4%
"Kimball County, Nebraska",20.90%,± 4.4%
"Kimble County, Texas",26.30%,± 6.2%
"King and Queen County, Virginia",15.60%,± 5%
"King County, Texas",2.50%,± 6.5%
"King County, Washington",8.90%,± 0.2%
"King George County, Virginia",7.90%,± 2%
"King William County, Virginia",11.90%,± 2.8%
"Kingfisher County, Oklahoma",13.70%,± 3.2%
"Kingman County, Kansas",17.50%,± 3.5%
"Kings County, California",7.70%,± 1%
"Kings County, New York",10.80%,± 0.2%
"Kingsbury County, South Dakota",14.50%,± 2.7%
"Kinney County, Texas",19.20%,± 9.6%
"Kiowa County, Colorado",13.20%,± 5.8%
"Kiowa County, Kansas",14.20%,± 4.2%
"Kiowa County, Oklahoma",14.60%,± 3.1%
"Kit Carson County, Colorado",12.70%,± 3%
"Kitsap County, Washington",11.20%,± 0.8%
"Kittitas County, Washington",9.20%,± 1.6%
"Kittson County, Minnesota",16.70%,± 2.9%
"Klamath County, Oregon",15.20%,± 1.6%
"Kleberg County, Texas",7.40%,± 1.8%
"Klickitat County, Washington",15.90%,± 2.7%
"Knott County, Kentucky",14.80%,± 3.1%
"Knox County, Illinois",19.60%,± 1.7%
"Knox County, Indiana",14.30%,± 1.6%
"Knox County, Kentucky",15.20%,± 2.4%
"Knox County, Maine",16.90%,± 2%
"Knox County, Missouri",20.50%,± 5.7%
"Knox County, Nebraska",15.40%,± 2.2%
"Knox County, Ohio",13.30%,± 1.6%
"Knox County, Tennessee",11.40%,± 0.5%
"Knox County, Texas",13.50%,± 4.1%
"Kodiak Island Borough, Alaska",7.70%,± 1.9%
"Koochiching County, Minnesota",17.10%,± 3%
"Kootenai County, Idaho",11.30%,± 1.1%
"Kosciusko County, Indiana",11.40%,± 1.3%
"Kossuth County, Iowa",18.60%,± 2.2%
"Kusilvak Census Area, Alaska",5.40%,± 2.3%
"La Crosse County, Wisconsin",12.40%,± 1%
"La Paz County, Arizona",20.20%,± 3.7%
"La Plata County, Colorado",11.30%,± 1.5%
"La Salle County, Texas",7.50%,± 3.8%
"Labette County, Kansas",17.60%,± 2.2%
"Lac qui Parle County, Minnesota",16.40%,± 2.4%
"Lackawanna County, Pennsylvania",15.20%,± 0.8%
"Laclede County, Missouri",12.70%,± 1.9%
"Lafayette County, Arkansas",15.90%,± 4.1%
"Lafayette County, Florida",18.60%,± 6.2%
"Lafayette County, Mississippi",10.50%,± 1.9%
"Lafayette County, Missouri",11.40%,± 1.9%
"Lafayette County, Wisconsin",15.30%,± 1.5%
"Lafayette Parish, Louisiana",10.10%,± 1%
"Lafourche Parish, Louisiana",10.90%,± 1%
"LaGrange County, Indiana",10.10%,± 1.8%
"Lajas Municipio, Puerto Rico",16.70%,± 3.1%
"Lake and Peninsula Borough, Alaska",5.80%,± 3.6%
"Lake County, California",16.80%,± 1.5%
"Lake County, Colorado",11%,± 4.6%
"Lake County, Florida",13.90%,± 0.8%
"Lake County, Illinois",10.50%,± 0.4%
"Lake County, Indiana",12.80%,± 0.5%
"Lake County, Michigan",20.20%,± 2%
"Lake County, Minnesota",16.40%,± 2.5%
"Lake County, Montana",14.20%,± 1.7%
"Lake County, Ohio",14.60%,± 0.7%
"Lake County, Oregon",19.80%,± 4%
"Lake County, South Dakota",12.40%,± 2.8%
"Lake County, Tennessee",12.30%,± 3.2%
"Lake of the Woods County, Minnesota",16.10%,± 4.9%
"Lamar County, Alabama",16.90%,± 4.1%
"Lamar County, Georgia",14.80%,± 3.9%
"Lamar County, Mississippi",6.90%,± 1.3%
"Lamar County, Texas",15.90%,± 1.9%
"Lamb County, Texas",11.40%,± 2%
"Lamoille County, Vermont",12.80%,± 2%
"LaMoure County, North Dakota",19.10%,± 4%
"Lampasas County, Texas",10.40%,± 2.2%
"Lancaster County, Nebraska",10.40%,± 0.6%
"Lancaster County, Pennsylvania",11.90%,± 0.6%
"Lancaster County, South Carolina",13.40%,± 1.4%
"Lancaster County, Virginia",30.30%,± 4.3%
"Lander County, Nevada",5.70%,± 2.6%
"Lane County, Kansas",15.50%,± 5.8%
"Lane County, Oregon",12.70%,± 0.5%
"Langlade County, Wisconsin",17.60%,± 2.5%
"Lanier County, Georgia",11%,± 4.1%
"Lapeer County, Michigan",11%,± 1.1%
"LaPorte County, Indiana",13.60%,± 1.2%
"Laramie County, Wyoming",12.20%,± 1.2%
"Lares Municipio, Puerto Rico",13.10%,± 2.1%
"Larimer County, Colorado",9.80%,± 0.6%
"Larue County, Kentucky",12%,± 2.9%
"Las Animas County, Colorado",16.50%,± 2.3%
"Las Marías Municipio, Puerto Rico",19.30%,± 4.8%
"Las Piedras Municipio, Puerto Rico",12.60%,± 2.5%
"LaSalle County, Illinois",14.10%,± 1.1%
"LaSalle Parish, Louisiana",11.90%,± 3.6%
"Lassen County, California",15.30%,± 2.3%
"Latah County, Idaho",9.50%,± 1.4%
"Latimer County, Oklahoma",13.40%,± 2.4%
"Lauderdale County, Alabama",13.10%,± 1.2%
"Lauderdale County, Mississippi",13.30%,± 1.7%
"Lauderdale County, Tennessee",11.70%,± 2.2%
"Laurel County, Kentucky",10.70%,± 1.3%
"Laurens County, Georgia",13.60%,± 1.9%
"Laurens County, South Carolina",12%,± 1.7%
"Lavaca County, Texas",16.80%,± 1.9%
"Lawrence County, Alabama",15.10%,± 2.2%
"Lawrence County, Arkansas",14.20%,± 2.8%
"Lawrence County, Illinois",15.70%,± 2.9%
"Lawrence County, Indiana",13.90%,± 1.8%
"Lawrence County, Kentucky",12%,± 3%
"Lawrence County, Mississippi",13.20%,± 3.3%
"Lawrence County, Missouri",14.60%,± 2.4%
"Lawrence County, Ohio",15.80%,± 1.7%
"Lawrence County, Pennsylvania",15.50%,± 1.2%
"Lawrence County, South Dakota",15.30%,± 2.5%
"Lawrence County, Tennessee",14.20%,± 1.6%
"Le Flore County, Oklahoma",13.60%,± 1.3%
"Le Sueur County, Minnesota",11.30%,± 1.3%
"Lea County, New Mexico",8.40%,± 1.2%
"Leake County, Mississippi",14.70%,± 2.8%
"Leavenworth County, Kansas",10.10%,± 1.5%
"Lebanon County, Pennsylvania",13.40%,± 0.9%
"Lee County, Alabama",8.30%,± 0.9%
"Lee County, Arkansas",19.40%,± 3.5%
"Lee County, Florida",15.60%,± 0.6%
"Lee County, Georgia",7.20%,± 1.7%
"Lee County, Illinois",15.70%,± 1.4%
"Lee County, Iowa",15%,± 1.6%
"Lee County, Kentucky",13.60%,± 3.7%
"Lee County, Mississippi",9.30%,± 0.9%
"Lee County, North Carolina",11.30%,± 1.7%
"Lee County, South Carolina",15.40%,± 2.9%
"Lee County, Texas",13.60%,± 3.3%
"Lee County, Virginia",13.40%,± 3.1%
"Leelanau County, Michigan",17.30%,± 1.8%
"Leflore County, Mississippi",16.90%,± 2.4%
"Lehigh County, Pennsylvania",11.50%,± 0.7%
"Lemhi County, Idaho",23.80%,± 5%
"Lenawee County, Michigan",13.60%,± 1.1%
"Lenoir County, North Carolina",16.60%,± 1.7%
"Leon County, Florida",9.60%,± 0.6%
"Leon County, Texas",15%,± 3.7%
"Leslie County, Kentucky",18.60%,± 4.8%
"Letcher County, Kentucky",13.50%,± 2.5%
"Levy County, Florida",16.80%,± 2.4%
"Lewis and Clark County, Montana",13.90%,± 1.3%
"Lewis County, Idaho",19%,± 3.1%
"Lewis County, Kentucky",18%,± 3.1%
"Lewis County, Missouri",15.70%,± 2.7%
"Lewis County, New York",11.80%,± 1.5%
"Lewis County, Tennessee",15.80%,± 4.3%
"Lewis County, Washington",15.30%,± 1.4%
"Lewis County, West Virginia",15%,± 3%
"Lexington city, Virginia",15.10%,± 6.4%
"Lexington County, South Carolina",10.60%,± 0.6%
"Liberty County, Florida",10.30%,± 2.9%
"Liberty County, Georgia",6.80%,± 1%
"Liberty County, Montana",26.90%,± 6.6%
"Liberty County, Texas",9.70%,± 1.4%
"Licking County, Ohio",10.80%,± 0.9%
"Limestone County, Alabama",10.70%,± 1.3%
"Limestone County, Texas",13.40%,± 2.3%
"Lincoln County, Arkansas",15.60%,± 3.6%
"Lincoln County, Colorado",19.30%,± 3.9%
"Lincoln County, Georgia",15.90%,± 4%
"Lincoln County, Idaho",11.30%,± 3.4%
"Lincoln County, Kansas",20.90%,± 5.1%
"Lincoln County, Kentucky",15.30%,± 2.3%
"Lincoln County, Maine",17.40%,± 1.9%
"Lincoln County, Minnesota",18%,± 2.3%
"Lincoln County, Mississippi",10.80%,± 2.1%
"Lincoln County, Missouri",10.20%,± 1.5%
"Lincoln County, Montana",16.40%,± 3.1%
"Lincoln County, Nebraska",16.20%,± 2.2%
"Lincoln County, Nevada",13.60%,± 5.9%
"Lincoln County, New Mexico",18.10%,± 3.7%
"Lincoln County, North Carolina",9.60%,± 1.1%
"Lincoln County, Oklahoma",13.40%,± 1.5%
