Geography,Percent—Total population—SELECTED AGE CATEGORIES—65 years and over—Estimate,MoE
"Greensville County, Virginia",15.70%,*****
"Greenup County, Kentucky",21.40%,± 0.2%
"Greenville County, South Carolina",16.30%,± 0.1%
"Greenwood County, Kansas",25.70%,± 0.5%
"Greenwood County, South Carolina",19%,± 0.1%
"Greer County, Oklahoma",17.10%,± 1%
"Gregg County, Texas",15.70%,± 0.1%
"Gregory County, South Dakota",25.20%,± 0.5%
"Grenada County, Mississippi",18.20%,*****
"Griggs County, North Dakota",29.90%,± 2.3%
"Grimes County, Texas",18.20%,*****
"Grundy County, Illinois",14.40%,± 0.2%
"Grundy County, Iowa",20.60%,± 0.1%
"Grundy County, Missouri",21.70%,± 0.4%
"Grundy County, Tennessee",20.50%,± 0.3%
"Guadalupe County, New Mexico",19.50%,± 4.3%
"Guadalupe County, Texas",14.20%,± 0.1%
"Guánica Municipio, Puerto Rico",25.40%,*****
"Guayama Municipio, Puerto Rico",19.70%,*****
"Guayanilla Municipio, Puerto Rico",22.30%,*****
"Guaynabo Municipio, Puerto Rico",24.20%,*****
"Guernsey County, Ohio",19.80%,± 0.1%
"Guilford County, North Carolina",15.50%,*****
"Gulf County, Florida",23.30%,± 0.7%
"Gunnison County, Colorado",14%,± 0.4%
"Gurabo Municipio, Puerto Rico",17%,*****
"Guthrie County, Iowa",22.80%,± 0.1%
"Gwinnett County, Georgia",10.60%,± 0.1%
"Haakon County, South Dakota",26.70%,± 4.4%
"Habersham County, Georgia",18.70%,± 0.3%
"Haines Borough, Alaska",21.60%,± 5.9%
"Hale County, Alabama",19.70%,*****
"Hale County, Texas",13.90%,± 0.4%
"Halifax County, North Carolina",21.20%,± 0.1%
"Halifax County, Virginia",24.90%,± 0.2%
"Hall County, Georgia",15.50%,± 0.1%
"Hall County, Nebraska",15.50%,± 0.2%
"Hall County, Texas",22.50%,± 1.8%
"Hamblen County, Tennessee",18.20%,± 0.3%
"Hamilton County, Florida",19%,± 0.4%
"Hamilton County, Illinois",22.10%,± 0.6%
"Hamilton County, Indiana",13.10%,± 0.1%
"Hamilton County, Iowa",21.30%,± 0.6%
"Hamilton County, Kansas",14.30%,± 2.8%
"Hamilton County, Nebraska",20.30%,± 0.3%
"Hamilton County, New York",32%,± 0.4%
"Hamilton County, Ohio",16%,± 0.1%
"Hamilton County, Tennessee",18.10%,± 0.1%
"Hamilton County, Texas",25.80%,± 0.7%
"Hamlin County, South Dakota",14.30%,± 0.4%
"Hampden County, Massachusetts",17.40%,± 0.1%
"Hampshire County, Massachusetts",19.10%,± 0.1%
"Hampshire County, West Virginia",23.30%,± 0.4%
"Hampton city, Virginia",15.90%,± 0.1%
"Hampton County, South Carolina",18.30%,± 0.3%
"Hancock County, Georgia",24%,*****
"Hancock County, Illinois",23.70%,± 0.3%
"Hancock County, Indiana",17.10%,± 0.2%
"Hancock County, Iowa",23.30%,± 0.2%
"Hancock County, Kentucky",17.70%,± 0.2%
"Hancock County, Maine",25.70%,± 0.1%
"Hancock County, Mississippi",21.40%,± 0.4%
"Hancock County, Ohio",17.90%,± 0.2%
"Hancock County, Tennessee",22.40%,± 0.7%
"Hancock County, West Virginia",24.30%,± 0.5%
"Hand County, South Dakota",25.30%,± 2.1%
"Hanover County, Virginia",18.50%,± 0.1%
"Hansford County, Texas",13.60%,± 1.8%
"Hanson County, South Dakota",15.70%,± 0.2%
"Haralson County, Georgia",15.90%,± 0.5%
"Hardee County, Florida",15.70%,± 0.4%
"Hardeman County, Tennessee",18.50%,± 0.1%
"Hardeman County, Texas",20%,± 3.2%
"Hardin County, Illinois",31%,± 2.8%
"Hardin County, Iowa",22.80%,± 0.2%
"Hardin County, Kentucky",14.60%,± 0.1%
"Hardin County, Ohio",16%,± 0.2%
"Hardin County, Tennessee",23%,± 0.4%
"Hardin County, Texas",17.20%,± 0.2%
"Harding County, New Mexico",24.30%,± 7.7%
"Harding County, South Dakota",19%,± 3.1%
"Hardy County, West Virginia",23%,± 1%
"Harford County, Maryland",16.70%,± 0.1%
"Harlan County, Kentucky",19%,± 0.3%
"Harlan County, Nebraska",26.60%,± 1.9%
"Harmon County, Oklahoma",19.40%,± 1.4%
"Harnett County, North Carolina",13.20%,± 0.1%
"Harney County, Oregon",25.50%,± 0.9%
"Harper County, Kansas",21.90%,± 0.4%
"Harper County, Oklahoma",18.80%,± 0.8%
"Harris County, Georgia",18.50%,± 0.2%
"Harris County, Texas",11%,± 0.1%
"Harrison County, Indiana",18.30%,± 0.2%
"Harrison County, Iowa",19.60%,± 0.1%
"Harrison County, Kentucky",18.90%,± 1.1%
"Harrison County, Mississippi",15.80%,± 0.1%
"Harrison County, Missouri",22.10%,± 0.3%
"Harrison County, Ohio",22.50%,± 0.6%
"Harrison County, Texas",17%,± 0.2%
"Harrison County, West Virginia",19.80%,± 0.2%
"Harrisonburg city, Virginia",9.60%,± 0.3%
"Hart County, Georgia",22.40%,± 0.4%
"Hart County, Kentucky",16.80%,± 0.4%
"Hartley County, Texas",16.20%,± 0.7%
"Harvey County, Kansas",20.50%,± 0.4%
"Haskell County, Kansas",15.30%,± 1%
"Haskell County, Oklahoma",20.30%,± 0.2%
"Haskell County, Texas",23.40%,± 1%
"Hatillo Municipio, Puerto Rico",22.10%,*****
"Hawaii County, Hawaii",22.20%,± 0.1%
"Hawkins County, Tennessee",21.50%,± 0.2%
"Hayes County, Nebraska",23.80%,± 4.1%
"Hays County, Texas",11.40%,± 0.1%
"Haywood County, North Carolina",25.10%,± 0.1%
"Haywood County, Tennessee",19.70%,± 0.1%
"Heard County, Georgia",16.90%,± 0.5%
"Hemphill County, Texas",18.80%,± 2.8%
"Hempstead County, Arkansas",18.30%,± 0.5%
"Henderson County, Illinois",26%,± 0.4%
"Henderson County, Kentucky",18.30%,± 0.2%
"Henderson County, North Carolina",26.10%,± 0.1%
"Henderson County, Tennessee",18.50%,± 0.6%
"Henderson County, Texas",22.20%,± 0.1%
"Hendricks County, Indiana",14.40%,± 0.1%
"Hendry County, Florida",13.40%,± 0.3%
"Hennepin County, Minnesota",14.80%,± 0.1%
"Henrico County, Virginia",16.20%,± 0.1%
"Henry County, Alabama",22.90%,± 0.2%
"Henry County, Georgia",12%,± 0.1%
"Henry County, Illinois",21%,± 0.1%
"Henry County, Indiana",19.10%,± 0.2%
"Henry County, Iowa",19%,± 0.2%
"Henry County, Kentucky",17.60%,± 0.3%
"Henry County, Missouri",22.20%,± 0.3%
"Henry County, Ohio",19%,± 0.3%
"Henry County, Tennessee",23.40%,± 0.2%
"Henry County, Virginia",24.40%,± 0.1%
"Herkimer County, New York",21.30%,± 0.2%
"Hernando County, Florida",26.80%,± 0.1%
"Hertford County, North Carolina",20.40%,± 0.3%
"Hettinger County, North Dakota",25.90%,± 3%
"Hickman County, Kentucky",24.50%,± 0.8%
"Hickman County, Tennessee",17.40%,± 0.4%
"Hickory County, Missouri",33.60%,± 0.6%
"Hidalgo County, New Mexico",21.80%,± 0.4%
"Hidalgo County, Texas",11.20%,± 0.1%
"Highland County, Ohio",18.40%,± 0.2%
"Highland County, Virginia",36.90%,± 5.3%
"Highlands County, Florida",35.70%,± 0.1%
"Hill County, Montana",15.40%,± 0.2%
"Hill County, Texas",20.50%,± 0.1%
"Hillsborough County, Florida",14.60%,± 0.1%
"Hillsborough County, New Hampshire",16.30%,± 0.1%
"Hillsdale County, Michigan",20.40%,± 0.1%
"Hinds County, Mississippi",15.20%,± 0.1%
"Hinsdale County, Colorado",34%,± 7.4%
"Hitchcock County, Nebraska",25.40%,± 0.5%
"Hocking County, Ohio",19.10%,± 0.2%
"Hockley County, Texas",15%,± 0.3%
"Hodgeman County, Kansas",22.80%,± 3.4%
"Hoke County, North Carolina",11%,± 0.2%
"Holmes County, Florida",20.20%,± 0.4%
"Holmes County, Mississippi",15.80%,*****
"Holmes County, Ohio",14%,± 0.1%
"Holt County, Missouri",25.60%,± 0.7%
"Holt County, Nebraska",22.10%,± 0.2%
"Honolulu County, Hawaii",18.60%,*****
"Hood County, Texas",25.20%,± 0.2%
"Hood River County, Oregon",17.10%,± 0.5%
"Hooker County, Nebraska",19%,± 6%
"Hoonah-Angoon Census Area, Alaska",24%,± 3.1%
"Hopewell city, Virginia",14.70%,± 0.2%
"Hopkins County, Kentucky",18.70%,± 0.2%
"Hopkins County, Texas",18.30%,± 0.3%
"Hormigueros Municipio, Puerto Rico",29.20%,*****
"Horry County, South Carolina",25.20%,*****
"Hot Spring County, Arkansas",19.20%,± 0.3%
"Hot Springs County, Wyoming",26.20%,± 2.7%
"Houghton County, Michigan",17.40%,± 0.2%
"Houston County, Alabama",18.20%,*****
"Houston County, Georgia",13.20%,± 0.1%
"Houston County, Minnesota",22.10%,± 0.3%
"Houston County, Tennessee",20.10%,± 0.5%
"Houston County, Texas",22.10%,± 0.3%
"Howard County, Arkansas",18.10%,± 0.4%
"Howard County, Indiana",19.40%,± 0.2%
"Howard County, Iowa",20.40%,± 0.1%
"Howard County, Maryland",14.50%,± 0.1%
"Howard County, Missouri",19.30%,± 0.4%
"Howard County, Nebraska",21.70%,± 0.3%
"Howard County, Texas",12.70%,± 0.2%
"Howell County, Missouri",19.60%,± 0.3%
"Hubbard County, Minnesota",25.80%,± 0.1%
"Hudson County, New Jersey",12.20%,± 0.1%
"Hudspeth County, Texas",11%,± 1.3%
"Huerfano County, Colorado",33.10%,± 1.3%
"Hughes County, Oklahoma",18.90%,± 0.7%
"Hughes County, South Dakota",17.10%,± 0.3%
"Humacao Municipio, Puerto Rico",24.20%,*****
"Humboldt County, California",18.90%,± 0.1%
"Humboldt County, Iowa",21.20%,± 0.1%
"Humboldt County, Nevada",15.40%,± 0.8%
"Humphreys County, Mississippi",17.40%,*****
"Humphreys County, Tennessee",20.20%,± 0.5%
"Hunt County, Texas",15.90%,± 0.1%
"Hunterdon County, New Jersey",19.60%,± 0.1%
"Huntingdon County, Pennsylvania",21.20%,± 0.1%
"Huntington County, Indiana",17.80%,± 0.2%
"Huron County, Michigan",26.10%,± 0.2%
"Huron County, Ohio",17.90%,± 0.2%
"Hutchinson County, South Dakota",21.90%,± 0.4%
"Hutchinson County, Texas",17.20%,± 0.5%
"Hyde County, North Carolina",23.40%,± 3.8%
"Hyde County, South Dakota",24.10%,± 4.4%
"Iberia Parish, Louisiana",15.60%,± 0.2%
"Iberville Parish, Louisiana",16.70%,± 0.2%
"Ida County, Iowa",22%,± 0.2%
"Idaho County, Idaho",28.30%,± 0.3%
"Imperial County, California",13.20%,± 0.1%
"Independence County, Arkansas",17.40%,± 0.3%
"Indian River County, Florida",33.90%,± 0.1%
"Indiana County, Pennsylvania",19.70%,± 0.1%
"Ingham County, Michigan",14.20%,± 0.1%
"Inyo County, California",23.80%,± 0.2%
"Ionia County, Michigan",15.30%,± 0.3%
"Iosco County, Michigan",30%,± 0.2%
"Iowa County, Iowa",19.10%,± 0.3%
"Iowa County, Wisconsin",19.30%,± 0.1%
"Iredell County, North Carolina",16.30%,± 0.1%
"Irion County, Texas",19.40%,± 4.1%
"Iron County, Michigan",30.50%,± 0.2%
"Iron County, Missouri",22%,± 0.4%
"Iron County, Utah",12.90%,± 0.3%
"Iron County, Wisconsin",31.50%,± 0.2%
"Iroquois County, Illinois",21.80%,± 0.2%
"Irwin County, Georgia",18.30%,± 0.7%
"Isabela Municipio, Puerto Rico",21.30%,*****
"Isabella County, Michigan",13.30%,± 0.1%
"Isanti County, Minnesota",16.60%,± 0.2%
"Island County, Washington",25.30%,± 0.1%
"Isle of Wight County, Virginia",19.30%,± 0.1%
"Issaquena County, Mississippi",21%,± 5.9%
"Itasca County, Minnesota",24.60%,± 0.1%
"Itawamba County, Mississippi",17.50%,± 0.4%
"Izard County, Arkansas",25.40%,± 0.3%
"Jack County, Texas",17.30%,± 0.4%
"Jackson County, Alabama",20.60%,± 0.1%
"Jackson County, Arkansas",17.80%,± 0.1%
"Jackson County, Colorado",31.40%,± 7.5%
"Jackson County, Florida",21.10%,± 0.3%
"Jackson County, Georgia",14.40%,± 0.3%
"Jackson County, Illinois",16%,± 0.2%
"Jackson County, Indiana",16.60%,± 0.2%
"Jackson County, Iowa",21.30%,± 0.3%
"Jackson County, Kansas",19.50%,± 0.2%
"Jackson County, Kentucky",17.80%,± 0.5%
"Jackson County, Michigan",18.20%,± 0.1%
"Jackson County, Minnesota",22.60%,± 0.3%
"Jackson County, Mississippi",16.50%,± 0.1%
"Jackson County, Missouri",15.40%,± 0.1%
"Jackson County, North Carolina",20.40%,± 0.4%
"Jackson County, Ohio",17.60%,± 0.4%
"Jackson County, Oklahoma",15.10%,± 0.2%
"Jackson County, Oregon",22.50%,± 0.1%
"Jackson County, South Dakota",14.60%,± 2.8%
"Jackson County, Tennessee",22.50%,± 0.4%
"Jackson County, Texas",19.30%,± 0.6%
"Jackson County, West Virginia",20.60%,± 0.2%
"Jackson County, Wisconsin",19.40%,± 0.1%
"Jackson Parish, Louisiana",20.50%,± 0.2%
"James City County, Virginia",26.10%,± 0.2%
"Jasper County, Georgia",17.30%,± 0.3%
"Jasper County, Illinois",20%,± 0.2%
"Jasper County, Indiana",18%,± 0.2%
"Jasper County, Iowa",19.10%,± 0.1%
"Jasper County, Mississippi",20.70%,*****
"Jasper County, Missouri",15.80%,± 0.1%
"Jasper County, South Carolina",21.30%,± 0.3%
"Jasper County, Texas",20.50%,± 0.6%
"Jay County, Indiana",18.10%,± 0.2%
"Jayuya Municipio, Puerto Rico",18.70%,*****
"Jeff Davis County, Georgia",15%,± 0.9%
"Jeff Davis County, Texas",41.70%,± 9.7%
"Jefferson County, Alabama",16.30%,± 0.1%
"Jefferson County, Arkansas",17.70%,± 0.2%
"Jefferson County, Colorado",17.10%,± 0.1%
"Jefferson County, Florida",24.10%,± 0.2%
"Jefferson County, Georgia",18.40%,± 0.2%
"Jefferson County, Idaho",11.40%,± 0.2%
"Jefferson County, Illinois",19.60%,± 0.1%
"Jefferson County, Indiana",18.50%,± 0.3%
"Jefferson County, Iowa",25.30%,± 0.5%
"Jefferson County, Kansas",19%,± 0.2%
"Jefferson County, Kentucky",16.70%,± 0.1%
"Jefferson County, Mississippi",18.10%,± 0.7%
"Jefferson County, Missouri",15.70%,± 0.1%
"Jefferson County, Montana",22.40%,± 0.3%
"Jefferson County, Nebraska",24.70%,± 0.9%
"Jefferson County, New York",14.20%,± 0.1%
"Jefferson County, Ohio",21.90%,± 0.1%
"Jefferson County, Oklahoma",20.40%,± 0.5%
"Jefferson County, Oregon",19.50%,± 0.3%
"Jefferson County, Pennsylvania",21.30%,± 0.1%
"Jefferson County, Tennessee",20.20%,± 0.2%
"Jefferson County, Texas",14.90%,± 0.1%
"Jefferson County, Washington",38.60%,± 0.3%
"Jefferson County, West Virginia",16.70%,± 0.1%
"Jefferson County, Wisconsin",17.60%,± 0.1%
"Jefferson Davis County, Mississippi",23.20%,*****
"Jefferson Davis Parish, Louisiana",16.80%,± 0.4%
"Jefferson Parish, Louisiana",17.80%,± 0.1%
"Jenkins County, Georgia",21.30%,± 3.4%
"Jennings County, Indiana",16.70%,± 0.3%
"Jerauld County, South Dakota",30.90%,± 3.9%
"Jerome County, Idaho",12.70%,± 0.4%
"Jersey County, Illinois",19.90%,± 0.4%
"Jessamine County, Kentucky",15.60%,± 0.2%
"Jewell County, Kansas",30.20%,± 0.5%
"Jim Hogg County, Texas",8.40%,± 2.6%
"Jim Wells County, Texas",15.80%,± 0.4%
"Jo Daviess County, Illinois",28.90%,± 0.2%
"Johnson County, Arkansas",16.70%,± 0.6%
"Johnson County, Georgia",19.60%,± 0.3%
"Johnson County, Illinois",19.60%,± 0.3%
"Johnson County, Indiana",15.30%,± 0.1%
"Johnson County, Iowa",12.60%,± 0.1%
"Johnson County, Kansas",15.20%,± 0.1%
"Johnson County, Kentucky",18.50%,± 0.1%
"Johnson County, Missouri",12.80%,± 0.2%
"Johnson County, Nebraska",18.70%,± 1%
"Johnson County, Tennessee",23.10%,± 0.1%
"Johnson County, Texas",14%,± 0.1%
"Johnson County, Wyoming",26.20%,± 1.5%
"Johnston County, North Carolina",13.60%,± 0.1%
"Johnston County, Oklahoma",18.80%,± 0.4%
"Jones County, Georgia",17.90%,± 0.3%
"Jones County, Iowa",21.10%,± 0.2%
"Jones County, Mississippi",17.40%,± 0.2%
"Jones County, North Carolina",23.20%,± 0.3%
"Jones County, South Dakota",21.60%,± 7.3%
"Jones County, Texas",15.60%,± 0.5%
"Josephine County, Oregon",26.50%,± 0.2%
"Juab County, Utah",12.50%,± 0.8%
"Juana Díaz Municipio, Puerto Rico",19.40%,*****
"Judith Basin County, Montana",25.30%,± 4.2%
"Juncos Municipio, Puerto Rico",17.30%,*****
"Juneau City and Borough, Alaska",14.80%,± 0.4%
"Juneau County, Wisconsin",21%,± 0.2%
"Juniata County, Pennsylvania",20.60%,± 0.2%
"Kalamazoo County, Michigan",15.50%,*****
"Kalawao County, Hawaii",22%,± 18.2%
"Kalkaska County, Michigan",20.50%,± 0.3%
"Kanabec County, Minnesota",21.30%,± 0.1%
"Kanawha County, West Virginia",21.30%,± 0.1%
"Kandiyohi County, Minnesota",19.70%,± 0.2%
"Kane County, Illinois",14.50%,± 0.1%
"Kane County, Utah",23.80%,± 1.1%
"Kankakee County, Illinois",17.20%,± 0.1%
"Karnes County, Texas",14.40%,± 0.8%
"Kauai County, Hawaii",21.20%,± 0.1%
"Kaufman County, Texas",11.20%,± 0.1%
"Kay County, Oklahoma",19%,± 0.1%
"Kearney County, Nebraska",20%,± 0.8%
"Kearny County, Kansas",16%,± 1.5%
"Keith County, Nebraska",27.20%,± 0.5%
"Kemper County, Mississippi",20.60%,± 0.2%
"Kenai Peninsula Borough, Alaska",18.60%,± 0.1%
"Kendall County, Illinois",10.80%,± 0.1%
"Kendall County, Texas",19.60%,± 0.2%
"Kenedy County, Texas",36.20%,± 33.2%
"Kennebec County, Maine",20.60%,± 0.1%
"Kenosha County, Wisconsin",14.80%,± 0.1%
"Kent County, Delaware",17.60%,*****
"Kent County, Maryland",26.80%,± 0.2%
"Kent County, Michigan",14.20%,± 0.1%
"Kent County, Rhode Island",19.50%,± 0.1%
"Kent County, Texas",37.30%,± 10.9%
"Kenton County, Kentucky",15%,± 0.1%
"Keokuk County, Iowa",21.90%,± 0.3%
"Kern County, California",11.30%,± 0.1%
"Kerr County, Texas",27.90%,± 0.2%
"Kershaw County, South Carolina",18.60%,± 0.2%
"Ketchikan Gateway Borough, Alaska",16.70%,± 0.3%
"Kewaunee County, Wisconsin",21.20%,± 0.2%
"Keweenaw County, Michigan",35.90%,± 0.4%
"Keya Paha County, Nebraska",20.50%,± 5.1%
"Kidder County, North Dakota",26.60%,± 2.6%
"Kimball County, Nebraska",25.90%,± 2.2%
"Kimble County, Texas",28%,± 3.1%
"King and Queen County, Virginia",22.30%,± 0.1%
"King County, Texas",13%,± 9.3%
"King County, Washington",13.60%,*****
"King George County, Virginia",13.60%,± 0.2%
"King William County, Virginia",16.40%,± 0.1%
"Kingfisher County, Oklahoma",16.50%,± 0.8%
"Kingman County, Kansas",19.90%,± 0.2%
"Kings County, California",10.50%,± 0.1%
"Kings County, New York",14.50%,± 0.1%
"Kingsbury County, South Dakota",22.60%,± 0.1%
"Kinney County, Texas",24%,± 5.9%
"Kiowa County, Colorado",21.80%,± 4.7%
"Kiowa County, Kansas",22.70%,± 0.6%
"Kiowa County, Oklahoma",20.20%,± 0.6%
"Kit Carson County, Colorado",20%,± 0.3%
"Kitsap County, Washington",18.70%,± 0.1%
"Kittitas County, Washington",16.80%,± 0.2%
"Kittson County, Minnesota",26.30%,± 0.7%
"Klamath County, Oregon",21.40%,± 0.1%
"Kleberg County, Texas",13.10%,± 0.3%
"Klickitat County, Washington",24.40%,± 0.4%
"Knott County, Kentucky",19.60%,± 0.2%
"Knox County, Illinois",21.80%,± 0.2%
"Knox County, Indiana",18.10%,± 0.1%
"Knox County, Kentucky",17.20%,± 0.2%
"Knox County, Maine",26.50%,± 0.2%
"Knox County, Missouri",20.80%,± 0.2%
"Knox County, Nebraska",24.80%,± 0.4%
"Knox County, Ohio",18.50%,± 0.1%
"Knox County, Tennessee",16.10%,± 0.1%
"Knox County, Texas",18.60%,± 1.1%
"Kodiak Island Borough, Alaska",12.30%,± 0.8%
"Koochiching County, Minnesota",27%,± 0.5%
"Kootenai County, Idaho",19.40%,± 0.1%
"Kosciusko County, Indiana",17.40%,± 0.2%
"Kossuth County, Iowa",24.70%,± 0.4%
"Kusilvak Census Area, Alaska",6.10%,± 0.7%
"La Crosse County, Wisconsin",17.10%,± 0.1%
"La Paz County, Arizona",40.50%,± 0.1%
"La Plata County, Colorado",19%,± 0.1%
"La Salle County, Texas",17.30%,± 3.3%
"Labette County, Kansas",19.60%,± 0.4%
"Lac qui Parle County, Minnesota",27.20%,± 0.1%
"Lackawanna County, Pennsylvania",20%,± 0.1%
"Laclede County, Missouri",18%,± 0.3%
"Lafayette County, Arkansas",24.20%,± 0.1%
"Lafayette County, Florida",19.20%,± 2.3%
"Lafayette County, Mississippi",13.10%,± 0.1%
"Lafayette County, Missouri",19%,± 0.4%
"Lafayette County, Wisconsin",19.60%,± 0.2%
"Lafayette Parish, Louisiana",14%,± 0.1%
"Lafourche Parish, Louisiana",15.90%,± 0.1%
"LaGrange County, Indiana",13.90%,± 0.2%
"Lajas Municipio, Puerto Rico",25.90%,*****
"Lake and Peninsula Borough, Alaska",9.20%,± 2.6%
"Lake County, California",23.20%,± 0.2%
"Lake County, Colorado",14.20%,± 4%
"Lake County, Florida",26.70%,± 0.1%
"Lake County, Illinois",15%,± 0.1%
"Lake County, Indiana",17.10%,± 0.1%
"Lake County, Michigan",27.80%,± 0.2%
"Lake County, Minnesota",26.90%,± 0.4%
"Lake County, Montana",23%,± 0.3%
"Lake County, Ohio",20.70%,± 0.1%
"Lake County, Oregon",25.40%,± 0.9%
"Lake County, South Dakota",23.40%,± 0.4%
"Lake County, Tennessee",15.40%,± 0.6%
"Lake of the Woods County, Minnesota",25.10%,± 0.7%
"Lamar County, Alabama",22.10%,± 0.4%
"Lamar County, Georgia",17.50%,± 0.7%
"Lamar County, Mississippi",14.40%,± 0.1%
"Lamar County, Texas",19.30%,± 0.2%
"Lamb County, Texas",17.10%,± 0.5%
"Lamoille County, Vermont",17.80%,± 0.2%
"LaMoure County, North Dakota",26.80%,± 1.3%
"Lampasas County, Texas",20.50%,± 0.6%
"Lancaster County, Nebraska",14.60%,± 0.1%
"Lancaster County, Pennsylvania",18.80%,± 0.1%
"Lancaster County, South Carolina",21.30%,± 0.2%
"Lancaster County, Virginia",39.40%,± 0.9%
"Lander County, Nevada",14%,± 4%
"Lane County, Kansas",22.20%,± 4.2%
"Lane County, Oregon",20.10%,± 0.1%
"Langlade County, Wisconsin",24.50%,± 0.2%
"Lanier County, Georgia",14.50%,± 1%
"Lapeer County, Michigan",18.90%,± 0.2%
"LaPorte County, Indiana",18.50%,± 0.1%
"Laramie County, Wyoming",16.60%,± 0.1%
"Lares Municipio, Puerto Rico",22.20%,*****
"Larimer County, Colorado",16.40%,± 0.1%
"Larue County, Kentucky",17.30%,± 0.3%
"Las Animas County, Colorado",25.10%,± 0.3%
"Las Marías Municipio, Puerto Rico",22.20%,*****
"Las Piedras Municipio, Puerto Rico",20.20%,*****
"LaSalle County, Illinois",19.10%,± 0.1%
"LaSalle Parish, Louisiana",15.80%,± 0.6%
"Lassen County, California",15.20%,± 0.5%
"Latah County, Idaho",14.40%,± 0.2%
"Latimer County, Oklahoma",21%,± 0.4%
"Lauderdale County, Alabama",20.10%,± 0.1%
"Lauderdale County, Mississippi",17.90%,± 0.1%
"Lauderdale County, Tennessee",16%,± 0.1%
"Laurel County, Kentucky",16.80%,± 0.2%
"Laurens County, Georgia",18%,± 0.3%
"Laurens County, South Carolina",18.70%,± 0.1%
"Lavaca County, Texas",23.70%,± 0.5%
"Lawrence County, Alabama",18.60%,± 0.3%
"Lawrence County, Arkansas",18.80%,± 0.2%
"Lawrence County, Illinois",17.80%,± 0.2%
"Lawrence County, Indiana",20%,± 0.2%
"Lawrence County, Kentucky",18.20%,± 0.1%
"Lawrence County, Mississippi",18.80%,± 0.2%
"Lawrence County, Missouri",17.90%,± 0.2%
"Lawrence County, Ohio",18.70%,± 0.2%
"Lawrence County, Pennsylvania",22.50%,± 0.1%
"Lawrence County, South Dakota",23.40%,± 0.3%
"Lawrence County, Tennessee",17.60%,± 0.2%
"Le Flore County, Oklahoma",17.90%,± 0.1%
"Le Sueur County, Minnesota",18.10%,± 0.2%
"Lea County, New Mexico",11%,± 0.1%
"Leake County, Mississippi",17.50%,± 0.3%
"Leavenworth County, Kansas",15.10%,± 0.1%
"Lebanon County, Pennsylvania",19.80%,± 0.1%
"Lee County, Alabama",12.70%,± 0.1%
"Lee County, Arkansas",19.70%,± 0.1%
"Lee County, Florida",28.90%,± 0.1%
"Lee County, Georgia",13%,± 0.2%
"Lee County, Illinois",20.50%,± 0.2%
"Lee County, Iowa",21.20%,± 0.3%
"Lee County, Kentucky",17.50%,± 0.5%
"Lee County, Mississippi",15.20%,± 0.1%
"Lee County, North Carolina",16.80%,± 0.1%
"Lee County, South Carolina",19.60%,± 0.3%
"Lee County, Texas",20.50%,± 1.1%
"Lee County, Virginia",22.20%,± 0.2%
"Leelanau County, Michigan",32.40%,± 0.3%
"Leflore County, Mississippi",14.60%,± 0.2%
"Lehigh County, Pennsylvania",16.90%,± 0.1%
"Lemhi County, Idaho",30.50%,± 0.9%
"Lenawee County, Michigan",19.50%,± 0.1%
"Lenoir County, North Carolina",20.90%,± 0.2%
"Leon County, Florida",14.10%,± 0.1%
"Leon County, Texas",23.60%,± 0.5%
"Leslie County, Kentucky",18.30%,± 0.3%
"Letcher County, Kentucky",20.10%,± 0.2%
"Levy County, Florida",24.70%,± 0.2%
"Lewis and Clark County, Montana",19.50%,± 0.2%
"Lewis County, Idaho",27.90%,± 1%
"Lewis County, Kentucky",18.90%,± 0.2%
"Lewis County, Missouri",18.70%,± 0.3%
"Lewis County, New York",19.60%,± 0.2%
"Lewis County, Tennessee",20.40%,± 0.5%
"Lewis County, Washington",21%,± 0.1%
"Lewis County, West Virginia",20.90%,± 0.3%
"Lexington city, Virginia",14.60%,± 2.8%
"Lexington County, South Carolina",16.50%,± 0.1%
"Liberty County, Florida",13.80%,± 2%
"Liberty County, Georgia",9.50%,± 0.1%
"Liberty County, Montana",22.40%,± 3.6%
"Liberty County, Texas",12.60%,± 0.1%
"Licking County, Ohio",16.90%,± 0.1%
"Limestone County, Alabama",15.40%,± 0.2%
"Limestone County, Texas",20.60%,± 0.4%
"Lincoln County, Arkansas",15%,± 0.1%
"Lincoln County, Colorado",17.30%,± 0.6%
"Lincoln County, Georgia",24.80%,± 0.2%
"Lincoln County, Idaho",14.40%,± 0.8%
"Lincoln County, Kansas",25.10%,± 0.2%
"Lincoln County, Kentucky",18.60%,± 0.4%
"Lincoln County, Maine",28.30%,± 0.2%
"Lincoln County, Minnesota",24.30%,± 0.2%
"Lincoln County, Mississippi",17%,± 0.1%
"Lincoln County, Missouri",14%,± 0.2%
"Lincoln County, Montana",29.50%,± 0.3%
"Lincoln County, Nebraska",20.20%,± 0.3%
"Lincoln County, Nevada",16.60%,± 4.9%
"Lincoln County, New Mexico",29.60%,± 0.3%
"Lincoln County, North Carolina",18.60%,± 0.1%
"Lincoln County, Oklahoma",18.80%,± 0.1%
"Lincoln County, Oregon",30.50%,± 0.3%
"Lincoln County, South Dakota",13.70%,± 0.1%
"Lincoln County, Tennessee",19.30%,± 0.2%
"Lincoln County, Washington",25.20%,± 0.4%
"Lincoln County, West Virginia",20%,± 0.1%
"Lincoln County, Wisconsin",22.70%,± 0.1%
