Geography,Percent—Total population—AGE—Under 5 years—Estimate,MoE
"Greenup County, Kentucky",5%,± 0.1%
"Greenville County, South Carolina",6%,± 0.1%
"Greenwood County, Kansas",5%,± 0.6%
"Greenwood County, South Carolina",5.70%,± 0.4%
"Greer County, Oklahoma",5.90%,± 1.1%
"Gregg County, Texas",6.60%,± 0.1%
"Gregory County, South Dakota",6.50%,± 1%
"Grenada County, Mississippi",6%,*****
"Griggs County, North Dakota",5.20%,± 1.2%
"Grimes County, Texas",5.40%,± 0.4%
"Grundy County, Illinois",5.70%,± 0.1%
"Grundy County, Iowa",5.70%,± 0.3%
"Grundy County, Missouri",7.10%,± 0.3%
"Grundy County, Tennessee",5.90%,± 0.3%
"Guadalupe County, New Mexico",4%,± 1.9%
"Guadalupe County, Texas",5.80%,± 0.1%
"Guánica Municipio, Puerto Rico",3.80%,*****
"Guayama Municipio, Puerto Rico",3.40%,*****
"Guayanilla Municipio, Puerto Rico",3.60%,*****
"Guaynabo Municipio, Puerto Rico",3.20%,*****
"Guernsey County, Ohio",5.80%,± 0.3%
"Guilford County, North Carolina",5.60%,*****
"Gulf County, Florida",3.80%,± 0.1%
"Gunnison County, Colorado",3.40%,± 0.6%
"Gurabo Municipio, Puerto Rico",3.20%,*****
"Guthrie County, Iowa",5%,± 0.1%
"Gwinnett County, Georgia",6.20%,± 0.1%
"Haakon County, South Dakota",5.50%,± 2.1%
"Habersham County, Georgia",5.50%,± 0.1%
"Haines Borough, Alaska",3.70%,± 2.2%
"Hale County, Alabama",6.60%,*****
"Hale County, Texas",6.20%,± 0.1%
"Halifax County, North Carolina",5.40%,± 0.1%
"Halifax County, Virginia",5%,± 0.1%
"Hall County, Georgia",6.20%,± 0.1%
"Hall County, Nebraska",7.40%,± 0.2%
"Hall County, Texas",4.40%,± 1.4%
"Hamblen County, Tennessee",6%,± 0.2%
"Hamilton County, Florida",4.50%,± 0.2%
"Hamilton County, Illinois",5.60%,± 0.4%
"Hamilton County, Indiana",6%,± 0.1%
"Hamilton County, Iowa",5.30%,± 0.2%
"Hamilton County, Kansas",5.90%,± 1.4%
"Hamilton County, Nebraska",6.30%,± 0.3%
"Hamilton County, New York",3%,± 0.4%
"Hamilton County, Ohio",6.30%,± 0.1%
"Hamilton County, Tennessee",5.70%,± 0.1%
"Hamilton County, Texas",5.10%,± 0.1%
"Hamlin County, South Dakota",10.20%,± 0.2%
"Hampden County, Massachusetts",5.30%,± 0.1%
"Hampshire County, Massachusetts",3.30%,± 0.1%
"Hampshire County, West Virginia",4.90%,± 0.5%
"Hampton city, Virginia",6.10%,± 0.1%
"Hampton County, South Carolina",5.30%,± 0.4%
"Hancock County, Georgia",2%,± 1.4%
"Hancock County, Illinois",5%,± 0.1%
"Hancock County, Indiana",5.50%,± 0.1%
"Hancock County, Iowa",5.60%,± 0.2%
"Hancock County, Kentucky",5.90%,± 0.2%
"Hancock County, Maine",4.10%,± 0.2%
"Hancock County, Mississippi",5.10%,± 0.4%
"Hancock County, Ohio",6.10%,± 0.1%
"Hancock County, Tennessee",5.40%,± 0.2%
"Hancock County, West Virginia",4.30%,± 0.4%
"Hand County, South Dakota",5.70%,± 1.1%
"Hanover County, Virginia",4.90%,± 0.1%
"Hansford County, Texas",7.20%,± 0.1%
"Hanson County, South Dakota",7.70%,± 0.8%
"Haralson County, Georgia",6.30%,± 0.7%
"Hardee County, Florida",6.30%,± 0.3%
"Hardeman County, Tennessee",4.80%,± 0.1%
"Hardeman County, Texas",5.10%,± 1.6%
"Hardin County, Illinois",2.50%,± 0.9%
"Hardin County, Iowa",4.40%,± 0.2%
"Hardin County, Kentucky",6.40%,± 0.1%
"Hardin County, Ohio",5.80%,± 0.2%
"Hardin County, Tennessee",4.70%,± 0.5%
"Hardin County, Texas",6.10%,± 0.3%
"Harding County, New Mexico",5.10%,± 5.4%
"Harding County, South Dakota",5.90%,± 2.4%
"Hardy County, West Virginia",5.70%,± 0.8%
"Harford County, Maryland",5.50%,± 0.1%
"Harlan County, Kentucky",5.90%,± 0.1%
"Harlan County, Nebraska",6.10%,± 1%
"Harmon County, Oklahoma",5.20%,± 0.3%
"Harnett County, North Carolina",7.10%,± 0.1%
"Harney County, Oregon",4.70%,± 0.3%
"Harper County, Kansas",6.20%,± 0.6%
"Harper County, Oklahoma",6.10%,± 1.3%
"Harris County, Georgia",4.90%,± 0.2%
"Harris County, Texas",7%,± 0.1%
"Harrison County, Indiana",5.40%,± 0.3%
"Harrison County, Iowa",5.70%,± 0.1%
"Harrison County, Kentucky",6.60%,± 0.7%
"Harrison County, Mississippi",6.20%,± 0.1%
"Harrison County, Missouri",6.10%,± 0.3%
"Harrison County, Ohio",5%,± 0.3%
"Harrison County, Texas",5.80%,± 0.1%
"Harrison County, West Virginia",5.30%,± 0.2%
"Harrisonburg city, Virginia",4.80%,± 0.3%
"Hart County, Georgia",4.80%,± 0.8%
"Hart County, Kentucky",6.60%,± 0.3%
"Hartley County, Texas",5.40%,± 1.2%
"Harvey County, Kansas",5.80%,± 0.1%
"Haskell County, Kansas",7.20%,± 1.2%
"Haskell County, Oklahoma",5.80%,± 0.2%
"Haskell County, Texas",3.90%,± 0.2%
"Hatillo Municipio, Puerto Rico",2.90%,*****
"Hawaii County, Hawaii",5.50%,± 0.1%
"Hawkins County, Tennessee",4.80%,± 0.2%
"Hayes County, Nebraska",6.30%,± 1.6%
"Hays County, Texas",5.90%,± 0.1%
"Haywood County, North Carolina",4.40%,± 0.2%
"Haywood County, Tennessee",5.30%,± 0.3%
"Heard County, Georgia",5.50%,± 0.5%
"Hemphill County, Texas",4.90%,± 1.2%
"Hempstead County, Arkansas",5.60%,± 0.5%
"Henderson County, Illinois",4.70%,± 0.2%
"Henderson County, Kentucky",5.60%,± 0.2%
"Henderson County, North Carolina",4.60%,± 0.1%
"Henderson County, Tennessee",5.80%,± 0.4%
"Henderson County, Texas",5.50%,± 0.1%
"Hendricks County, Indiana",5.50%,± 0.1%
"Hendry County, Florida",6.80%,± 0.7%
"Hennepin County, Minnesota",6.10%,± 0.1%
"Henrico County, Virginia",5.90%,*****
"Henry County, Alabama",4.80%,± 0.1%
"Henry County, Georgia",5.60%,± 0.1%
"Henry County, Illinois",5.20%,± 0.1%
"Henry County, Indiana",5%,± 0.2%
"Henry County, Iowa",5.10%,± 0.2%
"Henry County, Kentucky",5.70%,± 0.3%
"Henry County, Missouri",5.80%,± 0.3%
"Henry County, Ohio",5.80%,± 0.2%
"Henry County, Tennessee",5%,± 0.2%
"Henry County, Virginia",4.40%,± 0.1%
"Herkimer County, New York",4.90%,± 0.1%
"Hernando County, Florida",4.40%,± 0.1%
"Hertford County, North Carolina",4.30%,± 0.1%
"Hettinger County, North Dakota",6.30%,± 1.8%
"Hickman County, Kentucky",4.40%,± 0.6%
"Hickman County, Tennessee",5%,± 0.3%
"Hickory County, Missouri",3.90%,± 0.4%
"Hidalgo County, New Mexico",6.30%,± 0.9%
"Hidalgo County, Texas",8.20%,± 0.1%
"Highland County, Ohio",6.20%,± 0.1%
"Highland County, Virginia",2.70%,± 1.7%
"Highlands County, Florida",4.20%,± 0.1%
"Hill County, Montana",8.50%,± 0.5%
"Hill County, Texas",5.70%,± 0.1%
"Hillsborough County, Florida",5.80%,± 0.1%
"Hillsborough County, New Hampshire",5.10%,± 0.1%
"Hillsdale County, Michigan",5.50%,± 0.1%
"Hinds County, Mississippi",6.20%,± 0.1%
"Hinsdale County, Colorado",2.50%,± 2.2%
"Hitchcock County, Nebraska",6.80%,± 0.6%
"Hocking County, Ohio",5.40%,± 0.1%
"Hockley County, Texas",7%,± 0.2%
"Hodgeman County, Kansas",4.90%,± 1.9%
"Hoke County, North Carolina",8.10%,± 0.2%
"Holmes County, Florida",5%,± 0.1%
"Holmes County, Mississippi",6.50%,± 0.5%
"Holmes County, Ohio",8.10%,± 0.1%
"Holt County, Missouri",4.90%,± 0.2%
"Holt County, Nebraska",6.50%,± 0.4%
"Honolulu County, Hawaii",6%,*****
"Hood County, Texas",5.10%,± 0.2%
"Hood River County, Oregon",5.70%,± 0.2%
"Hooker County, Nebraska",7.30%,± 2.2%
"Hoonah-Angoon Census Area, Alaska",3.20%,± 1.2%
"Hopewell city, Virginia",7.20%,± 0.4%
"Hopkins County, Kentucky",5.90%,± 0.1%
"Hopkins County, Texas",6.10%,± 0.1%
"Hormigueros Municipio, Puerto Rico",2.60%,*****
"Horry County, South Carolina",4.30%,± 0.1%
"Hot Spring County, Arkansas",4.60%,± 0.4%
"Hot Springs County, Wyoming",5.80%,± 0.9%
"Houghton County, Michigan",4.80%,± 0.1%
"Houston County, Alabama",6.10%,*****
"Houston County, Georgia",6.20%,± 0.2%
"Houston County, Minnesota",5.30%,± 0.2%
"Houston County, Tennessee",4.60%,± 0.4%
"Houston County, Texas",4.90%,*****
"Howard County, Arkansas",6.70%,*****
"Howard County, Indiana",5.80%,± 0.1%
"Howard County, Iowa",7%,± 0.4%
"Howard County, Maryland",5.60%,± 0.1%
"Howard County, Missouri",5.70%,± 0.5%
"Howard County, Nebraska",6.40%,± 0.4%
"Howard County, Texas",5.90%,± 0.3%
"Howell County, Missouri",6.10%,± 0.2%
"Hubbard County, Minnesota",5.10%,± 0.3%
"Hudson County, New Jersey",6.60%,± 0.1%
"Hudspeth County, Texas",3.80%,± 1.6%
"Huerfano County, Colorado",4.70%,± 1.5%
"Hughes County, Oklahoma",5.30%,± 0.3%
"Hughes County, South Dakota",6%,± 0.8%
"Humacao Municipio, Puerto Rico",3.40%,*****
"Humboldt County, California",4.80%,± 0.1%
"Humboldt County, Iowa",5.80%,± 0.1%
"Humboldt County, Nevada",6.80%,± 0.1%
"Humphreys County, Mississippi",5.30%,± 0.4%
"Humphreys County, Tennessee",5%,± 0.1%
"Hunt County, Texas",6.20%,± 0.1%
"Hunterdon County, New Jersey",4.20%,± 0.1%
"Huntingdon County, Pennsylvania",4.40%,± 0.1%
"Huntington County, Indiana",5.60%,± 0.1%
"Huron County, Michigan",4.70%,± 0.1%
"Huron County, Ohio",5.90%,± 0.1%
"Hutchinson County, South Dakota",8.40%,± 0.5%
"Hutchinson County, Texas",5.90%,± 0.2%
"Hyde County, North Carolina",3.70%,± 3%
"Hyde County, South Dakota",6.50%,± 2.5%
"Iberia Parish, Louisiana",6.80%,± 0.1%
"Iberville Parish, Louisiana",5.30%,± 0.1%
"Ida County, Iowa",5.50%,± 0.2%
"Idaho County, Idaho",5%,± 0.4%
"Imperial County, California",7.50%,± 0.1%
"Independence County, Arkansas",6.30%,± 0.3%
"Indian River County, Florida",3.90%,± 0.1%
"Indiana County, Pennsylvania",4.50%,± 0.1%
"Ingham County, Michigan",5.40%,± 0.1%
"Inyo County, California",4.90%,± 0.2%
"Ionia County, Michigan",5.30%,± 0.1%
"Iosco County, Michigan",4.60%,± 0.2%
"Iowa County, Iowa",5.60%,± 0.4%
"Iowa County, Wisconsin",5.40%,± 0.2%
"Iredell County, North Carolina",5.30%,*****
"Irion County, Texas",2.90%,± 1.5%
"Iron County, Michigan",4%,± 0.3%
"Iron County, Missouri",5.30%,± 0.6%
"Iron County, Utah",6.90%,± 0.1%
"Iron County, Wisconsin",3.30%,± 0.2%
"Iroquois County, Illinois",5.40%,± 0.1%
"Irwin County, Georgia",4.60%,± 0.8%
"Isabela Municipio, Puerto Rico",3.20%,*****
"Isabella County, Michigan",4.50%,*****
"Isanti County, Minnesota",5.70%,± 0.2%
"Island County, Washington",5.20%,± 0.1%
"Isle of Wight County, Virginia",4.90%,± 0.2%
"Issaquena County, Mississippi",1.80%,± 1.4%
"Itasca County, Minnesota",4.90%,± 0.1%
"Itawamba County, Mississippi",5.20%,± 0.3%
"Izard County, Arkansas",4%,± 0.3%
"Jack County, Texas",5.10%,± 0.7%
"Jackson County, Alabama",5%,± 0.2%
"Jackson County, Arkansas",5.10%,± 0.1%
"Jackson County, Colorado",3.30%,± 2.7%
"Jackson County, Florida",5.10%,± 0.1%
"Jackson County, Georgia",6.20%,± 0.1%
"Jackson County, Illinois",5.30%,± 0.1%
"Jackson County, Indiana",6.50%,± 0.1%
"Jackson County, Iowa",5.60%,± 0.4%
"Jackson County, Kansas",6.30%,± 0.1%
"Jackson County, Kentucky",6.10%,± 0.1%
"Jackson County, Michigan",5.40%,± 0.1%
"Jackson County, Minnesota",6%,± 0.5%
"Jackson County, Mississippi",5.60%,± 0.1%
"Jackson County, Missouri",6.30%,± 0.1%
"Jackson County, North Carolina",3.80%,± 0.4%
"Jackson County, Ohio",6.40%,± 0.3%
"Jackson County, Oklahoma",7.10%,± 0.1%
"Jackson County, Oregon",5.10%,± 0.1%
"Jackson County, South Dakota",9.80%,± 2%
"Jackson County, Tennessee",4.50%,± 0.2%
"Jackson County, Texas",6.60%,± 0.3%
"Jackson County, West Virginia",5.30%,± 0.3%
"Jackson County, Wisconsin",5.70%,± 0.1%
"Jackson Parish, Louisiana",5.30%,± 0.2%
"James City County, Virginia",4.90%,± 0.2%
"Jasper County, Georgia",5.30%,± 0.6%
"Jasper County, Illinois",6%,± 0.1%
"Jasper County, Indiana",5.50%,± 0.1%
"Jasper County, Iowa",5.40%,± 0.1%
"Jasper County, Mississippi",5.80%,*****
"Jasper County, Missouri",6.50%,± 0.1%
"Jasper County, South Carolina",5.50%,± 0.1%
"Jasper County, Texas",5.90%,± 0.5%
"Jay County, Indiana",7.20%,± 0.2%
"Jayuya Municipio, Puerto Rico",4.20%,*****
"Jeff Davis County, Georgia",5.60%,± 1.1%
"Jeff Davis County, Texas",6.70%,± 5.7%
"Jefferson County, Alabama",6.20%,± 0.1%
"Jefferson County, Arkansas",5.90%,± 0.1%
"Jefferson County, Colorado",4.80%,± 0.1%
"Jefferson County, Florida",4.10%,± 0.2%
"Jefferson County, Georgia",5.90%,± 0.2%
"Jefferson County, Idaho",7.80%,± 0.2%
"Jefferson County, Illinois",5.80%,± 0.2%
"Jefferson County, Indiana",5.30%,± 0.2%
"Jefferson County, Iowa",4.60%,± 0.6%
"Jefferson County, Kansas",5.20%,± 0.2%
"Jefferson County, Kentucky",6.10%,± 0.1%
"Jefferson County, Mississippi",5.50%,± 0.1%
"Jefferson County, Missouri",5.70%,*****
"Jefferson County, Montana",4.40%,± 0.3%
"Jefferson County, Nebraska",5.60%,± 0.7%
"Jefferson County, New York",7.50%,± 0.1%
"Jefferson County, Ohio",5%,± 0.1%
"Jefferson County, Oklahoma",5.80%,± 0.2%
"Jefferson County, Oregon",6.20%,± 0.1%
"Jefferson County, Pennsylvania",5.50%,± 0.1%
"Jefferson County, Tennessee",4.60%,± 0.1%
"Jefferson County, Texas",6.70%,± 0.1%
"Jefferson County, Washington",2.60%,± 0.2%
"Jefferson County, West Virginia",5.10%,± 0.1%
"Jefferson County, Wisconsin",4.80%,± 0.1%
"Jefferson Davis County, Mississippi",5.30%,*****
"Jefferson Davis Parish, Louisiana",6.50%,± 0.2%
"Jefferson Parish, Louisiana",6.30%,± 0.1%
"Jenkins County, Georgia",3.10%,± 1.8%
"Jennings County, Indiana",5.90%,± 0.3%
"Jerauld County, South Dakota",4.60%,± 1.6%
"Jerome County, Idaho",7.60%,± 0.2%
"Jersey County, Illinois",4.70%,± 0.1%
"Jessamine County, Kentucky",5.90%,± 0.1%
"Jewell County, Kansas",5.40%,± 0.4%
"Jim Hogg County, Texas",15.50%,± 3.8%
"Jim Wells County, Texas",6.80%,± 0.1%
"Jo Daviess County, Illinois",4.20%,± 0.1%
"Johnson County, Arkansas",6.60%,± 0.4%
"Johnson County, Georgia",4.90%,± 0.1%
"Johnson County, Illinois",4.20%,± 0.4%
"Johnson County, Indiana",5.90%,± 0.2%
"Johnson County, Iowa",5.40%,± 0.1%
"Johnson County, Kansas",6%,± 0.1%
"Johnson County, Kentucky",5.30%,± 0.2%
"Johnson County, Missouri",6.20%,± 0.1%
"Johnson County, Nebraska",4.50%,± 0.8%
"Johnson County, Tennessee",4%,± 0.1%
"Johnson County, Texas",6.30%,± 0.1%
"Johnson County, Wyoming",4.40%,± 0.4%
"Johnston County, North Carolina",6%,± 0.1%
"Johnston County, Oklahoma",5.90%,± 0.2%
"Jones County, Georgia",5.10%,± 0.3%
"Jones County, Iowa",5.30%,± 0.4%
"Jones County, Mississippi",6.50%,± 0.1%
"Jones County, North Carolina",4.50%,± 0.3%
"Jones County, South Dakota",11.90%,± 4.9%
"Jones County, Texas",3.90%,± 0.2%
"Josephine County, Oregon",4.70%,± 0.1%
"Juab County, Utah",7.60%,± 0.2%
"Juana Díaz Municipio, Puerto Rico",3.80%,*****
"Judith Basin County, Montana",3.50%,± 1.5%
"Juncos Municipio, Puerto Rico",3.80%,*****
"Juneau City and Borough, Alaska",5.20%,± 0.2%
"Juneau County, Wisconsin",4.80%,± 0.2%
"Juniata County, Pennsylvania",5.80%,± 0.1%
"Kalamazoo County, Michigan",5.70%,*****
"Kalawao County, Hawaii",0%,± 41.9%
"Kalkaska County, Michigan",5%,± 0.3%
"Kanabec County, Minnesota",5.20%,± 0.1%
"Kanawha County, West Virginia",5%,± 0.1%
"Kandiyohi County, Minnesota",6.60%,± 0.1%
"Kane County, Illinois",5.90%,± 0.1%
"Kane County, Utah",5.40%,± 0.4%
"Kankakee County, Illinois",5.80%,± 0.1%
"Karnes County, Texas",5.20%,± 0.1%
"Kauai County, Hawaii",5.60%,± 0.1%
"Kaufman County, Texas",7.10%,± 0.1%
"Kay County, Oklahoma",6.40%,± 0.1%
"Kearney County, Nebraska",6.40%,± 0.5%
"Kearny County, Kansas",7.20%,± 0.1%
"Keith County, Nebraska",4.80%,± 0.4%
"Kemper County, Mississippi",5.60%,± 1.1%
"Kenai Peninsula Borough, Alaska",5.70%,± 0.1%
"Kendall County, Illinois",6.20%,± 0.1%
"Kendall County, Texas",4.50%,± 0.1%
"Kenedy County, Texas",24.10%,± 25.1%
"Kennebec County, Maine",4.70%,± 0.1%
"Kenosha County, Wisconsin",5.40%,± 0.1%
"Kent County, Delaware",6%,± 0.1%
"Kent County, Maryland",3.70%,± 0.5%
"Kent County, Michigan",6.30%,± 0.1%
"Kent County, Rhode Island",4.70%,± 0.1%
"Kent County, Texas",3.10%,± 3.2%
"Kenton County, Kentucky",6.40%,± 0.1%
"Keokuk County, Iowa",5.60%,± 0.2%
"Kern County, California",7.30%,± 0.1%
"Kerr County, Texas",4.90%,± 0.1%
"Kershaw County, South Carolina",5.40%,± 0.3%
"Ketchikan Gateway Borough, Alaska",5.40%,± 0.3%
"Kewaunee County, Wisconsin",5.10%,± 0.2%
"Keweenaw County, Michigan",2.10%,± 1.1%
"Keya Paha County, Nebraska",2.50%,± 1.6%
"Kidder County, North Dakota",7.90%,± 2.1%
"Kimball County, Nebraska",3.60%,± 1.1%
"Kimble County, Texas",5.50%,± 1.7%
"King and Queen County, Virginia",4.50%,± 0.1%
"King County, Texas",6.50%,± 5.3%
"King County, Washington",5.40%,*****
"King George County, Virginia",5.80%,± 0.1%
"King William County, Virginia",6%,± 0.5%
"Kingfisher County, Oklahoma",6.40%,± 0.3%
"Kingman County, Kansas",5.90%,± 0.8%
"Kings County, California",7.30%,± 0.1%
"Kings County, New York",6.80%,± 0.1%
"Kingsbury County, South Dakota",6.60%,± 0.3%
"Kinney County, Texas",4.30%,± 1.9%
"Kiowa County, Colorado",9.10%,± 2.6%
"Kiowa County, Kansas",5.70%,± 0.3%
"Kiowa County, Oklahoma",6.70%,± 0.4%
"Kit Carson County, Colorado",6.60%,± 0.3%
"Kitsap County, Washington",5.40%,*****
"Kittitas County, Washington",4.30%,± 0.1%
"Kittson County, Minnesota",5.20%,± 0.2%
"Klamath County, Oregon",5.70%,± 0.1%
"Kleberg County, Texas",7%,± 0.6%
"Klickitat County, Washington",4.60%,± 0.2%
"Knott County, Kentucky",5%,± 0.2%
"Knox County, Illinois",5.60%,± 0.1%
"Knox County, Indiana",5.20%,± 0.3%
"Knox County, Kentucky",6.40%,± 0.3%
"Knox County, Maine",3.80%,± 0.1%
"Knox County, Missouri",7.30%,± 1.2%
"Knox County, Nebraska",6.30%,± 0.2%
"Knox County, Ohio",6%,± 0.1%
"Knox County, Tennessee",5.50%,± 0.1%
"Knox County, Texas",4.70%,± 0.6%
"Kodiak Island Borough, Alaska",6.30%,± 0.6%
"Koochiching County, Minnesota",3.90%,± 0.1%
"Kootenai County, Idaho",5.60%,± 0.1%
"Kosciusko County, Indiana",6.10%,± 0.1%
"Kossuth County, Iowa",5.40%,± 0.3%
"Kusilvak Census Area, Alaska",13%,± 0.3%
"La Crosse County, Wisconsin",4.80%,± 0.1%
"La Paz County, Arizona",4.40%,± 0.1%
"La Plata County, Colorado",4.40%,± 0.1%
"La Salle County, Texas",3%,± 1.9%
"Labette County, Kansas",6.40%,*****
"Lac qui Parle County, Minnesota",5%,± 0.2%
"Lackawanna County, Pennsylvania",5.10%,± 0.1%
"Laclede County, Missouri",6.70%,± 0.4%
"Lafayette County, Arkansas",3.70%,± 0.8%
"Lafayette County, Florida",4%,± 1.4%
"Lafayette County, Mississippi",4.90%,± 0.2%
"Lafayette County, Missouri",5.60%,± 0.2%
"Lafayette County, Wisconsin",6.40%,± 0.1%
"Lafayette Parish, Louisiana",6.50%,± 0.1%
"Lafourche Parish, Louisiana",5.90%,± 0.1%
"LaGrange County, Indiana",8.90%,± 0.2%
"Lajas Municipio, Puerto Rico",3.20%,*****
"Lake and Peninsula Borough, Alaska",8.20%,± 2%
"Lake County, California",5.60%,± 0.1%
"Lake County, Colorado",4.20%,± 2%
"Lake County, Florida",4.70%,± 0.1%
"Lake County, Illinois",5.40%,± 0.1%
"Lake County, Indiana",5.80%,± 0.1%
"Lake County, Michigan",3.80%,± 0.3%
"Lake County, Minnesota",4.70%,± 0.2%
"Lake County, Montana",5.30%,± 0.1%
"Lake County, Ohio",4.70%,± 0.1%
"Lake County, Oregon",5%,± 1.2%
"Lake County, South Dakota",5.10%,± 0.2%
"Lake County, Tennessee",3.60%,± 0.6%
"Lake of the Woods County, Minnesota",5.50%,± 0.7%
"Lamar County, Alabama",6.80%,± 0.8%
"Lamar County, Georgia",4.70%,± 0.8%
"Lamar County, Mississippi",6.10%,± 0.2%
"Lamar County, Texas",6.40%,± 0.2%
"Lamb County, Texas",6.90%,± 0.3%
"Lamoille County, Vermont",4.70%,± 0.2%
"LaMoure County, North Dakota",6.40%,± 0.6%
"Lampasas County, Texas",4.90%,± 0.3%
"Lancaster County, Nebraska",5.90%,± 0.1%
"Lancaster County, Pennsylvania",6.30%,± 0.1%
"Lancaster County, South Carolina",5.60%,± 0.1%
"Lancaster County, Virginia",3.20%,± 0.3%
"Lander County, Nevada",3.50%,± 1.5%
"Lane County, Kansas",4.10%,± 1.6%
"Lane County, Oregon",4.40%,± 0.1%
"Langlade County, Wisconsin",5.40%,± 0.3%
"Lanier County, Georgia",6.40%,± 1%
"Lapeer County, Michigan",4.70%,± 0.1%
"LaPorte County, Indiana",5.60%,± 0.1%
"Laramie County, Wyoming",5.90%,± 0.1%
"Lares Municipio, Puerto Rico",3.50%,*****
"Larimer County, Colorado",4.60%,± 0.1%
"Larue County, Kentucky",5.20%,± 0.3%
"Las Animas County, Colorado",4.60%,± 0.2%
"Las Marías Municipio, Puerto Rico",3.60%,*****
"Las Piedras Municipio, Puerto Rico",3.40%,*****
"LaSalle County, Illinois",5.30%,± 0.1%
"LaSalle Parish, Louisiana",5.50%,± 0.5%
"Lassen County, California",4.70%,± 0.2%
"Latah County, Idaho",4.90%,± 0.2%
"Latimer County, Oklahoma",6%,± 0.2%
"Lauderdale County, Alabama",5%,± 0.1%
"Lauderdale County, Mississippi",6%,± 0.2%
"Lauderdale County, Tennessee",5.70%,± 0.3%
"Laurel County, Kentucky",6%,± 0.1%
"Laurens County, Georgia",6%,± 0.1%
"Laurens County, South Carolina",5.60%,± 0.1%
"Lavaca County, Texas",5.80%,± 0.4%
"Lawrence County, Alabama",5.30%,± 0.3%
"Lawrence County, Arkansas",5.90%,± 0.2%
"Lawrence County, Illinois",4.80%,± 0.3%
"Lawrence County, Indiana",5.40%,± 0.1%
"Lawrence County, Kentucky",6.90%,± 0.3%
"Lawrence County, Mississippi",6.20%,± 0.4%
"Lawrence County, Missouri",6.60%,± 0.1%
"Lawrence County, Ohio",5.30%,± 0.2%
"Lawrence County, Pennsylvania",5.10%,± 0.1%
"Lawrence County, South Dakota",3.80%,± 0.2%
"Lawrence County, Tennessee",6.30%,± 0.2%
"Le Flore County, Oklahoma",6.10%,± 0.1%
"Le Sueur County, Minnesota",5.90%,± 0.2%
"Lea County, New Mexico",8%,± 0.3%
"Leake County, Mississippi",6.20%,± 0.4%
"Leavenworth County, Kansas",6.20%,± 0.1%
"Lebanon County, Pennsylvania",5.70%,± 0.1%
"Lee County, Alabama",5.50%,± 0.1%
"Lee County, Arkansas",5.60%,± 0.7%
"Lee County, Florida",4.40%,± 0.1%
"Lee County, Georgia",6.20%,± 0.4%
"Lee County, Illinois",5%,± 0.1%
"Lee County, Iowa",5.90%,± 0.3%
"Lee County, Kentucky",5.10%,± 0.2%
"Lee County, Mississippi",6.50%,± 0.2%
"Lee County, North Carolina",6.20%,± 0.1%
"Lee County, South Carolina",4.90%,± 0.3%
"Lee County, Texas",6.30%,± 0.7%
"Lee County, Virginia",4.60%,± 0.3%
"Leelanau County, Michigan",3.50%,± 0.2%
"Leflore County, Mississippi",7.90%,± 0.4%
"Lehigh County, Pennsylvania",5.90%,± 0.1%
"Lemhi County, Idaho",4.30%,± 0.1%
"Lenawee County, Michigan",5.10%,± 0.1%
"Lenoir County, North Carolina",5.60%,± 0.1%
"Leon County, Florida",5%,± 0.1%
"Leon County, Texas",5.20%,± 0.1%
"Leslie County, Kentucky",5.20%,± 0.3%
"Letcher County, Kentucky",5.40%,± 0.2%
"Levy County, Florida",5%,± 0.1%
"Lewis and Clark County, Montana",5.50%,± 0.1%
"Lewis County, Idaho",5.20%,± 0.7%
"Lewis County, Kentucky",5.70%,± 0.1%
"Lewis County, Missouri",5.30%,± 0.2%
"Lewis County, New York",6%,± 0.1%
"Lewis County, Tennessee",5.30%,± 0.3%
"Lewis County, Washington",5.70%,± 0.2%
"Lewis County, West Virginia",5.30%,± 0.3%
"Lexington city, Virginia",2.80%,± 1.5%
"Lexington County, South Carolina",5.60%,± 0.1%
"Liberty County, Florida",2.90%,± 0.8%
"Liberty County, Georgia",9.90%,± 0.1%
"Liberty County, Montana",7.60%,± 2.5%
"Liberty County, Texas",7.30%,± 0.2%
"Licking County, Ohio",5.80%,*****
"Limestone County, Alabama",5.50%,± 0.1%
"Limestone County, Texas",5.80%,± 0.1%
"Lincoln County, Arkansas",4.20%,± 0.3%
"Lincoln County, Colorado",4.50%,± 0.4%
"Lincoln County, Georgia",4.10%,± 0.8%
"Lincoln County, Idaho",6%,± 0.1%
"Lincoln County, Kansas",4.90%,± 0.4%
"Lincoln County, Kentucky",6.80%,± 0.4%
"Lincoln County, Maine",4.20%,± 0.2%
"Lincoln County, Minnesota",6%,± 0.3%
"Lincoln County, Mississippi",5.80%,± 0.2%
"Lincoln County, Missouri",6.70%,± 0.2%
"Lincoln County, Montana",4.30%,± 0.3%
"Lincoln County, Nebraska",5.70%,± 0.2%
"Lincoln County, Nevada",4.20%,± 1.7%
"Lincoln County, New Mexico",4.10%,± 0.1%
"Lincoln County, North Carolina",5%,± 0.1%
"Lincoln County, Oklahoma",5.60%,± 0.1%
"Lincoln County, Oregon",3.80%,± 0.1%
"Lincoln County, South Dakota",6.60%,± 0.3%
"Lincoln County, Tennessee",5.80%,± 0.5%
"Lincoln County, Washington",5.30%,± 0.4%
"Lincoln County, West Virginia",5.40%,± 0.3%
"Lincoln County, Wisconsin",4.60%,± 0.3%
"Lincoln County, Wyoming",6.20%,± 0.2%
