Geography,Percent occupied housing units—Occupied housing units—VEHICLES AVAILABLE—No vehicle available—Estimate,MoE
"Greene County, Virginia",2.10%,± 1.1%
"Greenlee County, Arizona",2.70%,± 2.1%
"Greensville County, Virginia",8.60%,± 3.2%
"Greenup County, Kentucky",4.60%,± 1.1%
"Greenville County, South Carolina",5.10%,± 0.5%
"Greenwood County, Kansas",6.90%,± 2.1%
"Greenwood County, South Carolina",8.30%,± 1.6%
"Greer County, Oklahoma",8.10%,± 3.7%
"Gregg County, Texas",5.20%,± 0.8%
"Gregory County, South Dakota",4.40%,± 1.6%
"Grenada County, Mississippi",6.90%,± 2.4%
"Griggs County, North Dakota",3.90%,± 2.3%
"Grimes County, Texas",3.20%,± 1.2%
"Grundy County, Illinois",4.30%,± 1%
"Grundy County, Iowa",2.70%,± 1.1%
"Grundy County, Missouri",11.10%,± 3.1%
"Grundy County, Tennessee",5.90%,± 2%
"Guadalupe County, New Mexico",3.90%,± 2%
"Guadalupe County, Texas",2.70%,± 0.5%
"Guánica Municipio, Puerto Rico",10%,± 2.9%
"Guayama Municipio, Puerto Rico",14.40%,± 2.6%
"Guayanilla Municipio, Puerto Rico",13.70%,± 2.7%
"Guaynabo Municipio, Puerto Rico",10.30%,± 1.3%
"Guernsey County, Ohio",6.90%,± 1.2%
"Guilford County, North Carolina",6.30%,± 0.6%
"Gulf County, Florida",4%,± 2.2%
"Gunnison County, Colorado",2.10%,± 1.1%
"Gurabo Municipio, Puerto Rico",10.20%,± 2.1%
"Guthrie County, Iowa",3.30%,± 1%
"Gwinnett County, Georgia",3.30%,± 0.3%
"Haakon County, South Dakota",8.90%,± 4.8%
"Habersham County, Georgia",3.90%,± 1.3%
"Haines Borough, Alaska",9%,± 6.4%
"Hale County, Alabama",11.50%,± 3.2%
"Hale County, Texas",3.70%,± 1.5%
"Halifax County, North Carolina",9.20%,± 1.3%
"Halifax County, Virginia",6.40%,± 1.9%
"Hall County, Georgia",6.20%,± 0.9%
"Hall County, Nebraska",5.30%,± 0.9%
"Hall County, Texas",3.30%,± 2.4%
"Hamblen County, Tennessee",4.90%,± 1.4%
"Hamilton County, Florida",6%,± 2.2%
"Hamilton County, Illinois",4.50%,± 1.9%
"Hamilton County, Indiana",2.20%,± 0.3%
"Hamilton County, Iowa",5.50%,± 1.9%
"Hamilton County, Kansas",1.80%,± 2.1%
"Hamilton County, Nebraska",1.90%,± 1.3%
"Hamilton County, New York",2.40%,± 1.1%
"Hamilton County, Ohio",10.40%,± 0.5%
"Hamilton County, Tennessee",5.90%,± 0.4%
"Hamilton County, Texas",3.40%,± 2%
"Hamlin County, South Dakota",1.70%,± 0.7%
"Hampden County, Massachusetts",12.20%,± 0.6%
"Hampshire County, Massachusetts",7.40%,± 1.1%
"Hampshire County, West Virginia",5.20%,± 2%
"Hampton city, Virginia",7.60%,± 1.1%
"Hampton County, South Carolina",10.30%,± 2.3%
"Hancock County, Georgia",12.10%,± 4.4%
"Hancock County, Illinois",4.20%,± 1%
"Hancock County, Indiana",3%,± 0.9%
"Hancock County, Iowa",4.10%,± 1.4%
"Hancock County, Kentucky",3.80%,± 1.7%
"Hancock County, Maine",5.60%,± 1%
"Hancock County, Mississippi",3.80%,± 1.2%
"Hancock County, Ohio",4.90%,± 1%
"Hancock County, Tennessee",13.50%,± 4%
"Hancock County, West Virginia",6.70%,± 1.4%
"Hand County, South Dakota",4.30%,± 1.9%
"Hanover County, Virginia",2.70%,± 0.7%
"Hansford County, Texas",4.70%,± 3.2%
"Hanson County, South Dakota",1.40%,± 1%
"Haralson County, Georgia",3.40%,± 1.2%
"Hardee County, Florida",4.90%,± 1.9%
"Hardeman County, Tennessee",7%,± 2%
"Hardeman County, Texas",4.10%,± 2.6%
"Hardin County, Illinois",8.30%,± 6%
"Hardin County, Iowa",5.20%,± 1.3%
"Hardin County, Kentucky",6.30%,± 1%
"Hardin County, Ohio",8.20%,± 2%
"Hardin County, Tennessee",4.50%,± 1.6%
"Hardin County, Texas",4.80%,± 1.3%
"Harding County, New Mexico",9.10%,± 6.1%
"Harding County, South Dakota",1.50%,± 1.9%
"Hardy County, West Virginia",8.30%,± 3%
"Harford County, Maryland",4%,± 0.5%
"Harlan County, Kentucky",8.90%,± 1.7%
"Harlan County, Nebraska",1.90%,± 1.2%
"Harmon County, Oklahoma",5.20%,± 3.2%
"Harnett County, North Carolina",4.30%,± 0.7%
"Harney County, Oregon",6.40%,± 2.2%
"Harper County, Kansas",2.20%,± 1%
"Harper County, Oklahoma",1.70%,± 1.6%
"Harris County, Georgia",1.80%,± 1%
"Harris County, Texas",6.70%,± 0.2%
"Harrison County, Indiana",4.80%,± 1.6%
"Harrison County, Iowa",4.30%,± 1.2%
"Harrison County, Kentucky",9%,± 2.8%
"Harrison County, Mississippi",5.90%,± 0.8%
"Harrison County, Missouri",6.40%,± 2.4%
"Harrison County, Ohio",7.30%,± 1.9%
"Harrison County, Texas",6.40%,± 1.2%
"Harrison County, West Virginia",8.80%,± 1.3%
"Harrisonburg city, Virginia",7.20%,± 1.5%
"Hart County, Georgia",6.60%,± 2.2%
"Hart County, Kentucky",8%,± 1.4%
"Hartley County, Texas",2.40%,± 2.3%
"Harvey County, Kansas",4.30%,± 1.4%
"Haskell County, Kansas",3.50%,± 2.5%
"Haskell County, Oklahoma",5.40%,± 1.2%
"Haskell County, Texas",5.20%,± 3%
"Hatillo Municipio, Puerto Rico",7.50%,± 2%
"Hawaii County, Hawaii",5%,± 0.7%
"Hawkins County, Tennessee",5%,± 1.4%
"Hayes County, Nebraska",3.20%,± 2.2%
"Hays County, Texas",2.80%,± 0.6%
"Haywood County, North Carolina",4.30%,± 1%
"Haywood County, Tennessee",9.70%,± 2.6%
"Heard County, Georgia",4.90%,± 2.2%
"Hemphill County, Texas",3.60%,± 2.9%
"Hempstead County, Arkansas",7.80%,± 2.7%
"Henderson County, Illinois",2.90%,± 1.1%
"Henderson County, Kentucky",6.70%,± 1.4%
"Henderson County, North Carolina",3.70%,± 0.7%
"Henderson County, Tennessee",4.60%,± 1.9%
"Henderson County, Texas",5.40%,± 1%
"Hendricks County, Indiana",2.70%,± 0.6%
"Hendry County, Florida",7.30%,± 2.7%
"Hennepin County, Minnesota",8.90%,± 0.3%
"Henrico County, Virginia",5.50%,± 0.6%
"Henry County, Alabama",7.60%,± 1.9%
"Henry County, Georgia",2.10%,± 0.5%
"Henry County, Illinois",6.20%,± 1.3%
"Henry County, Indiana",4.40%,± 1%
"Henry County, Iowa",4.40%,± 1.4%
"Henry County, Kentucky",5.40%,± 1.8%
"Henry County, Missouri",5.10%,± 1.4%
"Henry County, Ohio",3.70%,± 1.2%
"Henry County, Tennessee",6.20%,± 1.5%
"Henry County, Virginia",6.50%,± 1.1%
"Herkimer County, New York",10.10%,± 1.2%
"Hernando County, Florida",5.10%,± 0.5%
"Hertford County, North Carolina",9%,± 1.8%
"Hettinger County, North Dakota",2.10%,± 1.5%
"Hickman County, Kentucky",4.80%,± 2.6%
"Hickman County, Tennessee",3.20%,± 1.3%
"Hickory County, Missouri",3.30%,± 1.4%
"Hidalgo County, New Mexico",7.20%,± 3.4%
"Hidalgo County, Texas",5.60%,± 0.5%
"Highland County, Ohio",8.80%,± 2%
"Highland County, Virginia",5.30%,± 4.3%
"Highlands County, Florida",5.20%,± 0.9%
"Hill County, Montana",5.50%,± 1.7%
"Hill County, Texas",5.50%,± 1.3%
"Hillsborough County, Florida",5.90%,± 0.3%
"Hillsborough County, New Hampshire",5.10%,± 0.4%
"Hillsdale County, Michigan",6.10%,± 0.9%
"Hinds County, Mississippi",7.20%,± 0.7%
"Hinsdale County, Colorado",1.50%,± 1.6%
"Hitchcock County, Nebraska",4%,± 1.8%
"Hocking County, Ohio",4.10%,± 1%
"Hockley County, Texas",5.90%,± 1.7%
"Hodgeman County, Kansas",0.70%,± 0.9%
"Hoke County, North Carolina",5.20%,± 1.1%
"Holmes County, Florida",5.10%,± 1.4%
"Holmes County, Mississippi",15.10%,± 3%
"Holmes County, Ohio",31.30%,± 2.6%
"Holt County, Missouri",3.30%,± 1.3%
"Holt County, Nebraska",3%,± 1.4%
"Honolulu County, Hawaii",9.60%,± 0.4%
"Hood County, Texas",2.50%,± 0.7%
"Hood River County, Oregon",5.40%,± 2.1%
"Hooker County, Nebraska",5.80%,± 6.8%
"Hoonah-Angoon Census Area, Alaska",33.10%,± 4.7%
"Hopewell city, Virginia",9%,± 2.7%
"Hopkins County, Kentucky",5.50%,± 1.1%
"Hopkins County, Texas",4.10%,± 1.1%
"Hormigueros Municipio, Puerto Rico",13%,± 3.2%
"Horry County, South Carolina",4.30%,± 0.6%
"Hot Spring County, Arkansas",5.90%,± 1.9%
"Hot Springs County, Wyoming",4.20%,± 2.7%
"Houghton County, Michigan",9.10%,± 1.6%
"Houston County, Alabama",6.20%,± 0.6%
"Houston County, Georgia",4.20%,± 0.8%
"Houston County, Minnesota",3.50%,± 1.1%
"Houston County, Tennessee",4.20%,± 1.7%
"Houston County, Texas",7.80%,± 2.4%
"Howard County, Arkansas",4.40%,± 1.8%
"Howard County, Indiana",6.60%,± 1.1%
"Howard County, Iowa",6.70%,± 1.9%
"Howard County, Maryland",4%,± 0.5%
"Howard County, Missouri",3.20%,± 1.2%
"Howard County, Nebraska",6.10%,± 2.6%
"Howard County, Texas",5.20%,± 1.3%
"Howell County, Missouri",7.50%,± 1.5%
"Hubbard County, Minnesota",5.20%,± 1.6%
"Hudson County, New Jersey",32.50%,± 0.7%
"Hudspeth County, Texas",8.20%,± 4.8%
"Huerfano County, Colorado",5.30%,± 2.7%
"Hughes County, Oklahoma",4.70%,± 1.2%
"Hughes County, South Dakota",7.50%,± 2.8%
"Humacao Municipio, Puerto Rico",14.60%,± 2.3%
"Humboldt County, California",7%,± 1%
"Humboldt County, Iowa",5.30%,± 2.4%
"Humboldt County, Nevada",4%,± 1.8%
"Humphreys County, Mississippi",12.20%,± 4.3%
"Humphreys County, Tennessee",3.30%,± 1.5%
"Hunt County, Texas",4.80%,± 0.9%
"Hunterdon County, New Jersey",2.70%,± 0.6%
"Huntingdon County, Pennsylvania",6.60%,± 0.9%
"Huntington County, Indiana",3.20%,± 1%
"Huron County, Michigan",6.20%,± 1%
"Huron County, Ohio",4.50%,± 0.9%
"Hutchinson County, South Dakota",4.70%,± 1.5%
"Hutchinson County, Texas",4.20%,± 1.6%
"Hyde County, North Carolina",2.20%,± 2.7%
"Hyde County, South Dakota",0%,± 4.5%
"Iberia Parish, Louisiana",11.50%,± 1.9%
"Iberville Parish, Louisiana",7.60%,± 2.1%
"Ida County, Iowa",4.30%,± 1.5%
"Idaho County, Idaho",1.40%,± 0.7%
"Imperial County, California",6.30%,± 0.8%
"Independence County, Arkansas",6.10%,± 1.9%
"Indian River County, Florida",4.30%,± 0.8%
"Indiana County, Pennsylvania",7.90%,± 1%
"Ingham County, Michigan",9.10%,± 0.8%
"Inyo County, California",5.20%,± 2%
"Ionia County, Michigan",5.30%,± 1%
"Iosco County, Michigan",7.50%,± 1.2%
"Iowa County, Iowa",2.90%,± 1%
"Iowa County, Wisconsin",3.20%,± 0.9%
"Iredell County, North Carolina",3.30%,± 0.5%
"Irion County, Texas",0.60%,± 0.8%
"Iron County, Michigan",7.70%,± 1.7%
"Iron County, Missouri",5.80%,± 1.7%
"Iron County, Utah",3.40%,± 1.1%
"Iron County, Wisconsin",4.20%,± 1.2%
"Iroquois County, Illinois",4.40%,± 1%
"Irwin County, Georgia",6.80%,± 3.2%
"Isabela Municipio, Puerto Rico",12.30%,± 2%
"Isabella County, Michigan",7%,± 1.1%
"Isanti County, Minnesota",3.30%,± 0.7%
"Island County, Washington",3.20%,± 0.7%
"Isle of Wight County, Virginia",4.70%,± 1.1%
"Issaquena County, Mississippi",17.30%,± 8.8%
"Itasca County, Minnesota",5.60%,± 1%
"Itawamba County, Mississippi",3.80%,± 1.7%
"Izard County, Arkansas",7.20%,± 2%
"Jack County, Texas",10.80%,± 3.5%
"Jackson County, Alabama",4.60%,± 1%
"Jackson County, Arkansas",8%,± 2.6%
"Jackson County, Colorado",5.90%,± 4.1%
"Jackson County, Florida",5.20%,± 1%
"Jackson County, Georgia",2.90%,± 0.8%
"Jackson County, Illinois",11.40%,± 1.5%
"Jackson County, Indiana",5.80%,± 1.4%
"Jackson County, Iowa",5.90%,± 1.4%
"Jackson County, Kansas",3.70%,± 1.5%
"Jackson County, Kentucky",7.60%,± 2.7%
"Jackson County, Michigan",7%,± 0.8%
"Jackson County, Minnesota",4.90%,± 1.5%
"Jackson County, Mississippi",4.50%,± 0.9%
"Jackson County, Missouri",7.90%,± 0.4%
"Jackson County, North Carolina",4.80%,± 1.2%
"Jackson County, Ohio",7%,± 2.2%
"Jackson County, Oklahoma",6.40%,± 1.8%
"Jackson County, Oregon",5.40%,± 0.7%
"Jackson County, South Dakota",14.80%,± 7%
"Jackson County, Tennessee",6.80%,± 2.5%
"Jackson County, Texas",6.70%,± 2.7%
"Jackson County, West Virginia",9.30%,± 3.2%
"Jackson County, Wisconsin",5.30%,± 1.2%
"Jackson Parish, Louisiana",10.70%,± 2.5%
"James City County, Virginia",4.20%,± 0.9%
"Jasper County, Georgia",3.10%,± 1.4%
"Jasper County, Illinois",4.50%,± 2.1%
"Jasper County, Indiana",2.90%,± 1%
"Jasper County, Iowa",4.10%,± 1.2%
"Jasper County, Mississippi",9.40%,± 2.4%
"Jasper County, Missouri",6.50%,± 0.9%
"Jasper County, South Carolina",3.60%,± 1.4%
"Jasper County, Texas",5.90%,± 1.7%
"Jay County, Indiana",9.70%,± 2.2%
"Jayuya Municipio, Puerto Rico",14.20%,± 3.8%
"Jeff Davis County, Georgia",7.70%,± 3.3%
"Jeff Davis County, Texas",2.70%,± 4.1%
"Jefferson County, Alabama",6.90%,± 0.4%
"Jefferson County, Arkansas",7.70%,± 1.3%
"Jefferson County, Colorado",3.90%,± 0.3%
"Jefferson County, Florida",7%,± 2.5%
"Jefferson County, Georgia",9.10%,± 2.5%
"Jefferson County, Idaho",1.20%,± 0.7%
"Jefferson County, Illinois",6.20%,± 1.1%
"Jefferson County, Indiana",5.30%,± 1.5%
"Jefferson County, Iowa",8.30%,± 2.7%
"Jefferson County, Kansas",4.50%,± 1.7%
"Jefferson County, Kentucky",9%,± 0.4%
"Jefferson County, Mississippi",5.80%,± 3.4%
"Jefferson County, Missouri",3.20%,± 0.5%
"Jefferson County, Montana",3.10%,± 1.4%
"Jefferson County, Nebraska",6%,± 2.4%
"Jefferson County, New York",8.50%,± 1%
"Jefferson County, Ohio",8.60%,± 1%
"Jefferson County, Oklahoma",8.40%,± 2.1%
"Jefferson County, Oregon",4.90%,± 1.6%
"Jefferson County, Pennsylvania",7.90%,± 1.2%
"Jefferson County, Tennessee",2.60%,± 0.9%
"Jefferson County, Texas",7.40%,± 0.7%
"Jefferson County, Washington",4.60%,± 1.4%
"Jefferson County, West Virginia",5.60%,± 1.1%
"Jefferson County, Wisconsin",4.40%,± 0.8%
"Jefferson Davis County, Mississippi",7%,± 2.7%
"Jefferson Davis Parish, Louisiana",5.70%,± 1.6%
"Jefferson Parish, Louisiana",7.20%,± 0.5%
"Jenkins County, Georgia",6.60%,± 3.7%
"Jennings County, Indiana",3.80%,± 1.5%
"Jerauld County, South Dakota",5.10%,± 2.5%
"Jerome County, Idaho",3.40%,± 1.3%
"Jersey County, Illinois",4.10%,± 1.6%
"Jessamine County, Kentucky",4%,± 1%
"Jewell County, Kansas",3.40%,± 1.6%
"Jim Hogg County, Texas",4.90%,± 4.9%
"Jim Wells County, Texas",7.60%,± 2.4%
"Jo Daviess County, Illinois",7.20%,± 2%
"Johnson County, Arkansas",5.20%,± 1.4%
"Johnson County, Georgia",5.30%,± 1.9%
"Johnson County, Illinois",4.10%,± 1.4%
"Johnson County, Indiana",3.10%,± 0.6%
"Johnson County, Iowa",7.60%,± 0.9%
"Johnson County, Kansas",3.30%,± 0.3%
"Johnson County, Kentucky",7.60%,± 2.6%
"Johnson County, Missouri",4.30%,± 1.3%
"Johnson County, Nebraska",5.50%,± 2.5%
"Johnson County, Tennessee",5.10%,± 1.4%
"Johnson County, Texas",2.40%,± 0.5%
"Johnson County, Wyoming",3.10%,± 1.6%
"Johnston County, North Carolina",4.10%,± 0.7%
"Johnston County, Oklahoma",6.80%,± 2%
"Jones County, Georgia",4.70%,± 1.9%
"Jones County, Iowa",4.20%,± 1.2%
"Jones County, Mississippi",6%,± 1.2%
"Jones County, North Carolina",7.80%,± 2.5%
"Jones County, South Dakota",2.60%,± 3.3%
"Jones County, Texas",3.60%,± 1.4%
"Josephine County, Oregon",4.70%,± 0.9%
"Juab County, Utah",3.90%,± 2.4%
"Juana Díaz Municipio, Puerto Rico",13.60%,± 2.1%
"Judith Basin County, Montana",1.90%,± 1.7%
"Juncos Municipio, Puerto Rico",8.80%,± 2.1%
"Juneau City and Borough, Alaska",9.60%,± 1.8%
"Juneau County, Wisconsin",3.40%,± 0.6%
"Juniata County, Pennsylvania",7.90%,± 1.8%
"Kalamazoo County, Michigan",6.80%,± 0.7%
"Kalawao County, Hawaii",9.40%,± 12.8%
"Kalkaska County, Michigan",5.30%,± 1.4%
"Kanabec County, Minnesota",4.50%,± 1.2%
"Kanawha County, West Virginia",10.80%,± 0.8%
"Kandiyohi County, Minnesota",5.50%,± 1.2%
"Kane County, Illinois",4.70%,± 0.3%
"Kane County, Utah",4.60%,± 3.6%
"Kankakee County, Illinois",6.90%,± 0.9%
"Karnes County, Texas",8.80%,± 3.4%
"Kauai County, Hawaii",4.30%,± 1%
"Kaufman County, Texas",3.20%,± 0.6%
"Kay County, Oklahoma",6.50%,± 0.9%
"Kearney County, Nebraska",3.30%,± 1.8%
"Kearny County, Kansas",2.70%,± 2.5%
"Keith County, Nebraska",5.30%,± 1.8%
"Kemper County, Mississippi",4.90%,± 2.2%
"Kenai Peninsula Borough, Alaska",4.80%,± 0.8%
"Kendall County, Illinois",2.10%,± 0.7%
"Kendall County, Texas",2.60%,± 1.1%
"Kenedy County, Texas",0%,± 59.7%
"Kennebec County, Maine",7.30%,± 0.9%
"Kenosha County, Wisconsin",4.90%,± 0.6%
"Kent County, Delaware",6.80%,± 0.8%
"Kent County, Maryland",6.50%,± 1.7%
"Kent County, Michigan",6.70%,± 0.4%
"Kent County, Rhode Island",6%,± 0.8%
"Kent County, Texas",2.80%,± 4.2%
"Kenton County, Kentucky",6.90%,± 0.7%
"Keokuk County, Iowa",2.20%,± 0.8%
"Kern County, California",6.40%,± 0.5%
"Kerr County, Texas",4.40%,± 1.3%
"Kershaw County, South Carolina",3.50%,± 0.9%
"Ketchikan Gateway Borough, Alaska",11.80%,± 1.9%
"Kewaunee County, Wisconsin",3.90%,± 1.2%
"Keweenaw County, Michigan",2.20%,± 1.5%
"Keya Paha County, Nebraska",0.60%,± 0.9%
"Kidder County, North Dakota",0.30%,± 0.3%
"Kimball County, Nebraska",3.20%,± 1.7%
"Kimble County, Texas",4.20%,± 2.4%
"King and Queen County, Virginia",4%,± 2.6%
"King County, Texas",0%,± 41.1%
"King County, Washington",10.90%,± 0.3%
"King George County, Virginia",1.80%,± 0.9%
"King William County, Virginia",3.20%,± 1.6%
"Kingfisher County, Oklahoma",3.20%,± 2.2%
"Kingman County, Kansas",4.20%,± 1.9%
"Kings County, California",4.80%,± 0.9%
"Kings County, New York",55.30%,± 0.4%
"Kingsbury County, South Dakota",4.80%,± 2%
"Kinney County, Texas",3.10%,± 3.8%
"Kiowa County, Colorado",2.70%,± 3.2%
"Kiowa County, Kansas",2.80%,± 1.6%
"Kiowa County, Oklahoma",2.80%,± 1.1%
"Kit Carson County, Colorado",5.70%,± 2.4%
"Kitsap County, Washington",4.30%,± 0.5%
"Kittitas County, Washington",3.40%,± 1%
"Kittson County, Minnesota",4.60%,± 1.7%
"Klamath County, Oregon",5.10%,± 0.9%
"Kleberg County, Texas",6.10%,± 2.1%
"Klickitat County, Washington",5.20%,± 1.8%
"Knott County, Kentucky",7.50%,± 2.2%
"Knox County, Illinois",9.50%,± 1.6%
"Knox County, Indiana",7%,± 1.6%
"Knox County, Kentucky",13%,± 3%
"Knox County, Maine",5.80%,± 1.2%
"Knox County, Missouri",2.70%,± 1.3%
"Knox County, Nebraska",3.60%,± 0.9%
"Knox County, Ohio",6%,± 1.1%
"Knox County, Tennessee",5.60%,± 0.4%
"Knox County, Texas",3.40%,± 1.8%
"Kodiak Island Borough, Alaska",8.90%,± 2.6%
"Koochiching County, Minnesota",6.90%,± 2.2%
"Kootenai County, Idaho",4.30%,± 0.7%
"Kosciusko County, Indiana",5%,± 1%
"Kossuth County, Iowa",7.50%,± 2.5%
"Kusilvak Census Area, Alaska",85.90%,± 2.9%
"La Crosse County, Wisconsin",7%,± 1%
"La Paz County, Arizona",4.80%,± 1.6%
"La Plata County, Colorado",2%,± 0.7%
"La Salle County, Texas",2.50%,± 2.1%
"Labette County, Kansas",5%,± 1%
"Lac qui Parle County, Minnesota",3.40%,± 1.1%
"Lackawanna County, Pennsylvania",9.40%,± 0.6%
"Laclede County, Missouri",6.80%,± 1.9%
"Lafayette County, Arkansas",7.40%,± 2.7%
"Lafayette County, Florida",1.80%,± 1.5%
"Lafayette County, Mississippi",5.90%,± 1.5%
"Lafayette County, Missouri",3.40%,± 1.2%
"Lafayette County, Wisconsin",4.60%,± 0.8%
"Lafayette Parish, Louisiana",6.50%,± 0.8%
"Lafourche Parish, Louisiana",7.90%,± 1.2%
"LaGrange County, Indiana",27.30%,± 2%
"Lajas Municipio, Puerto Rico",13.90%,± 2.7%
"Lake and Peninsula Borough, Alaska",42%,± 7.4%
"Lake County, California",5.60%,± 1.1%
"Lake County, Colorado",3.50%,± 2.6%
"Lake County, Florida",4.10%,± 0.4%
"Lake County, Illinois",5.10%,± 0.3%
"Lake County, Indiana",7.60%,± 0.5%
"Lake County, Michigan",9.30%,± 1.6%
"Lake County, Minnesota",4.30%,± 1.4%
"Lake County, Montana",4%,± 0.9%
"Lake County, Ohio",4.40%,± 0.5%
"Lake County, Oregon",7.70%,± 2.7%
"Lake County, South Dakota",2.50%,± 1.6%
"Lake County, Tennessee",16.70%,± 6.2%
"Lake of the Woods County, Minnesota",2.40%,± 1.5%
"Lamar County, Alabama",5.70%,± 1.9%
"Lamar County, Georgia",3%,± 1.6%
"Lamar County, Mississippi",4.50%,± 1.5%
"Lamar County, Texas",7.10%,± 1.2%
"Lamb County, Texas",4.90%,± 2.1%
"Lamoille County, Vermont",5.10%,± 1.3%
"LaMoure County, North Dakota",3.40%,± 1.7%
"Lampasas County, Texas",4.40%,± 1.6%
"Lancaster County, Nebraska",5.10%,± 0.4%
"Lancaster County, Pennsylvania",9.10%,± 0.5%
"Lancaster County, South Carolina",4.10%,± 0.7%
"Lancaster County, Virginia",4%,± 1.6%
"Lander County, Nevada",2.40%,± 1.9%
"Lane County, Kansas",2.80%,± 3%
"Lane County, Oregon",7.40%,± 0.5%
"Langlade County, Wisconsin",4.50%,± 1.4%
"Lanier County, Georgia",5.50%,± 3.2%
"Lapeer County, Michigan",4.30%,± 0.8%
"LaPorte County, Indiana",5.30%,± 0.7%
"Laramie County, Wyoming",4.90%,± 0.8%
"Lares Municipio, Puerto Rico",13.30%,± 2.3%
"Larimer County, Colorado",3.80%,± 0.4%
"Larue County, Kentucky",3.70%,± 1.6%
"Las Animas County, Colorado",8.40%,± 2%
"Las Marías Municipio, Puerto Rico",12.50%,± 4.3%
"Las Piedras Municipio, Puerto Rico",10%,± 2.3%
"LaSalle County, Illinois",5.90%,± 0.6%
"LaSalle Parish, Louisiana",4.70%,± 2.4%
"Lassen County, California",5.10%,± 1.4%
"Latah County, Idaho",4.10%,± 1.2%
"Latimer County, Oklahoma",3.90%,± 1%
"Lauderdale County, Alabama",6.10%,± 1.3%
"Lauderdale County, Mississippi",9.80%,± 1.6%
"Lauderdale County, Tennessee",8.30%,± 1.7%
"Laurel County, Kentucky",5.40%,± 1.1%
"Laurens County, Georgia",6.40%,± 1.3%
"Laurens County, South Carolina",6.30%,± 1.1%
"Lavaca County, Texas",3.60%,± 1.2%
"Lawrence County, Alabama",5.10%,± 1.6%
"Lawrence County, Arkansas",5.50%,± 2%
"Lawrence County, Illinois",4.10%,± 1.3%
"Lawrence County, Indiana",5.90%,± 1.1%
"Lawrence County, Kentucky",4.70%,± 1.8%
"Lawrence County, Mississippi",5.30%,± 2.8%
"Lawrence County, Missouri",6%,± 1.8%
"Lawrence County, Ohio",5.50%,± 1.1%
"Lawrence County, Pennsylvania",7.70%,± 1%
"Lawrence County, South Dakota",4.50%,± 1.6%
"Lawrence County, Tennessee",7.10%,± 1.4%
"Le Flore County, Oklahoma",5.90%,± 0.8%
"Le Sueur County, Minnesota",2.80%,± 0.7%
"Lea County, New Mexico",4.50%,± 1%
"Leake County, Mississippi",8.90%,± 2.2%
"Leavenworth County, Kansas",4.80%,± 1%
"Lebanon County, Pennsylvania",6.80%,± 0.9%
"Lee County, Alabama",4.80%,± 0.7%
"Lee County, Arkansas",21.70%,± 5.8%
"Lee County, Florida",5.10%,± 0.4%
"Lee County, Georgia",3%,± 1.3%
"Lee County, Illinois",7.80%,± 2.2%
"Lee County, Iowa",5.10%,± 1.1%
"Lee County, Kentucky",15.40%,± 3.9%
"Lee County, Mississippi",4.90%,± 1%
"Lee County, North Carolina",4%,± 0.9%
"Lee County, South Carolina",12.40%,± 2.8%
"Lee County, Texas",4.70%,± 1.8%
"Lee County, Virginia",9%,± 2.4%
"Leelanau County, Michigan",4%,± 1.1%
"Leflore County, Mississippi",12.90%,± 2.4%
"Lehigh County, Pennsylvania",7.90%,± 0.6%
"Lemhi County, Idaho",5%,± 3.3%
"Lenawee County, Michigan",5.20%,± 0.7%
"Lenoir County, North Carolina",8.60%,± 1.3%
"Leon County, Florida",6.90%,± 0.6%
"Leon County, Texas",1.90%,± 0.9%
"Leslie County, Kentucky",8.40%,± 3.1%
"Letcher County, Kentucky",7.10%,± 2%
"Levy County, Florida",4.70%,± 1%
"Lewis and Clark County, Montana",5.30%,± 1%
"Lewis County, Idaho",4.60%,± 1.7%
"Lewis County, Kentucky",6.40%,± 1.9%
"Lewis County, Missouri",5.70%,± 2%
"Lewis County, New York",5.60%,± 1%
"Lewis County, Tennessee",2.80%,± 1.8%
"Lewis County, Washington",4.60%,± 0.9%
"Lewis County, West Virginia",10.30%,± 2.6%
"Lexington city, Virginia",11%,± 4.9%
"Lexington County, South Carolina",4.70%,± 0.5%
"Liberty County, Florida",7.70%,± 3.5%
"Liberty County, Georgia",5.50%,± 1.2%
"Liberty County, Montana",13.90%,± 6.6%
"Liberty County, Texas",4.60%,± 1.1%
"Licking County, Ohio",5.20%,± 0.6%
"Limestone County, Alabama",3.10%,± 1%
"Limestone County, Texas",3.90%,± 1.4%
"Lincoln County, Arkansas",4.80%,± 2.3%
"Lincoln County, Colorado",5.30%,± 2.4%
"Lincoln County, Georgia",7.30%,± 2.7%
"Lincoln County, Idaho",0.70%,± 0.6%
"Lincoln County, Kansas",3.80%,± 2%
"Lincoln County, Kentucky",6.70%,± 1.9%
"Lincoln County, Maine",5.40%,± 1.4%
"Lincoln County, Minnesota",3%,± 0.9%
"Lincoln County, Mississippi",4.40%,± 1.2%
"Lincoln County, Missouri",4%,± 0.9%
"Lincoln County, Montana",3.80%,± 1.5%
"Lincoln County, Nebraska",4.30%,± 1.4%
"Lincoln County, Nevada",5.90%,± 4.7%
"Lincoln County, New Mexico",4.50%,± 1.8%
"Lincoln County, North Carolina",3.40%,± 0.9%
"Lincoln County, Oklahoma",2.90%,± 0.6%
"Lincoln County, Oregon",4.80%,± 0.9%
"Lincoln County, South Dakota",1.50%,± 0.6%
"Lincoln County, Tennessee",4.60%,± 1%
