Geography,Total—AGE OF OWN CHILDREN—Households with own children of the householder under 18 years—Under 6 years and 6 to 17 years—Estimate,MoE
"Greene County, Virginia",15.10%,± 7.1%
"Greenlee County, Arizona",33.30%,± 12.4%
"Greensville County, Virginia",11.30%,± 6.4%
"Greenup County, Kentucky",22.50%,± 3.9%
"Greenville County, South Carolina",20.30%,± 1.4%
"Greenwood County, Kansas",22%,± 6.5%
"Greenwood County, South Carolina",20.70%,± 4.4%
"Greer County, Oklahoma",13.50%,± 7.2%
"Gregg County, Texas",23.70%,± 3.4%
"Gregory County, South Dakota",20.70%,± 7.1%
"Grenada County, Mississippi",25%,± 7.9%
"Griggs County, North Dakota",25.90%,± 10.7%
"Grimes County, Texas",16.90%,± 5.1%
"Grundy County, Illinois",16.20%,± 3.1%
"Grundy County, Iowa",21.50%,± 4.2%
"Grundy County, Missouri",21.30%,± 7%
"Grundy County, Tennessee",11.90%,± 4.9%
"Guadalupe County, New Mexico",32.60%,± 20.7%
"Guadalupe County, Texas",25.20%,± 3.1%
"Guánica Municipio, Puerto Rico",7.20%,± 5.2%
"Guayama Municipio, Puerto Rico",22.50%,± 7.2%
"Guayanilla Municipio, Puerto Rico",11.20%,± 5.2%
"Guaynabo Municipio, Puerto Rico",8.40%,± 2.8%
"Guernsey County, Ohio",21.70%,± 4.4%
"Guilford County, North Carolina",17.90%,± 1.5%
"Gulf County, Florida",9.40%,± 4.9%
"Gunnison County, Colorado",13.90%,± 7.2%
"Gurabo Municipio, Puerto Rico",14.50%,± 5.2%
"Guthrie County, Iowa",15.30%,± 3.9%
"Gwinnett County, Georgia",19.60%,± 1.3%
"Haakon County, South Dakota",18.20%,± 12.5%
"Habersham County, Georgia",22.50%,± 4.1%
"Haines Borough, Alaska",26.80%,± 22.8%
"Hale County, Alabama",19.40%,± 9.2%
"Hale County, Texas",25.20%,± 5%
"Halifax County, North Carolina",22.60%,± 5.7%
"Halifax County, Virginia",11.90%,± 4.2%
"Hall County, Georgia",21.50%,± 2.3%
"Hall County, Nebraska",27.20%,± 3.3%
"Hall County, Texas",19.10%,± 12.1%
"Hamblen County, Tennessee",17.80%,± 4.3%
"Hamilton County, Florida",18.10%,± 9.1%
"Hamilton County, Illinois",29.80%,± 9.2%
"Hamilton County, Indiana",18.70%,± 1.9%
"Hamilton County, Iowa",24.10%,± 8.4%
"Hamilton County, Kansas",31.40%,± 16.4%
"Hamilton County, Nebraska",33.50%,± 7.9%
"Hamilton County, New York",9.70%,± 5.3%
"Hamilton County, Ohio",19.20%,± 1.1%
"Hamilton County, Tennessee",18.70%,± 2.1%
"Hamilton County, Texas",22.10%,± 7.2%
"Hamlin County, South Dakota",29.90%,± 5.9%
"Hampden County, Massachusetts",18.80%,± 1.5%
"Hampshire County, Massachusetts",14.20%,± 2.6%
"Hampshire County, West Virginia",13.80%,± 6.9%
"Hampton city, Virginia",18.60%,± 2.8%
"Hampton County, South Carolina",36.40%,± 8.8%
"Hancock County, Georgia",5.80%,± 10.8%
"Hancock County, Illinois",16.80%,± 4.1%
"Hancock County, Indiana",21.30%,± 3.9%
"Hancock County, Iowa",19.60%,± 7.3%
"Hancock County, Kentucky",26.80%,± 7.7%
"Hancock County, Maine",14.80%,± 3.2%
"Hancock County, Mississippi",21.40%,± 6%
"Hancock County, Ohio",17.40%,± 3.1%
"Hancock County, Tennessee",28.30%,± 7.5%
"Hancock County, West Virginia",17.70%,± 5.3%
"Hand County, South Dakota",25.40%,± 11.2%
"Hanover County, Virginia",18.90%,± 2.6%
"Hansford County, Texas",17.80%,± 8.9%
"Hanson County, South Dakota",21.20%,± 6.5%
"Haralson County, Georgia",25.50%,± 7.3%
"Hardee County, Florida",33.30%,± 7.5%
"Hardeman County, Tennessee",18.50%,± 5.4%
"Hardeman County, Texas",13.70%,± 9.9%
"Hardin County, Illinois",16.90%,± 12.2%
"Hardin County, Iowa",20.40%,± 4.9%
"Hardin County, Kentucky",19.60%,± 2.6%
"Hardin County, Ohio",21.80%,± 5%
"Hardin County, Tennessee",14.30%,± 5.2%
"Hardin County, Texas",18.80%,± 4.4%
"Harding County, New Mexico",51.70%,± 27.3%
"Harding County, South Dakota",35.80%,± 12.4%
"Hardy County, West Virginia",38.50%,± 8.6%
"Harford County, Maryland",20%,± 1.9%
"Harlan County, Kentucky",19.60%,± 6.2%
"Harlan County, Nebraska",38.20%,± 12.6%
"Harmon County, Oklahoma",16.10%,± 8.8%
"Harnett County, North Carolina",23.60%,± 2.5%
"Harney County, Oregon",31.40%,± 13.5%
"Harper County, Kansas",25.40%,± 8.3%
"Harper County, Oklahoma",27.50%,± 11.7%
"Harris County, Georgia",16.90%,± 6.1%
"Harris County, Texas",21%,± 0.6%
"Harrison County, Indiana",19.30%,± 4.8%
"Harrison County, Iowa",27%,± 5.2%
"Harrison County, Kentucky",14%,± 6%
"Harrison County, Mississippi",19.30%,± 2.5%
"Harrison County, Missouri",18.80%,± 6.1%
"Harrison County, Ohio",20.20%,± 6.8%
"Harrison County, Texas",24.60%,± 5%
"Harrison County, West Virginia",18.30%,± 4.1%
"Harrisonburg city, Virginia",22.90%,± 5.3%
"Hart County, Georgia",32.70%,± 8.5%
"Hart County, Kentucky",27.30%,± 7%
"Hartley County, Texas",10.80%,± 7%
"Harvey County, Kansas",31.60%,± 5.2%
"Haskell County, Kansas",28.10%,± 9.6%
"Haskell County, Oklahoma",28.70%,± 5.1%
"Haskell County, Texas",11.60%,± 6.6%
"Hatillo Municipio, Puerto Rico",13.50%,± 5.1%
"Hawaii County, Hawaii",22.50%,± 2.6%
"Hawkins County, Tennessee",11.50%,± 2.9%
"Hayes County, Nebraska",38.80%,± 15.5%
"Hays County, Texas",21.20%,± 2.3%
"Haywood County, North Carolina",14.50%,± 4.2%
"Haywood County, Tennessee",18.20%,± 6%
"Heard County, Georgia",20.20%,± 7.9%
"Hemphill County, Texas",35.20%,± 16.8%
"Hempstead County, Arkansas",17.50%,± 6.5%
"Henderson County, Illinois",22%,± 7.4%
"Henderson County, Kentucky",21.30%,± 4.6%
"Henderson County, North Carolina",19.30%,± 3.3%
"Henderson County, Tennessee",21.50%,± 6%
"Henderson County, Texas",20.10%,± 3.8%
"Hendricks County, Indiana",23%,± 2.6%
"Hendry County, Florida",22.40%,± 7.7%
"Hennepin County, Minnesota",19%,± 0.9%
"Henrico County, Virginia",18.30%,± 1.8%
"Henry County, Alabama",31.70%,± 8.2%
"Henry County, Georgia",19.20%,± 2.5%
"Henry County, Illinois",18.70%,± 3.1%
"Henry County, Indiana",20.10%,± 4.1%
"Henry County, Iowa",19.10%,± 5.1%
"Henry County, Kentucky",23.90%,± 7.1%
"Henry County, Missouri",23.80%,± 7.1%
"Henry County, Ohio",21.70%,± 4.7%
"Henry County, Tennessee",19.70%,± 5.5%
"Henry County, Virginia",11.90%,± 3.3%
"Herkimer County, New York",19.60%,± 2.9%
"Hernando County, Florida",17.10%,± 2.4%
"Hertford County, North Carolina",22%,± 7.5%
"Hettinger County, North Dakota",32.70%,± 11.9%
"Hickman County, Kentucky",27.20%,± 16.2%
"Hickman County, Tennessee",18.70%,± 6.8%
"Hickory County, Missouri",26.10%,± 12.9%
"Hidalgo County, New Mexico",22%,± 12.1%
"Hidalgo County, Texas",25.40%,± 1.4%
"Highland County, Ohio",19.50%,± 4%
"Highland County, Virginia",30.60%,± 22.6%
"Highlands County, Florida",24.40%,± 5.5%
"Hill County, Montana",20.30%,± 5%
"Hill County, Texas",23.20%,± 3.4%
"Hillsborough County, Florida",18.80%,± 0.8%
"Hillsborough County, New Hampshire",16.50%,± 1.4%
"Hillsdale County, Michigan",24.20%,± 4%
"Hinds County, Mississippi",20.50%,± 2.5%
"Hinsdale County, Colorado",3.50%,± 6.6%
"Hitchcock County, Nebraska",26.70%,± 7.7%
"Hocking County, Ohio",24.10%,± 6%
"Hockley County, Texas",23.40%,± 4.9%
"Hodgeman County, Kansas",30.80%,± 12.9%
"Hoke County, North Carolina",21.30%,± 3.7%
"Holmes County, Florida",19.90%,± 6.6%
"Holmes County, Mississippi",19.80%,± 7.1%
"Holmes County, Ohio",40.60%,± 4.7%
"Holt County, Missouri",12.10%,± 4.5%
"Holt County, Nebraska",15.10%,± 5%
"Honolulu County, Hawaii",20%,± 1.2%
"Hood County, Texas",16.10%,± 3.8%
"Hood River County, Oregon",18.30%,± 6.8%
"Hooker County, Nebraska",11.70%,± 14.1%
"Hoonah-Angoon Census Area, Alaska",23.80%,± 15.3%
"Hopewell city, Virginia",31.70%,± 8.5%
"Hopkins County, Kentucky",22.90%,± 4.2%
"Hopkins County, Texas",22.60%,± 4.6%
"Hormigueros Municipio, Puerto Rico",12.30%,± 6.9%
"Horry County, South Carolina",15.70%,± 2%
"Hot Spring County, Arkansas",15.50%,± 4.4%
"Hot Springs County, Wyoming",32.30%,± 13.3%
"Houghton County, Michigan",22.50%,± 4.3%
"Houston County, Alabama",20.70%,± 2.3%
"Houston County, Georgia",18.70%,± 3.5%
"Houston County, Minnesota",18.10%,± 4.6%
"Houston County, Tennessee",20.10%,± 8.3%
"Houston County, Texas",14.20%,± 5.3%
"Howard County, Arkansas",26.60%,± 8.8%
"Howard County, Indiana",23.50%,± 3.5%
"Howard County, Iowa",24.30%,± 7.5%
"Howard County, Maryland",17.10%,± 1.6%
"Howard County, Missouri",24%,± 6.7%
"Howard County, Nebraska",14.70%,± 6%
"Howard County, Texas",22.60%,± 5.4%
"Howell County, Missouri",18.20%,± 4.4%
"Hubbard County, Minnesota",22.10%,± 3.3%
"Hudson County, New Jersey",18.60%,± 1.3%
"Hudspeth County, Texas",7.20%,± 6.3%
"Huerfano County, Colorado",23.40%,± 16.4%
"Hughes County, Oklahoma",20.60%,± 6%
"Hughes County, South Dakota",11.70%,± 5%
"Humacao Municipio, Puerto Rico",16%,± 4.8%
"Humboldt County, California",22%,± 3.4%
"Humboldt County, Iowa",31.90%,± 7.8%
"Humboldt County, Nevada",21.50%,± 5.3%
"Humphreys County, Mississippi",23.40%,± 10.5%
"Humphreys County, Tennessee",18.60%,± 7.1%
"Hunt County, Texas",20.50%,± 3%
"Hunterdon County, New Jersey",10.60%,± 1.7%
"Huntingdon County, Pennsylvania",21.70%,± 3.1%
"Huntington County, Indiana",23.20%,± 3.8%
"Huron County, Michigan",21.80%,± 4.1%
"Huron County, Ohio",20.50%,± 3.5%
"Hutchinson County, South Dakota",25%,± 6.9%
"Hutchinson County, Texas",17.90%,± 6.5%
"Hyde County, North Carolina",31.70%,± 27.2%
"Hyde County, South Dakota",22.80%,± 10.5%
"Iberia Parish, Louisiana",19.70%,± 3.5%
"Iberville Parish, Louisiana",23.50%,± 8.3%
"Ida County, Iowa",23%,± 7%
"Idaho County, Idaho",20.60%,± 7.1%
"Imperial County, California",24.20%,± 2.9%
"Independence County, Arkansas",23.70%,± 5.9%
"Indian River County, Florida",21.90%,± 3.6%
"Indiana County, Pennsylvania",18.30%,± 3%
"Ingham County, Michigan",18.70%,± 1.5%
"Inyo County, California",18.60%,± 7%
"Ionia County, Michigan",17.90%,± 2.9%
"Iosco County, Michigan",15.70%,± 3.4%
"Iowa County, Iowa",22.20%,± 4.3%
"Iowa County, Wisconsin",17.50%,± 3.1%
"Iredell County, North Carolina",19.20%,± 2.5%
"Irion County, Texas",50.60%,± 24.4%
"Iron County, Michigan",20.80%,± 7.1%
"Iron County, Missouri",24.20%,± 8%
"Iron County, Utah",26.60%,± 4.4%
"Iron County, Wisconsin",22.20%,± 6.5%
"Iroquois County, Illinois",24.10%,± 3.4%
"Irwin County, Georgia",14.40%,± 8.4%
"Isabela Municipio, Puerto Rico",12.50%,± 4.3%
"Isabella County, Michigan",19.90%,± 3.6%
"Isanti County, Minnesota",22.30%,± 3.3%
"Island County, Washington",22.60%,± 3.2%
"Isle of Wight County, Virginia",16.70%,± 4.5%
"Issaquena County, Mississippi",40%,± 32.1%
"Itasca County, Minnesota",17.90%,± 2.8%
"Itawamba County, Mississippi",28.50%,± 7.9%
"Izard County, Arkansas",10.40%,± 5%
"Jack County, Texas",20.90%,± 7.2%
"Jackson County, Alabama",26%,± 5.2%
"Jackson County, Arkansas",16.50%,± 6.6%
"Jackson County, Colorado",17.40%,± 15.9%
"Jackson County, Florida",21.10%,± 6%
"Jackson County, Georgia",17.80%,± 3.5%
"Jackson County, Illinois",20.80%,± 3.7%
"Jackson County, Indiana",17.40%,± 4.2%
"Jackson County, Iowa",23.70%,± 5.1%
"Jackson County, Kansas",18.30%,± 4.2%
"Jackson County, Kentucky",29.60%,± 9.8%
"Jackson County, Michigan",18.40%,± 2%
"Jackson County, Minnesota",16.20%,± 3.8%
"Jackson County, Mississippi",19.10%,± 4%
"Jackson County, Missouri",21.40%,± 1.3%
"Jackson County, North Carolina",18.60%,± 5.7%
"Jackson County, Ohio",29.10%,± 7.2%
"Jackson County, Oklahoma",27.80%,± 5.7%
"Jackson County, Oregon",23.60%,± 2.9%
"Jackson County, South Dakota",16.60%,± 11.8%
"Jackson County, Tennessee",10.40%,± 6.4%
"Jackson County, Texas",24%,± 7.6%
"Jackson County, West Virginia",20.80%,± 7.5%
"Jackson County, Wisconsin",24.80%,± 3.8%
"Jackson Parish, Louisiana",17.60%,± 6.7%
"James City County, Virginia",15%,± 3.2%
"Jasper County, Georgia",29.80%,± 9.4%
"Jasper County, Illinois",17%,± 7.7%
"Jasper County, Indiana",19.20%,± 4.6%
"Jasper County, Iowa",28.90%,± 4.5%
"Jasper County, Mississippi",16.40%,± 9.9%
"Jasper County, Missouri",20.30%,± 3.1%
"Jasper County, South Carolina",16.80%,± 7.3%
"Jasper County, Texas",21.10%,± 5.6%
"Jay County, Indiana",26.40%,± 6%
"Jayuya Municipio, Puerto Rico",20.30%,± 11.3%
"Jeff Davis County, Georgia",19.20%,± 8.2%
"Jeff Davis County, Texas",0%,± 28.6%
"Jefferson County, Alabama",18.70%,± 1.5%
"Jefferson County, Arkansas",21.70%,± 4%
"Jefferson County, Colorado",15.50%,± 1.3%
"Jefferson County, Florida",16.50%,± 7.6%
"Jefferson County, Georgia",21.70%,± 7.5%
"Jefferson County, Idaho",31.80%,± 6.5%
"Jefferson County, Illinois",16.50%,± 2.9%
"Jefferson County, Indiana",14.50%,± 4.2%
"Jefferson County, Iowa",22.10%,± 9.7%
"Jefferson County, Kansas",19.70%,± 5.2%
"Jefferson County, Kentucky",18.40%,± 1.3%
"Jefferson County, Mississippi",15.60%,± 12%
"Jefferson County, Missouri",23.40%,± 2.4%
"Jefferson County, Montana",21.10%,± 7.4%
"Jefferson County, Nebraska",22.70%,± 7.5%
"Jefferson County, New York",21.50%,± 2.5%
"Jefferson County, Ohio",17.20%,± 2.8%
"Jefferson County, Oklahoma",25.70%,± 6.2%
"Jefferson County, Oregon",23.80%,± 6.5%
"Jefferson County, Pennsylvania",20.20%,± 2.7%
"Jefferson County, Tennessee",17.90%,± 4.4%
"Jefferson County, Texas",25.20%,± 2.3%
"Jefferson County, Washington",17.10%,± 6.1%
"Jefferson County, West Virginia",18.50%,± 3.6%
"Jefferson County, Wisconsin",17.90%,± 2.1%
"Jefferson Davis County, Mississippi",15.60%,± 7.4%
"Jefferson Davis Parish, Louisiana",27.90%,± 6.6%
"Jefferson Parish, Louisiana",20.20%,± 1.9%
"Jenkins County, Georgia",28.50%,± 19.6%
"Jennings County, Indiana",13.30%,± 5%
"Jerauld County, South Dakota",17.90%,± 8%
"Jerome County, Idaho",22.20%,± 5.3%
"Jersey County, Illinois",20.20%,± 8.1%
"Jessamine County, Kentucky",25.70%,± 5.3%
"Jewell County, Kansas",29.50%,± 10.9%
"Jim Hogg County, Texas",37%,± 16.6%
"Jim Wells County, Texas",26.20%,± 7.8%
"Jo Daviess County, Illinois",21.70%,± 5.2%
"Johnson County, Arkansas",24.50%,± 5.4%
"Johnson County, Georgia",39.80%,± 13.2%
"Johnson County, Illinois",24.40%,± 7.7%
"Johnson County, Indiana",20.60%,± 2.4%
"Johnson County, Iowa",20.60%,± 3.3%
"Johnson County, Kansas",18.60%,± 1.3%
"Johnson County, Kentucky",21.70%,± 6.3%
"Johnson County, Missouri",17.20%,± 3.2%
"Johnson County, Nebraska",16.70%,± 7.2%
"Johnson County, Tennessee",17.20%,± 6.4%
"Johnson County, Texas",22.60%,± 2.4%
"Johnson County, Wyoming",25.30%,± 13.3%
"Johnston County, North Carolina",19.60%,± 2.7%
"Johnston County, Oklahoma",21.40%,± 4.9%
"Jones County, Georgia",27.90%,± 8.1%
"Jones County, Iowa",17%,± 4.7%
"Jones County, Mississippi",27.50%,± 5.3%
"Jones County, North Carolina",8.30%,± 5.5%
"Jones County, South Dakota",15%,± 14.7%
"Jones County, Texas",24.50%,± 8.3%
"Josephine County, Oregon",21%,± 4.4%
"Juab County, Utah",20.60%,± 5.7%
"Juana Díaz Municipio, Puerto Rico",16%,± 4.8%
"Judith Basin County, Montana",17.80%,± 9.9%
"Juncos Municipio, Puerto Rico",17.80%,± 5.7%
"Juneau City and Borough, Alaska",21.70%,± 6.3%
"Juneau County, Wisconsin",18%,± 2.9%
"Juniata County, Pennsylvania",29.90%,± 5%
"Kalamazoo County, Michigan",20.20%,± 2.1%
"Kalawao County, Hawaii",-,**
"Kalkaska County, Michigan",20.80%,± 5.1%
"Kanabec County, Minnesota",19.90%,± 4.6%
"Kanawha County, West Virginia",17.30%,± 2.3%
"Kandiyohi County, Minnesota",25%,± 4%
"Kane County, Illinois",19.20%,± 1.3%
"Kane County, Utah",10.20%,± 6.8%
"Kankakee County, Illinois",20.50%,± 2.7%
"Karnes County, Texas",18.50%,± 6.7%
"Kauai County, Hawaii",23.30%,± 4.3%
"Kaufman County, Texas",25.10%,± 2.8%
"Kay County, Oklahoma",23.80%,± 3.8%
"Kearney County, Nebraska",24.70%,± 8%
"Kearny County, Kansas",35%,± 14.7%
"Keith County, Nebraska",25.60%,± 9.2%
"Kemper County, Mississippi",14.40%,± 9.4%
"Kenai Peninsula Borough, Alaska",16.80%,± 2.9%
"Kendall County, Illinois",17.50%,± 2.6%
"Kendall County, Texas",20.40%,± 4.7%
"Kenedy County, Texas",0%,± 100%
"Kennebec County, Maine",18.20%,± 2.9%
"Kenosha County, Wisconsin",19.70%,± 2.4%
"Kent County, Delaware",23.10%,± 2.8%
"Kent County, Maryland",26.70%,± 9.3%
"Kent County, Michigan",20.30%,± 1.4%
"Kent County, Rhode Island",17%,± 2.7%
"Kent County, Texas",23.90%,± 19%
"Kenton County, Kentucky",22.80%,± 2.8%
"Keokuk County, Iowa",14.70%,± 3.4%
"Kern County, California",25.30%,± 1.2%
"Kerr County, Texas",19.10%,± 5.9%
"Kershaw County, South Carolina",17.90%,± 3.4%
"Ketchikan Gateway Borough, Alaska",19.60%,± 4.4%
"Kewaunee County, Wisconsin",19.10%,± 3.7%
"Keweenaw County, Michigan",3.60%,± 3%
"Keya Paha County, Nebraska",26.10%,± 17.2%
"Kidder County, North Dakota",8.70%,± 6%
"Kimball County, Nebraska",34.50%,± 13.9%
"Kimble County, Texas",16.30%,± 10.2%
"King and Queen County, Virginia",8.60%,± 6.7%
"King County, Texas",28.60%,± 27.4%
"King County, Washington",17.70%,± 0.7%
"King George County, Virginia",18.80%,± 5.1%
"King William County, Virginia",14.80%,± 5.8%
"Kingfisher County, Oklahoma",24%,± 6.5%
"Kingman County, Kansas",27%,± 10.6%
"Kings County, California",26.50%,± 3.1%
"Kings County, New York",20.90%,± 0.7%
"Kingsbury County, South Dakota",18.60%,± 6%
"Kinney County, Texas",21.70%,± 30%
"Kiowa County, Colorado",36.30%,± 16.7%
"Kiowa County, Kansas",18.80%,± 7.5%
"Kiowa County, Oklahoma",29.50%,± 7.9%
"Kit Carson County, Colorado",21.60%,± 7.5%
"Kitsap County, Washington",18.90%,± 1.7%
"Kittitas County, Washington",11.40%,± 3.7%
"Kittson County, Minnesota",21.70%,± 5.7%
"Klamath County, Oregon",22.10%,± 4.2%
"Kleberg County, Texas",27.30%,± 7.6%
"Klickitat County, Washington",17.70%,± 7.4%
"Knott County, Kentucky",25.70%,± 6.6%
"Knox County, Illinois",24.10%,± 3.4%
"Knox County, Indiana",23%,± 5.1%
"Knox County, Kentucky",20.40%,± 6.5%
"Knox County, Maine",15.80%,± 3.8%
"Knox County, Missouri",20.50%,± 10.7%
"Knox County, Nebraska",27.10%,± 6.9%
"Knox County, Ohio",15.80%,± 2.9%
"Knox County, Tennessee",17.90%,± 1.6%
"Knox County, Texas",24.30%,± 10.3%
"Kodiak Island Borough, Alaska",24.30%,± 7.4%
"Koochiching County, Minnesota",23.30%,± 6.5%
"Kootenai County, Idaho",22.40%,± 2.6%
"Kosciusko County, Indiana",19.30%,± 3%
"Kossuth County, Iowa",20.10%,± 4.6%
"Kusilvak Census Area, Alaska",33.90%,± 5.5%
"La Crosse County, Wisconsin",18.80%,± 2.7%
"La Paz County, Arizona",26.70%,± 5.8%
"La Plata County, Colorado",20%,± 3.6%
"La Salle County, Texas",22.30%,± 25.5%
"Labette County, Kansas",26%,± 5.3%
"Lac qui Parle County, Minnesota",18.30%,± 4.1%
"Lackawanna County, Pennsylvania",18.90%,± 2.1%
"Laclede County, Missouri",23%,± 4%
"Lafayette County, Arkansas",5.40%,± 5.6%
"Lafayette County, Florida",37%,± 13%
"Lafayette County, Mississippi",18.80%,± 6.3%
"Lafayette County, Missouri",20.70%,± 6.3%
"Lafayette County, Wisconsin",23.90%,± 3.4%
"Lafayette Parish, Louisiana",21.10%,± 2.6%
"Lafourche Parish, Louisiana",20.20%,± 3.1%
"LaGrange County, Indiana",30.80%,± 4.4%
"Lajas Municipio, Puerto Rico",16.80%,± 9.6%
"Lake and Peninsula Borough, Alaska",47.60%,± 11.2%
"Lake County, California",13.10%,± 3.4%
"Lake County, Colorado",9.60%,± 9%
"Lake County, Florida",23.50%,± 3.1%
"Lake County, Illinois",19%,± 1.3%
"Lake County, Indiana",21.20%,± 1.3%
"Lake County, Michigan",21.50%,± 6.1%
"Lake County, Minnesota",18.20%,± 6.2%
"Lake County, Montana",17.50%,± 3.1%
"Lake County, Ohio",16.60%,± 2.1%
"Lake County, Oregon",21%,± 10.2%
"Lake County, South Dakota",22%,± 5.9%
"Lake County, Tennessee",14.50%,± 9.1%
"Lake of the Woods County, Minnesota",40.90%,± 14.1%
"Lamar County, Alabama",15.50%,± 6.4%
"Lamar County, Georgia",18.50%,± 9.7%
"Lamar County, Mississippi",17.90%,± 3.5%
"Lamar County, Texas",21%,± 3.4%
"Lamb County, Texas",28.10%,± 5.6%
"Lamoille County, Vermont",17.60%,± 4%
"LaMoure County, North Dakota",32.50%,± 7.2%
"Lampasas County, Texas",18%,± 6.3%
"Lancaster County, Nebraska",23.30%,± 1.7%
"Lancaster County, Pennsylvania",20.30%,± 1.4%
"Lancaster County, South Carolina",19.40%,± 3.7%
"Lancaster County, Virginia",21.60%,± 10.8%
"Lander County, Nevada",11.50%,± 11%
"Lane County, Kansas",26.70%,± 15.6%
"Lane County, Oregon",16.80%,± 1.6%
"Langlade County, Wisconsin",18%,± 5.5%
"Lanier County, Georgia",28.90%,± 11.5%
"Lapeer County, Michigan",20.30%,± 2.5%
"LaPorte County, Indiana",20.80%,± 3.1%
"Laramie County, Wyoming",21%,± 2.9%
"Lares Municipio, Puerto Rico",16.30%,± 7.3%
"Larimer County, Colorado",17.90%,± 1.6%
"Larue County, Kentucky",18.20%,± 6.8%
"Las Animas County, Colorado",24.30%,± 8.4%
"Las Marías Municipio, Puerto Rico",17.90%,± 9.8%
"Las Piedras Municipio, Puerto Rico",12.10%,± 6%
"LaSalle County, Illinois",20.70%,± 2%
"LaSalle Parish, Louisiana",31.30%,± 12.6%
"Lassen County, California",27.70%,± 6.4%
"Latah County, Idaho",20.40%,± 4.8%
"Latimer County, Oklahoma",18.30%,± 5.9%
"Lauderdale County, Alabama",17.60%,± 3%
"Lauderdale County, Mississippi",18.30%,± 4.2%
"Lauderdale County, Tennessee",26.40%,± 6.4%
"Laurel County, Kentucky",22.50%,± 4%
"Laurens County, Georgia",18.30%,± 3.9%
"Laurens County, South Carolina",18%,± 4.5%
"Lavaca County, Texas",23.20%,± 5.5%
"Lawrence County, Alabama",14.70%,± 4.1%
"Lawrence County, Arkansas",21%,± 5.5%
"Lawrence County, Illinois",18.70%,± 6.4%
"Lawrence County, Indiana",16.60%,± 3.7%
"Lawrence County, Kentucky",20.80%,± 7.3%
"Lawrence County, Mississippi",21%,± 9.8%
"Lawrence County, Missouri",23.50%,± 3.8%
"Lawrence County, Ohio",20.30%,± 4%
"Lawrence County, Pennsylvania",17.10%,± 2.6%
"Lawrence County, South Dakota",17.30%,± 5.7%
"Lawrence County, Tennessee",20.70%,± 4.6%
"Le Flore County, Oklahoma",24.10%,± 3.1%
"Le Sueur County, Minnesota",19.90%,± 3.6%
"Lea County, New Mexico",27.40%,± 4.1%
"Leake County, Mississippi",18.10%,± 5.6%
"Leavenworth County, Kansas",22.60%,± 3.6%
"Lebanon County, Pennsylvania",19.50%,± 2.8%
"Lee County, Alabama",16.60%,± 2.6%
"Lee County, Arkansas",16.50%,± 8.2%
"Lee County, Florida",18.80%,± 1.5%
"Lee County, Georgia",21.80%,± 7.5%
"Lee County, Illinois",18.80%,± 4.4%
"Lee County, Iowa",16.20%,± 3.4%
"Lee County, Kentucky",17.10%,± 10.6%
"Lee County, Mississippi",22.50%,± 3.8%
"Lee County, North Carolina",21.60%,± 3.8%
"Lee County, South Carolina",26.90%,± 10.3%
"Lee County, Texas",25.10%,± 9%
"Lee County, Virginia",25.20%,± 7.7%
"Leelanau County, Michigan",15%,± 4.3%
"Leflore County, Mississippi",24.70%,± 7.3%
"Lehigh County, Pennsylvania",20.50%,± 1.9%
"Lemhi County, Idaho",28.40%,± 12.2%
"Lenawee County, Michigan",20%,± 2.5%
"Lenoir County, North Carolina",23.30%,± 3.9%
"Leon County, Florida",16.70%,± 2%
"Leon County, Texas",19.20%,± 6.8%
"Leslie County, Kentucky",19.20%,± 10.8%
"Letcher County, Kentucky",14.50%,± 5.6%
"Levy County, Florida",19.90%,± 5.9%
"Lewis and Clark County, Montana",17.40%,± 3%
"Lewis County, Idaho",22.40%,± 6.5%
"Lewis County, Kentucky",18.20%,± 8%
"Lewis County, Missouri",16.40%,± 6.5%
"Lewis County, New York",18.10%,± 2.9%
"Lewis County, Tennessee",18.30%,± 10.1%
"Lewis County, Washington",22.20%,± 3.4%
"Lewis County, West Virginia",18%,± 6.4%
"Lexington city, Virginia",13.40%,± 15.3%
"Lexington County, South Carolina",18.40%,± 1.6%
"Liberty County, Florida",14.70%,± 7.5%
"Liberty County, Georgia",25.40%,± 4.8%
"Liberty County, Montana",10.40%,± 7.1%
"Liberty County, Texas",31.30%,± 4.6%
"Licking County, Ohio",21.30%,± 2.4%
"Limestone County, Alabama",23.80%,± 3.9%
"Limestone County, Texas",27.50%,± 6.6%
"Lincoln County, Arkansas",18.80%,± 9.2%
"Lincoln County, Colorado",32.80%,± 8.9%
"Lincoln County, Georgia",13.30%,± 7.5%
"Lincoln County, Idaho",19.60%,± 7%
"Lincoln County, Kansas",23%,± 12%
"Lincoln County, Kentucky",22.60%,± 6.1%
"Lincoln County, Maine",23.20%,± 5%
"Lincoln County, Minnesota",20.90%,± 4.8%
"Lincoln County, Mississippi",26.80%,± 7.9%
"Lincoln County, Missouri",24.40%,± 4.4%
"Lincoln County, Montana",19.80%,± 6.8%
"Lincoln County, Nebraska",22.80%,± 5.1%
"Lincoln County, Nevada",12.90%,± 13.3%
"Lincoln County, New Mexico",24.60%,± 9.4%
"Lincoln County, North Carolina",14.90%,± 3%
"Lincoln County, Oklahoma",23.80%,± 2.9%
"Lincoln County, Oregon",20.20%,± 5.1%
"Lincoln County, South Dakota",19.40%,± 3.5%
