Geography,"Natural resources, construction, and maintenance occupations—Civilian employed population 16 years and over—Estimate",MoE
"Greene County, Virginia",14.20%,± 2.5%
"Greenlee County, Arizona",28.30%,± 6.5%
"Greensville County, Virginia",8.60%,± 3.5%
"Greenup County, Kentucky",12.90%,± 2.1%
"Greenville County, South Carolina",7.60%,± 0.5%
"Greenwood County, Kansas",16%,± 3.1%
"Greenwood County, South Carolina",9.20%,± 1.5%
"Greer County, Oklahoma",9.60%,± 3.6%
"Gregg County, Texas",10.70%,± 1.1%
"Gregory County, South Dakota",12.90%,± 2.9%
"Grenada County, Mississippi",13.10%,± 3.3%
"Griggs County, North Dakota",13%,± 3.7%
"Grimes County, Texas",13.60%,± 3%
"Grundy County, Illinois",11.90%,± 1.7%
"Grundy County, Iowa",12.20%,± 1.9%
"Grundy County, Missouri",9.80%,± 2.5%
"Grundy County, Tennessee",14.10%,± 2.7%
"Guadalupe County, New Mexico",23.90%,± 11.3%
"Guadalupe County, Texas",9.80%,± 0.9%
"Guánica Municipio, Puerto Rico",7.50%,± 3%
"Guayama Municipio, Puerto Rico",8.70%,± 2%
"Guayanilla Municipio, Puerto Rico",14.10%,± 3.7%
"Guaynabo Municipio, Puerto Rico",6.10%,± 1%
"Guernsey County, Ohio",11.60%,± 2%
"Guilford County, North Carolina",6.90%,± 0.5%
"Gulf County, Florida",17.10%,± 3.3%
"Gunnison County, Colorado",12.30%,± 2.9%
"Gurabo Municipio, Puerto Rico",9.90%,± 2.5%
"Guthrie County, Iowa",15.60%,± 2.4%
"Gwinnett County, Georgia",9.60%,± 0.5%
"Haakon County, South Dakota",13.30%,± 5.9%
"Habersham County, Georgia",12.40%,± 1.8%
"Haines Borough, Alaska",17.50%,± 9.9%
"Hale County, Alabama",7.40%,± 2.5%
"Hale County, Texas",13.10%,± 2.3%
"Halifax County, North Carolina",7.90%,± 1.4%
"Halifax County, Virginia",9.80%,± 1.7%
"Hall County, Georgia",12.20%,± 0.9%
"Hall County, Nebraska",10.90%,± 1.4%
"Hall County, Texas",16%,± 5.6%
"Hamblen County, Tennessee",9.60%,± 1.7%
"Hamilton County, Florida",9.40%,± 3.2%
"Hamilton County, Illinois",17.80%,± 4.4%
"Hamilton County, Indiana",4.10%,± 0.4%
"Hamilton County, Iowa",13.70%,± 2.6%
"Hamilton County, Kansas",33%,± 8%
"Hamilton County, Nebraska",12.70%,± 2.9%
"Hamilton County, New York",13.80%,± 4.1%
"Hamilton County, Ohio",5.30%,± 0.3%
"Hamilton County, Tennessee",6.90%,± 0.4%
"Hamilton County, Texas",11.70%,± 3%
"Hamlin County, South Dakota",16.10%,± 2.5%
"Hampden County, Massachusetts",7.20%,± 0.5%
"Hampshire County, Massachusetts",6.20%,± 0.7%
"Hampshire County, West Virginia",13.20%,± 2.7%
"Hampton city, Virginia",8.60%,± 1%
"Hampton County, South Carolina",12.40%,± 3.1%
"Hancock County, Georgia",8.20%,± 2.9%
"Hancock County, Illinois",11.20%,± 1.8%
"Hancock County, Indiana",11%,± 1.3%
"Hancock County, Iowa",13.40%,± 2.1%
"Hancock County, Kentucky",11.70%,± 2.8%
"Hancock County, Maine",14.20%,± 1.1%
"Hancock County, Mississippi",12.90%,± 2.8%
"Hancock County, Ohio",7.30%,± 1.1%
"Hancock County, Tennessee",9.50%,± 3.2%
"Hancock County, West Virginia",12.10%,± 2.6%
"Hand County, South Dakota",12.30%,± 3.4%
"Hanover County, Virginia",9.10%,± 1%
"Hansford County, Texas",15.70%,± 4.5%
"Hanson County, South Dakota",12.20%,± 2.2%
"Haralson County, Georgia",12.80%,± 2.3%
"Hardee County, Florida",19.70%,± 4.5%
"Hardeman County, Tennessee",5.40%,± 1.4%
"Hardeman County, Texas",13.90%,± 4.4%
"Hardin County, Illinois",10.60%,± 3.9%
"Hardin County, Iowa",15.70%,± 2.3%
"Hardin County, Kentucky",9.30%,± 1.2%
"Hardin County, Ohio",11.20%,± 2.1%
"Hardin County, Tennessee",10.60%,± 2.2%
"Hardin County, Texas",11%,± 2.1%
"Harding County, New Mexico",13.80%,± 10.6%
"Harding County, South Dakota",20.10%,± 6.2%
"Hardy County, West Virginia",9.70%,± 2.9%
"Harford County, Maryland",7.60%,± 0.6%
"Harlan County, Kentucky",13.20%,± 2.6%
"Harlan County, Nebraska",13.70%,± 2.8%
"Harmon County, Oklahoma",13.90%,± 4.1%
"Harnett County, North Carolina",12.60%,± 1.2%
"Harney County, Oregon",10.80%,± 3.2%
"Harper County, Kansas",17.50%,± 3.6%
"Harper County, Oklahoma",20.50%,± 6.3%
"Harris County, Georgia",9.60%,± 1.9%
"Harris County, Texas",11.40%,± 0.2%
"Harrison County, Indiana",13.10%,± 1.8%
"Harrison County, Iowa",13.40%,± 2%
"Harrison County, Kentucky",13.70%,± 2.9%
"Harrison County, Mississippi",9%,± 0.9%
"Harrison County, Missouri",12.20%,± 2.4%
"Harrison County, Ohio",17%,± 3%
"Harrison County, Texas",13.70%,± 2.2%
"Harrison County, West Virginia",9.50%,± 1.2%
"Harrisonburg city, Virginia",9.10%,± 2%
"Hart County, Georgia",12%,± 2.9%
"Hart County, Kentucky",14.80%,± 2.6%
"Hartley County, Texas",9.50%,± 3.2%
"Harvey County, Kansas",9.90%,± 1.8%
"Haskell County, Kansas",22.30%,± 4.8%
"Haskell County, Oklahoma",16.30%,± 1.9%
"Haskell County, Texas",15.90%,± 4.5%
"Hatillo Municipio, Puerto Rico",10.50%,± 2.7%
"Hawaii County, Hawaii",11.70%,± 1.1%
"Hawkins County, Tennessee",10.90%,± 1.3%
"Hayes County, Nebraska",16.40%,± 6.8%
"Hays County, Texas",9.10%,± 0.8%
"Haywood County, North Carolina",8%,± 1.2%
"Haywood County, Tennessee",8.80%,± 1.9%
"Heard County, Georgia",22.10%,± 4%
"Hemphill County, Texas",29.90%,± 6.3%
"Hempstead County, Arkansas",15.50%,± 3.2%
"Henderson County, Illinois",11.30%,± 2.8%
"Henderson County, Kentucky",11.90%,± 1.9%
"Henderson County, North Carolina",9.70%,± 1.2%
"Henderson County, Tennessee",10.40%,± 2.3%
"Henderson County, Texas",12.70%,± 1.3%
"Hendricks County, Indiana",6.20%,± 0.6%
"Hendry County, Florida",23.50%,± 3.8%
"Hennepin County, Minnesota",3.90%,± 0.2%
"Henrico County, Virginia",6%,± 0.5%
"Henry County, Alabama",11.70%,± 2.2%
"Henry County, Georgia",8.50%,± 0.9%
"Henry County, Illinois",11%,± 1.3%
"Henry County, Indiana",9%,± 1%
"Henry County, Iowa",10.50%,± 1.5%
"Henry County, Kentucky",12.90%,± 2%
"Henry County, Missouri",11.80%,± 1.6%
"Henry County, Ohio",10.50%,± 1.4%
"Henry County, Tennessee",12.10%,± 2%
"Henry County, Virginia",11.60%,± 2.1%
"Herkimer County, New York",10.20%,± 1.2%
"Hernando County, Florida",10.80%,± 0.9%
"Hertford County, North Carolina",10.50%,± 2.6%
"Hettinger County, North Dakota",14.40%,± 3.8%
"Hickman County, Kentucky",6.20%,± 3.6%
"Hickman County, Tennessee",14.10%,± 2.5%
"Hickory County, Missouri",17%,± 5.4%
"Hidalgo County, New Mexico",17.20%,± 4.4%
"Hidalgo County, Texas",14.20%,± 0.6%
"Highland County, Ohio",11.20%,± 1.7%
"Highland County, Virginia",17.40%,± 6.4%
"Highlands County, Florida",14.70%,± 1.8%
"Hill County, Montana",13.20%,± 2.6%
"Hill County, Texas",15.30%,± 1.9%
"Hillsborough County, Florida",8.80%,± 0.3%
"Hillsborough County, New Hampshire",8.10%,± 0.5%
"Hillsdale County, Michigan",10.20%,± 1%
"Hinds County, Mississippi",7%,± 0.7%
"Hinsdale County, Colorado",7.70%,± 3.7%
"Hitchcock County, Nebraska",9.60%,± 2.3%
"Hocking County, Ohio",11.90%,± 2.1%
"Hockley County, Texas",16.30%,± 2.6%
"Hodgeman County, Kansas",17.40%,± 4.6%
"Hoke County, North Carolina",8.80%,± 1.4%
"Holmes County, Florida",15.30%,± 2.8%
"Holmes County, Mississippi",13.10%,± 5.1%
"Holmes County, Ohio",13.70%,± 1.5%
"Holt County, Missouri",12.20%,± 2.4%
"Holt County, Nebraska",13.60%,± 2.3%
"Honolulu County, Hawaii",8.40%,± 0.3%
"Hood County, Texas",10.10%,± 1.9%
"Hood River County, Oregon",17.20%,± 2.9%
"Hooker County, Nebraska",21.10%,± 8.9%
"Hoonah-Angoon Census Area, Alaska",10.60%,± 3.2%
"Hopewell city, Virginia",9.60%,± 2.6%
"Hopkins County, Kentucky",13%,± 2.2%
"Hopkins County, Texas",14.40%,± 2%
"Hormigueros Municipio, Puerto Rico",5.20%,± 2.2%
"Horry County, South Carolina",10.40%,± 0.7%
"Hot Spring County, Arkansas",13.50%,± 2.6%
"Hot Springs County, Wyoming",12.90%,± 4.7%
"Houghton County, Michigan",10.30%,± 1.5%
"Houston County, Alabama",9.30%,± 0.6%
"Houston County, Georgia",8.90%,± 1%
"Houston County, Minnesota",13%,± 1.6%
"Houston County, Tennessee",18.30%,± 4.9%
"Houston County, Texas",9.40%,± 2.4%
"Howard County, Arkansas",15%,± 3.7%
"Howard County, Indiana",7.50%,± 0.9%
"Howard County, Iowa",16.70%,± 3.1%
"Howard County, Maryland",3.50%,± 0.4%
"Howard County, Missouri",10.30%,± 2.2%
"Howard County, Nebraska",15.20%,± 3.3%
"Howard County, Texas",16.50%,± 2.8%
"Howell County, Missouri",10.60%,± 1.6%
"Hubbard County, Minnesota",13.10%,± 1.4%
"Hudson County, New Jersey",6.50%,± 0.4%
"Hudspeth County, Texas",24.50%,± 14.5%
"Huerfano County, Colorado",10.80%,± 4.3%
"Hughes County, Oklahoma",13.80%,± 2.6%
"Hughes County, South Dakota",7.10%,± 2.4%
"Humacao Municipio, Puerto Rico",9.90%,± 2.1%
"Humboldt County, California",10.40%,± 1.2%
"Humboldt County, Iowa",11.10%,± 2.2%
"Humboldt County, Nevada",21.30%,± 3.7%
"Humphreys County, Mississippi",15%,± 5%
"Humphreys County, Tennessee",12.90%,± 2.7%
"Hunt County, Texas",12.30%,± 1.3%
"Hunterdon County, New Jersey",7.20%,± 0.8%
"Huntingdon County, Pennsylvania",13.20%,± 1.1%
"Huntington County, Indiana",9.70%,± 1.3%
"Huron County, Michigan",12.90%,± 1.3%
"Huron County, Ohio",12.80%,± 1.5%
"Hutchinson County, South Dakota",13.40%,± 3.4%
"Hutchinson County, Texas",16.40%,± 3.5%
"Hyde County, North Carolina",6.40%,± 5.3%
"Hyde County, South Dakota",15.10%,± 5.4%
"Iberia Parish, Louisiana",14.20%,± 1.9%
"Iberville Parish, Louisiana",13.30%,± 2.9%
"Ida County, Iowa",15.50%,± 2.5%
"Idaho County, Idaho",15.10%,± 3.7%
"Imperial County, California",15.20%,± 1.5%
"Independence County, Arkansas",12.70%,± 2.6%
"Indian River County, Florida",9.10%,± 1.2%
"Indiana County, Pennsylvania",11.50%,± 1%
"Ingham County, Michigan",5.50%,± 0.4%
"Inyo County, California",9.80%,± 2.2%
"Ionia County, Michigan",13.90%,± 1.2%
"Iosco County, Michigan",16.80%,± 2.1%
"Iowa County, Iowa",12.80%,± 1.8%
"Iowa County, Wisconsin",15%,± 1.5%
"Iredell County, North Carolina",9%,± 0.7%
"Irion County, Texas",21.10%,± 6.8%
"Iron County, Michigan",12.20%,± 1.9%
"Iron County, Missouri",15.30%,± 2.9%
"Iron County, Utah",11.90%,± 1.7%
"Iron County, Wisconsin",14.40%,± 2.3%
"Iroquois County, Illinois",13.50%,± 1.1%
"Irwin County, Georgia",13.60%,± 4.8%
"Isabela Municipio, Puerto Rico",8.70%,± 2.7%
"Isabella County, Michigan",8.40%,± 0.9%
"Isanti County, Minnesota",16.50%,± 1.6%
"Island County, Washington",11%,± 1.4%
"Isle of Wight County, Virginia",9.70%,± 1.8%
"Issaquena County, Mississippi",30.40%,± 15%
"Itasca County, Minnesota",12.60%,± 1.2%
"Itawamba County, Mississippi",11.70%,± 2.7%
"Izard County, Arkansas",14%,± 4.1%
"Jack County, Texas",17.20%,± 4.3%
"Jackson County, Alabama",13.20%,± 1.8%
"Jackson County, Arkansas",12.70%,± 3%
"Jackson County, Colorado",14.20%,± 6%
"Jackson County, Florida",13.20%,± 1.9%
"Jackson County, Georgia",9.30%,± 1.1%
"Jackson County, Illinois",7.90%,± 1.1%
"Jackson County, Indiana",9.30%,± 1.5%
"Jackson County, Iowa",14.70%,± 2.3%
"Jackson County, Kansas",18.50%,± 2.8%
"Jackson County, Kentucky",10.40%,± 3.9%
"Jackson County, Michigan",9.30%,± 1%
"Jackson County, Minnesota",13.70%,± 2%
"Jackson County, Mississippi",12.10%,± 1.2%
"Jackson County, Missouri",8.20%,± 0.4%
"Jackson County, North Carolina",9.20%,± 2%
"Jackson County, Ohio",11.20%,± 2%
"Jackson County, Oklahoma",16.80%,± 2.1%
"Jackson County, Oregon",8.30%,± 0.9%
"Jackson County, South Dakota",3.30%,± 2.7%
"Jackson County, Tennessee",17.40%,± 3.9%
"Jackson County, Texas",20.70%,± 3.7%
"Jackson County, West Virginia",11.10%,± 3.1%
"Jackson County, Wisconsin",14.20%,± 1.7%
"Jackson Parish, Louisiana",12.10%,± 2.8%
"James City County, Virginia",6.30%,± 1.2%
"Jasper County, Georgia",15.20%,± 3.6%
"Jasper County, Illinois",15.10%,± 3%
"Jasper County, Indiana",15.60%,± 1.9%
"Jasper County, Iowa",11.20%,± 1.5%
"Jasper County, Mississippi",12.20%,± 3.5%
"Jasper County, Missouri",7.40%,± 0.8%
"Jasper County, South Carolina",15.30%,± 2.9%
"Jasper County, Texas",14.90%,± 2.8%
"Jay County, Indiana",13.60%,± 2.8%
"Jayuya Municipio, Puerto Rico",11.90%,± 4.8%
"Jeff Davis County, Georgia",12.50%,± 3.9%
"Jeff Davis County, Texas",13.20%,± 11%
"Jefferson County, Alabama",7%,± 0.4%
"Jefferson County, Arkansas",7.60%,± 1.3%
"Jefferson County, Colorado",7.10%,± 0.4%
"Jefferson County, Florida",12%,± 3.1%
"Jefferson County, Georgia",14.80%,± 3.8%
"Jefferson County, Idaho",15.40%,± 2%
"Jefferson County, Illinois",9.90%,± 1.2%
"Jefferson County, Indiana",9.10%,± 1.4%
"Jefferson County, Iowa",10%,± 2.1%
"Jefferson County, Kansas",19.10%,± 2.6%
"Jefferson County, Kentucky",6.10%,± 0.3%
"Jefferson County, Mississippi",9.10%,± 6.4%
"Jefferson County, Missouri",13.50%,± 0.9%
"Jefferson County, Montana",14%,± 2.4%
"Jefferson County, Nebraska",16.30%,± 3.7%
"Jefferson County, New York",10.10%,± 1.1%
"Jefferson County, Ohio",9.90%,± 1.1%
"Jefferson County, Oklahoma",17.30%,± 2.9%
"Jefferson County, Oregon",10.60%,± 1.9%
"Jefferson County, Pennsylvania",13.30%,± 1%
"Jefferson County, Tennessee",11.50%,± 1.7%
"Jefferson County, Texas",13.40%,± 0.9%
"Jefferson County, Washington",10.70%,± 2.2%
"Jefferson County, West Virginia",9.70%,± 1.1%
"Jefferson County, Wisconsin",10.90%,± 0.9%
"Jefferson Davis County, Mississippi",11.50%,± 3.6%
"Jefferson Davis Parish, Louisiana",17.70%,± 2.5%
"Jefferson Parish, Louisiana",10.90%,± 0.7%
"Jenkins County, Georgia",8.50%,± 3.9%
"Jennings County, Indiana",14.40%,± 2.6%
"Jerauld County, South Dakota",8.70%,± 3.3%
"Jerome County, Idaho",22.10%,± 3.1%
"Jersey County, Illinois",10.70%,± 2.4%
"Jessamine County, Kentucky",8.90%,± 1.5%
"Jewell County, Kansas",10.20%,± 3.1%
"Jim Hogg County, Texas",22.30%,± 10.6%
"Jim Wells County, Texas",16.90%,± 2.8%
"Jo Daviess County, Illinois",10.70%,± 1.5%
"Johnson County, Arkansas",10%,± 2.1%
"Johnson County, Georgia",22.90%,± 6.2%
"Johnson County, Illinois",10.90%,± 3%
"Johnson County, Indiana",9%,± 1%
"Johnson County, Iowa",5.40%,± 0.6%
"Johnson County, Kansas",4.40%,± 0.3%
"Johnson County, Kentucky",8.20%,± 2.4%
"Johnson County, Missouri",9.80%,± 1.4%
"Johnson County, Nebraska",15.40%,± 4%
"Johnson County, Tennessee",13.10%,± 2.9%
"Johnson County, Texas",10.60%,± 1%
"Johnson County, Wyoming",11.70%,± 3.5%
"Johnston County, North Carolina",12.90%,± 0.9%
"Johnston County, Oklahoma",11.60%,± 2.4%
"Jones County, Georgia",11.70%,± 2.2%
"Jones County, Iowa",10.50%,± 1.8%
"Jones County, Mississippi",12.40%,± 2%
"Jones County, North Carolina",15%,± 3%
"Jones County, South Dakota",11.90%,± 5.7%
"Jones County, Texas",17.20%,± 3.7%
"Josephine County, Oregon",8.20%,± 1.3%
"Juab County, Utah",13.60%,± 3.4%
"Juana Díaz Municipio, Puerto Rico",10.90%,± 2.4%
"Judith Basin County, Montana",13.90%,± 3.9%
"Juncos Municipio, Puerto Rico",9%,± 2.5%
"Juneau City and Borough, Alaska",11.10%,± 1.6%
"Juneau County, Wisconsin",11%,± 1.1%
"Juniata County, Pennsylvania",17%,± 1.6%
"Kalamazoo County, Michigan",6.40%,± 0.6%
"Kalawao County, Hawaii",11.10%,± 23.2%
"Kalkaska County, Michigan",15.30%,± 2%
"Kanabec County, Minnesota",16.60%,± 1.8%
"Kanawha County, West Virginia",6.30%,± 0.9%
"Kandiyohi County, Minnesota",11%,± 1.3%
"Kane County, Illinois",7.50%,± 0.4%
"Kane County, Utah",5.20%,± 2.3%
"Kankakee County, Illinois",9.60%,± 1.2%
"Karnes County, Texas",15.50%,± 4.7%
"Kauai County, Hawaii",9.70%,± 1.3%
"Kaufman County, Texas",10.80%,± 1%
"Kay County, Oklahoma",14.10%,± 1.2%
"Kearney County, Nebraska",14.70%,± 3%
"Kearny County, Kansas",22.70%,± 6.9%
"Keith County, Nebraska",12.80%,± 2.6%
"Kemper County, Mississippi",5.70%,± 3.1%
"Kenai Peninsula Borough, Alaska",14.40%,± 1.5%
"Kendall County, Illinois",8.60%,± 1.2%
"Kendall County, Texas",9%,± 1.3%
"Kenedy County, Texas",30.40%,± 33%
"Kennebec County, Maine",10.80%,± 1.2%
"Kenosha County, Wisconsin",8.10%,± 0.7%
"Kent County, Delaware",9.50%,± 1.1%
"Kent County, Maryland",9.20%,± 2%
"Kent County, Michigan",6.70%,± 0.4%
"Kent County, Rhode Island",7.90%,± 0.8%
"Kent County, Texas",25.90%,± 10%
"Kenton County, Kentucky",6.50%,± 0.6%
"Keokuk County, Iowa",14.10%,± 2.5%
"Kern County, California",18.90%,± 0.6%
"Kerr County, Texas",11.60%,± 1.4%
"Kershaw County, South Carolina",10.80%,± 1.6%
"Ketchikan Gateway Borough, Alaska",11.20%,± 1.8%
"Kewaunee County, Wisconsin",16.20%,± 1.8%
"Keweenaw County, Michigan",11.80%,± 5.1%
"Keya Paha County, Nebraska",20.70%,± 7.2%
"Kidder County, North Dakota",17.70%,± 3.7%
"Kimball County, Nebraska",12.80%,± 4.4%
"Kimble County, Texas",18.80%,± 7%
"King and Queen County, Virginia",16.70%,± 5%
"King County, Texas",23.50%,± 19.3%
"King County, Washington",5.10%,± 0.2%
"King George County, Virginia",7.90%,± 1.9%
"King William County, Virginia",12.10%,± 2.6%
"Kingfisher County, Oklahoma",18.10%,± 3.3%
"Kingman County, Kansas",11.60%,± 3.7%
"Kings County, California",20.30%,± 1.5%
"Kings County, New York",5.50%,± 0.2%
"Kingsbury County, South Dakota",13.30%,± 2.4%
"Kinney County, Texas",6.80%,± 7.3%
"Kiowa County, Colorado",19%,± 5.5%
"Kiowa County, Kansas",12.80%,± 3%
"Kiowa County, Oklahoma",18.70%,± 3.3%
"Kit Carson County, Colorado",19.40%,± 3.5%
"Kitsap County, Washington",10.30%,± 0.8%
"Kittitas County, Washington",9.70%,± 1.6%
"Kittson County, Minnesota",12.80%,± 2.2%
"Klamath County, Oregon",11.50%,± 1.6%
"Kleberg County, Texas",12.80%,± 2.8%
"Klickitat County, Washington",15.50%,± 3%
"Knott County, Kentucky",11.20%,± 3.8%
"Knox County, Illinois",10%,± 1.3%
"Knox County, Indiana",9%,± 1.3%
"Knox County, Kentucky",8.30%,± 2.3%
"Knox County, Maine",14.80%,± 1.8%
"Knox County, Missouri",17.90%,± 5%
"Knox County, Nebraska",15%,± 1.9%
"Knox County, Ohio",10.30%,± 1.3%
"Knox County, Tennessee",7.30%,± 0.4%
"Knox County, Texas",21.30%,± 5.2%
"Kodiak Island Borough, Alaska",12%,± 3%
"Koochiching County, Minnesota",14.50%,± 2.8%
"Kootenai County, Idaho",11.60%,± 1.1%
"Kosciusko County, Indiana",9%,± 1.1%
"Kossuth County, Iowa",14.80%,± 2.3%
"Kusilvak Census Area, Alaska",10.90%,± 3.5%
"La Crosse County, Wisconsin",6.80%,± 0.7%
"La Paz County, Arizona",16.40%,± 4%
"La Plata County, Colorado",9%,± 1.3%
"La Salle County, Texas",32.80%,± 10.9%
"Labette County, Kansas",10.90%,± 2.2%
"Lac qui Parle County, Minnesota",13.50%,± 1.6%
"Lackawanna County, Pennsylvania",7.30%,± 0.6%
"Laclede County, Missouri",10.10%,± 1.9%
"Lafayette County, Arkansas",13%,± 4.1%
"Lafayette County, Florida",19.20%,± 7%
"Lafayette County, Mississippi",6.20%,± 1.6%
"Lafayette County, Missouri",16%,± 2.1%
"Lafayette County, Wisconsin",16.70%,± 1.4%
"Lafayette Parish, Louisiana",8.30%,± 0.8%
"Lafourche Parish, Louisiana",13.10%,± 1.2%
"LaGrange County, Indiana",13.70%,± 2%
"Lajas Municipio, Puerto Rico",9.70%,± 3.9%
"Lake and Peninsula Borough, Alaska",22.20%,± 16.5%
"Lake County, California",14.80%,± 1.9%
"Lake County, Colorado",17.40%,± 4.5%
"Lake County, Florida",10.10%,± 0.8%
"Lake County, Illinois",5.60%,± 0.3%
"Lake County, Indiana",9.80%,± 0.5%
"Lake County, Michigan",12.20%,± 2.2%
"Lake County, Minnesota",13.30%,± 3%
"Lake County, Montana",9.90%,± 1.3%
"Lake County, Ohio",7%,± 0.5%
"Lake County, Oregon",10.90%,± 3%
"Lake County, South Dakota",12.60%,± 2.1%
"Lake County, Tennessee",9.20%,± 4.3%
"Lake of the Woods County, Minnesota",13.50%,± 4.5%
"Lamar County, Alabama",9.80%,± 2.5%
"Lamar County, Georgia",11.40%,± 3.5%
"Lamar County, Mississippi",8.10%,± 1.6%
"Lamar County, Texas",13.10%,± 2%
"Lamb County, Texas",17.80%,± 2.8%
"Lamoille County, Vermont",12%,± 1.7%
"LaMoure County, North Dakota",13.40%,± 2.5%
"Lampasas County, Texas",11.30%,± 2.1%
"Lancaster County, Nebraska",8.10%,± 0.5%
"Lancaster County, Pennsylvania",10%,± 0.4%
"Lancaster County, South Carolina",9%,± 1.2%
"Lancaster County, Virginia",10.50%,± 3.1%
"Lander County, Nevada",23.70%,± 7.2%
"Lane County, Kansas",16.90%,± 5.4%
"Lane County, Oregon",9.10%,± 0.6%
"Langlade County, Wisconsin",14.20%,± 2.1%
"Lanier County, Georgia",11.70%,± 4%
"Lapeer County, Michigan",13.90%,± 1.2%
"LaPorte County, Indiana",9.60%,± 1%
"Laramie County, Wyoming",12%,± 1.3%
"Lares Municipio, Puerto Rico",14.30%,± 3.1%
"Larimer County, Colorado",7.90%,± 0.5%
"Larue County, Kentucky",10.10%,± 2.9%
"Las Animas County, Colorado",13.20%,± 2.7%
"Las Marías Municipio, Puerto Rico",16.80%,± 8.1%
"Las Piedras Municipio, Puerto Rico",10.50%,± 3.1%
"LaSalle County, Illinois",11.20%,± 0.8%
"LaSalle Parish, Louisiana",23.80%,± 4.5%
"Lassen County, California",11%,± 2.5%
"Latah County, Idaho",9.20%,± 1.6%
"Latimer County, Oklahoma",16.50%,± 2.6%
"Lauderdale County, Alabama",10.20%,± 1.3%
"Lauderdale County, Mississippi",9.10%,± 1.6%
"Lauderdale County, Tennessee",10.60%,± 2.5%
"Laurel County, Kentucky",7.70%,± 1.3%
"Laurens County, Georgia",11.20%,± 1.8%
"Laurens County, South Carolina",11%,± 1.5%
"Lavaca County, Texas",12.80%,± 2.3%
"Lawrence County, Alabama",12.30%,± 2.1%
"Lawrence County, Arkansas",14.80%,± 2.1%
"Lawrence County, Illinois",13.30%,± 3.4%
"Lawrence County, Indiana",11.90%,± 1.7%
"Lawrence County, Kentucky",13.80%,± 3.4%
"Lawrence County, Mississippi",20.50%,± 4.9%
"Lawrence County, Missouri",10.60%,± 1.8%
"Lawrence County, Ohio",7.90%,± 1.3%
"Lawrence County, Pennsylvania",10.20%,± 1%
"Lawrence County, South Dakota",11.90%,± 1.8%
"Lawrence County, Tennessee",12.70%,± 1.8%
"Le Flore County, Oklahoma",13.40%,± 1.2%
"Le Sueur County, Minnesota",12.40%,± 1.3%
"Lea County, New Mexico",19.90%,± 2.3%
"Leake County, Mississippi",15.30%,± 3.1%
"Leavenworth County, Kansas",7.90%,± 1.1%
"Lebanon County, Pennsylvania",9.10%,± 0.9%
"Lee County, Alabama",7.40%,± 1.1%
"Lee County, Arkansas",17.50%,± 5.6%
"Lee County, Florida",11.80%,± 0.6%
"Lee County, Georgia",9.80%,± 2.2%
"Lee County, Illinois",10.20%,± 1.7%
"Lee County, Iowa",10.10%,± 1.6%
"Lee County, Kentucky",14.90%,± 5.9%
"Lee County, Mississippi",8.30%,± 1.2%
"Lee County, North Carolina",11.10%,± 1.6%
"Lee County, South Carolina",11.80%,± 2.1%
"Lee County, Texas",15.60%,± 4.3%
"Lee County, Virginia",13.30%,± 3%
"Leelanau County, Michigan",9.60%,± 1.7%
"Leflore County, Mississippi",6.20%,± 1.6%
"Lehigh County, Pennsylvania",6.60%,± 0.4%
"Lemhi County, Idaho",16.70%,± 4.1%
"Lenawee County, Michigan",9.90%,± 0.9%
"Lenoir County, North Carolina",13%,± 1.7%
"Leon County, Florida",5.20%,± 0.6%
"Leon County, Texas",15.50%,± 3.5%
"Leslie County, Kentucky",17.60%,± 5.5%
"Letcher County, Kentucky",10.30%,± 2.8%
"Levy County, Florida",17.50%,± 2.5%
"Lewis and Clark County, Montana",8.70%,± 1.1%
"Lewis County, Idaho",16.90%,± 3.1%
"Lewis County, Kentucky",18.40%,± 4.2%
"Lewis County, Missouri",9.60%,± 2.7%
"Lewis County, New York",17.20%,± 1.8%
"Lewis County, Tennessee",11.30%,± 3.9%
"Lewis County, Washington",14.90%,± 1.3%
"Lewis County, West Virginia",16.30%,± 3.1%
"Lexington city, Virginia",1.70%,± 1.7%
"Lexington County, South Carolina",10.30%,± 0.8%
"Liberty County, Florida",13.90%,± 5.1%
"Liberty County, Georgia",9.40%,± 2%
"Liberty County, Montana",14.30%,± 8.7%
"Liberty County, Texas",22.30%,± 2.2%
"Licking County, Ohio",8.60%,± 0.7%
"Limestone County, Alabama",10.40%,± 1.2%
"Limestone County, Texas",17.20%,± 2.7%
"Lincoln County, Arkansas",15.30%,± 4.1%
"Lincoln County, Colorado",11.40%,± 3.4%
"Lincoln County, Georgia",12.60%,± 3.1%
"Lincoln County, Idaho",21.70%,± 3.4%
"Lincoln County, Kansas",10.50%,± 3%
"Lincoln County, Kentucky",12.70%,± 2.7%
"Lincoln County, Maine",14.80%,± 1.8%
"Lincoln County, Minnesota",11.80%,± 1.9%
"Lincoln County, Mississippi",13.60%,± 3.2%
"Lincoln County, Missouri",14.80%,± 1.9%
"Lincoln County, Montana",14.80%,± 2.4%
"Lincoln County, Nebraska",13.80%,± 1.9%
"Lincoln County, Nevada",23%,± 9.3%
"Lincoln County, New Mexico",15.30%,± 3.2%
"Lincoln County, North Carolina",9.20%,± 1.2%
"Lincoln County, Oklahoma",14.50%,± 1.4%
"Lincoln County, Oregon",10.40%,± 1.4%
"Lincoln County, South Dakota",6.50%,± 1%
