Geography,"Total—Civilian employed population 16 years and over—Management, business, science, and arts occupations:—Education, legal, community service, arts, and media occupations:—Educational instruction, and library occupations—Estimate",MoE,Total—Civilian employed population 16 years and over—Estimate
"Grady County, Oklahoma","1,529",± 207,"24,964"
"Grafton County, New Hampshire","3,960",± 466,"46,354"
"Graham County, Arizona",788,± 164,"14,064"
"Graham County, Kansas",69,± 31,"1,171"
"Graham County, North Carolina",373,± 161,"3,171"
"Grainger County, Tennessee",528,± 161,"9,746"
"Grand County, Colorado",527,± 193,"8,786"
"Grand County, Utah",226,± 107,"5,690"
"Grand Forks County, North Dakota","3,783",± 444,"39,615"
"Grand Isle County, Vermont",332,± 158,"3,722"
"Grand Traverse County, Michigan","2,771",± 481,"48,469"
"Granite County, Montana",30,± 22,"1,317"
"Grant County, Arkansas",512,± 184,"7,782"
"Grant County, Indiana","1,977",± 301,"29,595"
"Grant County, Kansas",135,± 86,"3,615"
"Grant County, Kentucky",609,± 213,"11,179"
"Grant County, Minnesota",141,± 29,"2,908"
"Grant County, Nebraska",35,± 14,350
"Grant County, New Mexico",706,± 229,"9,795"
"Grant County, North Dakota",87,± 30,"1,047"
"Grant County, Oklahoma",81,± 33,"1,824"
"Grant County, Oregon",177,± 73,"2,943"
"Grant County, South Dakota",156,± 69,"3,779"
"Grant County, Washington","3,137",± 508,"43,461"
"Grant County, West Virginia",219,± 89,"5,055"
"Grant County, Wisconsin","1,814",± 289,"26,205"
"Grant Parish, Louisiana",274,± 108,"7,801"
"Granville County, North Carolina","1,819",± 365,"26,914"
"Gratiot County, Michigan","1,040",± 184,"17,131"
"Graves County, Kentucky",601,± 135,"15,371"
"Gray County, Kansas",227,± 68,"2,937"
"Gray County, Texas",654,± 260,"9,028"
"Grays Harbor County, Washington","2,142",± 449,"29,300"
"Grayson County, Kentucky",805,± 206,"10,639"
"Grayson County, Texas","3,453",± 452,"64,616"
"Grayson County, Virginia",268,± 86,"5,963"
"Greater Bridgeport Planning Region, Connecticut","10,951",± 898,"159,994"
"Greeley County, Kansas",63,± 26,711
"Greeley County, Nebraska",55,± 19,992
"Green County, Kentucky",169,± 72,"4,088"
"Green County, Wisconsin","1,050",± 155,"19,731"
"Green Lake County, Wisconsin",405,± 72,"8,987"
"Greenbrier County, West Virginia",555,± 175,"13,422"
"Greene County, Alabama",147,± 66,"2,355"
"Greene County, Arkansas","1,304",± 290,"19,940"
"Greene County, Georgia",505,± 145,"7,356"
"Greene County, Illinois",274,± 85,"5,547"
"Greene County, Indiana",519,± 149,"13,632"
"Greene County, Iowa",162,± 64,"4,367"
"Greene County, Mississippi",329,± 138,"3,247"
"Greene County, Missouri","9,664",± 909,"145,082"
"Greene County, New York","1,193",± 229,"21,909"
"Greene County, North Carolina",532,± 182,"8,089"
"Greene County, Ohio","5,239",± 601,"79,792"
"Greene County, Pennsylvania",931,± 174,"14,223"
"Greene County, Tennessee","1,740",± 441,"29,264"
"Greene County, Virginia",529,± 178,"10,861"
"Greenlee County, Arizona",299,± 131,"4,148"
"Greensville County, Virginia",440,± 192,"3,928"
"Greenup County, Kentucky","1,211",± 254,"13,741"
"Greenville County, South Carolina","15,292",± 955,"262,211"
"Greenwood County, Kansas",160,± 51,"2,851"
"Greenwood County, South Carolina","1,868",± 328,"29,395"
"Greer County, Oklahoma",113,± 75,"1,935"
"Gregg County, Texas","2,955",± 507,"56,862"
"Gregory County, South Dakota",102,± 28,"1,922"
"Grenada County, Mississippi",824,± 321,"9,044"
"Griggs County, North Dakota",45,± 24,"1,136"
"Grimes County, Texas",772,± 228,"11,659"
"Grundy County, Illinois","1,835",± 349,"26,820"
"Grundy County, Iowa",438,± 89,"6,275"
"Grundy County, Missouri",251,± 77,"4,014"
"Grundy County, Tennessee",393,± 106,"5,389"
"Guadalupe County, New Mexico",80,± 54,"1,634"
"Guadalupe County, Texas","4,734",± 462,"82,433"
"Guánica Municipio, Puerto Rico",259,± 105,"2,984"
"Guayama Municipio, Puerto Rico",677,± 236,"9,386"
"Guayanilla Municipio, Puerto Rico",426,± 168,"4,442"
"Guaynabo Municipio, Puerto Rico","2,289",± 424,"37,187"
"Guernsey County, Ohio",661,± 179,"16,725"
"Guilford County, North Carolina","17,457","± 1,287","263,584"
"Gulf County, Florida",410,± 152,"5,290"
"Gunnison County, Colorado",568,± 159,"10,414"
"Gurabo Municipio, Puerto Rico",556,± 179,"16,686"
"Guthrie County, Iowa",187,± 47,"5,323"
"Gwinnett County, Georgia","26,813","± 1,574","483,028"
"Haakon County, South Dakota",28,± 18,811
"Habersham County, Georgia","1,339",± 254,"21,126"
"Haines Borough, Alaska",72,± 43,806
"Hale County, Alabama",424,± 159,"5,433"
"Hale County, Texas",889,± 228,"13,924"
"Halifax County, North Carolina","1,306",± 339,"18,296"
"Halifax County, Virginia",868,± 238,"13,861"
"Hall County, Georgia","5,228",± 627,"98,562"
"Hall County, Nebraska","1,824",± 289,"31,229"
"Hall County, Texas",84,± 39,"1,166"
"Hamblen County, Tennessee","1,731",± 333,"27,038"
"Hamilton County, Florida",104,± 55,"3,681"
"Hamilton County, Illinois",209,± 102,"3,376"
"Hamilton County, Indiana","11,169",± 980,"186,373"
"Hamilton County, Iowa",483,± 159,"7,256"
"Hamilton County, Kansas",70,± 41,"1,175"
"Hamilton County, Nebraska",370,± 111,"4,721"
"Hamilton County, New York",161,± 66,"2,227"
"Hamilton County, Ohio","24,903","± 1,253","416,219"
"Hamilton County, Tennessee","10,130",± 889,"182,855"
"Hamilton County, Texas",366,± 137,"3,413"
"Hamlin County, South Dakota",198,± 58,"2,988"
"Hampden County, Massachusetts","14,236","± 1,047","213,060"
"Hampshire County, Massachusetts","10,378",± 699,"77,806"
"Hampshire County, West Virginia",471,± 158,"8,739"
"Hampton city, Virginia","3,332",± 448,"62,438"
"Hampton County, South Carolina",413,± 126,"7,271"
"Hancock County, Georgia",98,± 91,"2,530"
"Hancock County, Illinois",420,± 116,"8,194"
"Hancock County, Indiana","2,762",± 547,"42,098"
"Hancock County, Iowa",299,± 86,"5,576"
"Hancock County, Kentucky",250,± 90,"3,973"
"Hancock County, Maine","2,118",± 281,"28,006"
"Hancock County, Mississippi",805,± 279,"20,734"
"Hancock County, Ohio","2,023",± 310,"37,600"
"Hancock County, Tennessee",194,± 73,"2,183"
"Hancock County, West Virginia",885,± 229,"12,537"
"Hand County, South Dakota",164,± 67,"1,623"
"Hanover County, Virginia","3,788",± 368,"57,612"
"Hansford County, Texas",186,± 68,"2,430"
"Hanson County, South Dakota",144,± 41,"1,840"
"Haralson County, Georgia",882,± 244,"14,044"
"Hardee County, Florida",408,± 122,"8,992"
"Hardeman County, Tennessee",227,± 77,"9,045"
"Hardeman County, Texas",89,± 46,"1,810"
"Hardin County, Illinois",45,± 45,"1,230"
"Hardin County, Iowa",384,± 87,"8,378"
"Hardin County, Kentucky","2,528",± 382,"47,348"
"Hardin County, Ohio",884,± 188,"13,911"
"Hardin County, Tennessee",538,± 235,"10,609"
"Hardin County, Texas","1,236",± 370,"24,004"
"Harding County, New Mexico",36,± 29,283
"Harding County, South Dakota",19,± 11,702
"Hardy County, West Virginia",371,± 127,"6,406"
"Harford County, Maryland","7,817",± 703,"136,000"
"Harlan County, Kentucky",543,± 146,"7,463"
"Harlan County, Nebraska",107,± 41,"1,487"
"Harmon County, Oklahoma",50,± 30,"1,095"
"Harnett County, North Carolina","3,663",± 440,"54,157"
"Harney County, Oregon",78,± 42,"3,145"
"Harper County, Kansas",131,± 49,"2,166"
"Harper County, Oklahoma",70,± 40,"1,417"
"Harris County, Georgia","1,341",± 260,"15,747"
"Harris County, Texas","135,904","± 3,759","2,285,175"
"Harrison County, Indiana","1,144",± 298,"18,495"
"Harrison County, Iowa",534,± 104,"7,378"
"Harrison County, Kentucky",500,± 195,"8,446"
"Harrison County, Mississippi","6,346",± 744,"87,340"
"Harrison County, Missouri",238,± 76,"3,374"
"Harrison County, Ohio",315,± 132,"5,681"
"Harrison County, Texas","2,545",± 407,"30,925"
"Harrison County, West Virginia","2,151",± 331,"28,754"
"Harrisonburg city, Virginia","1,986",± 347,"24,694"
"Hart County, Georgia",603,± 205,"11,046"
"Hart County, Kentucky",226,± 104,"7,892"
"Hartley County, Texas",261,± 89,"1,769"
"Harvey County, Kansas","1,004",± 255,"16,775"
"Haskell County, Kansas",80,± 40,"1,811"
"Haskell County, Oklahoma",275,± 65,"4,498"
"Haskell County, Texas",221,± 120,"2,270"
"Hatillo Municipio, Puerto Rico","1,269",± 313,"13,347"
"Hawaii County, Hawaii","6,722",± 530,"89,643"
"Hawkins County, Tennessee","1,348",± 355,"21,929"
"Hayes County, Nebraska",28,± 14,428
"Hays County, Texas","10,020",± 989,"125,414"
"Haywood County, North Carolina","2,066",± 413,"28,010"
"Haywood County, Tennessee",348,± 103,"7,268"
"Heard County, Georgia",334,± 139,"4,705"
"Hemphill County, Texas",114,± 52,"1,561"
"Hempstead County, Arkansas",526,± 155,"7,737"
"Henderson County, Illinois",123,± 46,"2,942"
"Henderson County, Kentucky",824,± 199,"19,627"
"Henderson County, North Carolina","2,919",± 378,"54,554"
"Henderson County, Tennessee",895,± 268,"11,599"
"Henderson County, Texas","2,203",± 404,"33,667"
"Hendricks County, Indiana","6,861",± 748,"93,711"
"Hendry County, Florida","1,037",± 332,"18,209"
"Hennepin County, Minnesota","45,729","± 1,245","703,017"
"Henrico County, Virginia","10,632",± 909,"176,922"
"Henry County, Alabama",477,± 169,"7,321"
"Henry County, Georgia","7,153",± 800,"118,323"
"Henry County, Illinois","1,682",± 253,"23,366"
"Henry County, Indiana","1,257",± 229,"20,604"
"Henry County, Iowa",441,± 114,"9,748"
"Henry County, Kentucky",241,± 84,"6,939"
"Henry County, Missouri",511,± 108,"9,181"
"Henry County, Ohio",627,± 130,"13,582"
"Henry County, Tennessee",619,± 165,"12,788"
"Henry County, Virginia","1,360",± 305,"20,188"
"Herkimer County, New York","1,932",± 286,"28,198"
"Hernando County, Florida","3,880",± 492,"78,778"
"Hertford County, North Carolina",547,± 115,"8,643"
"Hettinger County, North Dakota",66,± 21,"1,143"
"Hickman County, Kentucky",171,± 83,"1,829"
"Hickman County, Tennessee",561,± 167,"10,515"
"Hickory County, Missouri",106,± 58,"2,550"
"Hidalgo County, New Mexico",179,± 106,"1,594"
"Hidalgo County, Texas","27,014","± 1,667","340,953"
"Highland County, Ohio","1,206",± 312,"19,045"
"Highland County, Virginia",59,± 34,809
"Highlands County, Florida","1,659",± 363,"35,324"
"Hill County, Montana",415,± 120,"7,426"
"Hill County, Texas",962,± 184,"15,842"
"Hillsborough County, Florida","36,814","± 1,792","730,402"
"Hillsborough County, New Hampshire","14,469",± 898,"236,496"
"Hillsdale County, Michigan","1,382",± 214,"20,175"
"Hinds County, Mississippi","6,754",± 729,"99,007"
"Hinsdale County, Colorado",18,± 16,415
"Hitchcock County, Nebraska",86,± 28,"1,186"
"Hocking County, Ohio",485,± 147,"12,698"
"Hockley County, Texas",746,± 174,"9,689"
"Hodgeman County, Kansas",102,± 36,856
"Hoke County, North Carolina","1,381",± 292,"19,188"
"Holmes County, Florida",316,± 126,"7,521"
"Holmes County, Mississippi",246,± 83,"5,369"
"Holmes County, Ohio",707,± 189,"20,649"
"Holt County, Missouri",158,± 41,"1,901"
"Holt County, Nebraska",338,± 87,"5,230"
"Honolulu County, Hawaii","32,657","± 1,315","468,113"
"Hood County, Texas","1,790",± 402,"26,540"
"Hood River County, Oregon",484,± 182,"12,855"
"Hooker County, Nebraska",32,± 18,336
"Hoonah-Angoon Census Area, Alaska",101,± 56,"1,175"
"Hopewell city, Virginia",345,± 205,"9,568"
"Hopkins County, Kentucky","1,174",± 307,"18,087"
"Hopkins County, Texas","1,134",± 236,"17,069"
"Hormigueros Municipio, Puerto Rico",441,± 143,"5,002"
"Horry County, South Carolina","8,092",± 690,"154,728"
"Hot Spring County, Arkansas",771,± 201,"12,819"
"Hot Springs County, Wyoming",125,± 71,"2,093"
"Houghton County, Michigan","2,015",± 372,"16,793"
"Houston County, Alabama","2,619",± 267,"45,708"
"Houston County, Georgia","4,841",± 820,"75,113"
"Houston County, Minnesota",422,± 89,"10,033"
"Houston County, Tennessee",132,± 68,"3,288"
"Houston County, Texas",540,± 123,"7,816"
"Howard County, Arkansas",420,± 148,"5,337"
"Howard County, Indiana","1,805",± 276,"37,157"
"Howard County, Iowa",192,± 73,"4,722"
"Howard County, Maryland","13,602","± 1,120","174,305"
"Howard County, Missouri",421,± 131,"4,319"
"Howard County, Nebraska",134,± 45,"3,199"
"Howard County, Texas",876,± 193,"14,271"
"Howell County, Missouri","1,484",± 386,"15,947"
"Hubbard County, Minnesota",530,± 86,"9,594"
"Hudson County, New Jersey","20,983","± 1,318","382,543"
"Hudspeth County, Texas",51,± 34,966
"Huerfano County, Colorado",217,± 108,"2,503"
"Hughes County, Oklahoma",296,± 105,"4,282"
"Hughes County, South Dakota",585,± 180,"9,199"
"Humacao Municipio, Puerto Rico","1,009",± 279,"15,509"
"Humboldt County, California","3,870",± 491,"60,483"
"Humboldt County, Iowa",276,± 79,"4,717"
"Humboldt County, Nevada",459,± 257,"8,326"
"Humphreys County, Mississippi",141,± 71,"2,574"
"Humphreys County, Tennessee",472,± 183,"7,793"
"Hunt County, Texas","2,700",± 379,"46,074"
"Hunterdon County, New Jersey","5,894",± 529,"67,632"
"Huntingdon County, Pennsylvania","1,392",± 231,"18,332"
"Huntington County, Indiana",816,± 181,"18,139"
"Huron County, Michigan",502,± 90,"13,625"
"Huron County, Ohio","1,486",± 279,"27,395"
"Hutchinson County, South Dakota",181,± 59,"3,706"
"Hutchinson County, Texas",806,± 149,"9,257"
"Hyde County, North Carolina",44,± 47,"1,410"
"Hyde County, South Dakota",69,± 26,729
"Iberia Parish, Louisiana","1,556",± 331,"29,316"
"Iberville Parish, Louisiana",601,± 225,"12,223"
"Ida County, Iowa",222,± 53,"3,515"
"Idaho County, Idaho",313,± 107,"6,589"
"Imperial County, California","3,522",± 595,"60,537"
"Independence County, Arkansas",819,± 242,"16,037"
"Indian River County, Florida","2,763",± 464,"63,137"
"Indiana County, Pennsylvania","2,328",± 340,"36,508"
"Ingham County, Michigan","13,060","± 1,086","141,130"
"Inyo County, California",429,± 179,"8,281"
"Ionia County, Michigan","1,222",± 213,"30,465"
"Iosco County, Michigan",423,± 93,"9,343"
"Iowa County, Iowa",606,± 134,"8,483"
"Iowa County, Wisconsin",544,± 93,"12,949"
"Iredell County, North Carolina","5,114",± 580,"93,283"
"Irion County, Texas",35,± 33,703
"Iron County, Michigan",186,± 76,"4,506"
"Iron County, Missouri",195,± 65,"3,919"
"Iron County, Utah","2,089",± 319,"27,249"
"Iron County, Wisconsin",200,± 46,"2,690"
"Iroquois County, Illinois",605,± 110,"12,348"
"Irwin County, Georgia",323,± 157,"3,917"
"Isabela Municipio, Puerto Rico",860,± 218,"12,372"
"Isabella County, Michigan","2,418",± 373,"31,640"
"Isanti County, Minnesota","1,119",± 218,"21,088"
"Island County, Washington","2,563",± 430,"32,542"
"Isle of Wight County, Virginia",986,± 211,"18,620"
"Issaquena County, Mississippi",28,± 16,181
"Itasca County, Minnesota","1,098",± 164,"19,200"
"Itawamba County, Mississippi",577,± 207,"10,859"
"Izard County, Arkansas",402,± 158,"4,193"
"Jack County, Texas",172,± 68,"3,091"
"Jackson County, Alabama","1,215",± 293,"20,405"
"Jackson County, Arkansas",312,± 135,"5,906"
"Jackson County, Colorado",27,± 32,660
"Jackson County, Florida",734,± 158,"16,126"
"Jackson County, Georgia","2,182",± 357,"36,907"
"Jackson County, Illinois","3,103",± 423,"23,523"
"Jackson County, Indiana","1,090",± 242,"22,326"
"Jackson County, Iowa",435,± 99,"9,372"
"Jackson County, Kansas",409,± 103,"6,418"
"Jackson County, Kentucky",174,± 108,"4,321"
"Jackson County, Michigan","3,732",± 503,"69,264"
"Jackson County, Minnesota",247,± 75,"5,266"
"Jackson County, Mississippi","3,859",± 641,"61,673"
"Jackson County, Missouri","18,960","± 1,178","361,456"
"Jackson County, North Carolina","1,730",± 384,"19,135"
"Jackson County, Ohio",734,± 221,"13,736"
"Jackson County, Oklahoma",771,± 183,"10,775"
"Jackson County, Oregon","5,177",± 618,"99,195"
"Jackson County, South Dakota",152,± 84,826
"Jackson County, Tennessee",317,± 97,"4,796"
"Jackson County, Texas",257,± 108,"5,932"
"Jackson County, West Virginia",624,± 190,"10,164"
"Jackson County, Wisconsin",411,± 105,"9,298"
"Jackson Parish, Louisiana",188,± 87,"4,931"
"James City County, Virginia","3,229",± 539,"34,760"
"Jasper County, Georgia",449,± 146,"6,491"
"Jasper County, Illinois",240,± 94,"4,631"
"Jasper County, Indiana",771,± 189,"15,391"
"Jasper County, Iowa","1,067",± 217,"18,256"
"Jasper County, Mississippi",357,± 170,"6,390"
"Jasper County, Missouri","3,572",± 456,"57,972"
"Jasper County, South Carolina",667,± 300,"12,154"
"Jasper County, Texas",916,± 271,"12,373"
"Jay County, Indiana",392,± 119,"9,149"
"Jayuya Municipio, Puerto Rico",253,± 199,"3,560"
"Jeff Davis County, Georgia",380,± 222,"5,783"
"Jeff Davis County, Texas",95,± 70,748
"Jefferson County, Alabama","18,889","± 1,216","311,193"
"Jefferson County, Arkansas","1,653",± 312,"25,490"
"Jefferson County, Colorado","17,181","± 1,001","322,035"
"Jefferson County, Florida",267,± 105,"5,951"
"Jefferson County, Georgia",317,± 118,"6,243"
"Jefferson County, Idaho","1,174",± 271,"14,400"
"Jefferson County, Illinois",799,± 165,"16,356"
"Jefferson County, Indiana",786,± 215,"15,116"
"Jefferson County, Iowa",574,± 180,"7,598"
"Jefferson County, Kansas",692,± 157,"9,217"
"Jefferson County, Kentucky","21,655","± 1,298","391,362"
"Jefferson County, Mississippi",89,± 65,"2,159"
"Jefferson County, Missouri","5,648",± 604,"115,322"
"Jefferson County, Montana",401,± 105,"5,622"
"Jefferson County, Nebraska",205,± 56,"3,483"
"Jefferson County, New York","3,325",± 368,"44,033"
"Jefferson County, Ohio","1,470",± 228,"28,021"
"Jefferson County, Oklahoma",134,± 35,"2,091"
"Jefferson County, Oregon",610,± 162,"10,141"
"Jefferson County, Pennsylvania",802,± 137,"19,921"
"Jefferson County, Tennessee","1,351",± 332,"25,277"
"Jefferson County, Texas","6,692",± 756,"104,440"
"Jefferson County, Washington",508,± 141,"11,586"
"Jefferson County, West Virginia","1,773",± 271,"28,390"
"Jefferson County, Wisconsin","3,082",± 637,"47,125"
"Jefferson Davis County, Mississippi",168,± 90,"4,484"
"Jefferson Davis Parish, Louisiana",951,± 267,"13,165"
"Jefferson Parish, Louisiana","12,500",± 959,"208,078"
"Jenkins County, Georgia",266,± 123,"2,940"
"Jennings County, Indiana",494,± 180,"13,110"
"Jerauld County, South Dakota",59,± 23,968
"Jerome County, Idaho",669,± 176,"11,453"
"Jersey County, Illinois",621,± 162,"10,307"
"Jessamine County, Kentucky","1,572",± 334,"24,987"
"Jewell County, Kansas",135,± 44,"1,309"
"Jim Hogg County, Texas",153,± 95,"2,090"
"Jim Wells County, Texas","1,131",± 329,"15,022"
"Jo Daviess County, Illinois",595,± 201,"10,837"
"Johnson County, Arkansas",668,± 205,"9,953"
"Johnson County, Georgia",204,± 94,"3,228"
"Johnson County, Illinois",224,± 71,"4,367"
"Johnson County, Indiana","5,488",± 795,"81,617"
"Johnson County, Iowa","9,477",± 869,"84,763"
"Johnson County, Kansas","20,725",± 936,"335,476"
"Johnson County, Kentucky",589,± 200,"7,662"
"Johnson County, Missouri","1,549",± 236,"23,951"
"Johnson County, Nebraska",127,± 36,"2,161"
"Johnson County, Tennessee",212,± 100,"6,444"
"Johnson County, Texas","6,121",± 783,"86,516"
"Johnson County, Wyoming",222,± 133,"4,001"
"Johnston County, North Carolina","6,016",± 687,"108,178"
"Johnston County, Oklahoma",335,± 87,"3,815"
"Jones County, Georgia",631,± 193,"12,693"
"Jones County, Iowa",459,± 150,"10,001"
"Jones County, Mississippi","2,008",± 438,"28,015"
"Jones County, North Carolina",133,± 58,"3,858"
"Jones County, South Dakota",19,± 11,488
"Jones County, Texas",383,± 108,"6,361"
"Josephine County, Oregon","1,814",± 397,"33,481"
"Juab County, Utah",424,± 112,"5,487"
"Juana Díaz Municipio, Puerto Rico",978,± 227,"14,012"
"Judith Basin County, Montana",43,± 18,996
"Juncos Municipio, Puerto Rico",611,± 233,"12,920"
"Juneau City and Borough, Alaska","1,104",± 261,"16,345"
"Juneau County, Wisconsin",574,± 102,"12,186"
"Juniata County, Pennsylvania",547,± 153,"10,918"
"Kalamazoo County, Michigan","7,916",± 646,"131,529"
"Kalawao County, Hawaii",0,± 12,36
"Kalkaska County, Michigan",342,± 88,"7,599"
"Kanabec County, Minnesota",387,± 86,"7,661"
"Kanawha County, West Virginia","3,868",± 434,"76,835"
"Kandiyohi County, Minnesota","1,547",± 248,"22,221"
"Kane County, Illinois","15,107","± 1,127","268,783"
"Kane County, Utah",267,± 102,"3,471"
"Kankakee County, Illinois","2,893",± 398,"50,059"
"Karnes County, Texas",349,± 135,"4,904"
"Kauai County, Hawaii","2,199",± 416,"35,683"
"Kaufman County, Texas","5,029",± 631,"73,153"
"Kay County, Oklahoma","1,168",± 203,"18,854"
"Kearney County, Nebraska",284,± 91,"3,477"
"Kearny County, Kansas",98,± 48,"1,697"
"Keith County, Nebraska",237,± 74,"4,060"
"Kemper County, Mississippi",250,± 115,"3,287"
"Kenai Peninsula Borough, Alaska","1,687",± 325,"25,227"
"Kendall County, Illinois","5,341",± 619,"69,490"
"Kendall County, Texas","1,189",± 312,"21,382"
"Kenedy County, Texas",0,± 15,46
"Kennebec County, Maine","5,335",± 502,"60,329"
"Kenosha County, Wisconsin","5,033",± 559,"86,382"
"Kent County, Delaware","5,521",± 651,"81,794"
"Kent County, Maryland",849,± 274,"9,279"
"Kent County, Michigan","18,400","± 1,054","342,287"
"Kent County, Rhode Island","5,406",± 609,"90,214"
"Kent County, Texas",35,± 25,193
"Kenton County, Kentucky","5,263",± 619,"88,706"
"Keokuk County, Iowa",241,± 60,"4,631"
"Kern County, California","22,146","± 1,573","358,961"
"Kerr County, Texas","1,274",± 331,"23,673"
"Kershaw County, South Carolina","1,487",± 315,"28,928"
"Ketchikan Gateway Borough, Alaska",506,± 104,"6,966"
"Kewaunee County, Wisconsin",605,± 128,"10,835"
"Keweenaw County, Michigan",57,± 29,796
"Keya Paha County, Nebraska",33,± 26,449
"Kidder County, North Dakota",73,± 35,"1,032"
"Kimball County, Nebraska",88,± 45,"1,649"
"Kimble County, Texas",174,± 87,"2,101"
"King and Queen County, Virginia",95,± 63,"3,303"
"King County, Texas",18,± 13,85
"King County, Washington","67,952","± 2,398","1,238,729"
"King George County, Virginia",949,± 209,"13,629"
"King William County, Virginia",447,± 165,"9,255"
"Kingfisher County, Oklahoma",397,± 146,"7,004"
"Kingman County, Kansas",275,± 83,"3,540"
"Kings County, California","2,863",± 448,"52,915"
"Kings County, New York","94,273","± 2,709","1,260,636"
"Kingsbury County, South Dakota",133,± 34,"2,534"
"Kinney County, Texas",77,± 72,"1,314"
"Kiowa County, Colorado",60,± 26,649
"Kiowa County, Kansas",166,± 49,"1,247"
"Kiowa County, Oklahoma",252,± 72,"3,371"
"Kit Carson County, Colorado",214,± 66,"3,564"
"Kitsap County, Washington","6,251",± 611,"119,752"
"Kittitas County, Washington","1,598",± 313,"22,089"
"Kittson County, Minnesota",153,± 35,"2,060"
"Klamath County, Oregon","1,726",± 375,"26,533"
"Kleberg County, Texas",846,± 244,"12,990"
"Klickitat County, Washington",702,± 223,"9,547"
"Knott County, Kentucky",282,± 95,"4,219"
"Knox County, Illinois","1,841",± 243,"20,717"
"Knox County, Indiana","1,105",± 280,"17,912"
"Knox County, Kentucky",616,± 218,"9,221"
"Knox County, Maine","1,337",± 178,"19,427"
"Knox County, Missouri",103,± 58,"1,639"
"Knox County, Nebraska",231,± 48,"4,034"
"Knox County, Ohio","1,740",± 372,"28,935"
"Knox County, Tennessee","15,490",± 947,"242,346"
"Knox County, Texas",71,± 28,"1,443"
"Kodiak Island Borough, Alaska",526,± 132,"6,139"
"Koochiching County, Minnesota",251,± 93,"5,661"
"Kootenai County, Idaho","3,365",± 464,"81,476"
"Kosciusko County, Indiana","2,208",± 364,"40,748"
"Kossuth County, Iowa",344,± 85,"7,052"
"Kusilvak Census Area, Alaska",253,± 56,"2,448"
"La Crosse County, Wisconsin","4,390",± 584,"63,682"
"La Paz County, Arizona",270,± 84,"5,467"
"La Plata County, Colorado","2,231",± 367,"29,235"
"La Salle County, Texas",9,± 13,"2,212"
"Labette County, Kansas",684,± 169,"9,176"
"Lac qui Parle County, Minnesota",175,± 45,"3,205"
"Lackawanna County, Pennsylvania","6,031",± 559,"102,307"
"Laclede County, Missouri","1,421",± 339,"15,519"
"Lafayette County, Arkansas",134,± 65,"2,334"
"Lafayette County, Florida",160,± 78,"2,905"
"Lafayette County, Mississippi","3,133",± 459,"25,497"
"Lafayette County, Missouri",769,± 201,"15,678"
"Lafayette County, Wisconsin",375,± 52,"8,391"
"Lafayette Parish, Louisiana","8,797","± 1,032","117,677"
"Lafourche Parish, Louisiana","2,385",± 404,"41,845"
"LaGrange County, Indiana",703,± 159,"17,870"
"Lajas Municipio, Puerto Rico",496,± 211,"6,736"
"Lake and Peninsula Borough, Alaska",51,± 21,487
"Lake County, California","1,399",± 315,"25,408"
"Lake County, Colorado",372,± 137,"4,606"
"Lake County, Florida","8,014",± 924,"163,230"
"Lake County, Illinois","22,426","± 1,035","357,516"
"Lake County, Indiana","11,510",± 968,"226,992"
"Lake County, Michigan",191,± 61,"4,044"
"Lake County, Minnesota",149,± 47,"4,926"
"Lake County, Montana","1,006",± 183,"13,316"
"Lake County, Ohio","6,145",± 630,"120,537"
"Lake County, Oregon",155,± 66,"3,086"
"Lake County, South Dakota",348,± 109,"6,010"
"Lake County, Tennessee",55,± 28,"1,712"
"Lake of the Woods County, Minnesota",67,± 27,"1,942"
"Lamar County, Alabama",424,± 144,"5,381"
"Lamar County, Georgia",543,± 230,"8,047"
"Lamar County, Mississippi","2,853",± 530,"30,060"
"Lamar County, Texas","1,311",± 263,"22,879"
"Lamb County, Texas",406,± 103,"5,556"
"Lamoille County, Vermont",838,± 211,"13,922"
"LaMoure County, North Dakota",112,± 33,"2,049"
"Lampasas County, Texas",560,± 178,"8,800"
"Lancaster County, Nebraska","14,119",± 970,"175,401"
"Lancaster County, Pennsylvania","15,513",± 953,"279,799"
"Lancaster County, South Carolina","3,123",± 704,"43,504"
"Lancaster County, Virginia",176,± 70,"3,986"
"Lander County, Nevada",182,± 119,"2,335"
"Lane County, Kansas",78,± 38,800
"Lane County, Oregon","12,981",± 895,"181,673"
"Langlade County, Wisconsin",314,± 78,"8,948"
"Lanier County, Georgia",386,± 200,"3,521"
"Lapeer County, Michigan","1,924",± 305,"40,963"
"LaPorte County, Indiana","2,447",± 339,"49,897"
"Laramie County, Wyoming","3,295",± 473,"48,854"
"Lares Municipio, Puerto Rico",459,± 157,"8,335"
"Larimer County, Colorado","13,738",± 812,"191,817"
"Larue County, Kentucky",358,± 186,"6,473"
"Las Animas County, Colorado",225,± 81,"5,834"
"Las Marías Municipio, Puerto Rico",109,± 79,"2,266"
"Las Piedras Municipio, Puerto Rico",921,± 351,"10,794"
"LaSalle County, Illinois","3,058",± 366,"53,025"
"LaSalle Parish, Louisiana",237,± 104,"6,407"
"Lassen County, California",462,± 118,"9,034"
"Latah County, Idaho","1,898",± 376,"19,344"
"Latimer County, Oklahoma",204,± 59,"3,558"
"Lauderdale County, Alabama","2,748",± 423,"43,474"
"Lauderdale County, Mississippi","2,218",± 420,"29,057"
"Lauderdale County, Tennessee",483,± 132,"9,295"
