Geography,"Total—Civilian employed population 16 years and over—Management, business, science, and arts occupations:—Healthcare practitioners and technical occupations:—Estimate",MoE,Total—Civilian employed population 16 years and over—Estimate
"Grafton County, New Hampshire","4,394",± 481,"46,354"
"Graham County, Arizona",601,± 159,"14,064"
"Graham County, Kansas",65,± 30,"1,171"
"Graham County, North Carolina",128,± 64,"3,171"
"Grainger County, Tennessee",653,± 200,"9,746"
"Grand County, Colorado",233,± 85,"8,786"
"Grand County, Utah",269,± 121,"5,690"
"Grand Forks County, North Dakota","3,458",± 424,"39,615"
"Grand Isle County, Vermont",233,± 62,"3,722"
"Grand Traverse County, Michigan","3,935",± 549,"48,469"
"Granite County, Montana",65,± 41,"1,317"
"Grant County, Arkansas",530,± 145,"7,782"
"Grant County, Indiana","1,913",± 308,"29,595"
"Grant County, Kansas",42,± 50,"3,615"
"Grant County, Kentucky",462,± 177,"11,179"
"Grant County, Minnesota",130,± 28,"2,908"
"Grant County, Nebraska",16,± 10,350
"Grant County, New Mexico",888,± 298,"9,795"
"Grant County, North Dakota",80,± 30,"1,047"
"Grant County, Oklahoma",63,± 25,"1,824"
"Grant County, Oregon",80,± 39,"2,943"
"Grant County, South Dakota",188,± 77,"3,779"
"Grant County, Washington","1,157",± 270,"43,461"
"Grant County, West Virginia",298,± 100,"5,055"
"Grant County, Wisconsin","1,115",± 131,"26,205"
"Grant Parish, Louisiana",487,± 151,"7,801"
"Granville County, North Carolina","2,140",± 383,"26,914"
"Gratiot County, Michigan","1,103",± 146,"17,131"
"Graves County, Kentucky","1,037",± 201,"15,371"
"Gray County, Kansas",93,± 40,"2,937"
"Gray County, Texas",494,± 159,"9,028"
"Grays Harbor County, Washington","1,288",± 282,"29,300"
"Grayson County, Kentucky",634,± 197,"10,639"
"Grayson County, Texas","3,078",± 441,"64,616"
"Grayson County, Virginia",494,± 125,"5,963"
"Greater Bridgeport Planning Region, Connecticut","9,503",± 938,"159,994"
"Greeley County, Kansas",36,± 23,711
"Greeley County, Nebraska",36,± 17,992
"Green County, Kentucky",263,± 91,"4,088"
"Green County, Wisconsin","1,341",± 174,"19,731"
"Green Lake County, Wisconsin",445,± 106,"8,987"
"Greenbrier County, West Virginia",995,± 222,"13,422"
"Greene County, Alabama",57,± 50,"2,355"
"Greene County, Arkansas","1,591",± 257,"19,940"
"Greene County, Georgia",356,± 160,"7,356"
"Greene County, Illinois",326,± 93,"5,547"
"Greene County, Indiana",973,± 176,"13,632"
"Greene County, Iowa",281,± 107,"4,367"
"Greene County, Mississippi",328,± 133,"3,247"
"Greene County, Missouri","10,166",± 780,"145,082"
"Greene County, New York","1,499",± 290,"21,909"
"Greene County, North Carolina",607,± 244,"8,089"
"Greene County, Ohio","6,613",± 535,"79,792"
"Greene County, Pennsylvania","1,253",± 189,"14,223"
"Greene County, Tennessee","1,985",± 352,"29,264"
"Greene County, Virginia",599,± 174,"10,861"
"Greenlee County, Arizona",83,± 67,"4,148"
"Greensville County, Virginia",282,± 114,"3,928"
"Greenup County, Kentucky","1,860",± 288,"13,741"
"Greenville County, South Carolina","18,369","± 1,107","262,211"
"Greenwood County, Kansas",163,± 59,"2,851"
"Greenwood County, South Carolina","1,920",± 334,"29,395"
"Greer County, Oklahoma",119,± 69,"1,935"
"Gregg County, Texas","4,002",± 610,"56,862"
"Gregory County, South Dakota",111,± 36,"1,922"
"Grenada County, Mississippi",939,± 259,"9,044"
"Griggs County, North Dakota",50,± 24,"1,136"
"Grimes County, Texas",619,± 212,"11,659"
"Grundy County, Illinois","1,548",± 297,"26,820"
"Grundy County, Iowa",367,± 81,"6,275"
"Grundy County, Missouri",281,± 85,"4,014"
"Grundy County, Tennessee",298,± 114,"5,389"
"Guadalupe County, New Mexico",115,± 68,"1,634"
"Guadalupe County, Texas","5,155",± 709,"82,433"
"Guánica Municipio, Puerto Rico",172,± 81,"2,984"
"Guayama Municipio, Puerto Rico",660,± 280,"9,386"
"Guayanilla Municipio, Puerto Rico",427,± 170,"4,442"
"Guaynabo Municipio, Puerto Rico","2,612",± 436,"37,187"
"Guernsey County, Ohio","1,153",± 202,"16,725"
"Guilford County, North Carolina","16,151","± 1,158","263,584"
"Gulf County, Florida",329,± 110,"5,290"
"Gunnison County, Colorado",495,± 170,"10,414"
"Gurabo Municipio, Puerto Rico","1,414",± 354,"16,686"
"Guthrie County, Iowa",432,± 92,"5,323"
"Gwinnett County, Georgia","26,384","± 1,982","483,028"
"Haakon County, South Dakota",32,± 21,811
"Habersham County, Georgia","1,131",± 250,"21,126"
"Haines Borough, Alaska",25,± 25,806
"Hale County, Alabama",515,± 165,"5,433"
"Hale County, Texas",564,± 170,"13,924"
"Halifax County, North Carolina",956,± 232,"18,296"
"Halifax County, Virginia","1,041",± 219,"13,861"
"Hall County, Georgia","4,467",± 575,"98,562"
"Hall County, Nebraska","1,523",± 283,"31,229"
"Hall County, Texas",58,± 35,"1,166"
"Hamblen County, Tennessee","1,256",± 285,"27,038"
"Hamilton County, Florida",157,± 77,"3,681"
"Hamilton County, Illinois",237,± 96,"3,376"
"Hamilton County, Indiana","17,188","± 1,153","186,373"
"Hamilton County, Iowa",394,± 112,"7,256"
"Hamilton County, Kansas",10,± 9,"1,175"
"Hamilton County, Nebraska",357,± 103,"4,721"
"Hamilton County, New York",58,± 21,"2,227"
"Hamilton County, Ohio","32,538","± 1,329","416,219"
"Hamilton County, Tennessee","14,257",± 807,"182,855"
"Hamilton County, Texas",134,± 64,"3,413"
"Hamlin County, South Dakota",153,± 49,"2,988"
"Hampden County, Massachusetts","14,235","± 1,020","213,060"
"Hampshire County, Massachusetts","5,894",± 581,"77,806"
"Hampshire County, West Virginia",431,± 151,"8,739"
"Hampton city, Virginia","3,092",± 515,"62,438"
"Hampton County, South Carolina",360,± 112,"7,271"
"Hancock County, Georgia",157,± 116,"2,530"
"Hancock County, Illinois",511,± 118,"8,194"
"Hancock County, Indiana","3,063",± 444,"42,098"
"Hancock County, Iowa",317,± 85,"5,576"
"Hancock County, Kentucky",127,± 67,"3,973"
"Hancock County, Maine","1,409",± 220,"28,006"
"Hancock County, Mississippi","1,973",± 399,"20,734"
"Hancock County, Ohio","2,091",± 301,"37,600"
"Hancock County, Tennessee",148,± 70,"2,183"
"Hancock County, West Virginia","1,126",± 233,"12,537"
"Hand County, South Dakota",78,± 31,"1,623"
"Hanover County, Virginia","4,342",± 527,"57,612"
"Hansford County, Texas",75,± 43,"2,430"
"Hanson County, South Dakota",90,± 26,"1,840"
"Haralson County, Georgia",603,± 192,"14,044"
"Hardee County, Florida",362,± 125,"8,992"
"Hardeman County, Tennessee",783,± 242,"9,045"
"Hardeman County, Texas",201,± 108,"1,810"
"Hardin County, Illinois",195,± 81,"1,230"
"Hardin County, Iowa",542,± 130,"8,378"
"Hardin County, Kentucky","2,736",± 418,"47,348"
"Hardin County, Ohio",581,± 158,"13,911"
"Hardin County, Tennessee",778,± 194,"10,609"
"Hardin County, Texas","1,798",± 407,"24,004"
"Harding County, New Mexico",11,± 7,283
"Harding County, South Dakota",22,± 20,702
"Hardy County, West Virginia",167,± 98,"6,406"
"Harford County, Maryland","10,219",± 866,"136,000"
"Harlan County, Kentucky",761,± 218,"7,463"
"Harlan County, Nebraska",84,± 33,"1,487"
"Harmon County, Oklahoma",55,± 26,"1,095"
"Harnett County, North Carolina","2,893",± 370,"54,157"
"Harney County, Oregon",208,± 112,"3,145"
"Harper County, Kansas",169,± 68,"2,166"
"Harper County, Oklahoma",114,± 50,"1,417"
"Harris County, Georgia","1,236",± 219,"15,747"
"Harris County, Texas","115,261","± 3,676","2,285,175"
"Harrison County, Indiana","1,444",± 337,"18,495"
"Harrison County, Iowa",572,± 99,"7,378"
"Harrison County, Kentucky",396,± 169,"8,446"
"Harrison County, Mississippi","7,174",± 760,"87,340"
"Harrison County, Missouri",269,± 69,"3,374"
"Harrison County, Ohio",286,± 85,"5,681"
"Harrison County, Texas","1,739",± 428,"30,925"
"Harrison County, West Virginia","2,479",± 451,"28,754"
"Harrisonburg city, Virginia","1,227",± 281,"24,694"
"Hart County, Georgia",663,± 245,"11,046"
"Hart County, Kentucky",428,± 156,"7,892"
"Hartley County, Texas",63,± 48,"1,769"
"Harvey County, Kansas","1,447",± 354,"16,775"
"Haskell County, Kansas",66,± 35,"1,811"
"Haskell County, Oklahoma",266,± 55,"4,498"
"Haskell County, Texas",70,± 27,"2,270"
"Hatillo Municipio, Puerto Rico","1,060",± 343,"13,347"
"Hawaii County, Hawaii","4,516",± 517,"89,643"
"Hawkins County, Tennessee","1,326",± 270,"21,929"
"Hayes County, Nebraska",3,± 5,428
"Hays County, Texas","5,253",± 795,"125,414"
"Haywood County, North Carolina","1,868",± 326,"28,010"
"Haywood County, Tennessee",489,± 120,"7,268"
"Heard County, Georgia",177,± 69,"4,705"
"Hemphill County, Texas",39,± 26,"1,561"
"Hempstead County, Arkansas",515,± 183,"7,737"
"Henderson County, Illinois",177,± 58,"2,942"
"Henderson County, Kentucky","1,063",± 237,"19,627"
"Henderson County, North Carolina","3,757",± 461,"54,554"
"Henderson County, Tennessee",760,± 215,"11,599"
"Henderson County, Texas","1,460",± 314,"33,667"
"Hendricks County, Indiana","7,060",± 791,"93,711"
"Hendry County, Florida",416,± 239,"18,209"
"Hennepin County, Minnesota","42,828","± 1,330","703,017"
"Henrico County, Virginia","11,066",± 939,"176,922"
"Henry County, Alabama",541,± 155,"7,321"
"Henry County, Georgia","7,348",± 797,"118,323"
"Henry County, Illinois","1,545",± 255,"23,366"
"Henry County, Indiana","1,214",± 172,"20,604"
"Henry County, Iowa",533,± 128,"9,748"
"Henry County, Kentucky",329,± 101,"6,939"
"Henry County, Missouri",630,± 160,"9,181"
"Henry County, Ohio",773,± 155,"13,582"
"Henry County, Tennessee",670,± 159,"12,788"
"Henry County, Virginia","1,226",± 250,"20,188"
"Herkimer County, New York","2,006",± 321,"28,198"
"Hernando County, Florida","5,976",± 742,"78,778"
"Hertford County, North Carolina",551,± 144,"8,643"
"Hettinger County, North Dakota",24,± 12,"1,143"
"Hickman County, Kentucky",64,± 46,"1,829"
"Hickman County, Tennessee",582,± 206,"10,515"
"Hickory County, Missouri",64,± 42,"2,550"
"Hidalgo County, New Mexico",41,± 27,"1,594"
"Hidalgo County, Texas","17,392","± 1,281","340,953"
"Highland County, Ohio","1,240",± 322,"19,045"
"Highland County, Virginia",41,± 41,809
"Highlands County, Florida","3,320",± 494,"35,324"
"Hill County, Montana",485,± 134,"7,426"
"Hill County, Texas",565,± 128,"15,842"
"Hillsborough County, Florida","46,997","± 1,846","730,402"
"Hillsborough County, New Hampshire","14,335","± 1,134","236,496"
"Hillsdale County, Michigan","1,088",± 150,"20,175"
"Hinds County, Mississippi","8,046",± 789,"99,007"
"Hinsdale County, Colorado",4,± 6,415
"Hitchcock County, Nebraska",29,± 14,"1,186"
"Hocking County, Ohio",972,± 232,"12,698"
"Hockley County, Texas",576,± 154,"9,689"
"Hodgeman County, Kansas",45,± 24,856
"Hoke County, North Carolina","1,446",± 313,"19,188"
"Holmes County, Florida",536,± 160,"7,521"
"Holmes County, Mississippi",330,± 98,"5,369"
"Holmes County, Ohio",408,± 146,"20,649"
"Holt County, Missouri",124,± 44,"1,901"
"Holt County, Nebraska",256,± 73,"5,230"
"Honolulu County, Hawaii","28,632","± 1,417","468,113"
"Hood County, Texas","1,759",± 334,"26,540"
"Hood River County, Oregon","1,137",± 223,"12,855"
"Hooker County, Nebraska",4,± 6,336
"Hoonah-Angoon Census Area, Alaska",17,± 13,"1,175"
"Hopewell city, Virginia",365,± 159,"9,568"
"Hopkins County, Kentucky","1,674",± 287,"18,087"
"Hopkins County, Texas",917,± 231,"17,069"
"Hormigueros Municipio, Puerto Rico",428,± 159,"5,002"
"Horry County, South Carolina","8,924",± 860,"154,728"
"Hot Spring County, Arkansas","1,024",± 282,"12,819"
"Hot Springs County, Wyoming",199,± 78,"2,093"
"Houghton County, Michigan",859,± 123,"16,793"
"Houston County, Alabama","3,941",± 246,"45,708"
"Houston County, Georgia","4,372",± 786,"75,113"
"Houston County, Minnesota",818,± 167,"10,033"
"Houston County, Tennessee",204,± 94,"3,288"
"Houston County, Texas",585,± 176,"7,816"
"Howard County, Arkansas",250,± 108,"5,337"
"Howard County, Indiana","2,533",± 448,"37,157"
"Howard County, Iowa",254,± 94,"4,722"
"Howard County, Maryland","13,942","± 1,014","174,305"
"Howard County, Missouri",276,± 83,"4,319"
"Howard County, Nebraska",194,± 45,"3,199"
"Howard County, Texas",833,± 197,"14,271"
"Howell County, Missouri","1,295",± 292,"15,947"
"Hubbard County, Minnesota",616,± 84,"9,594"
"Hudson County, New Jersey","16,493","± 1,148","382,543"
"Hudspeth County, Texas",41,± 59,966
"Huerfano County, Colorado",104,± 65,"2,503"
"Hughes County, Oklahoma",192,± 67,"4,282"
"Hughes County, South Dakota",627,± 179,"9,199"
"Humacao Municipio, Puerto Rico",984,± 281,"15,509"
"Humboldt County, California","3,078",± 467,"60,483"
"Humboldt County, Iowa",190,± 60,"4,717"
"Humboldt County, Nevada",414,± 147,"8,326"
"Humphreys County, Mississippi",141,± 55,"2,574"
"Humphreys County, Tennessee",405,± 138,"7,793"
"Hunt County, Texas","2,213",± 437,"46,074"
"Hunterdon County, New Jersey","3,991",± 399,"67,632"
"Huntingdon County, Pennsylvania","1,217",± 164,"18,332"
"Huntington County, Indiana","1,033",± 188,"18,139"
"Huron County, Michigan",767,± 116,"13,625"
"Huron County, Ohio","1,779",± 351,"27,395"
"Hutchinson County, South Dakota",294,± 71,"3,706"
"Hutchinson County, Texas",247,± 93,"9,257"
"Hyde County, North Carolina",14,± 17,"1,410"
"Hyde County, South Dakota",52,± 24,729
"Iberia Parish, Louisiana","1,266",± 338,"29,316"
"Iberville Parish, Louisiana",794,± 248,"12,223"
"Ida County, Iowa",128,± 41,"3,515"
"Idaho County, Idaho",379,± 111,"6,589"
"Imperial County, California","2,553",± 519,"60,537"
"Independence County, Arkansas",983,± 244,"16,037"
"Indian River County, Florida","5,006",± 751,"63,137"
"Indiana County, Pennsylvania","2,516",± 350,"36,508"
"Ingham County, Michigan","7,148",± 671,"141,130"
"Inyo County, California",535,± 168,"8,281"
"Ionia County, Michigan","1,511",± 288,"30,465"
"Iosco County, Michigan",506,± 104,"9,343"
"Iowa County, Iowa",502,± 131,"8,483"
"Iowa County, Wisconsin",751,± 132,"12,949"
"Iredell County, North Carolina","5,223",± 611,"93,283"
"Irion County, Texas",24,± 9,703
"Iron County, Michigan",259,± 76,"4,506"
"Iron County, Missouri",233,± 68,"3,919"
"Iron County, Utah",939,± 223,"27,249"
"Iron County, Wisconsin",178,± 40,"2,690"
"Iroquois County, Illinois",784,± 141,"12,348"
"Irwin County, Georgia",173,± 106,"3,917"
"Isabela Municipio, Puerto Rico",792,± 258,"12,372"
"Isabella County, Michigan","1,673",± 266,"31,640"
"Isanti County, Minnesota","1,202",± 235,"21,088"
"Island County, Washington","1,909",± 298,"32,542"
"Isle of Wight County, Virginia","1,300",± 278,"18,620"
"Issaquena County, Mississippi",0,± 14,181
"Itasca County, Minnesota","1,555",± 209,"19,200"
"Itawamba County, Mississippi",818,± 235,"10,859"
"Izard County, Arkansas",409,± 126,"4,193"
"Jack County, Texas",193,± 78,"3,091"
"Jackson County, Alabama","1,216",± 244,"20,405"
"Jackson County, Arkansas",307,± 128,"5,906"
"Jackson County, Colorado",13,± 16,660
"Jackson County, Florida","1,257",± 273,"16,126"
"Jackson County, Georgia","1,786",± 264,"36,907"
"Jackson County, Illinois","1,629",± 268,"23,523"
"Jackson County, Indiana",825,± 180,"22,326"
"Jackson County, Iowa",610,± 161,"9,372"
"Jackson County, Kansas",340,± 81,"6,418"
"Jackson County, Kentucky",219,± 103,"4,321"
"Jackson County, Michigan","4,203",± 471,"69,264"
"Jackson County, Minnesota",356,± 74,"5,266"
"Jackson County, Mississippi","4,865",± 650,"61,673"
"Jackson County, Missouri","23,473","± 1,250","361,456"
"Jackson County, North Carolina","1,036",± 267,"19,135"
"Jackson County, Ohio",895,± 248,"13,736"
"Jackson County, Oklahoma",843,± 177,"10,775"
"Jackson County, Oregon","7,495",± 780,"99,195"
"Jackson County, South Dakota",9,± 9,826
"Jackson County, Tennessee",176,± 103,"4,796"
"Jackson County, Texas",338,± 142,"5,932"
"Jackson County, West Virginia","1,333",± 358,"10,164"
"Jackson County, Wisconsin",469,± 79,"9,298"
"Jackson Parish, Louisiana",436,± 146,"4,931"
"James City County, Virginia","2,787",± 417,"34,760"
"Jasper County, Georgia",159,± 81,"6,491"
"Jasper County, Illinois",162,± 70,"4,631"
"Jasper County, Indiana",991,± 259,"15,391"
"Jasper County, Iowa","1,061",± 167,"18,256"
"Jasper County, Mississippi",379,± 153,"6,390"
"Jasper County, Missouri","3,327",± 491,"57,972"
"Jasper County, South Carolina",490,± 195,"12,154"
"Jasper County, Texas",725,± 237,"12,373"
"Jay County, Indiana",503,± 114,"9,149"
"Jayuya Municipio, Puerto Rico",93,± 82,"3,560"
"Jeff Davis County, Georgia",495,± 203,"5,783"
"Jeff Davis County, Texas",101,± 92,748
"Jefferson County, Alabama","27,320","± 1,548","311,193"
"Jefferson County, Arkansas","2,073",± 379,"25,490"
"Jefferson County, Colorado","19,018","± 1,048","322,035"
"Jefferson County, Florida",407,± 144,"5,951"
"Jefferson County, Georgia",240,± 82,"6,243"
"Jefferson County, Idaho",740,± 203,"14,400"
"Jefferson County, Illinois","1,103",± 215,"16,356"
"Jefferson County, Indiana",934,± 223,"15,116"
"Jefferson County, Iowa",391,± 132,"7,598"
"Jefferson County, Kansas",594,± 136,"9,217"
"Jefferson County, Kentucky","29,275","± 1,219","391,362"
"Jefferson County, Mississippi",217,± 114,"2,159"
"Jefferson County, Missouri","7,621",± 762,"115,322"
"Jefferson County, Montana",503,± 127,"5,622"
"Jefferson County, Nebraska",166,± 60,"3,483"
"Jefferson County, New York","2,913",± 338,"44,033"
"Jefferson County, Ohio","2,188",± 327,"28,021"
"Jefferson County, Oklahoma",84,± 35,"2,091"
"Jefferson County, Oregon",530,± 186,"10,141"
"Jefferson County, Pennsylvania","1,479",± 180,"19,921"
"Jefferson County, Tennessee","2,390",± 451,"25,277"
"Jefferson County, Texas","5,615",± 571,"104,440"
"Jefferson County, Washington",701,± 166,"11,586"
"Jefferson County, West Virginia","1,757",± 283,"28,390"
"Jefferson County, Wisconsin","2,465",± 326,"47,125"
"Jefferson Davis County, Mississippi",360,± 153,"4,484"
"Jefferson Davis Parish, Louisiana",687,± 263,"13,165"
"Jefferson Parish, Louisiana","16,163","± 1,059","208,078"
"Jenkins County, Georgia",52,± 49,"2,940"
"Jennings County, Indiana",807,± 218,"13,110"
"Jerauld County, South Dakota",69,± 40,968
"Jerome County, Idaho",426,± 125,"11,453"
"Jersey County, Illinois",983,± 225,"10,307"
"Jessamine County, Kentucky","2,163",± 376,"24,987"
"Jewell County, Kansas",101,± 27,"1,309"
"Jim Hogg County, Texas",37,± 40,"2,090"
"Jim Wells County, Texas",851,± 300,"15,022"
"Jo Daviess County, Illinois",789,± 182,"10,837"
"Johnson County, Arkansas",268,± 118,"9,953"
"Johnson County, Georgia",150,± 56,"3,228"
"Johnson County, Illinois",536,± 122,"4,367"
"Johnson County, Indiana","6,010",± 754,"81,617"
"Johnson County, Iowa","9,684",± 647,"84,763"
"Johnson County, Kansas","26,874","± 1,374","335,476"
"Johnson County, Kentucky",619,± 205,"7,662"
"Johnson County, Missouri","1,296",± 234,"23,951"
"Johnson County, Nebraska",163,± 57,"2,161"
"Johnson County, Tennessee",282,± 139,"6,444"
"Johnson County, Texas","4,170",± 612,"86,516"
"Johnson County, Wyoming",258,± 128,"4,001"
"Johnston County, North Carolina","7,012",± 944,"108,178"
"Johnston County, Oklahoma",198,± 73,"3,815"
"Jones County, Georgia",955,± 254,"12,693"
"Jones County, Iowa",646,± 149,"10,001"
"Jones County, Mississippi","1,833",± 287,"28,015"
"Jones County, North Carolina",181,± 79,"3,858"
"Jones County, South Dakota",34,± 23,488
"Jones County, Texas",342,± 136,"6,361"
"Josephine County, Oregon","1,972",± 362,"33,481"
"Juab County, Utah",263,± 102,"5,487"
"Juana Díaz Municipio, Puerto Rico",737,± 231,"14,012"
"Judith Basin County, Montana",105,± 64,996
"Juncos Municipio, Puerto Rico",739,± 270,"12,920"
"Juneau City and Borough, Alaska",995,± 320,"16,345"
"Juneau County, Wisconsin",683,± 137,"12,186"
"Juniata County, Pennsylvania",456,± 100,"10,918"
"Kalamazoo County, Michigan","10,054",± 781,"131,529"
"Kalawao County, Hawaii",2,± 2,36
"Kalkaska County, Michigan",379,± 82,"7,599"
"Kanabec County, Minnesota",420,± 83,"7,661"
"Kanawha County, West Virginia","7,435",± 634,"76,835"
"Kandiyohi County, Minnesota","1,544",± 217,"22,221"
"Kane County, Illinois","12,695",± 947,"268,783"
"Kane County, Utah",89,± 85,"3,471"
"Kankakee County, Illinois","3,417",± 386,"50,059"
"Karnes County, Texas",154,± 79,"4,904"
"Kauai County, Hawaii","1,387",± 252,"35,683"
"Kaufman County, Texas","3,876",± 701,"73,153"
"Kay County, Oklahoma",995,± 163,"18,854"
"Kearney County, Nebraska",230,± 65,"3,477"
"Kearny County, Kansas",58,± 42,"1,697"
"Keith County, Nebraska",171,± 67,"4,060"
"Kemper County, Mississippi",175,± 105,"3,287"
"Kenai Peninsula Borough, Alaska","1,884",± 323,"25,227"
"Kendall County, Illinois","5,052",± 877,"69,490"
"Kendall County, Texas","1,754",± 497,"21,382"
"Kenedy County, Texas",0,± 15,46
"Kennebec County, Maine","3,977",± 462,"60,329"
"Kenosha County, Wisconsin","4,666",± 490,"86,382"
"Kent County, Delaware","5,843",± 805,"81,794"
"Kent County, Maryland",557,± 132,"9,279"
"Kent County, Michigan","24,489","± 1,570","342,287"
"Kent County, Rhode Island","6,825",± 648,"90,214"
"Kent County, Texas",11,± 8,193
"Kenton County, Kentucky","6,028",± 584,"88,706"
"Keokuk County, Iowa",246,± 55,"4,631"
"Kern County, California","15,220","± 1,082","358,961"
"Kerr County, Texas","1,735",± 356,"23,673"
"Kershaw County, South Carolina","1,827",± 322,"28,928"
"Ketchikan Gateway Borough, Alaska",459,± 85,"6,966"
"Kewaunee County, Wisconsin",539,± 74,"10,835"
"Keweenaw County, Michigan",87,± 40,796
"Keya Paha County, Nebraska",13,± 13,449
"Kidder County, North Dakota",21,± 13,"1,032"
"Kimball County, Nebraska",34,± 26,"1,649"
"Kimble County, Texas",99,± 53,"2,101"
"King and Queen County, Virginia",119,± 75,"3,303"
"King County, Texas",0,± 15,85
"King County, Washington","67,148","± 2,202","1,238,729"
"King George County, Virginia",618,± 152,"13,629"
"King William County, Virginia",691,± 260,"9,255"
"Kingfisher County, Oklahoma",444,± 122,"7,004"
"Kingman County, Kansas",237,± 78,"3,540"
"Kings County, California","2,552",± 469,"52,915"
"Kings County, New York","63,283","± 2,209","1,260,636"
"Kingsbury County, South Dakota",147,± 30,"2,534"
"Kinney County, Texas",62,± 64,"1,314"
"Kiowa County, Colorado",38,± 18,649
"Kiowa County, Kansas",39,± 15,"1,247"
"Kiowa County, Oklahoma",163,± 63,"3,371"
"Kit Carson County, Colorado",209,± 80,"3,564"
"Kitsap County, Washington","7,173",± 643,"119,752"
"Kittitas County, Washington",897,± 212,"22,089"
"Kittson County, Minnesota",109,± 32,"2,060"
"Klamath County, Oregon","1,727",± 354,"26,533"
"Kleberg County, Texas",624,± 223,"12,990"
"Klickitat County, Washington",486,± 207,"9,547"
"Knott County, Kentucky",320,± 123,"4,219"
"Knox County, Illinois","1,820",± 264,"20,717"
"Knox County, Indiana","1,417",± 289,"17,912"
"Knox County, Kentucky",676,± 222,"9,221"
"Knox County, Maine","1,349",± 271,"19,427"
"Knox County, Missouri",53,± 34,"1,639"
"Knox County, Nebraska",238,± 51,"4,034"
"Knox County, Ohio","2,123",± 417,"28,935"
"Knox County, Tennessee","18,579","± 1,210","242,346"
"Knox County, Texas",83,± 36,"1,443"
"Kodiak Island Borough, Alaska",188,± 121,"6,139"
"Koochiching County, Minnesota",275,± 75,"5,661"
"Kootenai County, Idaho","5,357",± 583,"81,476"
"Kosciusko County, Indiana","1,352",± 290,"40,748"
"Kossuth County, Iowa",272,± 76,"7,052"
"Kusilvak Census Area, Alaska",39,± 27,"2,448"
"La Crosse County, Wisconsin","5,014",± 573,"63,682"
"La Paz County, Arizona",148,± 85,"5,467"
"La Plata County, Colorado","2,106",± 463,"29,235"
"La Salle County, Texas",84,± 106,"2,212"
"Labette County, Kansas","1,076",± 206,"9,176"
"Lac qui Parle County, Minnesota",278,± 42,"3,205"
"Lackawanna County, Pennsylvania","8,228",± 617,"102,307"
"Laclede County, Missouri",925,± 238,"15,519"
"Lafayette County, Arkansas",206,± 102,"2,334"
"Lafayette County, Florida",82,± 55,"2,905"
"Lafayette County, Mississippi","2,104",± 329,"25,497"
"Lafayette County, Missouri","1,123",± 263,"15,678"
"Lafayette County, Wisconsin",359,± 62,"8,391"
"Lafayette Parish, Louisiana","9,350","± 1,143","117,677"
"Lafourche Parish, Louisiana","2,906",± 482,"41,845"
"LaGrange County, Indiana",509,± 174,"17,870"
"Lajas Municipio, Puerto Rico",430,± 211,"6,736"
"Lake and Peninsula Borough, Alaska",4,± 5,487
"Lake County, California","1,109",± 276,"25,408"
"Lake County, Colorado",295,± 191,"4,606"
"Lake County, Florida","11,556","± 1,055","163,230"
"Lake County, Illinois","20,546","± 1,244","357,516"
"Lake County, Indiana","14,492",± 861,"226,992"
"Lake County, Michigan",84,± 24,"4,044"
"Lake County, Minnesota",372,± 98,"4,926"
"Lake County, Montana",703,± 139,"13,316"
"Lake County, Ohio","8,174",± 558,"120,537"
"Lake County, Oregon",119,± 61,"3,086"
"Lake County, South Dakota",369,± 123,"6,010"
"Lake County, Tennessee",138,± 68,"1,712"
"Lake of the Woods County, Minnesota",85,± 58,"1,942"
"Lamar County, Alabama",333,± 109,"5,381"
"Lamar County, Georgia",471,± 185,"8,047"
"Lamar County, Mississippi","3,132",± 528,"30,060"
"Lamar County, Texas","1,389",± 246,"22,879"
"Lamb County, Texas",383,± 121,"5,556"
"Lamoille County, Vermont",901,± 258,"13,922"
"LaMoure County, North Dakota",128,± 31,"2,049"
"Lampasas County, Texas",456,± 136,"8,800"
"Lancaster County, Nebraska","10,760",± 679,"175,401"
"Lancaster County, Pennsylvania","18,953","± 1,074","279,799"
"Lancaster County, South Carolina","2,420",± 586,"43,504"
"Lancaster County, Virginia",278,± 100,"3,986"
"Lander County, Nevada",34,± 37,"2,335"
"Lane County, Kansas",22,± 18,800
"Lane County, Oregon","11,134",± 862,"181,673"
"Langlade County, Wisconsin",412,± 90,"8,948"
"Lanier County, Georgia",132,± 73,"3,521"
"Lapeer County, Michigan","2,364",± 321,"40,963"
"LaPorte County, Indiana","2,679",± 438,"49,897"
"Laramie County, Wyoming","3,602",± 502,"48,854"
"Lares Municipio, Puerto Rico",626,± 218,"8,335"
"Larimer County, Colorado","11,865","± 1,042","191,817"
"Larue County, Kentucky",333,± 149,"6,473"
"Las Animas County, Colorado",317,± 97,"5,834"
"Las Marías Municipio, Puerto Rico",251,± 102,"2,266"
"Las Piedras Municipio, Puerto Rico",896,± 282,"10,794"
"LaSalle County, Illinois","3,302",± 379,"53,025"
"LaSalle Parish, Louisiana",808,± 214,"6,407"
"Lassen County, California",410,± 132,"9,034"
"Latah County, Idaho","1,169",± 248,"19,344"
"Latimer County, Oklahoma",309,± 59,"3,558"
"Lauderdale County, Alabama","2,520",± 363,"43,474"
"Lauderdale County, Mississippi","3,352",± 375,"29,057"
"Lauderdale County, Tennessee",537,± 140,"9,295"
"Laurel County, Kentucky","1,764",± 388,"25,949"
