Geography,Households—Median income (dollars)—Estimate,MoE
"Haines Borough, Alaska","68,276","± 17,797"
"Hale County, Alabama","35,851","± 7,915"
"Hale County, Texas","50,721","± 4,549"
"Halifax County, North Carolina","41,629","± 2,242"
"Halifax County, Virginia","49,145","± 2,546"
"Hall County, Georgia","74,153","± 2,650"
"Hall County, Nebraska","63,553","± 4,425"
"Hall County, Texas","43,873","± 4,809"
"Hamblen County, Tennessee","49,656","± 3,139"
"Hamilton County, Florida","47,668","± 5,797"
"Hamilton County, Illinois","60,574","± 6,428"
"Hamilton County, Indiana","114,866","± 2,326"
"Hamilton County, Iowa","66,685","± 4,258"
"Hamilton County, Kansas","58,750","± 9,583"
"Hamilton County, Nebraska","73,254","± 4,537"
"Hamilton County, New York","66,891","± 7,622"
"Hamilton County, Ohio","68,249","± 1,092"
"Hamilton County, Tennessee","69,069","± 1,516"
"Hamilton County, Texas","54,890","± 9,481"
"Hamlin County, South Dakota","76,995","± 3,423"
"Hampden County, Massachusetts","66,619","± 1,433"
"Hampshire County, Massachusetts","84,025","± 2,156"
"Hampshire County, West Virginia","55,222","± 6,516"
"Hampton city, Virginia","64,430","± 1,991"
"Hampton County, South Carolina","40,157","± 3,255"
"Hancock County, Georgia","31,767","± 5,552"
"Hancock County, Illinois","61,026","± 3,737"
"Hancock County, Indiana","85,262","± 2,632"
"Hancock County, Iowa","67,865","± 3,153"
"Hancock County, Kentucky","68,102","± 8,727"
"Hancock County, Maine","64,149","± 1,941"
"Hancock County, Mississippi","63,623","± 3,197"
"Hancock County, Ohio","67,006","± 3,050"
"Hancock County, Tennessee","31,809","± 3,399"
"Hancock County, West Virginia","57,515","± 4,231"
"Hand County, South Dakota","72,857","± 9,298"
"Hanover County, Virginia","104,678","± 3,515"
"Hansford County, Texas","62,350","± 12,286"
"Hanson County, South Dakota","86,827","± 10,217"
"Haralson County, Georgia","65,940","± 5,987"
"Hardee County, Florida","44,665","± 7,499"
"Hardeman County, Tennessee","43,566","± 3,299"
"Hardeman County, Texas","60,455","± 9,266"
"Hardin County, Illinois","53,026","± 11,006"
"Hardin County, Iowa","64,656","± 4,778"
"Hardin County, Kentucky","64,136","± 3,117"
"Hardin County, Ohio","55,876","± 2,824"
"Hardin County, Tennessee","46,902","± 3,137"
"Hardin County, Texas","70,164","± 3,611"
"Harding County, New Mexico","39,489","± 10,836"
"Harding County, South Dakota","71,484","± 6,609"
"Hardy County, West Virginia","49,205","± 5,333"
"Harford County, Maryland","106,417","± 2,845"
"Harlan County, Kentucky","35,128","± 2,336"
"Harlan County, Nebraska","64,583","± 10,166"
"Harmon County, Oklahoma","55,729","± 10,518"
"Harnett County, North Carolina","64,992","± 2,801"
"Harney County, Oregon","45,462","± 5,749"
"Harper County, Kansas","53,032","± 4,490"
"Harper County, Oklahoma","59,934","± 11,202"
"Harris County, Georgia","85,936","± 6,546"
"Harris County, Texas","70,789",± 482
"Harrison County, Indiana","71,302","± 4,389"
"Harrison County, Iowa","75,830","± 3,022"
"Harrison County, Kentucky","58,840","± 5,659"
"Harrison County, Mississippi","55,211","± 2,367"
"Harrison County, Missouri","51,809","± 3,845"
"Harrison County, Ohio","54,056","± 3,638"
"Harrison County, Texas","63,427","± 3,052"
"Harrison County, West Virginia","56,184","± 1,997"
"Harrisonburg city, Virginia","56,050","± 1,802"
"Hart County, Georgia","61,765","± 7,872"
"Hart County, Kentucky","45,561","± 4,465"
"Hartley County, Texas","78,065","± 21,076"
"Harvey County, Kansas","70,685","± 4,173"
"Haskell County, Kansas","66,458","± 6,852"
"Haskell County, Oklahoma","46,239","± 3,259"
"Haskell County, Texas","52,786","± 8,619"
"Hatillo Municipio, Puerto Rico","24,407","± 3,080"
"Hawaii County, Hawaii","74,238","± 2,166"
"Hawkins County, Tennessee","53,647","± 2,302"
"Hayes County, Nebraska","59,405","± 6,404"
"Hays County, Texas","79,990","± 2,985"
"Haywood County, North Carolina","56,596","± 2,402"
"Haywood County, Tennessee","44,890","± 5,609"
"Heard County, Georgia","62,965","± 9,218"
"Hemphill County, Texas","67,798","± 18,780"
"Hempstead County, Arkansas","45,049","± 4,022"
"Henderson County, Illinois","64,946","± 5,130"
"Henderson County, Kentucky","56,912","± 2,530"
"Henderson County, North Carolina","65,508","± 2,953"
"Henderson County, Tennessee","51,576","± 3,022"
"Henderson County, Texas","59,778","± 2,599"
"Hendricks County, Indiana","95,261","± 3,124"
"Hendry County, Florida","49,259","± 4,850"
"Hennepin County, Minnesota","92,595","± 1,005"
"Henrico County, Virginia","82,424","± 1,734"
"Henry County, Alabama","58,395","± 5,437"
"Henry County, Georgia","79,663","± 2,089"
"Henry County, Illinois","66,313","± 3,529"
"Henry County, Indiana","57,632","± 2,808"
"Henry County, Iowa","62,365","± 3,449"
"Henry County, Kentucky","58,294","± 4,742"
"Henry County, Missouri","54,903","± 4,300"
"Henry County, Ohio","71,616","± 4,225"
"Henry County, Tennessee","48,025","± 2,606"
"Henry County, Virginia","43,694","± 2,612"
"Herkimer County, New York","68,104","± 3,260"
"Hernando County, Florida","59,202","± 1,456"
"Hertford County, North Carolina","46,196","± 3,240"
"Hettinger County, North Dakota","66,797","± 10,694"
"Hickman County, Kentucky","68,589","± 21,819"
"Hickman County, Tennessee","54,669","± 3,431"
"Hickory County, Missouri","33,302","± 3,694"
"Hidalgo County, New Mexico","53,651","± 7,389"
"Hidalgo County, Texas","49,371","± 1,140"
"Highland County, Ohio","60,522","± 3,035"
"Highland County, Virginia","57,070","± 8,245"
"Highlands County, Florida","53,679","± 2,624"
"Hill County, Montana","58,427","± 4,653"
"Hill County, Texas","60,669","± 3,647"
"Hillsborough County, Florida","70,612",± 909
"Hillsborough County, New Hampshire","95,112","± 2,183"
"Hillsdale County, Michigan","59,425","± 2,360"
"Hinds County, Mississippi","48,596","± 2,731"
"Hinsdale County, Colorado","58,712","± 8,376"
"Hitchcock County, Nebraska","49,456","± 3,886"
"Hocking County, Ohio","59,007","± 2,918"
"Hockley County, Texas","53,283","± 4,003"
"Hodgeman County, Kansas","63,125","± 11,956"
"Hoke County, North Carolina","57,141","± 3,153"
"Holmes County, Florida","46,063","± 3,868"
"Holmes County, Mississippi","28,818","± 2,275"
"Holmes County, Ohio","72,987","± 3,012"
"Holt County, Missouri","55,153","± 4,625"
"Holt County, Nebraska","66,325","± 4,730"
"Honolulu County, Hawaii","99,816","± 1,259"
"Hood County, Texas","80,013","± 3,773"
"Hood River County, Oregon","80,254","± 5,597"
"Hooker County, Nebraska","43,333","± 1,869"
"Hoonah-Angoon Census Area, Alaska","62,344","± 5,516"
"Hopewell city, Virginia","50,661","± 5,284"
"Hopkins County, Kentucky","54,466","± 3,097"
"Hopkins County, Texas","63,766","± 3,617"
"Hormigueros Municipio, Puerto Rico","22,542","± 2,282"
"Horry County, South Carolina","59,880","± 1,583"
"Hot Spring County, Arkansas","50,260","± 4,610"
"Hot Springs County, Wyoming","64,031","± 9,401"
"Houghton County, Michigan","52,736","± 2,563"
"Houston County, Alabama","55,064","± 1,412"
"Houston County, Georgia","76,968","± 4,298"
"Houston County, Minnesota","71,580","± 5,972"
"Houston County, Tennessee","51,544","± 3,956"
"Houston County, Texas","51,043","± 5,361"
"Howard County, Arkansas","44,824","± 6,121"
"Howard County, Indiana","62,014","± 3,730"
"Howard County, Iowa","63,947","± 6,909"
"Howard County, Maryland","140,971","± 2,122"
"Howard County, Missouri","59,023","± 5,319"
"Howard County, Nebraska","70,766","± 5,885"
"Howard County, Texas","67,243","± 4,393"
"Howell County, Missouri","46,401","± 3,651"
"Hubbard County, Minnesota","67,197","± 2,335"
"Hudson County, New Jersey","86,854","± 1,782"
"Hudspeth County, Texas","35,163","± 8,159"
"Huerfano County, Colorado","49,631","± 5,676"
"Hughes County, Oklahoma","44,799","± 3,685"
"Hughes County, South Dakota","83,750","± 5,986"
"Humacao Municipio, Puerto Rico","25,940","± 1,901"
"Humboldt County, California","57,881","± 2,131"
"Humboldt County, Iowa","66,617","± 3,948"
"Humboldt County, Nevada","75,574","± 8,165"
"Humphreys County, Mississippi","31,907","± 3,675"
"Humphreys County, Tennessee","54,185","± 3,035"
"Hunt County, Texas","66,885","± 2,789"
"Hunterdon County, New Jersey","133,534","± 3,236"
"Huntingdon County, Pennsylvania","61,300","± 2,892"
"Huntington County, Indiana","59,894","± 2,463"
"Huron County, Michigan","54,475","± 1,406"
"Huron County, Ohio","64,144","± 2,599"
"Hutchinson County, South Dakota","69,139","± 5,060"
"Hutchinson County, Texas","62,211","± 4,695"
"Hyde County, North Carolina","43,724","± 13,650"
"Hyde County, South Dakota","69,712","± 8,439"
"Iberia Parish, Louisiana","55,190","± 2,319"
"Iberville Parish, Louisiana","59,410","± 6,240"
"Ida County, Iowa","63,125","± 8,438"
"Idaho County, Idaho","54,745","± 4,981"
"Imperial County, California","53,847","± 2,214"
"Independence County, Arkansas","52,361","± 4,661"
"Indian River County, Florida","67,543","± 2,000"
"Indiana County, Pennsylvania","57,170","± 2,657"
"Ingham County, Michigan","62,548","± 1,854"
"Inyo County, California","63,417","± 5,453"
"Ionia County, Michigan","71,720","± 2,440"
"Iosco County, Michigan","46,224","± 2,441"
"Iowa County, Iowa","69,787","± 4,877"
"Iowa County, Wisconsin","79,226","± 3,107"
"Iredell County, North Carolina","73,103","± 2,377"
"Irion County, Texas","54,708","± 9,278"
"Iron County, Michigan","52,241","± 3,490"
"Iron County, Missouri","53,401","± 8,529"
"Iron County, Utah","63,005","± 4,390"
"Iron County, Wisconsin","55,777","± 3,098"
"Iroquois County, Illinois","62,866","± 3,233"
"Irwin County, Georgia","46,383","± 5,735"
"Isabela Municipio, Puerto Rico","19,965","± 1,487"
"Isabella County, Michigan","52,638","± 2,248"
"Isanti County, Minnesota","84,063","± 3,713"
"Island County, Washington","82,850","± 2,941"
"Isle of Wight County, Virginia","91,680","± 3,754"
"Issaquena County, Mississippi","17,900","± 5,191"
"Itasca County, Minnesota","63,962","± 2,918"
"Itawamba County, Mississippi","57,252","± 7,289"
"Izard County, Arkansas","46,159","± 6,295"
"Jack County, Texas","58,861","± 7,780"
"Jackson County, Alabama","46,748","± 2,079"
"Jackson County, Arkansas","41,929","± 3,365"
"Jackson County, Colorado","38,686","± 11,308"
"Jackson County, Florida","46,144","± 2,375"
"Jackson County, Georgia","82,056","± 4,488"
"Jackson County, Illinois","44,847","± 2,947"
"Jackson County, Indiana","65,609","± 2,777"
"Jackson County, Iowa","69,709","± 5,054"
"Jackson County, Kansas","70,385","± 3,303"
"Jackson County, Kentucky","38,516","± 9,238"
"Jackson County, Michigan","62,581","± 1,580"
"Jackson County, Minnesota","68,368","± 3,525"
"Jackson County, Mississippi","60,045","± 2,331"
"Jackson County, Missouri","65,169","± 1,131"
"Jackson County, North Carolina","51,482","± 3,622"
"Jackson County, Ohio","56,549","± 4,420"
"Jackson County, Oklahoma","60,954","± 4,606"
"Jackson County, Oregon","67,690","± 2,163"
"Jackson County, South Dakota","26,078","± 9,885"
"Jackson County, Tennessee","42,357","± 6,209"
"Jackson County, Texas","67,176","± 12,031"
"Jackson County, West Virginia","55,173","± 7,161"
"Jackson County, Wisconsin","64,630","± 3,367"
"Jackson Parish, Louisiana","40,406","± 2,801"
"James City County, Virginia","100,711","± 4,670"
"Jasper County, Georgia","57,374","± 9,203"
"Jasper County, Illinois","67,429","± 5,702"
"Jasper County, Indiana","77,777","± 3,886"
"Jasper County, Iowa","67,784","± 3,012"
"Jasper County, Mississippi","43,914","± 5,166"
"Jasper County, Missouri","54,963","± 2,039"
"Jasper County, South Carolina","60,452","± 4,846"
"Jasper County, Texas","48,818","± 4,802"
"Jay County, Indiana","52,231","± 2,952"
"Jayuya Municipio, Puerto Rico","18,363","± 2,443"
"Jeff Davis County, Georgia","41,780","± 5,991"
"Jeff Davis County, Texas","38,125","± 25,205"
"Jefferson County, Alabama","63,595","± 1,305"
"Jefferson County, Arkansas","46,855","± 2,150"
"Jefferson County, Colorado","103,167","± 1,358"
"Jefferson County, Florida","51,573","± 8,150"
"Jefferson County, Georgia","46,865","± 4,692"
"Jefferson County, Idaho","77,491","± 5,448"
"Jefferson County, Illinois","58,384","± 2,185"
"Jefferson County, Indiana","57,801","± 4,168"
"Jefferson County, Iowa","52,210","± 5,023"
"Jefferson County, Kansas","74,562","± 3,770"
"Jefferson County, Kentucky","66,296",± 937
"Jefferson County, Mississippi","31,544","± 4,159"
"Jefferson County, Missouri","77,217","± 2,028"
"Jefferson County, Montana","73,875","± 9,063"
"Jefferson County, Nebraska","54,494","± 4,252"
"Jefferson County, New York","62,782","± 2,286"
"Jefferson County, Ohio","53,124","± 2,329"
"Jefferson County, Oklahoma","48,346","± 4,413"
"Jefferson County, Oregon","69,345","± 6,127"
"Jefferson County, Pennsylvania","56,607","± 1,932"
"Jefferson County, Tennessee","60,393","± 3,332"
"Jefferson County, Texas","57,294","± 1,667"
"Jefferson County, Washington","64,796","± 4,917"
"Jefferson County, West Virginia","93,744","± 5,591"
"Jefferson County, Wisconsin","77,018","± 2,226"
"Jefferson Davis County, Mississippi","36,473","± 5,601"
"Jefferson Davis Parish, Louisiana","52,470","± 5,233"
"Jefferson Parish, Louisiana","63,257","± 1,592"
"Jenkins County, Georgia","31,463","± 6,072"
"Jennings County, Indiana","66,892","± 4,481"
"Jerauld County, South Dakota","66,607","± 13,899"
"Jerome County, Idaho","67,347","± 3,416"
"Jersey County, Illinois","77,607","± 7,437"
"Jessamine County, Kentucky","69,905","± 3,527"
"Jewell County, Kansas","47,109","± 4,603"
"Jim Hogg County, Texas","42,292","± 5,770"
"Jim Wells County, Texas","46,626","± 5,918"
"Jo Daviess County, Illinois","67,729","± 4,200"
"Johnson County, Arkansas","42,470","± 3,469"
"Johnson County, Georgia","47,796","± 5,713"
"Johnson County, Illinois","63,295","± 3,462"
"Johnson County, Indiana","82,730","± 1,759"
"Johnson County, Iowa","72,977","± 2,901"
"Johnson County, Kansas","103,644","± 1,484"
"Johnson County, Kentucky","44,231","± 4,561"
"Johnson County, Missouri","62,503","± 2,556"
"Johnson County, Nebraska","64,352","± 6,351"
"Johnson County, Tennessee","47,571","± 3,552"
"Johnson County, Texas","77,058","± 2,356"
"Johnson County, Wyoming","60,667","± 5,312"
"Johnston County, North Carolina","75,288","± 2,516"
"Johnston County, Oklahoma","48,476","± 3,293"
"Jones County, Georgia","66,288","± 4,850"
"Jones County, Iowa","68,781","± 4,469"
"Jones County, Mississippi","49,451","± 3,828"
"Jones County, North Carolina","53,053","± 6,392"
"Jones County, South Dakota","61,250","± 15,611"
"Jones County, Texas","59,361","± 5,961"
"Josephine County, Oregon","56,068","± 2,989"
"Juab County, Utah","88,048","± 6,759"
"Juana Díaz Municipio, Puerto Rico","23,035","± 1,552"
"Judith Basin County, Montana","58,750","± 12,296"
"Juncos Municipio, Puerto Rico","25,931","± 2,526"
"Juneau City and Borough, Alaska","95,711","± 6,801"
"Juneau County, Wisconsin","63,455","± 2,194"
"Juniata County, Pennsylvania","61,915","± 2,963"
"Kalamazoo County, Michigan","67,905","± 1,566"
"Kalawao County, Hawaii","87,813","± 11,404"
"Kalkaska County, Michigan","56,380","± 3,233"
"Kanabec County, Minnesota","68,995","± 3,201"
"Kanawha County, West Virginia","55,226","± 1,650"
"Kandiyohi County, Minnesota","73,285","± 3,549"
"Kane County, Illinois","96,400","± 1,741"
"Kane County, Utah","70,327","± 11,967"
"Kankakee County, Illinois","65,489","± 2,802"
"Karnes County, Texas","57,798","± 8,361"
"Kauai County, Hawaii","88,869","± 4,471"
"Kaufman County, Texas","84,075","± 3,457"
"Kay County, Oklahoma","53,746","± 2,826"
"Kearney County, Nebraska","74,276","± 4,216"
"Kearny County, Kansas","68,750","± 18,282"
"Keith County, Nebraska","59,511","± 3,813"
"Kemper County, Mississippi","42,947","± 4,192"
"Kenai Peninsula Borough, Alaska","76,272","± 3,470"
"Kendall County, Illinois","106,358","± 3,259"
"Kendall County, Texas","104,196","± 8,603"
"Kenedy County, Texas","45,455","± 11,419"
"Kennebec County, Maine","62,118","± 1,971"
"Kenosha County, Wisconsin","76,583","± 3,057"
"Kent County, Delaware","69,278","± 1,968"
"Kent County, Maryland","71,635","± 9,808"
"Kent County, Michigan","76,247","± 1,275"
"Kent County, Rhode Island","85,732","± 2,795"
"Kent County, Texas","68,553","± 10,676"
"Kenton County, Kentucky","76,016","± 2,340"
"Keokuk County, Iowa","60,016","± 3,203"
"Kern County, California","63,883","± 1,325"
"Kerr County, Texas","66,713","± 4,159"
"Kershaw County, South Carolina","61,343","± 3,294"
"Ketchikan Gateway Borough, Alaska","82,763","± 5,567"
"Kewaunee County, Wisconsin","77,610","± 3,079"
"Keweenaw County, Michigan","55,560","± 7,301"
"Keya Paha County, Nebraska","63,977","± 10,389"
"Kidder County, North Dakota","57,240","± 4,794"
"Kimball County, Nebraska","53,151","± 5,683"
"Kimble County, Texas","62,386","± 14,087"
"King and Queen County, Virginia","70,147","± 18,853"
"King County, Texas","59,375","± 29,395"
"King County, Washington","116,340",± 862
"King George County, Virginia","103,264","± 8,402"
"King William County, Virginia","79,398","± 9,419"
"Kingfisher County, Oklahoma","65,167","± 7,491"
"Kingman County, Kansas","59,640","± 4,189"
"Kings County, California","68,540","± 2,253"
"Kings County, New York","74,692",± 946
"Kingsbury County, South Dakota","65,964","± 5,454"
"Kinney County, Texas","52,386","± 23,728"
"Kiowa County, Colorado","45,250","± 12,860"
"Kiowa County, Kansas","70,347","± 4,237"
"Kiowa County, Oklahoma","42,679","± 7,182"
"Kit Carson County, Colorado","58,992","± 6,334"
"Kitsap County, Washington","93,675","± 2,257"
"Kittitas County, Washington","66,800","± 3,005"
"Kittson County, Minnesota","66,000","± 4,101"
"Klamath County, Oregon","57,219","± 2,936"
"Kleberg County, Texas","52,487","± 4,987"
"Klickitat County, Washington","66,581","± 4,686"
"Knott County, Kentucky","38,336","± 4,822"
"Knox County, Illinois","50,263","± 3,338"
"Knox County, Indiana","58,173","± 3,492"
"Knox County, Kentucky","34,254","± 3,501"
"Knox County, Maine","68,904","± 4,075"
"Knox County, Missouri","49,167","± 7,709"
"Knox County, Nebraska","61,250","± 3,507"
"Knox County, Ohio","71,246","± 3,724"
"Knox County, Tennessee","68,580","± 1,290"
"Knox County, Texas","48,750","± 4,786"
"Kodiak Island Borough, Alaska","91,138","± 11,155"
"Koochiching County, Minnesota","59,779","± 4,209"
"Kootenai County, Idaho","71,949","± 2,241"
"Kosciusko County, Indiana","70,945","± 3,073"
"Kossuth County, Iowa","62,553","± 4,310"
"Kusilvak Census Area, Alaska","42,663","± 3,389"
"La Crosse County, Wisconsin","68,731","± 2,553"
"La Paz County, Arizona","46,634","± 2,584"
"La Plata County, Colorado","81,936","± 2,984"
"La Salle County, Texas","62,798","± 16,353"
"Labette County, Kansas","56,143","± 3,549"
"Lac qui Parle County, Minnesota","66,967","± 3,464"
"Lackawanna County, Pennsylvania","63,739","± 1,644"
"Laclede County, Missouri","49,202","± 2,100"
"Lafayette County, Arkansas","40,262","± 8,531"
"Lafayette County, Florida","57,852","± 12,861"
"Lafayette County, Mississippi","59,748","± 3,181"
"Lafayette County, Missouri","78,397","± 7,050"
"Lafayette County, Wisconsin","69,293","± 2,858"
"Lafayette Parish, Louisiana","66,617","± 2,192"
"Lafourche Parish, Louisiana","61,381","± 4,953"
"LaGrange County, Indiana","81,658","± 3,267"
"Lajas Municipio, Puerto Rico","17,131","± 1,309"
"Lake and Peninsula Borough, Alaska","61,607","± 7,202"
"Lake County, California","56,259","± 2,439"
"Lake County, Colorado","78,942","± 10,647"
"Lake County, Florida","66,239","± 1,779"
"Lake County, Illinois","104,553","± 1,459"
"Lake County, Indiana","66,375","± 1,228"
"Lake County, Michigan","45,946","± 2,357"
"Lake County, Minnesota","73,860","± 3,386"
"Lake County, Montana","58,009","± 2,463"
"Lake County, Ohio","76,835","± 1,297"
"Lake County, Oregon","54,663","± 6,786"
"Lake County, South Dakota","74,884","± 9,857"
"Lake County, Tennessee","32,064","± 4,803"
"Lake of the Woods County, Minnesota","61,667","± 5,812"
"Lamar County, Alabama","49,565","± 4,483"
"Lamar County, Georgia","64,966","± 10,714"
"Lamar County, Mississippi","67,972","± 3,073"
"Lamar County, Texas","58,246","± 2,845"
"Lamb County, Texas","54,519","± 4,693"
"Lamoille County, Vermont","69,886","± 5,846"
"LaMoure County, North Dakota","70,227","± 8,687"
"Lampasas County, Texas","73,269","± 5,449"
"Lancaster County, Nebraska","70,387","± 1,547"
"Lancaster County, Pennsylvania","81,458","± 1,462"
"Lancaster County, South Carolina","72,186","± 3,530"
"Lancaster County, Virginia","62,674","± 4,452"
"Lander County, Nevada","92,388","± 15,949"
"Lane County, Kansas","52,222","± 25,196"
"Lane County, Oregon","65,157","± 1,401"
"Langlade County, Wisconsin","55,091","± 4,210"
"Lanier County, Georgia","39,971","± 4,867"
"Lapeer County, Michigan","75,402","± 2,304"
"LaPorte County, Indiana","66,854","± 2,323"
"Laramie County, Wyoming","76,282","± 2,658"
"Lares Municipio, Puerto Rico","18,844","± 1,161"
"Larimer County, Colorado","87,199","± 2,139"
"Larue County, Kentucky","57,867","± 9,297"
"Las Animas County, Colorado","48,965","± 3,893"
"Las Marías Municipio, Puerto Rico","16,506","± 2,866"
"Las Piedras Municipio, Puerto Rico","23,193","± 3,075"
"LaSalle County, Illinois","67,942","± 2,145"
"LaSalle Parish, Louisiana","59,926","± 9,117"
"Lassen County, California","59,515","± 3,551"
"Latah County, Idaho","62,258","± 3,753"
"Latimer County, Oklahoma","42,735","± 4,456"
"Lauderdale County, Alabama","56,081","± 3,092"
"Lauderdale County, Mississippi","45,649","± 2,295"
"Lauderdale County, Tennessee","46,702","± 2,898"
"Laurel County, Kentucky","53,693","± 4,100"
"Laurens County, Georgia","46,776","± 3,392"
"Laurens County, South Carolina","52,077","± 2,105"
"Lavaca County, Texas","58,530","± 4,515"
"Lawrence County, Alabama","54,786","± 3,498"
"Lawrence County, Arkansas","43,606","± 3,565"
"Lawrence County, Illinois","55,811","± 6,777"
"Lawrence County, Indiana","64,210","± 3,797"
"Lawrence County, Kentucky","42,488","± 7,438"
"Lawrence County, Mississippi","41,096","± 3,864"
"Lawrence County, Missouri","52,225","± 2,493"
"Lawrence County, Ohio","51,846","± 2,704"
"Lawrence County, Pennsylvania","57,585","± 1,767"
"Lawrence County, South Dakota","62,977","± 5,473"
"Lawrence County, Tennessee","51,038","± 2,271"
"Le Flore County, Oklahoma","46,750","± 1,758"
"Le Sueur County, Minnesota","87,180","± 3,717"
"Lea County, New Mexico","65,855","± 4,832"
"Leake County, Mississippi","46,669","± 3,856"
"Leavenworth County, Kansas","84,307","± 4,939"
"Lebanon County, Pennsylvania","72,532","± 1,949"
"Lee County, Alabama","59,288","± 2,943"
"Lee County, Arkansas","33,801","± 6,518"
"Lee County, Florida","69,368",± 834
"Lee County, Georgia","83,632","± 6,587"
"Lee County, Illinois","64,588","± 2,939"
"Lee County, Iowa","58,094","± 3,250"
"Lee County, Kentucky","31,682","± 2,202"
"Lee County, Mississippi","64,479","± 3,501"
"Lee County, North Carolina","60,941","± 3,191"
"Lee County, South Carolina","39,099","± 5,826"
"Lee County, Texas","66,448","± 6,910"
"Lee County, Virginia","41,619","± 5,140"
"Leelanau County, Michigan","82,345","± 4,381"
"Leflore County, Mississippi","33,115","± 2,746"
"Lehigh County, Pennsylvania","74,973","± 1,499"
"Lemhi County, Idaho","49,216","± 6,337"
"Lenawee County, Michigan","65,484","± 1,751"
"Lenoir County, North Carolina","43,063","± 1,794"
"Leon County, Florida","61,317","± 1,523"
"Leon County, Texas","57,363","± 6,909"
"Leslie County, Kentucky","37,019","± 9,499"
"Letcher County, Kentucky","38,466","± 3,232"
"Levy County, Florida","49,933","± 3,435"
"Lewis and Clark County, Montana","71,967","± 3,306"
"Lewis County, Idaho","46,484","± 4,687"
"Lewis County, Kentucky","36,662","± 4,603"
"Lewis County, Missouri","49,779","± 5,383"
"Lewis County, New York","64,401","± 2,676"
"Lewis County, Tennessee","44,613","± 6,850"
"Lewis County, Washington","67,247","± 2,762"
"Lewis County, West Virginia","50,552","± 6,143"
"Lexington city, Virginia","93,651","± 19,616"
"Lexington County, South Carolina","71,280","± 1,598"
"Liberty County, Florida","51,723","± 7,863"
"Liberty County, Georgia","55,149","± 2,670"
"Liberty County, Montana","48,047","± 9,252"
"Liberty County, Texas","59,605","± 3,990"
"Licking County, Ohio","78,505","± 2,179"
"Limestone County, Alabama","80,146","± 4,029"
"Limestone County, Texas","53,102","± 3,779"
"Lincoln County, Arkansas","50,526","± 5,374"
"Lincoln County, Colorado","59,167","± 10,020"
"Lincoln County, Georgia","50,754","± 7,408"
"Lincoln County, Idaho","62,250","± 4,106"
"Lincoln County, Kansas","52,540","± 4,097"
"Lincoln County, Kentucky","49,487","± 3,598"
"Lincoln County, Maine","69,638","± 4,677"
"Lincoln County, Minnesota","64,750","± 4,715"
"Lincoln County, Mississippi","47,069","± 3,673"
"Lincoln County, Missouri","82,543","± 2,649"
"Lincoln County, Montana","44,593","± 3,874"
"Lincoln County, Nebraska","63,019","± 3,254"
"Lincoln County, Nevada","67,412","± 6,382"
"Lincoln County, New Mexico","47,919","± 4,280"
"Lincoln County, North Carolina","75,672","± 3,178"
"Lincoln County, Oklahoma","57,656","± 2,341"
"Lincoln County, Oregon","57,794","± 2,344"
"Lincoln County, South Dakota","92,317","± 2,853"
"Lincoln County, Tennessee","61,374","± 2,381"
"Lincoln County, Washington","68,172","± 3,181"
"Lincoln County, West Virginia","50,985","± 6,117"
"Lincoln County, Wisconsin","64,314","± 5,497"
"Lincoln County, Wyoming","83,033","± 2,479"
"Lincoln Parish, Louisiana","37,001","± 3,309"
"Linn County, Iowa","75,457","± 1,426"
"Linn County, Kansas","56,697","± 3,440"
"Linn County, Missouri","58,435","± 3,986"
"Linn County, Oregon","69,523","± 2,648"
"Lipscomb County, Texas","71,625","± 9,256"
"Little River County, Arkansas","58,627","± 11,485"
"Live Oak County, Texas","55,949","± 10,059"
"Livingston County, Illinois","68,175","± 3,105"
"Livingston County, Kentucky","56,125","± 9,087"
"Livingston County, Michigan","96,135","± 1,887"
"Livingston County, Missouri","58,772","± 3,049"
"Livingston County, New York","70,443","± 2,811"
"Livingston Parish, Louisiana","77,978","± 4,335"
"Llano County, Texas","64,241","± 5,661"
"Logan County, Arkansas","51,131","± 2,630"
"Logan County, Colorado","54,864","± 4,203"
"Logan County, Illinois","62,547","± 2,975"
"Logan County, Kansas","70,382","± 8,626"
"Logan County, Kentucky","58,869","± 4,080"
"Logan County, Nebraska","69,250","± 11,569"
"Logan County, North Dakota","59,750","± 10,849"
"Logan County, Ohio","69,125","± 3,303"
"Logan County, Oklahoma","80,565","± 3,325"
"Logan County, West Virginia","42,194","± 4,232"
"Loíza Municipio, Puerto Rico","21,306","± 3,371"
"Long County, Georgia","56,819","± 6,077"
"Lonoke County, Arkansas","68,078","± 2,801"
"Lorain County, Ohio","67,272","± 1,175"
"Los Alamos County, New Mexico","135,801","± 8,616"
"Los Angeles County, California","83,411",± 439
"Loudon County, Tennessee","75,008","± 4,501"
"Loudoun County, Virginia","170,463","± 3,497"
"Louisa County, Iowa","72,500","± 7,373"
"Louisa County, Virginia","76,594","± 7,338"
"Loup County, Nebraska","50,000","± 10,392"
"Love County, Oklahoma","60,758","± 4,961"
"Loving County, Texas",-,**
"Lower Connecticut River Valley Planning Region, Connecticut","99,742","± 2,524"
"Lowndes County, Alabama","33,125","± 4,764"
"Lowndes County, Georgia","52,821","± 2,045"
"Lowndes County, Mississippi","53,687","± 2,264"
"Lubbock County, Texas","61,911","± 2,194"
"Lucas County, Iowa","63,405","± 7,681"
"Lucas County, Ohio","57,265",± 969
