Geography,"Percent—AGE BY EDUCATIONAL ATTAINMENT—Population 25 years and over—9th to 12th grade, no diploma—Estimate",MoE
"Greene County, Pennsylvania",8%,± 1.2%
"Greene County, Tennessee",8.30%,± 1.1%
"Greene County, Virginia",7.60%,± 2%
"Greenlee County, Arizona",9.30%,± 2.8%
"Greensville County, Virginia",12.40%,± 2.5%
"Greenup County, Kentucky",5.70%,± 1.2%
"Greenville County, South Carolina",6.60%,± 0.5%
"Greenwood County, Kansas",5.60%,± 1.9%
"Greenwood County, South Carolina",9.20%,± 1.3%
"Greer County, Oklahoma",15.70%,± 3.7%
"Gregg County, Texas",7.90%,± 0.9%
"Gregory County, South Dakota",7.20%,± 1.6%
"Grenada County, Mississippi",13.60%,± 2.5%
"Griggs County, North Dakota",3.40%,± 1.1%
"Grimes County, Texas",12.20%,± 2.2%
"Grundy County, Illinois",4%,± 0.8%
"Grundy County, Iowa",3%,± 0.8%
"Grundy County, Missouri",8.30%,± 2.1%
"Grundy County, Tennessee",12.50%,± 2.4%
"Guadalupe County, New Mexico",9.20%,± 3.9%
"Guadalupe County, Texas",6.40%,± 0.7%
"Guánica Municipio, Puerto Rico",13.50%,± 2.2%
"Guayama Municipio, Puerto Rico",8.80%,± 1.3%
"Guayanilla Municipio, Puerto Rico",8.60%,± 2%
"Guaynabo Municipio, Puerto Rico",4.90%,± 0.8%
"Guernsey County, Ohio",9.30%,± 1.6%
"Guilford County, North Carolina",6%,± 0.4%
"Gulf County, Florida",10.30%,± 2.1%
"Gunnison County, Colorado",0.90%,± 0.6%
"Gurabo Municipio, Puerto Rico",6.50%,± 1.3%
"Guthrie County, Iowa",4.30%,± 0.9%
"Gwinnett County, Georgia",5.60%,± 0.3%
"Haakon County, South Dakota",3.40%,± 2.5%
"Habersham County, Georgia",10.10%,± 1.3%
"Haines Borough, Alaska",1.50%,± 1.2%
"Hale County, Alabama",14.30%,± 3.1%
"Hale County, Texas",11.40%,± 1.8%
"Halifax County, North Carolina",12.80%,± 1.4%
"Halifax County, Virginia",10.60%,± 1.5%
"Hall County, Georgia",8.10%,± 0.7%
"Hall County, Nebraska",7.20%,± 1.1%
"Hall County, Texas",11.50%,± 3.2%
"Hamblen County, Tennessee",7.60%,± 1.2%
"Hamilton County, Florida",16.30%,± 2.3%
"Hamilton County, Illinois",7.70%,± 2.5%
"Hamilton County, Indiana",1.90%,± 0.3%
"Hamilton County, Iowa",4%,± 1.2%
"Hamilton County, Kansas",7.90%,± 3.3%
"Hamilton County, Nebraska",1.90%,± 0.8%
"Hamilton County, New York",11.60%,± 3.8%
"Hamilton County, Ohio",5.50%,± 0.3%
"Hamilton County, Tennessee",5.70%,± 0.3%
"Hamilton County, Texas",6.60%,± 2.2%
"Hamlin County, South Dakota",2.30%,± 0.9%
"Hampden County, Massachusetts",8%,± 0.5%
"Hampshire County, Massachusetts",3.10%,± 0.5%
"Hampshire County, West Virginia",8.20%,± 2%
"Hampton city, Virginia",4.90%,± 0.5%
"Hampton County, South Carolina",12%,± 2.5%
"Hancock County, Georgia",12.50%,± 3.5%
"Hancock County, Illinois",4.20%,± 0.9%
"Hancock County, Indiana",5.10%,± 0.9%
"Hancock County, Iowa",7.20%,± 1.6%
"Hancock County, Kentucky",9%,± 2.7%
"Hancock County, Maine",3.50%,± 0.5%
"Hancock County, Mississippi",7.10%,± 1.4%
"Hancock County, Ohio",5%,± 0.8%
"Hancock County, Tennessee",11%,± 3.3%
"Hancock County, West Virginia",6.30%,± 1.2%
"Hand County, South Dakota",2.30%,± 1%
"Hanover County, Virginia",3.60%,± 0.5%
"Hansford County, Texas",15.20%,± 4.3%
"Hanson County, South Dakota",1.80%,± 0.8%
"Haralson County, Georgia",11.30%,± 1.8%
"Hardee County, Florida",9.80%,± 1.9%
"Hardeman County, Tennessee",14.80%,± 3.4%
"Hardeman County, Texas",9.90%,± 3.3%
"Hardin County, Illinois",7%,± 2.7%
"Hardin County, Iowa",4.50%,± 1%
"Hardin County, Kentucky",5.50%,± 0.7%
"Hardin County, Ohio",5.10%,± 1.1%
"Hardin County, Tennessee",10%,± 1.9%
"Hardin County, Texas",8.10%,± 1.3%
"Harding County, New Mexico",9.60%,± 4.6%
"Harding County, South Dakota",2.10%,± 1.1%
"Hardy County, West Virginia",8.80%,± 1.6%
"Harford County, Maryland",4.10%,± 0.4%
"Harlan County, Kentucky",14.20%,± 2%
"Harlan County, Nebraska",4%,± 1.6%
"Harmon County, Oklahoma",8.90%,± 3.7%
"Harnett County, North Carolina",7.30%,± 0.6%
"Harney County, Oregon",5.80%,± 2.1%
"Harper County, Kansas",6.20%,± 2.1%
"Harper County, Oklahoma",4%,± 1.8%
"Harris County, Georgia",4.70%,± 1%
"Harris County, Texas",7.50%,± 0.2%
"Harrison County, Indiana",7.80%,± 1.1%
"Harrison County, Iowa",5.10%,± 1.1%
"Harrison County, Kentucky",9.50%,± 1.6%
"Harrison County, Mississippi",7.70%,± 0.7%
"Harrison County, Missouri",7.30%,± 1.8%
"Harrison County, Ohio",7.80%,± 1.5%
"Harrison County, Texas",7.20%,± 1.3%
"Harrison County, West Virginia",9.20%,± 1.2%
"Harrisonburg city, Virginia",7.20%,± 1.6%
"Hart County, Georgia",11.90%,± 2%
"Hart County, Kentucky",12.80%,± 1.9%
"Hartley County, Texas",8.10%,± 2.7%
"Harvey County, Kansas",4.50%,± 1%
"Haskell County, Kansas",6.60%,± 2.7%
"Haskell County, Oklahoma",11.30%,± 1.5%
"Haskell County, Texas",12.20%,± 2.2%
"Hatillo Municipio, Puerto Rico",6.80%,± 1.6%
"Hawaii County, Hawaii",4.80%,± 0.5%
"Hawkins County, Tennessee",8.90%,± 1.2%
"Hayes County, Nebraska",5.40%,± 2.5%
"Hays County, Texas",4.70%,± 0.5%
"Haywood County, North Carolina",6.40%,± 0.9%
"Haywood County, Tennessee",11.60%,± 2.2%
"Heard County, Georgia",11.40%,± 2.4%
"Hemphill County, Texas",4.20%,± 2.6%
"Hempstead County, Arkansas",8.50%,± 1.7%
"Henderson County, Illinois",5.80%,± 1.8%
"Henderson County, Kentucky",7.70%,± 1.2%
"Henderson County, North Carolina",5%,± 0.7%
"Henderson County, Tennessee",8.10%,± 1.6%
"Henderson County, Texas",8.70%,± 0.9%
"Hendricks County, Indiana",5.10%,± 0.9%
"Hendry County, Florida",13.80%,± 2.9%
"Hennepin County, Minnesota",2.90%,± 0.2%
"Henrico County, Virginia",4.40%,± 0.3%
"Henry County, Alabama",12.70%,± 2.1%
"Henry County, Georgia",5%,± 0.6%
"Henry County, Illinois",5.30%,± 0.8%
"Henry County, Indiana",6.40%,± 0.9%
"Henry County, Iowa",5.50%,± 1.2%
"Henry County, Kentucky",9.90%,± 2%
"Henry County, Missouri",8.10%,± 1.5%
"Henry County, Ohio",4.60%,± 0.8%
"Henry County, Tennessee",7.60%,± 1.6%
"Henry County, Virginia",11.10%,± 1.3%
"Herkimer County, New York",5.70%,± 0.8%
"Hernando County, Florida",7.60%,± 0.6%
"Hertford County, North Carolina",11.40%,± 1.8%
"Hettinger County, North Dakota",5.90%,± 2.7%
"Hickman County, Kentucky",6.30%,± 2.4%
"Hickman County, Tennessee",11.50%,± 2.1%
"Hickory County, Missouri",7.70%,± 2.3%
"Hidalgo County, New Mexico",10.10%,± 3.4%
"Hidalgo County, Texas",13%,± 0.6%
"Highland County, Ohio",10.20%,± 1.4%
"Highland County, Virginia",5.80%,± 3%
"Highlands County, Florida",8.40%,± 0.8%
"Hill County, Montana",7.70%,± 2%
"Hill County, Texas",8.70%,± 1.2%
"Hillsborough County, Florida",6.10%,± 0.2%
"Hillsborough County, New Hampshire",4.40%,± 0.3%
"Hillsdale County, Michigan",6.10%,± 0.7%
"Hinds County, Mississippi",7.40%,± 0.8%
"Hinsdale County, Colorado",1.50%,± 1.3%
"Hitchcock County, Nebraska",5.10%,± 1.6%
"Hocking County, Ohio",7.70%,± 1.3%
"Hockley County, Texas",10.70%,± 2%
"Hodgeman County, Kansas",3.80%,± 2.2%
"Hoke County, North Carolina",6.60%,± 0.9%
"Holmes County, Florida",12.80%,± 2.6%
"Holmes County, Mississippi",12.60%,± 2.4%
"Holmes County, Ohio",6.80%,± 1.1%
"Holt County, Missouri",4.60%,± 1.9%
"Holt County, Nebraska",3.80%,± 1.4%
"Honolulu County, Hawaii",3.70%,± 0.2%
"Hood County, Texas",5%,± 0.9%
"Hood River County, Oregon",6.30%,± 1.7%
"Hooker County, Nebraska",4.80%,± 4.8%
"Hoonah-Angoon Census Area, Alaska",5.30%,± 1.7%
"Hopewell city, Virginia",8.60%,± 1.7%
"Hopkins County, Kentucky",7.10%,± 1%
"Hopkins County, Texas",9.60%,± 1.5%
"Hormigueros Municipio, Puerto Rico",5.80%,± 1.7%
"Horry County, South Carolina",5.90%,± 0.5%
"Hot Spring County, Arkansas",8.90%,± 1.7%
"Hot Springs County, Wyoming",4.10%,± 1.7%
"Houghton County, Michigan",4%,± 0.6%
"Houston County, Alabama",8.80%,± 0.6%
"Houston County, Georgia",4.60%,± 0.6%
"Houston County, Minnesota",4%,± 1.1%
"Houston County, Tennessee",10.50%,± 2.5%
"Houston County, Texas",11.60%,± 1.5%
"Howard County, Arkansas",7.30%,± 2.2%
"Howard County, Indiana",5.70%,± 0.8%
"Howard County, Iowa",3.40%,± 1.2%
"Howard County, Maryland",2.50%,± 0.3%
"Howard County, Missouri",7.70%,± 1.6%
"Howard County, Nebraska",2.20%,± 0.9%
"Howard County, Texas",10.90%,± 1.4%
"Howell County, Missouri",10.40%,± 1.5%
"Hubbard County, Minnesota",4.70%,± 0.7%
"Hudson County, New Jersey",5.20%,± 0.3%
"Hudspeth County, Texas",17.20%,± 5.3%
"Huerfano County, Colorado",2.90%,± 1.4%
"Hughes County, Oklahoma",11.90%,± 1.6%
"Hughes County, South Dakota",2.10%,± 0.9%
"Humacao Municipio, Puerto Rico",8.20%,± 1.5%
"Humboldt County, California",6.20%,± 0.7%
"Humboldt County, Iowa",4.50%,± 1.4%
"Humboldt County, Nevada",9.10%,± 2.2%
"Humphreys County, Mississippi",17.40%,± 4.1%
"Humphreys County, Tennessee",9%,± 1.8%
"Hunt County, Texas",8.40%,± 1.1%
"Hunterdon County, New Jersey",2.30%,± 0.3%
"Huntingdon County, Pennsylvania",7%,± 0.7%
"Huntington County, Indiana",5.80%,± 1.1%
"Huron County, Michigan",6.20%,± 0.6%
"Huron County, Ohio",6.60%,± 1%
"Hutchinson County, South Dakota",3.80%,± 1.3%
"Hutchinson County, Texas",8.70%,± 2.1%
"Hyde County, North Carolina",14.30%,± 5.2%
"Hyde County, South Dakota",6.30%,± 3.6%
"Iberia Parish, Louisiana",11.70%,± 1.2%
"Iberville Parish, Louisiana",12.10%,± 1.8%
"Ida County, Iowa",5.50%,± 1.8%
"Idaho County, Idaho",6.40%,± 1.3%
"Imperial County, California",14.40%,± 1.1%
"Independence County, Arkansas",9.20%,± 1.9%
"Indian River County, Florida",5.60%,± 0.7%
"Indiana County, Pennsylvania",5.20%,± 0.6%
"Ingham County, Michigan",4.20%,± 0.5%
"Inyo County, California",4.10%,± 1.2%
"Ionia County, Michigan",6.20%,± 0.8%
"Iosco County, Michigan",8.40%,± 1%
"Iowa County, Iowa",4.30%,± 1%
"Iowa County, Wisconsin",3%,± 0.7%
"Iredell County, North Carolina",6%,± 0.6%
"Irion County, Texas",4.50%,± 3.3%
"Iron County, Michigan",5.60%,± 1%
"Iron County, Missouri",7.80%,± 1.5%
"Iron County, Utah",5%,± 0.9%
"Iron County, Wisconsin",3.20%,± 1%
"Iroquois County, Illinois",7.80%,± 1.1%
"Irwin County, Georgia",13.40%,± 4.3%
"Isabela Municipio, Puerto Rico",6.70%,± 1.2%
"Isabella County, Michigan",4.70%,± 0.8%
"Isanti County, Minnesota",6%,± 1.2%
"Island County, Washington",3.10%,± 0.6%
"Isle of Wight County, Virginia",6.80%,± 1.1%
"Issaquena County, Mississippi",26.20%,± 8.5%
"Itasca County, Minnesota",4.60%,± 0.7%
"Itawamba County, Mississippi",10%,± 1.6%
"Izard County, Arkansas",12.20%,± 2%
"Jack County, Texas",13.80%,± 2.8%
"Jackson County, Alabama",12.80%,± 1.6%
"Jackson County, Arkansas",9.50%,± 1.4%
"Jackson County, Colorado",10.60%,± 6%
"Jackson County, Florida",11.10%,± 1.3%
"Jackson County, Georgia",7.70%,± 1.1%
"Jackson County, Illinois",5.20%,± 0.9%
"Jackson County, Indiana",6.30%,± 1%
"Jackson County, Iowa",3.80%,± 1%
"Jackson County, Kansas",4.10%,± 1.2%
"Jackson County, Kentucky",15.50%,± 3.7%
"Jackson County, Michigan",6.20%,± 0.6%
"Jackson County, Minnesota",4.60%,± 1.1%
"Jackson County, Mississippi",7%,± 0.9%
"Jackson County, Missouri",5.50%,± 0.4%
"Jackson County, North Carolina",6.80%,± 2.2%
"Jackson County, Ohio",7.90%,± 1.5%
"Jackson County, Oklahoma",7.50%,± 1.4%
"Jackson County, Oregon",6.40%,± 0.6%
"Jackson County, South Dakota",9.20%,± 4.4%
"Jackson County, Tennessee",10.40%,± 2%
"Jackson County, Texas",10.20%,± 2.8%
"Jackson County, West Virginia",4.40%,± 1.3%
"Jackson County, Wisconsin",5.80%,± 0.8%
"Jackson Parish, Louisiana",11.80%,± 2.1%
"James City County, Virginia",2.80%,± 0.7%
"Jasper County, Georgia",7.60%,± 2%
"Jasper County, Illinois",5.10%,± 2.2%
"Jasper County, Indiana",5.20%,± 1.1%
"Jasper County, Iowa",3.70%,± 0.9%
"Jasper County, Mississippi",8.60%,± 2.2%
"Jasper County, Missouri",8.10%,± 0.8%
"Jasper County, South Carolina",7%,± 1.6%
"Jasper County, Texas",9.30%,± 1.9%
"Jay County, Indiana",7.20%,± 1.3%
"Jayuya Municipio, Puerto Rico",4.80%,± 2%
"Jeff Davis County, Georgia",14.70%,± 3.6%
"Jeff Davis County, Texas",4.60%,± 4.2%
"Jefferson County, Alabama",6.50%,± 0.4%
"Jefferson County, Arkansas",7.60%,± 0.9%
"Jefferson County, Colorado",3.30%,± 0.2%
"Jefferson County, Florida",10%,± 1.9%
"Jefferson County, Georgia",11.30%,± 2.3%
"Jefferson County, Idaho",4.40%,± 1%
"Jefferson County, Illinois",6.80%,± 0.8%
"Jefferson County, Indiana",8.30%,± 1.5%
"Jefferson County, Iowa",3.90%,± 1.2%
"Jefferson County, Kansas",2.50%,± 0.7%
"Jefferson County, Kentucky",6%,± 0.3%
"Jefferson County, Mississippi",13.30%,± 5%
"Jefferson County, Missouri",6.70%,± 0.7%
"Jefferson County, Montana",3.40%,± 1%
"Jefferson County, Nebraska",5.30%,± 1.9%
"Jefferson County, New York",5.70%,± 0.6%
"Jefferson County, Ohio",5.30%,± 0.7%
"Jefferson County, Oklahoma",10.60%,± 2%
"Jefferson County, Oregon",7.10%,± 1.2%
"Jefferson County, Pennsylvania",5.70%,± 0.7%
"Jefferson County, Tennessee",7.50%,± 1.2%
"Jefferson County, Texas",7.90%,± 0.5%
"Jefferson County, Washington",2.40%,± 0.6%
"Jefferson County, West Virginia",6.80%,± 0.9%
"Jefferson County, Wisconsin",4.10%,± 0.6%
"Jefferson Davis County, Mississippi",10.10%,± 2.4%
"Jefferson Davis Parish, Louisiana",11%,± 2.3%
"Jefferson Parish, Louisiana",7.50%,± 0.4%
"Jenkins County, Georgia",12.80%,± 3%
"Jennings County, Indiana",8.70%,± 1.6%
"Jerauld County, South Dakota",4.70%,± 2.9%
"Jerome County, Idaho",11.40%,± 2.3%
"Jersey County, Illinois",4.50%,± 1.5%
"Jessamine County, Kentucky",7.40%,± 1.4%
"Jewell County, Kansas",6.40%,± 1.7%
"Jim Hogg County, Texas",12.30%,± 5.4%
"Jim Wells County, Texas",13.10%,± 2.4%
"Jo Daviess County, Illinois",3.70%,± 0.8%
"Johnson County, Arkansas",10.90%,± 1.9%
"Johnson County, Georgia",18.70%,± 4.1%
"Johnson County, Illinois",11.10%,± 1.5%
"Johnson County, Indiana",4.80%,± 0.6%
"Johnson County, Iowa",2%,± 0.4%
"Johnson County, Kansas",2%,± 0.2%
"Johnson County, Kentucky",11.10%,± 2.1%
"Johnson County, Missouri",4.80%,± 1%
"Johnson County, Nebraska",6.80%,± 2.2%
"Johnson County, Tennessee",11.80%,± 2%
"Johnson County, Texas",8.80%,± 0.7%
"Johnson County, Wyoming",3.80%,± 1.8%
"Johnston County, North Carolina",6%,± 0.7%
"Johnston County, Oklahoma",8.80%,± 1.8%
"Jones County, Georgia",5.90%,± 1.6%
"Jones County, Iowa",4.30%,± 0.9%
"Jones County, Mississippi",7.80%,± 1.1%
"Jones County, North Carolina",9.80%,± 2.3%
"Jones County, South Dakota",5.10%,± 6.2%
"Jones County, Texas",13.70%,± 1.9%
"Josephine County, Oregon",7.60%,± 0.9%
"Juab County, Utah",5.10%,± 1.5%
"Juana Díaz Municipio, Puerto Rico",9.10%,± 1.4%
"Judith Basin County, Montana",3.60%,± 2%
"Juncos Municipio, Puerto Rico",7.90%,± 1.5%
"Juneau City and Borough, Alaska",3.50%,± 1.2%
"Juneau County, Wisconsin",8.50%,± 1.1%
"Juniata County, Pennsylvania",11.40%,± 1.5%
"Kalamazoo County, Michigan",4%,± 0.4%
"Kalawao County, Hawaii",4%,± 4.9%
"Kalkaska County, Michigan",9.10%,± 1.2%
"Kanabec County, Minnesota",6%,± 0.9%
"Kanawha County, West Virginia",6.50%,± 0.7%
"Kandiyohi County, Minnesota",4.40%,± 0.9%
"Kane County, Illinois",6.20%,± 0.4%
"Kane County, Utah",4.10%,± 2%
"Kankakee County, Illinois",6.40%,± 0.6%
"Karnes County, Texas",15%,± 2.7%
"Kauai County, Hawaii",3.60%,± 0.6%
"Kaufman County, Texas",8.40%,± 0.7%
"Kay County, Oklahoma",8.50%,± 1.2%
"Kearney County, Nebraska",2.50%,± 1.3%
"Kearny County, Kansas",9.70%,± 4.1%
"Keith County, Nebraska",4.80%,± 1.6%
"Kemper County, Mississippi",14.20%,± 3.5%
"Kenai Peninsula Borough, Alaska",4.20%,± 0.6%
"Kendall County, Illinois",4.20%,± 0.9%
"Kendall County, Texas",3.40%,± 1%
"Kenedy County, Texas",19.50%,± 18.8%
"Kennebec County, Maine",3.50%,± 0.4%
"Kenosha County, Wisconsin",5%,± 0.5%
"Kent County, Delaware",7.30%,± 0.6%
"Kent County, Maryland",7.10%,± 1.7%
"Kent County, Michigan",4.30%,± 0.3%
"Kent County, Rhode Island",4.80%,± 0.6%
"Kent County, Texas",6.90%,± 4.6%
"Kenton County, Kentucky",5.20%,± 0.5%
"Keokuk County, Iowa",4.50%,± 0.8%
"Kern County, California",10.60%,± 0.4%
"Kerr County, Texas",6%,± 1.3%
"Kershaw County, South Carolina",7.70%,± 1%
"Ketchikan Gateway Borough, Alaska",4.10%,± 1%
"Kewaunee County, Wisconsin",3.80%,± 0.9%
"Keweenaw County, Michigan",0.70%,± 0.6%
"Keya Paha County, Nebraska",1.30%,± 1%
"Kidder County, North Dakota",6.60%,± 2.4%
"Kimball County, Nebraska",10.90%,± 3.4%
"Kimble County, Texas",9.40%,± 3.2%
"King and Queen County, Virginia",10.70%,± 3.3%
"King County, Texas",3.10%,± 3.8%
"King County, Washington",3%,± 0.1%
"King George County, Virginia",6.10%,± 1.2%
"King William County, Virginia",5.40%,± 1.6%
"Kingfisher County, Oklahoma",4.70%,± 1.7%
"Kingman County, Kansas",7%,± 1.7%
"Kings County, California",12.30%,± 0.8%
"Kings County, New York",7.80%,± 0.2%
"Kingsbury County, South Dakota",4.90%,± 1.7%
"Kinney County, Texas",6.80%,± 4.1%
"Kiowa County, Colorado",7.60%,± 5.8%
"Kiowa County, Kansas",7.70%,± 1.9%
"Kiowa County, Oklahoma",9.80%,± 2.4%
"Kit Carson County, Colorado",7.30%,± 2.3%
"Kitsap County, Washington",3.30%,± 0.3%
"Kittitas County, Washington",5.30%,± 1%
"Kittson County, Minnesota",2%,± 0.9%
"Klamath County, Oregon",7.80%,± 0.9%
"Kleberg County, Texas",8.20%,± 1.6%
"Klickitat County, Washington",6.60%,± 1.9%
"Knott County, Kentucky",15.60%,± 3.4%
"Knox County, Illinois",8%,± 1%
"Knox County, Indiana",7.70%,± 1.3%
"Knox County, Kentucky",10.30%,± 1.8%
"Knox County, Maine",4.90%,± 1.1%
"Knox County, Missouri",8%,± 2.5%
"Knox County, Nebraska",5.50%,± 1.3%
"Knox County, Ohio",4.70%,± 0.8%
"Knox County, Tennessee",5%,± 0.3%
"Knox County, Texas",8.30%,± 2.3%
"Kodiak Island Borough, Alaska",4.50%,± 1.6%
"Koochiching County, Minnesota",5.60%,± 1.8%
"Kootenai County, Idaho",4.70%,± 0.5%
"Kosciusko County, Indiana",7%,± 0.8%
"Kossuth County, Iowa",4.60%,± 1%
"Kusilvak Census Area, Alaska",14.70%,± 2.5%
"La Crosse County, Wisconsin",2.20%,± 0.4%
"La Paz County, Arizona",11.40%,± 2.3%
"La Plata County, Colorado",3%,± 0.7%
"La Salle County, Texas",23.70%,± 6.7%
"Labette County, Kansas",5.80%,± 1.4%
"Lac qui Parle County, Minnesota",4.80%,± 1.3%
"Lackawanna County, Pennsylvania",5.80%,± 0.5%
"Laclede County, Missouri",9%,± 1.5%
"Lafayette County, Arkansas",9.60%,± 2.7%
"Lafayette County, Florida",12.50%,± 3.3%
"Lafayette County, Mississippi",5.70%,± 1.2%
"Lafayette County, Missouri",5.70%,± 1.4%
"Lafayette County, Wisconsin",4.50%,± 0.6%
"Lafayette Parish, Louisiana",7%,± 0.6%
"Lafourche Parish, Louisiana",10.90%,± 1.2%
"LaGrange County, Indiana",7.60%,± 1.4%
"Lajas Municipio, Puerto Rico",9.50%,± 1.9%
"Lake and Peninsula Borough, Alaska",5.40%,± 2.6%
"Lake County, California",8.50%,± 1.2%
"Lake County, Colorado",1.60%,± 1.2%
"Lake County, Florida",6.80%,± 0.5%
"Lake County, Illinois",4.40%,± 0.3%
"Lake County, Indiana",6%,± 0.3%
"Lake County, Michigan",12.90%,± 1.5%
"Lake County, Minnesota",5.80%,± 1.5%
"Lake County, Montana",5.10%,± 1.3%
"Lake County, Ohio",4.70%,± 0.4%
"Lake County, Oregon",6.50%,± 2%
"Lake County, South Dakota",4.80%,± 1.5%
"Lake County, Tennessee",17.60%,± 3.5%
"Lake of the Woods County, Minnesota",3.60%,± 1.6%
"Lamar County, Alabama",11%,± 2.5%
"Lamar County, Georgia",7.60%,± 2.2%
"Lamar County, Mississippi",5.50%,± 1.2%
"Lamar County, Texas",7.20%,± 1.1%
"Lamb County, Texas",10.40%,± 1.9%
"Lamoille County, Vermont",4.50%,± 1.3%
"LaMoure County, North Dakota",4.10%,± 1.2%
"Lampasas County, Texas",5.30%,± 1.1%
"Lancaster County, Nebraska",3.80%,± 0.3%
"Lancaster County, Pennsylvania",6.70%,± 0.4%
"Lancaster County, South Carolina",7.20%,± 1.1%
"Lancaster County, Virginia",9.80%,± 2.9%
"Lander County, Nevada",8.70%,± 3.6%
"Lane County, Kansas",4.10%,± 2.9%
"Lane County, Oregon",5%,± 0.4%
"Langlade County, Wisconsin",7.60%,± 1.4%
"Lanier County, Georgia",8%,± 2.9%
"Lapeer County, Michigan",5.70%,± 0.7%
"LaPorte County, Indiana",7.30%,± 0.6%
"Laramie County, Wyoming",3.80%,± 0.6%
"Lares Municipio, Puerto Rico",9.20%,± 1.3%
"Larimer County, Colorado",2.50%,± 0.3%
"Larue County, Kentucky",10.30%,± 2%
"Las Animas County, Colorado",6.50%,± 1.4%
"Las Marías Municipio, Puerto Rico",9.40%,± 3.1%
"Las Piedras Municipio, Puerto Rico",5%,± 1.2%
"LaSalle County, Illinois",6.40%,± 0.5%
"LaSalle Parish, Louisiana",12%,± 2.3%
"Lassen County, California",14%,± 1.2%
"Latah County, Idaho",2.10%,± 0.5%
"Latimer County, Oklahoma",11.50%,± 1.9%
"Lauderdale County, Alabama",8.30%,± 1.1%
"Lauderdale County, Mississippi",11.40%,± 1.5%
"Lauderdale County, Tennessee",13.40%,± 1.8%
"Laurel County, Kentucky",10.10%,± 1.3%
"Laurens County, Georgia",10.30%,± 1.3%
"Laurens County, South Carolina",11.40%,± 1.4%
"Lavaca County, Texas",6.50%,± 1.1%
"Lawrence County, Alabama",11.60%,± 2%
"Lawrence County, Arkansas",11.80%,± 1.9%
"Lawrence County, Illinois",11.20%,± 2.2%
"Lawrence County, Indiana",7.70%,± 1.1%
"Lawrence County, Kentucky",13.40%,± 2.7%
"Lawrence County, Mississippi",10.40%,± 2.4%
"Lawrence County, Missouri",9.10%,± 1.7%
"Lawrence County, Ohio",7.40%,± 1%
"Lawrence County, Pennsylvania",5.90%,± 0.7%
"Lawrence County, South Dakota",3.10%,± 0.9%
"Lawrence County, Tennessee",7.10%,± 1%
"Le Flore County, Oklahoma",10.10%,± 0.9%
"Le Sueur County, Minnesota",3.70%,± 0.7%
"Lea County, New Mexico",11.40%,± 1.4%
"Leake County, Mississippi",12.20%,± 2.5%
"Leavenworth County, Kansas",4.30%,± 0.7%
"Lebanon County, Pennsylvania",8.10%,± 0.7%
"Lee County, Alabama",5.90%,± 0.8%
"Lee County, Arkansas",12.10%,± 2.4%
"Lee County, Florida",5.80%,± 0.3%
"Lee County, Georgia",5.60%,± 1.5%
"Lee County, Illinois",7.60%,± 1%
"Lee County, Iowa",4.40%,± 0.8%
"Lee County, Kentucky",13.70%,± 3.3%
"Lee County, Mississippi",8.90%,± 1.2%
"Lee County, North Carolina",8.60%,± 1.3%
"Lee County, South Carolina",12.80%,± 2.6%
"Lee County, Texas",7.20%,± 1.8%
"Lee County, Virginia",9.90%,± 1.6%
"Leelanau County, Michigan",2.80%,± 0.8%
"Leflore County, Mississippi",10.20%,± 1.6%
"Lehigh County, Pennsylvania",5.80%,± 0.4%
"Lemhi County, Idaho",6.80%,± 2.3%
"Lenawee County, Michigan",6.50%,± 0.9%
"Lenoir County, North Carolina",12.60%,± 1.6%
"Leon County, Florida",4.70%,± 0.5%
"Leon County, Texas",9.10%,± 2%
"Leslie County, Kentucky",11.20%,± 2.8%
"Letcher County, Kentucky",11.40%,± 1.9%
"Levy County, Florida",7.80%,± 1.4%
"Lewis and Clark County, Montana",3.80%,± 0.8%
"Lewis County, Idaho",7.30%,± 1.8%
"Lewis County, Kentucky",9.60%,± 2.6%
"Lewis County, Missouri",10.60%,± 2.1%
"Lewis County, New York",6.20%,± 0.8%
"Lewis County, Tennessee",8.30%,± 2.8%
"Lewis County, Washington",7%,± 0.8%
"Lewis County, West Virginia",7.90%,± 2%
"Lexington city, Virginia",2.30%,± 1.9%
"Lexington County, South Carolina",5.90%,± 0.5%
"Liberty County, Florida",14.10%,± 3.1%
"Liberty County, Georgia",5.60%,± 0.8%
"Liberty County, Montana",8.70%,± 4.3%
"Liberty County, Texas",12%,± 1.3%
"Licking County, Ohio",5.20%,± 0.5%
"Limestone County, Alabama",8.40%,± 1.1%
"Limestone County, Texas",8.90%,± 1.7%
"Lincoln County, Arkansas",10.90%,± 2.1%
"Lincoln County, Colorado",9.60%,± 3.5%
"Lincoln County, Georgia",10%,± 2.8%
"Lincoln County, Idaho",8.10%,± 2.2%
"Lincoln County, Kansas",2.80%,± 1.4%
"Lincoln County, Kentucky",11.30%,± 2%
"Lincoln County, Maine",3.80%,± 0.8%
"Lincoln County, Minnesota",4%,± 0.8%
"Lincoln County, Mississippi",9.10%,± 1.6%
"Lincoln County, Missouri",7%,± 1%
"Lincoln County, Montana",5.80%,± 1.4%
"Lincoln County, Nebraska",4.10%,± 1.1%
"Lincoln County, Nevada",8.80%,± 4%
"Lincoln County, New Mexico",6.50%,± 2.1%
"Lincoln County, North Carolina",6.90%,± 0.9%
"Lincoln County, Oklahoma",8.50%,± 1%
