Geography,Total—Civilian employed population 16 years and over—Estimate,MoE
"Hopewell city, Virginia","9,568",± 653
"Hopkins County, Kentucky","18,087",± 652
"Hopkins County, Texas","17,069",± 620
"Hormigueros Municipio, Puerto Rico","5,002",± 412
"Horry County, South Carolina","154,728","± 2,175"
"Hot Spring County, Arkansas","12,819",± 642
"Hot Springs County, Wyoming","2,093",± 150
"Houghton County, Michigan","16,793",± 465
"Houston County, Alabama","45,708",± 695
"Houston County, Georgia","75,113","± 1,565"
"Houston County, Minnesota","10,033",± 203
"Houston County, Tennessee","3,288",± 208
"Houston County, Texas","7,816",± 422
"Howard County, Arkansas","5,337",± 293
"Howard County, Indiana","37,157",± 887
"Howard County, Iowa","4,722",± 182
"Howard County, Maryland","174,305","± 1,823"
"Howard County, Missouri","4,319",± 207
"Howard County, Nebraska","3,199",± 140
"Howard County, Texas","14,271",± 624
"Howell County, Missouri","15,947",± 661
"Hubbard County, Minnesota","9,594",± 223
"Hudson County, New Jersey","382,543","± 2,553"
"Hudspeth County, Texas",966,± 203
"Huerfano County, Colorado","2,503",± 291
"Hughes County, Oklahoma","4,282",± 257
"Hughes County, South Dakota","9,199",± 382
"Humacao Municipio, Puerto Rico","15,509",± 835
"Humboldt County, California","60,483","± 1,286"
"Humboldt County, Iowa","4,717",± 154
"Humboldt County, Nevada","8,326",± 397
"Humphreys County, Mississippi","2,574",± 210
"Humphreys County, Tennessee","7,793",± 488
"Hunt County, Texas","46,074","± 1,085"
"Hunterdon County, New Jersey","67,632","± 1,103"
"Huntingdon County, Pennsylvania","18,332",± 384
"Huntington County, Indiana","18,139",± 557
"Huron County, Michigan","13,625",± 300
"Huron County, Ohio","27,395",± 709
"Hutchinson County, South Dakota","3,706",± 120
"Hutchinson County, Texas","9,257",± 368
"Hyde County, North Carolina","1,410",± 245
"Hyde County, South Dakota",729,± 117
"Iberia Parish, Louisiana","29,316",± 887
"Iberville Parish, Louisiana","12,223",± 655
"Ida County, Iowa","3,515",± 123
"Idaho County, Idaho","6,589",± 301
"Imperial County, California","60,537","± 1,799"
"Independence County, Arkansas","16,037",± 666
"Indian River County, Florida","63,137","± 1,766"
"Indiana County, Pennsylvania","36,508",± 914
"Ingham County, Michigan","141,130","± 1,786"
"Inyo County, California","8,281",± 381
"Ionia County, Michigan","30,465",± 664
"Iosco County, Michigan","9,343",± 326
"Iowa County, Iowa","8,483",± 272
"Iowa County, Wisconsin","12,949",± 244
"Iredell County, North Carolina","93,283","± 1,507"
"Irion County, Texas",703,± 122
"Iron County, Michigan","4,506",± 187
"Iron County, Missouri","3,919",± 234
"Iron County, Utah","27,249",± 672
"Iron County, Wisconsin","2,690",± 103
"Iroquois County, Illinois","12,348",± 353
"Irwin County, Georgia","3,917",± 437
"Isabela Municipio, Puerto Rico","12,372",± 797
"Isabella County, Michigan","31,640",± 617
"Isanti County, Minnesota","21,088",± 457
"Island County, Washington","32,542",± 911
"Isle of Wight County, Virginia","18,620",± 588
"Issaquena County, Mississippi",181,± 63
"Itasca County, Minnesota","19,200",± 483
"Itawamba County, Mississippi","10,859",± 430
"Izard County, Arkansas","4,193",± 330
"Jack County, Texas","3,091",± 208
"Jackson County, Alabama","20,405",± 871
"Jackson County, Arkansas","5,906",± 404
"Jackson County, Colorado",660,± 105
"Jackson County, Florida","16,126",± 643
"Jackson County, Georgia","36,907",± 831
"Jackson County, Illinois","23,523",± 623
"Jackson County, Indiana","22,326",± 661
"Jackson County, Iowa","9,372",± 312
"Jackson County, Kansas","6,418",± 277
"Jackson County, Kentucky","4,321",± 456
"Jackson County, Michigan","69,264","± 1,281"
"Jackson County, Minnesota","5,266",± 129
"Jackson County, Mississippi","61,673","± 1,458"
"Jackson County, Missouri","361,456","± 2,937"
"Jackson County, North Carolina","19,135",± 820
"Jackson County, Ohio","13,736",± 560
"Jackson County, Oklahoma","10,775",± 454
"Jackson County, Oregon","99,195","± 1,716"
"Jackson County, South Dakota",826,± 156
"Jackson County, Tennessee","4,796",± 323
"Jackson County, Texas","5,932",± 361
"Jackson County, West Virginia","10,164",± 697
"Jackson County, Wisconsin","9,298",± 248
"Jackson Parish, Louisiana","4,931",± 400
"James City County, Virginia","34,760","± 1,064"
"Jasper County, Georgia","6,491",± 309
"Jasper County, Illinois","4,631",± 212
"Jasper County, Indiana","15,391",± 573
"Jasper County, Iowa","18,256",± 499
"Jasper County, Mississippi","6,390",± 384
"Jasper County, Missouri","57,972","± 1,114"
"Jasper County, South Carolina","12,154",± 686
"Jasper County, Texas","12,373",± 602
"Jay County, Indiana","9,149",± 277
"Jayuya Municipio, Puerto Rico","3,560",± 493
"Jeff Davis County, Georgia","5,783",± 522
"Jeff Davis County, Texas",748,± 195
"Jefferson County, Alabama","311,193","± 3,376"
"Jefferson County, Arkansas","25,490",± 959
"Jefferson County, Colorado","322,035","± 1,978"
"Jefferson County, Florida","5,951",± 296
"Jefferson County, Georgia","6,243",± 442
"Jefferson County, Idaho","14,400",± 490
"Jefferson County, Illinois","16,356",± 513
"Jefferson County, Indiana","15,116",± 638
"Jefferson County, Iowa","7,598",± 439
"Jefferson County, Kansas","9,217",± 263
"Jefferson County, Kentucky","391,362","± 2,809"
"Jefferson County, Mississippi","2,159",± 347
"Jefferson County, Missouri","115,322","± 1,584"
"Jefferson County, Montana","5,622",± 239
"Jefferson County, Nebraska","3,483",± 203
"Jefferson County, New York","44,033","± 1,085"
"Jefferson County, Ohio","28,021",± 630
"Jefferson County, Oklahoma","2,091",± 122
"Jefferson County, Oregon","10,141",± 396
"Jefferson County, Pennsylvania","19,921",± 393
"Jefferson County, Tennessee","25,277","± 1,012"
"Jefferson County, Texas","104,440","± 1,776"
"Jefferson County, Washington","11,586",± 613
"Jefferson County, West Virginia","28,390",± 679
"Jefferson County, Wisconsin","47,125",± 908
"Jefferson Davis County, Mississippi","4,484",± 304
"Jefferson Davis Parish, Louisiana","13,165",± 591
"Jefferson Parish, Louisiana","208,078","± 2,380"
"Jenkins County, Georgia","2,940",± 498
"Jennings County, Indiana","13,110",± 445
"Jerauld County, South Dakota",968,± 104
"Jerome County, Idaho","11,453",± 446
"Jersey County, Illinois","10,307",± 463
"Jessamine County, Kentucky","24,987",± 834
"Jewell County, Kansas","1,309",± 104
"Jim Hogg County, Texas","2,090",± 293
"Jim Wells County, Texas","15,022",± 715
"Jo Daviess County, Illinois","10,837",± 369
"Johnson County, Arkansas","9,953",± 452
"Johnson County, Georgia","3,228",± 203
"Johnson County, Illinois","4,367",± 278
"Johnson County, Indiana","81,617","± 1,403"
"Johnson County, Iowa","84,763","± 1,308"
"Johnson County, Kansas","335,476","± 2,224"
"Johnson County, Kentucky","7,662",± 556
"Johnson County, Missouri","23,951",± 680
"Johnson County, Nebraska","2,161",± 109
"Johnson County, Tennessee","6,444",± 374
"Johnson County, Texas","86,516","± 1,464"
"Johnson County, Wyoming","4,001",± 330
"Johnston County, North Carolina","108,178","± 1,583"
"Johnston County, Oklahoma","3,815",± 178
"Jones County, Georgia","12,693",± 673
"Jones County, Iowa","10,001",± 406
"Jones County, Mississippi","28,015",± 992
"Jones County, North Carolina","3,858",± 234
"Jones County, South Dakota",488,± 79
"Jones County, Texas","6,361",± 335
"Josephine County, Oregon","33,481","± 1,077"
"Juab County, Utah","5,487",± 286
"Juana Díaz Municipio, Puerto Rico","14,012",± 719
"Judith Basin County, Montana",996,± 107
"Juncos Municipio, Puerto Rico","12,920",± 780
"Juneau City and Borough, Alaska","16,345",± 517
"Juneau County, Wisconsin","12,186",± 409
"Juniata County, Pennsylvania","10,918",± 293
"Kalamazoo County, Michigan","131,529","± 1,746"
"Kalawao County, Hawaii",36,± 25
"Kalkaska County, Michigan","7,599",± 269
"Kanabec County, Minnesota","7,661",± 181
"Kanawha County, West Virginia","76,835","± 1,612"
"Kandiyohi County, Minnesota","22,221",± 407
"Kane County, Illinois","268,783","± 2,591"
"Kane County, Utah","3,471",± 227
"Kankakee County, Illinois","50,059",± 909
"Karnes County, Texas","4,904",± 366
"Kauai County, Hawaii","35,683",± 718
"Kaufman County, Texas","73,153","± 1,152"
"Kay County, Oklahoma","18,854",± 551
"Kearney County, Nebraska","3,477",± 156
"Kearny County, Kansas","1,697",± 135
"Keith County, Nebraska","4,060",± 191
"Kemper County, Mississippi","3,287",± 355
"Kenai Peninsula Borough, Alaska","25,227",± 614
"Kendall County, Illinois","69,490","± 1,341"
"Kendall County, Texas","21,382",± 715
"Kenedy County, Texas",46,± 32
"Kennebec County, Maine","60,329",± 923
"Kenosha County, Wisconsin","86,382","± 1,215"
"Kent County, Delaware","81,794","± 1,460"
"Kent County, Maryland","9,279",± 409
"Kent County, Michigan","342,287","± 2,269"
"Kent County, Rhode Island","90,214","± 1,352"
"Kent County, Texas",193,± 54
"Kenton County, Kentucky","88,706","± 1,109"
"Keokuk County, Iowa","4,631",± 189
"Kern County, California","358,961","± 3,698"
"Kerr County, Texas","23,673",± 818
"Kershaw County, South Carolina","28,928",± 839
"Ketchikan Gateway Borough, Alaska","6,966",± 192
"Kewaunee County, Wisconsin","10,835",± 279
"Keweenaw County, Michigan",796,± 65
"Keya Paha County, Nebraska",449,± 75
"Kidder County, North Dakota","1,032",± 96
"Kimball County, Nebraska","1,649",± 150
"Kimble County, Texas","2,101",± 183
"King and Queen County, Virginia","3,303",± 237
"King County, Texas",85,± 31
"King County, Washington","1,238,729","± 4,248"
"King George County, Virginia","13,629",± 477
"King William County, Virginia","9,255",± 377
"Kingfisher County, Oklahoma","7,004",± 398
"Kingman County, Kansas","3,540",± 183
"Kings County, California","52,915","± 1,284"
"Kings County, New York","1,260,636","± 5,022"
"Kingsbury County, South Dakota","2,534",± 105
"Kinney County, Texas","1,314",± 347
"Kiowa County, Colorado",649,± 105
"Kiowa County, Kansas","1,247",± 91
"Kiowa County, Oklahoma","3,371",± 235
"Kit Carson County, Colorado","3,564",± 174
"Kitsap County, Washington","119,752","± 1,970"
"Kittitas County, Washington","22,089",± 689
"Kittson County, Minnesota","2,060",± 87
"Klamath County, Oregon","26,533",± 764
"Kleberg County, Texas","12,990",± 691
"Klickitat County, Washington","9,547",± 521
"Knott County, Kentucky","4,219",± 439
"Knox County, Illinois","20,717",± 566
"Knox County, Indiana","17,912",± 547
"Knox County, Kentucky","9,221",± 625
"Knox County, Maine","19,427",± 601
"Knox County, Missouri","1,639",± 140
"Knox County, Nebraska","4,034",± 124
"Knox County, Ohio","28,935",± 800
"Knox County, Tennessee","242,346","± 2,605"
"Knox County, Texas","1,443",± 86
"Kodiak Island Borough, Alaska","6,139",± 333
"Koochiching County, Minnesota","5,661",± 247
"Kootenai County, Idaho","81,476","± 1,388"
"Kosciusko County, Indiana","40,748",± 764
"Kossuth County, Iowa","7,052",± 212
"Kusilvak Census Area, Alaska","2,448",± 149
"La Crosse County, Wisconsin","63,682",± 941
"La Paz County, Arizona","5,467",± 361
"La Plata County, Colorado","29,235",± 696
"La Salle County, Texas","2,212",± 386
"Labette County, Kansas","9,176",± 431
"Lac qui Parle County, Minnesota","3,205",± 91
"Lackawanna County, Pennsylvania","102,307","± 1,146"
"Laclede County, Missouri","15,519",± 617
"Lafayette County, Arkansas","2,334",± 175
"Lafayette County, Florida","2,905",± 405
"Lafayette County, Mississippi","25,497",± 924
"Lafayette County, Missouri","15,678",± 600
"Lafayette County, Wisconsin","8,391",± 159
"Lafayette Parish, Louisiana","117,677","± 2,093"
"Lafourche Parish, Louisiana","41,845","± 1,102"
"LaGrange County, Indiana","17,870",± 431
"Lajas Municipio, Puerto Rico","6,736",± 616
"Lake and Peninsula Borough, Alaska",487,± 61
"Lake County, California","25,408","± 1,009"
"Lake County, Colorado","4,606",± 365
"Lake County, Florida","163,230","± 2,649"
"Lake County, Illinois","357,516","± 2,455"
"Lake County, Indiana","226,992","± 2,183"
"Lake County, Michigan","4,044",± 219
"Lake County, Minnesota","4,926",± 207
"Lake County, Montana","13,316",± 445
"Lake County, Ohio","120,537","± 1,275"
"Lake County, Oregon","3,086",± 294
"Lake County, South Dakota","6,010",± 275
"Lake County, Tennessee","1,712",± 218
"Lake of the Woods County, Minnesota","1,942",± 142
"Lamar County, Alabama","5,381",± 350
"Lamar County, Georgia","8,047",± 592
"Lamar County, Mississippi","30,060",± 950
"Lamar County, Texas","22,879",± 813
"Lamb County, Texas","5,556",± 248
"Lamoille County, Vermont","13,922",± 501
"LaMoure County, North Dakota","2,049",± 125
"Lampasas County, Texas","8,800",± 485
"Lancaster County, Nebraska","175,401","± 1,574"
"Lancaster County, Pennsylvania","279,799","± 2,257"
"Lancaster County, South Carolina","43,504","± 1,236"
"Lancaster County, Virginia","3,986",± 301
"Lander County, Nevada","2,335",± 325
"Lane County, Kansas",800,± 110
"Lane County, Oregon","181,673","± 1,999"
"Langlade County, Wisconsin","8,948",± 394
"Lanier County, Georgia","3,521",± 422
"Lapeer County, Michigan","40,963",± 795
"LaPorte County, Indiana","49,897",± 941
"Laramie County, Wyoming","48,854",± 909
"Lares Municipio, Puerto Rico","8,335",± 531
"Larimer County, Colorado","191,817","± 2,367"
"Larue County, Kentucky","6,473",± 342
"Las Animas County, Colorado","5,834",± 325
"Las Marías Municipio, Puerto Rico","2,266",± 391
"Las Piedras Municipio, Puerto Rico","10,794",± 692
"LaSalle County, Illinois","53,025",± 862
"LaSalle Parish, Louisiana","6,407",± 390
"Lassen County, California","9,034",± 449
"Latah County, Idaho","19,344",± 621
"Latimer County, Oklahoma","3,558",± 198
"Lauderdale County, Alabama","43,474","± 1,109"
"Lauderdale County, Mississippi","29,057",± 956
"Lauderdale County, Tennessee","9,295",± 398
"Laurel County, Kentucky","25,949",± 883
"Laurens County, Georgia","19,467",± 810
"Laurens County, South Carolina","29,264",± 913
"Lavaca County, Texas","9,376",± 344
"Lawrence County, Alabama","13,836",± 623
"Lawrence County, Arkansas","6,492",± 307
"Lawrence County, Illinois","6,021",± 424
"Lawrence County, Indiana","21,419",± 556
"Lawrence County, Kentucky","4,586",± 531
"Lawrence County, Mississippi","4,066",± 401
"Lawrence County, Missouri","16,708",± 722
"Lawrence County, Ohio","23,771",± 872
"Lawrence County, Pennsylvania","38,886",± 754
"Lawrence County, South Dakota","14,306",± 566
"Lawrence County, Tennessee","18,492",± 617
"Le Flore County, Oklahoma","18,665",± 545
"Le Sueur County, Minnesota","15,425",± 278
"Lea County, New Mexico","30,803",± 916
"Leake County, Mississippi","8,056",± 463
"Leavenworth County, Kansas","34,624",± 849
"Lebanon County, Pennsylvania","68,515","± 1,065"
"Lee County, Alabama","81,409","± 1,491"
"Lee County, Arkansas","2,532",± 278
"Lee County, Florida","332,507","± 3,345"
"Lee County, Georgia","15,880",± 723
"Lee County, Illinois","15,303",± 454
"Lee County, Iowa","15,022",± 485
"Lee County, Kentucky","2,286",± 181
"Lee County, Mississippi","38,514","± 1,039"
"Lee County, North Carolina","28,570",± 874
"Lee County, South Carolina","5,624",± 300
"Lee County, Texas","8,058",± 420
"Lee County, Virginia","7,196",± 553
"Leelanau County, Michigan","9,720",± 255
"Leflore County, Mississippi","10,310",± 652
"Lehigh County, Pennsylvania","183,365","± 1,887"
"Lemhi County, Idaho","3,427",± 288
"Lenawee County, Michigan","44,046",± 877
"Lenoir County, North Carolina","22,701",± 899
"Leon County, Florida","150,497","± 1,895"
"Leon County, Texas","6,234",± 402
"Leslie County, Kentucky","3,344",± 343
"Letcher County, Kentucky","6,989",± 539
"Levy County, Florida","17,222",± 663
"Lewis and Clark County, Montana","36,116",± 769
"Lewis County, Idaho","1,330",± 76
"Lewis County, Kentucky","4,136",± 341
"Lewis County, Missouri","4,348",± 250
"Lewis County, New York","11,871",± 354
"Lewis County, Tennessee","5,243",± 461
"Lewis County, Washington","34,489",± 881
"Lewis County, West Virginia","6,608",± 351
"Lexington city, Virginia","2,808",± 368
"Lexington County, South Carolina","144,281","± 1,551"
"Liberty County, Florida","2,545",± 269
"Liberty County, Georgia","23,685","± 1,059"
"Liberty County, Montana",812,± 142
"Liberty County, Texas","33,708","± 1,131"
"Licking County, Ohio","86,878","± 1,452"
"Limestone County, Alabama","48,090","± 1,011"
"Limestone County, Texas","8,153",± 345
"Lincoln County, Arkansas","3,591",± 320
"Lincoln County, Colorado","2,169",± 144
"Lincoln County, Georgia","3,203",± 217
"Lincoln County, Idaho","2,544",± 130
"Lincoln County, Kansas","1,435",± 100
"Lincoln County, Kentucky","9,865",± 618
"Lincoln County, Maine","16,776",± 555
"Lincoln County, Minnesota","2,810",± 82
"Lincoln County, Mississippi","13,738",± 652
"Lincoln County, Missouri","28,728",± 860
"Lincoln County, Montana","7,499",± 426
"Lincoln County, Nebraska","16,860",± 572
"Lincoln County, Nevada","1,651",± 224
"Lincoln County, New Mexico","8,406",± 561
"Lincoln County, North Carolina","42,710",± 962
"Lincoln County, Oklahoma","14,402",± 347
"Lincoln County, Oregon","20,107",± 696
"Lincoln County, South Dakota","37,131",± 727
"Lincoln County, Tennessee","16,035",± 566
"Lincoln County, Washington","4,565",± 209
"Lincoln County, West Virginia","6,626",± 592
"Lincoln County, Wisconsin","13,493",± 371
"Lincoln County, Wyoming","9,869",± 326
"Lincoln Parish, Louisiana","21,178",± 874
"Linn County, Iowa","121,318","± 1,374"
"Linn County, Kansas","4,268",± 247
"Linn County, Missouri","5,513",± 224
"Linn County, Oregon","57,828","± 1,323"
"Lipscomb County, Texas","1,372",± 96
"Little River County, Arkansas","5,046",± 311
"Live Oak County, Texas","4,067",± 301
"Livingston County, Illinois","16,707",± 413
"Livingston County, Kentucky","3,837",± 245
"Livingston County, Michigan","98,534","± 1,238"
"Livingston County, Missouri","6,148",± 240
"Livingston County, New York","28,923",± 704
"Livingston Parish, Louisiana","65,213","± 1,286"
"Llano County, Texas","8,211",± 412
"Logan County, Arkansas","9,267",± 425
"Logan County, Colorado","10,431",± 478
"Logan County, Illinois","12,255",± 342
"Logan County, Kansas","1,435",± 68
"Logan County, Kentucky","11,675",± 465
"Logan County, Nebraska",444,± 60
"Logan County, North Dakota",857,± 87
"Logan County, Ohio","21,746",± 681
"Logan County, Oklahoma","22,621",± 530
"Logan County, West Virginia","9,520",± 567
"Loíza Municipio, Puerto Rico","7,408",± 481
"Long County, Georgia","6,873",± 563
"Lonoke County, Arkansas","33,414",± 928
"Lorain County, Ohio","146,503","± 1,660"
"Los Alamos County, New Mexico","10,278",± 350
"Los Angeles County, California","4,869,620","± 11,885"
"Loudon County, Tennessee","24,434",± 978
"Loudoun County, Virginia","228,835","± 1,994"
"Louisa County, Iowa","5,380",± 166
"Louisa County, Virginia","17,930",± 659
"Loup County, Nebraska",331,± 48
"Love County, Oklahoma","4,383",± 174
"Loving County, Texas",39,± 26
"Lower Connecticut River Valley Planning Region, Connecticut","94,796","± 1,130"
"Lowndes County, Alabama","3,727",± 211
"Lowndes County, Georgia","49,794","± 1,381"
"Lowndes County, Mississippi","23,827",± 817
"Lubbock County, Texas","153,807","± 2,293"
"Lucas County, Iowa","4,105",± 201
"Lucas County, Ohio","201,274","± 2,327"
"Luce County, Michigan","1,459",± 140
"Lumpkin County, Georgia","15,327",± 716
"Luna County, New Mexico","8,296",± 568
"Lunenburg County, Virginia","4,656",± 313
"Luquillo Municipio, Puerto Rico","5,652",± 474
"Luzerne County, Pennsylvania","153,692","± 1,881"
"Lycoming County, Pennsylvania","52,429","± 1,029"
"Lyman County, South Dakota","1,478",± 93
"Lynchburg city, Virginia","36,550",± 751
"Lynn County, Texas","2,506",± 154
"Lyon County, Iowa","5,845",± 204
"Lyon County, Kansas","17,019",± 531
"Lyon County, Kentucky","3,149",± 227
"Lyon County, Minnesota","12,747",± 381
"Lyon County, Nevada","26,227",± 769
"Mackinac County, Michigan","4,349",± 202
"Macomb County, Michigan","433,289","± 2,872"
"Macon County, Alabama","7,072",± 411
"Macon County, Georgia","3,556",± 315
"Macon County, Illinois","44,928",± 730
"Macon County, Missouri","6,610",± 254
"Macon County, North Carolina","15,716",± 730
"Macon County, Tennessee","11,837",± 699
"Macoupin County, Illinois","20,176",± 543
"Madera County, California","59,826","± 1,637"
"Madison County, Alabama","192,922","± 2,381"
"Madison County, Arkansas","7,052",± 429
"Madison County, Florida","6,225",± 482
"Madison County, Georgia","13,312",± 630
"Madison County, Idaho","26,702","± 1,294"
"Madison County, Illinois","129,311","± 1,573"
"Madison County, Indiana","59,462",± 963
"Madison County, Iowa","9,055",± 287
"Madison County, Kentucky","45,222","± 1,070"
"Madison County, Mississippi","53,899","± 1,396"
"Madison County, Missouri","5,376",± 249
"Madison County, Montana","4,075",± 303
"Madison County, Nebraska","18,105",± 488
"Madison County, New York","31,518",± 766
"Madison County, North Carolina","9,715",± 424
"Madison County, Ohio","20,224",± 592
"Madison County, Tennessee","44,897","± 1,121"
"Madison County, Texas","4,793",± 297
"Madison County, Virginia","6,634",± 393
"Madison Parish, Louisiana","2,962",± 238
"Magoffin County, Kentucky","2,983",± 368
"Mahaska County, Iowa","11,101",± 283
"Mahnomen County, Minnesota","2,030",± 57
"Mahoning County, Ohio","103,872","± 1,463"
"Major County, Oklahoma","3,434",± 143
"Malheur County, Oregon","11,624",± 417
"Manassas city, Virginia","22,899",± 525
"Manassas Park city, Virginia","9,964",± 399
"Manatee County, Florida","174,991","± 2,325"
"Manatí Municipio, Puerto Rico","11,143",± 708
"Manistee County, Michigan","9,690",± 289
"Manitowoc County, Wisconsin","40,682",± 646
"Marathon County, Wisconsin","71,774",± 764
"Marengo County, Alabama","7,587",± 594
"Maricao Municipio, Puerto Rico","1,354",± 194
"Maricopa County, Arizona","2,176,046","± 7,477"
"Maries County, Missouri","3,582",± 216
"Marin County, California","128,916","± 1,781"
"Marinette County, Wisconsin","19,123",± 472
"Marion County, Alabama","11,563",± 640
"Marion County, Arkansas","6,022",± 383
"Marion County, Florida","142,390","± 2,344"
"Marion County, Georgia","2,826",± 238
"Marion County, Illinois","16,449",± 481
"Marion County, Indiana","483,307","± 3,725"
"Marion County, Iowa","16,772",± 508
"Marion County, Kansas","5,674",± 206
"Marion County, Kentucky","7,767",± 382
"Marion County, Mississippi","8,983",± 446
"Marion County, Missouri","13,295",± 469
"Marion County, Ohio","27,120",± 704
"Marion County, Oregon","158,165","± 1,911"
"Marion County, South Carolina","10,801",± 686
"Marion County, Tennessee","12,226",± 535
"Marion County, Texas","3,450",± 314
"Marion County, West Virginia","25,410",± 700
"Mariposa County, California","7,252",± 416
"Marlboro County, South Carolina","8,922",± 507
"Marquette County, Michigan","31,091",± 614
"Marquette County, Wisconsin","7,032",± 169
"Marshall County, Alabama","41,389",± 898
"Marshall County, Illinois","5,182",± 181
"Marshall County, Indiana","21,716",± 602
"Marshall County, Iowa","19,554",± 454
"Marshall County, Kansas","4,951",± 172
"Marshall County, Kentucky","13,941",± 564
"Marshall County, Minnesota","4,346",± 120
"Marshall County, Mississippi","14,230",± 658
"Marshall County, Oklahoma","6,059",± 302
"Marshall County, South Dakota","2,214",± 115
"Marshall County, Tennessee","16,205",± 744
"Marshall County, West Virginia","13,143",± 681
"Martin County, Florida","66,965","± 1,373"
"Martin County, Indiana","4,687",± 257
"Martin County, Kentucky","3,032",± 423
"Martin County, Minnesota","9,889",± 271
"Martin County, North Carolina","9,084",± 472
"Martin County, Texas","2,288",± 225
"Martinsville city, Virginia","5,554",± 309
"Mason County, Illinois","5,810",± 257
"Mason County, Kentucky","7,271",± 333
"Mason County, Michigan","12,410",± 383
"Mason County, Texas","1,629",± 168
"Mason County, Washington","26,142",± 974
"Mason County, West Virginia","9,417",± 527
"Massac County, Illinois","5,718",± 302
"Matagorda County, Texas","14,845",± 773
"Matanuska-Susitna Borough, Alaska","45,800",± 761
"Mathews County, Virginia","3,284",± 394
"Maui County, Hawaii","81,596","± 1,270"
"Maunabo Municipio, Puerto Rico","2,387",± 342
"Maury County, Tennessee","50,758",± 975
"Maverick County, Texas","22,689","± 1,018"
"Mayagüez Municipio, Puerto Rico","19,263",± 942
"Mayes County, Oklahoma","16,621",± 463
"McClain County, Oklahoma","20,187",± 541
"McCone County, Montana",914,± 108
"McCook County, South Dakota","2,937",± 118
"McCormick County, South Carolina","3,263",± 220
"McCracken County, Kentucky","29,964",± 821
"McCreary County, Kentucky","4,881",± 502
"McCulloch County, Texas","3,286",± 282
"McCurtain County, Oklahoma","12,352",± 377
"McDonald County, Missouri","9,628",± 511
"McDonough County, Illinois","12,875",± 491
"McDowell County, North Carolina","18,793",± 662
"McDowell County, West Virginia","3,309",± 484
"McDuffie County, Georgia","9,547",± 482
"McHenry County, Illinois","165,560","± 1,729"
"McHenry County, North Dakota","2,536",± 102
"McIntosh County, Georgia","4,513",± 350
"McIntosh County, North Dakota","1,291",± 73
"McIntosh County, Oklahoma","6,307",± 324
"McKean County, Pennsylvania","17,575",± 518
"McKenzie County, North Dakota","6,729",± 331
"McKinley County, New Mexico","23,731",± 731
"McLean County, Illinois","85,832","± 1,514"
"McLean County, Kentucky","3,784",± 257
"McLean County, North Dakota","4,493",± 159
"McLennan County, Texas","119,971","± 1,717"
"McLeod County, Minnesota","19,144",± 457
"McMinn County, Tennessee","22,798",± 705
"McMullen County, Texas",247,± 91
"McNairy County, Tennessee","9,761",± 484
"McPherson County, Kansas","15,658",± 519
"McPherson County, Nebraska",252,± 56
"McPherson County, South Dakota","1,072",± 108
"Meade County, Kansas","2,015",± 106
"Meade County, Kentucky","13,375",± 509
"Meade County, South Dakota","14,917",± 503
"Meagher County, Montana","1,021",± 129
"Mecklenburg County, North Carolina","603,786","± 3,780"
"Mecklenburg County, Virginia","12,561",± 487
"Mecosta County, Michigan","16,808",± 443
"Medina County, Ohio","96,311","± 1,160"
"Medina County, Texas","22,289",± 819
"Meeker County, Minnesota","11,764",± 197
"Meigs County, Ohio","8,336",± 493
"Meigs County, Tennessee","5,006",± 323
"Mellette County, South Dakota",587,± 120
"Menard County, Illinois","5,886",± 197
"Menard County, Texas",738,± 157
"Mendocino County, California","38,062","± 1,169"
"Menifee County, Kentucky","2,005",± 249
"Menominee County, Michigan","10,729",± 353
"Menominee County, Wisconsin","1,403",± 122
"Merced County, California","110,712","± 1,857"
"Mercer County, Illinois","7,382",± 240
"Mercer County, Kentucky","10,029",± 438
"Mercer County, Missouri","1,492",± 101
"Mercer County, New Jersey","186,469","± 2,128"
"Mercer County, North Dakota","3,759",± 221
"Mercer County, Ohio","21,826",± 551
"Mercer County, Pennsylvania","47,850",± 800
"Mercer County, West Virginia","23,119",± 886
"Meriwether County, Georgia","7,997",± 506
"Merrick County, Nebraska","3,973",± 188
"Merrimack County, New Hampshire","80,423","± 1,235"
"Mesa County, Colorado","74,204","± 1,478"
"Metcalfe County, Kentucky","4,343",± 298
"Miami County, Indiana","15,383",± 564
"Miami County, Kansas","17,104",± 524
"Miami County, Ohio","54,484",± 912
"Miami-Dade County, Florida","1,343,356","± 6,299"
"Middlesex County, Massachusetts","896,385","± 3,516"
"Middlesex County, New Jersey","433,082","± 3,162"
"Middlesex County, Virginia","4,509",± 295
"Midland County, Michigan","38,154",± 770
"Midland County, Texas","85,908","± 1,619"
"Mifflin County, Pennsylvania","21,229",± 501
"Milam County, Texas","10,929",± 504
"Millard County, Utah","5,395",± 234
"Mille Lacs County, Minnesota","13,012",± 297
"Miller County, Arkansas","16,166",± 763
"Miller County, Georgia","2,430",± 233
"Miller County, Missouri","11,381",± 413
"Mills County, Iowa","6,743",± 259
"Mills County, Texas","2,032",± 180
"Milwaukee County, Wisconsin","452,838","± 2,789"
"Miner County, South Dakota","1,122",± 87
"Mineral County, Colorado",412,± 75
"Mineral County, Montana","1,917",± 159
"Mineral County, Nevada","1,671",± 206
"Mineral County, West Virginia","11,730",± 497
"Mingo County, West Virginia","6,360",± 586
"Minidoka County, Idaho","10,065",± 382
"Minnehaha County, South Dakota","110,635","± 1,130"
