Geography,Total—Total households—UNITS IN STRUCTURE—2-or-more-unit structures—Estimate,MoE
"Greene County, Virginia",6.50%,± 1.8%
"Greenlee County, Arizona",5.40%,± 2.6%
"Greensville County, Virginia",4.40%,± 2.2%
"Greenup County, Kentucky",6.90%,± 1.5%
"Greenville County, South Carolina",19.30%,± 0.6%
"Greenwood County, Kansas",5.20%,± 2%
"Greenwood County, South Carolina",18.90%,± 2%
"Greer County, Oklahoma",6.20%,± 2.4%
"Gregg County, Texas",25.10%,± 1.8%
"Gregory County, South Dakota",11.70%,± 2.9%
"Grenada County, Mississippi",13.50%,± 3.6%
"Griggs County, North Dakota",10.60%,± 3.2%
"Grimes County, Texas",7.10%,± 2.2%
"Grundy County, Illinois",13.70%,± 1.5%
"Grundy County, Iowa",8.40%,± 1.4%
"Grundy County, Missouri",11.80%,± 2.9%
"Grundy County, Tennessee",4.90%,± 1.4%
"Guadalupe County, New Mexico",12%,± 4.3%
"Guadalupe County, Texas",7%,± 0.8%
"Guánica Municipio, Puerto Rico",5.70%,± 1.9%
"Guayama Municipio, Puerto Rico",11%,± 2%
"Guayanilla Municipio, Puerto Rico",3.90%,± 1.3%
"Guaynabo Municipio, Puerto Rico",35.40%,± 1.7%
"Guernsey County, Ohio",12.70%,± 1.7%
"Guilford County, North Carolina",27.10%,± 0.8%
"Gulf County, Florida",6.80%,± 2.2%
"Gunnison County, Colorado",28.90%,± 4.9%
"Gurabo Municipio, Puerto Rico",4.20%,± 1.7%
"Guthrie County, Iowa",5.50%,± 1.2%
"Gwinnett County, Georgia",19.70%,± 0.6%
"Haakon County, South Dakota",6.20%,± 3.7%
"Habersham County, Georgia",7.40%,± 1.3%
"Haines Borough, Alaska",11.20%,± 4.8%
"Hale County, Alabama",7.20%,± 2.4%
"Hale County, Texas",13.10%,± 2.4%
"Halifax County, North Carolina",11.90%,± 1.8%
"Halifax County, Virginia",5.90%,± 1.4%
"Hall County, Georgia",14.50%,± 0.9%
"Hall County, Nebraska",23.40%,± 1.8%
"Hall County, Texas",7.20%,± 3.9%
"Hamblen County, Tennessee",17.30%,± 2.2%
"Hamilton County, Florida",7%,± 2.3%
"Hamilton County, Illinois",6.10%,± 2.7%
"Hamilton County, Indiana",17.40%,± 0.8%
"Hamilton County, Iowa",16.80%,± 3.3%
"Hamilton County, Kansas",6%,± 4.9%
"Hamilton County, Nebraska",3.40%,± 1.5%
"Hamilton County, New York",4.90%,± 1.7%
"Hamilton County, Ohio",33.90%,± 0.6%
"Hamilton County, Tennessee",23.40%,± 0.8%
"Hamilton County, Texas",3.30%,± 2.4%
"Hamlin County, South Dakota",4.90%,± 1.7%
"Hampden County, Massachusetts",36.80%,± 0.8%
"Hampshire County, Massachusetts",31.40%,± 1.2%
"Hampshire County, West Virginia",4.70%,± 1.4%
"Hampton city, Virginia",27.50%,± 1.6%
"Hampton County, South Carolina",5.70%,± 1.8%
"Hancock County, Georgia",9.20%,± 4.1%
"Hancock County, Illinois",8.60%,± 1.7%
"Hancock County, Indiana",10.70%,± 1.4%
"Hancock County, Iowa",7.50%,± 1.7%
"Hancock County, Kentucky",8.50%,± 2.3%
"Hancock County, Maine",12%,± 1.6%
"Hancock County, Mississippi",8.40%,± 1.6%
"Hancock County, Ohio",19.40%,± 1.8%
"Hancock County, Tennessee",8%,± 2.7%
"Hancock County, West Virginia",9.60%,± 1.7%
"Hand County, South Dakota",11%,± 3.6%
"Hanover County, Virginia",7.60%,± 0.9%
"Hansford County, Texas",4.70%,± 3.5%
"Hanson County, South Dakota",2.30%,± 1.1%
"Haralson County, Georgia",6.50%,± 2.2%
"Hardee County, Florida",13.80%,± 3.7%
"Hardeman County, Tennessee",3.60%,± 1.4%
"Hardeman County, Texas",8.70%,± 3.7%
"Hardin County, Illinois",11.40%,± 5.8%
"Hardin County, Iowa",11%,± 2%
"Hardin County, Kentucky",20%,± 1.2%
"Hardin County, Ohio",10%,± 2.3%
"Hardin County, Tennessee",6.10%,± 1.9%
"Hardin County, Texas",5.80%,± 1.4%
"Harding County, New Mexico",0%,± 15.1%
"Harding County, South Dakota",7.70%,± 7.2%
"Hardy County, West Virginia",4.70%,± 2.2%
"Harford County, Maryland",15.50%,± 0.7%
"Harlan County, Kentucky",10.30%,± 1.7%
"Harlan County, Nebraska",4.30%,± 1.5%
"Harmon County, Oklahoma",2.40%,± 2.2%
"Harnett County, North Carolina",7.60%,± 0.8%
"Harney County, Oregon",11.80%,± 4.2%
"Harper County, Kansas",6.30%,± 2.1%
"Harper County, Oklahoma",0%,± 1.8%
"Harris County, Georgia",2.40%,± 0.7%
"Harris County, Texas",34.70%,± 0.3%
"Harrison County, Indiana",6%,± 1.5%
"Harrison County, Iowa",8.60%,± 1.5%
"Harrison County, Kentucky",10%,± 3.1%
"Harrison County, Mississippi",22.10%,± 1.1%
"Harrison County, Missouri",13.30%,± 3.6%
"Harrison County, Ohio",4.40%,± 1.2%
"Harrison County, Texas",9.60%,± 1.5%
"Harrison County, West Virginia",12.60%,± 1.5%
"Harrisonburg city, Virginia",39.10%,± 2.6%
"Hart County, Georgia",5.40%,± 1.7%
"Hart County, Kentucky",8.80%,± 1.8%
"Hartley County, Texas",5.40%,± 4%
"Harvey County, Kansas",12.80%,± 2.1%
"Haskell County, Kansas",3.40%,± 1.8%
"Haskell County, Oklahoma",4.40%,± 1.1%
"Haskell County, Texas",4.70%,± 2.5%
"Hatillo Municipio, Puerto Rico",6.70%,± 1.7%
"Hawaii County, Hawaii",15.30%,± 1%
"Hawkins County, Tennessee",8.40%,± 1.6%
"Hayes County, Nebraska",0%,± 6.5%
"Hays County, Texas",25.60%,± 1.3%
"Haywood County, North Carolina",9.10%,± 1.5%
"Haywood County, Tennessee",13%,± 2.7%
"Heard County, Georgia",6.90%,± 2.4%
"Hemphill County, Texas",5.70%,± 3.5%
"Hempstead County, Arkansas",8.80%,± 2.7%
"Henderson County, Illinois",2%,± 0.8%
"Henderson County, Kentucky",20.80%,± 1.9%
"Henderson County, North Carolina",11.60%,± 0.8%
"Henderson County, Tennessee",7.80%,± 2.2%
"Henderson County, Texas",9%,± 1.5%
"Hendricks County, Indiana",13.10%,± 1.1%
"Hendry County, Florida",6.90%,± 2%
"Hennepin County, Minnesota",37.40%,± 0.4%
"Henrico County, Virginia",23.70%,± 0.7%
"Henry County, Alabama",5.40%,± 1.7%
"Henry County, Georgia",12.50%,± 1.1%
"Henry County, Illinois",8.70%,± 1.4%
"Henry County, Indiana",10.40%,± 1.4%
"Henry County, Iowa",13.80%,± 2.7%
"Henry County, Kentucky",6.90%,± 1.6%
"Henry County, Missouri",12.20%,± 2.2%
"Henry County, Ohio",9.90%,± 1.5%
"Henry County, Tennessee",7.30%,± 1.6%
"Henry County, Virginia",9.60%,± 1.6%
"Herkimer County, New York",18.10%,± 1.6%
"Hernando County, Florida",7.10%,± 0.7%
"Hertford County, North Carolina",10%,± 1.4%
"Hettinger County, North Dakota",6.40%,± 2.8%
"Hickman County, Kentucky",4.70%,± 3.3%
"Hickman County, Tennessee",4.20%,± 1.4%
"Hickory County, Missouri",3.10%,± 1.3%
"Hidalgo County, New Mexico",7.50%,± 3.5%
"Hidalgo County, Texas",17.30%,± 0.7%
"Highland County, Ohio",10.30%,± 1.5%
"Highland County, Virginia",3.50%,± 3.1%
"Highlands County, Florida",9.40%,± 1.1%
"Hill County, Montana",10.50%,± 2.6%
"Hill County, Texas",9.80%,± 1.6%
"Hillsborough County, Florida",28%,± 0.4%
"Hillsborough County, New Hampshire",34.40%,± 0.7%
"Hillsdale County, Michigan",8.80%,± 1.1%
"Hinds County, Mississippi",23.80%,± 1%
"Hinsdale County, Colorado",14.20%,± 6.7%
"Hitchcock County, Nebraska",4.10%,± 1.8%
"Hocking County, Ohio",7.20%,± 1.4%
"Hockley County, Texas",8.10%,± 2.1%
"Hodgeman County, Kansas",3.40%,± 2.1%
"Hoke County, North Carolina",5.80%,± 1.3%
"Holmes County, Florida",5%,± 1.8%
"Holmes County, Mississippi",14.70%,± 2.7%
"Holmes County, Ohio",7.80%,± 1.4%
"Holt County, Missouri",6.40%,± 1.9%
"Holt County, Nebraska",9.20%,± 2.7%
"Honolulu County, Hawaii",40.90%,± 0.6%
"Hood County, Texas",8.30%,± 1.3%
"Hood River County, Oregon",13.50%,± 2.5%
"Hooker County, Nebraska",3.10%,± 4.4%
"Hoonah-Angoon Census Area, Alaska",10%,± 2.9%
"Hopewell city, Virginia",20.80%,± 3.6%
"Hopkins County, Kentucky",9.80%,± 1.4%
"Hopkins County, Texas",10.50%,± 1.8%
"Hormigueros Municipio, Puerto Rico",9.80%,± 2.4%
"Horry County, South Carolina",19.60%,± 0.8%
"Hot Spring County, Arkansas",5.40%,± 1.7%
"Hot Springs County, Wyoming",8.20%,± 3.9%
"Houghton County, Michigan",21.20%,± 1.9%
"Houston County, Alabama",13.80%,± 0.7%
"Houston County, Georgia",16.40%,± 1.3%
"Houston County, Minnesota",8.70%,± 1.9%
"Houston County, Tennessee",4.10%,± 1.5%
"Houston County, Texas",11.60%,± 2.9%
"Howard County, Arkansas",5.10%,± 2.1%
"Howard County, Indiana",15.80%,± 1.5%
"Howard County, Iowa",6.10%,± 2.1%
"Howard County, Maryland",25.10%,± 0.8%
"Howard County, Missouri",7%,± 2.1%
"Howard County, Nebraska",5%,± 1.7%
"Howard County, Texas",12.40%,± 2.3%
"Howell County, Missouri",9.40%,± 1.5%
"Hubbard County, Minnesota",9.80%,± 1.7%
"Hudson County, New Jersey",84.30%,± 0.6%
"Hudspeth County, Texas",0%,± 5.5%
"Huerfano County, Colorado",7.20%,± 3%
"Hughes County, Oklahoma",6%,± 2.1%
"Hughes County, South Dakota",18.80%,± 3.5%
"Humacao Municipio, Puerto Rico",9.90%,± 1.6%
"Humboldt County, California",18%,± 1.2%
"Humboldt County, Iowa",14.10%,± 2.6%
"Humboldt County, Nevada",11.80%,± 3.7%
"Humphreys County, Mississippi",11.30%,± 3.7%
"Humphreys County, Tennessee",7.20%,± 2.7%
"Hunt County, Texas",13.70%,± 1.3%
"Hunterdon County, New Jersey",14%,± 1%
"Huntingdon County, Pennsylvania",10%,± 1.4%
"Huntington County, Indiana",10.10%,± 1.5%
"Huron County, Michigan",7.70%,± 1%
"Huron County, Ohio",14.20%,± 1.6%
"Hutchinson County, South Dakota",11.30%,± 2.1%
"Hutchinson County, Texas",6.60%,± 1.9%
"Hyde County, North Carolina",0%,± 2.1%
"Hyde County, South Dakota",0.70%,± 0.9%
"Iberia Parish, Louisiana",9.60%,± 1.4%
"Iberville Parish, Louisiana",6.80%,± 1.9%
"Ida County, Iowa",8.60%,± 2.1%
"Idaho County, Idaho",2.80%,± 0.8%
"Imperial County, California",22.90%,± 1.8%
"Independence County, Arkansas",8.60%,± 1.7%
"Indian River County, Florida",18.30%,± 1.2%
"Indiana County, Pennsylvania",14.50%,± 1.4%
"Ingham County, Michigan",30.50%,± 1%
"Inyo County, California",10.80%,± 2.6%
"Ionia County, Michigan",13.10%,± 1.8%
"Iosco County, Michigan",8.60%,± 1.4%
"Iowa County, Iowa",12.30%,± 2.2%
"Iowa County, Wisconsin",12.90%,± 1.8%
"Iredell County, North Carolina",12.10%,± 0.9%
"Irion County, Texas",1.40%,± 2%
"Iron County, Michigan",8.90%,± 1.7%
"Iron County, Missouri",8.20%,± 2%
"Iron County, Utah",19.10%,± 2%
"Iron County, Wisconsin",7.90%,± 1.4%
"Iroquois County, Illinois",8.50%,± 1.3%
"Irwin County, Georgia",5.10%,± 2.3%
"Isabela Municipio, Puerto Rico",5.40%,± 1.3%
"Isabella County, Michigan",27.20%,± 1.4%
"Isanti County, Minnesota",9.90%,± 1.5%
"Island County, Washington",12.10%,± 1.1%
"Isle of Wight County, Virginia",9.90%,± 1.8%
"Issaquena County, Mississippi",22.20%,± 9%
"Itasca County, Minnesota",12%,± 1.3%
"Itawamba County, Mississippi",3.90%,± 1.3%
"Izard County, Arkansas",4.80%,± 1.2%
"Jack County, Texas",7.50%,± 2.8%
"Jackson County, Alabama",6.40%,± 1.1%
"Jackson County, Arkansas",11%,± 2.4%
"Jackson County, Colorado",0.50%,± 1.1%
"Jackson County, Florida",5%,± 1%
"Jackson County, Georgia",5.10%,± 1.2%
"Jackson County, Illinois",32.40%,± 1.8%
"Jackson County, Indiana",15.70%,± 2.2%
"Jackson County, Iowa",8.50%,± 1.2%
"Jackson County, Kansas",8.70%,± 2.4%
"Jackson County, Kentucky",5.20%,± 1.9%
"Jackson County, Michigan",15.40%,± 1%
"Jackson County, Minnesota",9.10%,± 1.9%
"Jackson County, Mississippi",14.40%,± 1.1%
"Jackson County, Missouri",26%,± 0.6%
"Jackson County, North Carolina",14%,± 1.7%
"Jackson County, Ohio",8%,± 1.9%
"Jackson County, Oklahoma",11.10%,± 2.1%
"Jackson County, Oregon",18.90%,± 1.2%
"Jackson County, South Dakota",8.70%,± 5.2%
"Jackson County, Tennessee",3.40%,± 1.3%
"Jackson County, Texas",6.90%,± 2.6%
"Jackson County, West Virginia",9.80%,± 2.4%
"Jackson County, Wisconsin",10%,± 2%
"Jackson Parish, Louisiana",6.80%,± 1.9%
"James City County, Virginia",15.20%,± 1.5%
"Jasper County, Georgia",2.30%,± 1.1%
"Jasper County, Illinois",3.90%,± 1.9%
"Jasper County, Indiana",10.50%,± 1.7%
"Jasper County, Iowa",13.50%,± 2.2%
"Jasper County, Mississippi",3%,± 1.2%
"Jasper County, Missouri",15.60%,± 1.1%
"Jasper County, South Carolina",12.30%,± 2.3%
"Jasper County, Texas",7.50%,± 1.8%
"Jay County, Indiana",8.40%,± 2%
"Jayuya Municipio, Puerto Rico",12.60%,± 3.2%
"Jeff Davis County, Georgia",9.40%,± 4%
"Jeff Davis County, Texas",0%,± 4.5%
"Jefferson County, Alabama",23.90%,± 0.7%
"Jefferson County, Arkansas",15.30%,± 1.7%
"Jefferson County, Colorado",25.20%,± 0.7%
"Jefferson County, Florida",5.70%,± 2%
"Jefferson County, Georgia",8.80%,± 2.7%
"Jefferson County, Idaho",4.60%,± 1.6%
"Jefferson County, Illinois",12.70%,± 1.4%
"Jefferson County, Indiana",14.30%,± 2.4%
"Jefferson County, Iowa",17.10%,± 3.6%
"Jefferson County, Kansas",4.80%,± 1.6%
"Jefferson County, Kentucky",28.90%,± 0.6%
"Jefferson County, Mississippi",9.70%,± 4.4%
"Jefferson County, Missouri",9.10%,± 0.8%
"Jefferson County, Montana",3.10%,± 1.3%
"Jefferson County, Nebraska",9.10%,± 3.3%
"Jefferson County, New York",30.10%,± 1.5%
"Jefferson County, Ohio",13.60%,± 1.4%
"Jefferson County, Oklahoma",7.20%,± 1.5%
"Jefferson County, Oregon",11%,± 2.1%
"Jefferson County, Pennsylvania",12.60%,± 1.3%
"Jefferson County, Tennessee",8.60%,± 1.8%
"Jefferson County, Texas",22.50%,± 1%
"Jefferson County, Washington",7.50%,± 1.4%
"Jefferson County, West Virginia",8.90%,± 1.4%
"Jefferson County, Wisconsin",20.10%,± 1.4%
"Jefferson Davis County, Mississippi",4.20%,± 2%
"Jefferson Davis Parish, Louisiana",5.60%,± 1.8%
"Jefferson Parish, Louisiana",27.50%,± 0.9%
"Jenkins County, Georgia",3.90%,± 2.9%
"Jennings County, Indiana",7.30%,± 1.8%
"Jerauld County, South Dakota",5.60%,± 2.6%
"Jerome County, Idaho",5.50%,± 2%
"Jersey County, Illinois",5.60%,± 1.6%
"Jessamine County, Kentucky",13.30%,± 1.9%
"Jewell County, Kansas",6%,± 2.1%
"Jim Hogg County, Texas",17.50%,± 13%
"Jim Wells County, Texas",11.50%,± 3.3%
"Jo Daviess County, Illinois",11%,± 2%
"Johnson County, Arkansas",12.60%,± 2.4%
"Johnson County, Georgia",7.20%,± 2.4%
"Johnson County, Illinois",6.10%,± 2.3%
"Johnson County, Indiana",14.40%,± 1.1%
"Johnson County, Iowa",33.60%,± 1.3%
"Johnson County, Kansas",23.60%,± 0.6%
"Johnson County, Kentucky",12.30%,± 2.1%
"Johnson County, Missouri",17.30%,± 1.8%
"Johnson County, Nebraska",7%,± 2.4%
"Johnson County, Tennessee",7.40%,± 1.8%
"Johnson County, Texas",11.20%,± 1%
"Johnson County, Wyoming",7.60%,± 3.5%
"Johnston County, North Carolina",8.10%,± 1%
"Johnston County, Oklahoma",5.10%,± 2.1%
"Jones County, Georgia",4.50%,± 1.8%
"Jones County, Iowa",10%,± 2%
"Jones County, Mississippi",8.80%,± 1.6%
"Jones County, North Carolina",4.80%,± 1.9%
"Jones County, South Dakota",7.10%,± 5.9%
"Jones County, Texas",2.80%,± 1.4%
"Josephine County, Oregon",9.90%,± 1.2%
"Juab County, Utah",8%,± 2.7%
"Juana Díaz Municipio, Puerto Rico",4.90%,± 1%
"Judith Basin County, Montana",2.40%,± 2.5%
"Juncos Municipio, Puerto Rico",11.90%,± 2.5%
"Juneau City and Borough, Alaska",31.20%,± 2.7%
"Juneau County, Wisconsin",11.90%,± 1.4%
"Juniata County, Pennsylvania",12.40%,± 1.8%
"Kalamazoo County, Michigan",27.70%,± 1%
"Kalawao County, Hawaii",12.50%,± 12.8%
"Kalkaska County, Michigan",5.40%,± 1.2%
"Kanabec County, Minnesota",6.10%,± 1.3%
"Kanawha County, West Virginia",16.90%,± 0.9%
"Kandiyohi County, Minnesota",17%,± 1.7%
"Kane County, Illinois",17.50%,± 0.6%
"Kane County, Utah",5.80%,± 3.1%
"Kankakee County, Illinois",16.80%,± 1.2%
"Karnes County, Texas",14.80%,± 4.4%
"Kauai County, Hawaii",14.90%,± 1.7%
"Kaufman County, Texas",9.10%,± 1%
"Kay County, Oklahoma",10.40%,± 1.3%
"Kearney County, Nebraska",5.30%,± 2.3%
"Kearny County, Kansas",5.80%,± 3.9%
"Keith County, Nebraska",11.50%,± 3%
"Kemper County, Mississippi",8.90%,± 3.8%
"Kenai Peninsula Borough, Alaska",14%,± 1.3%
"Kendall County, Illinois",8.40%,± 1.5%
"Kendall County, Texas",12.30%,± 2.2%
"Kenedy County, Texas",0%,± 59.7%
"Kennebec County, Maine",22.50%,± 1.3%
"Kenosha County, Wisconsin",27.10%,± 1.2%
"Kent County, Delaware",13.70%,± 1%
"Kent County, Maryland",15.50%,± 2.8%
"Kent County, Michigan",23.60%,± 0.7%
"Kent County, Rhode Island",26.40%,± 1.3%
"Kent County, Texas",0%,± 18.3%
"Kenton County, Kentucky",24.90%,± 1.2%
"Keokuk County, Iowa",8%,± 1.9%
"Kern County, California",17.20%,± 0.5%
"Kerr County, Texas",13.40%,± 1.8%
"Kershaw County, South Carolina",5.30%,± 1.1%
"Ketchikan Gateway Borough, Alaska",34.80%,± 2.7%
"Kewaunee County, Wisconsin",10.50%,± 1.8%
"Keweenaw County, Michigan",1.80%,± 1.2%
"Keya Paha County, Nebraska",0%,± 7.4%
"Kidder County, North Dakota",5.10%,± 2.7%
"Kimball County, Nebraska",5.30%,± 2.6%
"Kimble County, Texas",5.80%,± 3.2%
"King and Queen County, Virginia",1.10%,± 1.1%
"King County, Texas",3.80%,± 5.9%
"King County, Washington",40.40%,± 0.3%
"King George County, Virginia",6.90%,± 2%
"King William County, Virginia",2.50%,± 1.5%
"Kingfisher County, Oklahoma",7.60%,± 2.6%
"Kingman County, Kansas",6.90%,± 2.5%
"Kings County, California",18.80%,± 1.7%
"Kings County, New York",85.70%,± 0.2%
"Kingsbury County, South Dakota",9.90%,± 2.5%
"Kinney County, Texas",5.90%,± 4.2%
"Kiowa County, Colorado",8%,± 4.7%
"Kiowa County, Kansas",7.20%,± 2.9%
"Kiowa County, Oklahoma",8.20%,± 2.6%
"Kit Carson County, Colorado",8.40%,± 2.9%
"Kitsap County, Washington",17.90%,± 0.8%
"Kittitas County, Washington",21.70%,± 2%
"Kittson County, Minnesota",12.40%,± 2.5%
"Klamath County, Oregon",12.90%,± 1.6%
"Kleberg County, Texas",23.50%,± 3.1%
"Klickitat County, Washington",6.10%,± 1.8%
"Knott County, Kentucky",4%,± 1.4%
"Knox County, Illinois",17.50%,± 1.5%
"Knox County, Indiana",19.10%,± 2.5%
"Knox County, Kentucky",13.10%,± 3.5%
"Knox County, Maine",13.60%,± 1.6%
"Knox County, Missouri",3.10%,± 1.5%
"Knox County, Nebraska",5.80%,± 1.3%
"Knox County, Ohio",11.70%,± 1.3%
"Knox County, Tennessee",23.10%,± 0.8%
"Knox County, Texas",7.90%,± 4%
"Kodiak Island Borough, Alaska",24.30%,± 4.1%
"Koochiching County, Minnesota",11%,± 2.2%
"Kootenai County, Idaho",16.60%,± 1.3%
"Kosciusko County, Indiana",13.30%,± 1.4%
"Kossuth County, Iowa",13.30%,± 2.4%
"Kusilvak Census Area, Alaska",2.70%,± 1.5%
"La Crosse County, Wisconsin",28.70%,± 1.6%
"La Paz County, Arizona",6.10%,± 1.8%
"La Plata County, Colorado",15.80%,± 1.5%
"La Salle County, Texas",12.30%,± 10.5%
"Labette County, Kansas",7.50%,± 1.7%
"Lac qui Parle County, Minnesota",7.20%,± 1.6%
"Lackawanna County, Pennsylvania",24.10%,± 1%
"Laclede County, Missouri",9.30%,± 2.1%
"Lafayette County, Arkansas",4%,± 1.7%
"Lafayette County, Florida",3.90%,± 2.7%
"Lafayette County, Mississippi",20%,± 2.7%
"Lafayette County, Missouri",9.70%,± 2%
"Lafayette County, Wisconsin",8.70%,± 1.2%
"Lafayette Parish, Louisiana",18.10%,± 1%
"Lafourche Parish, Louisiana",8.50%,± 1.1%
"LaGrange County, Indiana",7.30%,± 1.7%
"Lajas Municipio, Puerto Rico",6.50%,± 2.2%
"Lake and Peninsula Borough, Alaska",8%,± 4.1%
"Lake County, California",8.50%,± 1.2%
"Lake County, Colorado",11.20%,± 4.1%
"Lake County, Florida",12.20%,± 0.8%
"Lake County, Illinois",20.90%,± 0.6%
"Lake County, Indiana",18%,± 0.7%
"Lake County, Michigan",5%,± 1.2%
"Lake County, Minnesota",10.70%,± 2.6%
"Lake County, Montana",11.10%,± 1.3%
"Lake County, Ohio",18.80%,± 0.9%
"Lake County, Oregon",5.10%,± 2.1%
"Lake County, South Dakota",15.60%,± 3.9%
"Lake County, Tennessee",31.60%,± 6.1%
"Lake of the Woods County, Minnesota",8.30%,± 2.4%
"Lamar County, Alabama",10.90%,± 2.8%
"Lamar County, Georgia",11.50%,± 3.9%
"Lamar County, Mississippi",20.40%,± 1.9%
"Lamar County, Texas",14.50%,± 1.7%
"Lamb County, Texas",6.60%,± 2.5%
"Lamoille County, Vermont",20.50%,± 2.6%
"LaMoure County, North Dakota",8.70%,± 2.9%
"Lampasas County, Texas",9.10%,± 2%
"Lancaster County, Nebraska",30.20%,± 0.9%
"Lancaster County, Pennsylvania",18.80%,± 0.6%
"Lancaster County, South Carolina",5.60%,± 1%
"Lancaster County, Virginia",8.80%,± 2.4%
"Lander County, Nevada",12%,± 5.6%
"Lane County, Kansas",3.40%,± 3.1%
"Lane County, Oregon",24.10%,± 0.8%
"Langlade County, Wisconsin",14.60%,± 2.8%
"Lanier County, Georgia",2.60%,± 2.1%
"Lapeer County, Michigan",7.70%,± 0.8%
"LaPorte County, Indiana",14.60%,± 1.3%
"Laramie County, Wyoming",15.80%,± 1.1%
"Lares Municipio, Puerto Rico",4.80%,± 1.2%
"Larimer County, Colorado",24.10%,± 0.8%
"Larue County, Kentucky",5%,± 1.5%
"Las Animas County, Colorado",12.70%,± 2.6%
"Las Marías Municipio, Puerto Rico",4.80%,± 2.6%
"Las Piedras Municipio, Puerto Rico",6%,± 1.7%
"LaSalle County, Illinois",13.70%,± 1.1%
"LaSalle Parish, Louisiana",2.60%,± 1.6%
"Lassen County, California",11.50%,± 2.3%
"Latah County, Idaho",28.60%,± 2.7%
"Latimer County, Oklahoma",5.30%,± 1.2%
"Lauderdale County, Alabama",18.30%,± 1.4%
"Lauderdale County, Mississippi",21.20%,± 2%
"Lauderdale County, Tennessee",10.60%,± 1.8%
"Laurel County, Kentucky",9.80%,± 1.7%
"Laurens County, Georgia",12%,± 2.1%
"Laurens County, South Carolina",6.90%,± 1.2%
"Lavaca County, Texas",4.90%,± 1.6%
"Lawrence County, Alabama",6%,± 1.4%
"Lawrence County, Arkansas",9.60%,± 1.6%
"Lawrence County, Illinois",9.30%,± 2.9%
"Lawrence County, Indiana",11.20%,± 1.4%
"Lawrence County, Kentucky",5.60%,± 2.1%
"Lawrence County, Mississippi",3.70%,± 2.6%
"Lawrence County, Missouri",9.60%,± 1.7%
"Lawrence County, Ohio",10.90%,± 1.4%
"Lawrence County, Pennsylvania",12.20%,± 1%
"Lawrence County, South Dakota",22.70%,± 3.1%
"Lawrence County, Tennessee",8.50%,± 1.6%
"Le Flore County, Oklahoma",6.90%,± 0.9%
"Le Sueur County, Minnesota",10.50%,± 1.6%
"Lea County, New Mexico",10.20%,± 1.4%
"Leake County, Mississippi",6.80%,± 2.2%
"Leavenworth County, Kansas",13.60%,± 1.3%
"Lebanon County, Pennsylvania",15%,± 1.2%
"Lee County, Alabama",21.60%,± 1.3%
"Lee County, Arkansas",11.70%,± 4.1%
"Lee County, Florida",24.30%,± 0.6%
"Lee County, Georgia",12.10%,± 2.2%
"Lee County, Illinois",14.90%,± 1.8%
"Lee County, Iowa",13.10%,± 1.7%
"Lee County, Kentucky",6.60%,± 2.4%
"Lee County, Mississippi",15.50%,± 1.5%
"Lee County, North Carolina",15.50%,± 1.9%
"Lee County, South Carolina",8.10%,± 2%
"Lee County, Texas",6.30%,± 3%
"Lee County, Virginia",5.60%,± 1.8%
"Leelanau County, Michigan",4.90%,± 1.2%
"Leflore County, Mississippi",21.80%,± 3.2%
"Lehigh County, Pennsylvania",23.40%,± 0.8%
"Lemhi County, Idaho",9.60%,± 3.6%
"Lenawee County, Michigan",12.80%,± 1%
"Lenoir County, North Carolina",16.90%,± 2.1%
"Leon County, Florida",32.70%,± 1%
"Leon County, Texas",4.10%,± 1.3%
"Leslie County, Kentucky",1.20%,± 1.2%
"Letcher County, Kentucky",5.80%,± 1.7%
"Levy County, Florida",4.40%,± 1.1%
"Lewis and Clark County, Montana",19.50%,± 1.4%
"Lewis County, Idaho",7.50%,± 1.6%
"Lewis County, Kentucky",6.70%,± 2.3%
"Lewis County, Missouri",10.90%,± 2.5%
"Lewis County, New York",11.40%,± 1.5%
"Lewis County, Tennessee",2.30%,± 1.5%
"Lewis County, Washington",12.70%,± 1.3%
"Lewis County, West Virginia",8.40%,± 2.1%
"Lexington city, Virginia",29.70%,± 7.6%
"Lexington County, South Carolina",10.20%,± 0.6%
"Liberty County, Florida",0.30%,± 0.4%
"Liberty County, Georgia",24%,± 2%
"Liberty County, Montana",21.60%,± 6.8%
"Liberty County, Texas",7.30%,± 1.4%
"Licking County, Ohio",16.30%,± 0.9%
"Limestone County, Alabama",9%,± 1.2%
"Limestone County, Texas",10.30%,± 2.2%
"Lincoln County, Arkansas",2.90%,± 1.6%
"Lincoln County, Colorado",10.60%,± 3.1%
"Lincoln County, Georgia",4.30%,± 2.4%
"Lincoln County, Idaho",1.40%,± 0.8%
"Lincoln County, Kansas",6.80%,± 2.7%
"Lincoln County, Kentucky",4.60%,± 1.2%
"Lincoln County, Maine",9%,± 1.8%
"Lincoln County, Minnesota",7.80%,± 1.6%
"Lincoln County, Mississippi",7.20%,± 1.8%
"Lincoln County, Missouri",7.10%,± 1.4%
"Lincoln County, Montana",7.80%,± 1.8%
"Lincoln County, Nebraska",13.50%,± 2.1%
"Lincoln County, Nevada",6.40%,± 4.4%
"Lincoln County, New Mexico",6.30%,± 2.4%
"Lincoln County, North Carolina",6.60%,± 1.2%
"Lincoln County, Oklahoma",3.90%,± 0.7%
"Lincoln County, Oregon",16%,± 1.6%
"Lincoln County, South Dakota",22%,± 2.5%
"Lincoln County, Tennessee",8.80%,± 2.3%
