Geography,"Total—Civilian employed population 16 years and over—Management, business, science, and arts occupations:—Estimate",MoE
"Hubbard County, Minnesota","3,148",± 180
"Hudson County, New Jersey","182,237","± 3,088"
"Hudspeth County, Texas",189,± 121
"Huerfano County, Colorado",930,± 177
"Hughes County, Oklahoma","1,257",± 182
"Hughes County, South Dakota","4,484",± 494
"Humacao Municipio, Puerto Rico","5,139",± 640
"Humboldt County, California","22,126","± 1,026"
"Humboldt County, Iowa","1,563",± 181
"Humboldt County, Nevada","2,557",± 369
"Humphreys County, Mississippi",674,± 151
"Humphreys County, Tennessee","2,290",± 389
"Hunt County, Texas","14,801",± 834
"Hunterdon County, New Jersey","38,035","± 1,185"
"Huntingdon County, Pennsylvania","6,081",± 376
"Huntington County, Indiana","5,580",± 463
"Huron County, Michigan","3,940",± 246
"Huron County, Ohio","8,135",± 705
"Hutchinson County, South Dakota","1,494",± 166
"Hutchinson County, Texas","2,607",± 346
"Hyde County, North Carolina",522,± 192
"Hyde County, South Dakota",299,± 59
"Iberia Parish, Louisiana","8,579",± 726
"Iberville Parish, Louisiana","4,385",± 536
"Ida County, Iowa","1,105",± 149
"Idaho County, Idaho","2,064",± 292
"Imperial County, California","15,148","± 1,112"
"Independence County, Arkansas","4,624",± 584
"Indian River County, Florida","23,330","± 1,575"
"Indiana County, Pennsylvania","11,818",± 719
"Ingham County, Michigan","60,870","± 1,782"
"Inyo County, California","3,040",± 340
"Ionia County, Michigan","8,750",± 564
"Iosco County, Michigan","2,385",± 249
"Iowa County, Iowa","3,136",± 301
"Iowa County, Wisconsin","4,633",± 263
"Iredell County, North Carolina","34,655","± 1,427"
"Irion County, Texas",143,± 57
"Iron County, Michigan","1,257",± 143
"Iron County, Missouri","1,246",± 189
"Iron County, Utah","8,679",± 609
"Iron County, Wisconsin",853,± 86
"Iroquois County, Illinois","3,895",± 268
"Irwin County, Georgia","1,156",± 281
"Isabela Municipio, Puerto Rico","3,683",± 586
"Isabella County, Michigan","10,171",± 620
"Isanti County, Minnesota","6,947",± 476
"Island County, Washington","13,189",± 827
"Isle of Wight County, Virginia","7,997",± 598
"Issaquena County, Mississippi",41,± 22
"Itasca County, Minnesota","6,470",± 424
"Itawamba County, Mississippi","2,971",± 469
"Izard County, Arkansas","1,546",± 256
"Jack County, Texas",763,± 143
"Jackson County, Alabama","6,514",± 681
"Jackson County, Arkansas","1,415",± 235
"Jackson County, Colorado",217,± 58
"Jackson County, Florida","5,514",± 551
"Jackson County, Georgia","14,454",± 852
"Jackson County, Illinois","9,542",± 626
"Jackson County, Indiana","6,568",± 613
"Jackson County, Iowa","2,830",± 373
"Jackson County, Kansas","2,042",± 195
"Jackson County, Kentucky",968,± 252
"Jackson County, Michigan","24,026",± 980
"Jackson County, Minnesota","1,798",± 151
"Jackson County, Mississippi","22,236","± 1,157"
"Jackson County, Missouri","143,399","± 2,862"
"Jackson County, North Carolina","6,525",± 655
"Jackson County, Ohio","4,477",± 461
"Jackson County, Oklahoma","3,549",± 433
"Jackson County, Oregon","37,328","± 1,449"
"Jackson County, South Dakota",433,± 107
"Jackson County, Tennessee","1,061",± 198
"Jackson County, Texas","1,595",± 297
"Jackson County, West Virginia","3,961",± 522
"Jackson County, Wisconsin","2,647",± 221
"Jackson Parish, Louisiana","1,429",± 265
"James City County, Virginia","16,714",± 889
"Jasper County, Georgia","1,876",± 322
"Jasper County, Illinois","1,241",± 183
"Jasper County, Indiana","4,700",± 442
"Jasper County, Iowa","6,178",± 410
"Jasper County, Mississippi","1,726",± 312
"Jasper County, Missouri","19,333",± 929
"Jasper County, South Carolina","2,875",± 444
"Jasper County, Texas","3,747",± 521
"Jay County, Indiana","2,243",± 283
"Jayuya Municipio, Puerto Rico",850,± 258
"Jeff Davis County, Georgia","1,621",± 296
"Jeff Davis County, Texas",333,± 128
"Jefferson County, Alabama","131,143","± 2,813"
"Jefferson County, Arkansas","7,943",± 660
"Jefferson County, Colorado","164,074","± 2,461"
"Jefferson County, Florida","1,927",± 249
"Jefferson County, Georgia","1,779",± 393
"Jefferson County, Idaho","5,333",± 404
"Jefferson County, Illinois","4,725",± 405
"Jefferson County, Indiana","4,724",± 484
"Jefferson County, Iowa","3,096",± 392
"Jefferson County, Kansas","3,455",± 291
"Jefferson County, Kentucky","157,782","± 2,936"
"Jefferson County, Mississippi",789,± 180
"Jefferson County, Missouri","40,109","± 1,579"
"Jefferson County, Montana","2,509",± 215
"Jefferson County, Nebraska","1,088",± 139
"Jefferson County, New York","15,016",± 783
"Jefferson County, Ohio","8,747",± 476
"Jefferson County, Oklahoma",531,± 101
"Jefferson County, Oregon","3,335",± 360
"Jefferson County, Pennsylvania","5,238",± 292
"Jefferson County, Tennessee","7,804",± 643
"Jefferson County, Texas","31,398","± 1,246"
"Jefferson County, Washington","4,513",± 508
"Jefferson County, West Virginia","12,472",± 705
"Jefferson County, Wisconsin","16,330",± 971
"Jefferson Davis County, Mississippi","1,161",± 237
"Jefferson Davis Parish, Louisiana","3,775",± 544
"Jefferson Parish, Louisiana","78,303","± 2,104"
"Jenkins County, Georgia",822,± 295
"Jennings County, Indiana","3,856",± 470
"Jerauld County, South Dakota",406,± 88
"Jerome County, Idaho","3,127",± 392
"Jersey County, Illinois","3,891",± 455
"Jessamine County, Kentucky","9,524",± 713
"Jewell County, Kansas",519,± 82
"Jim Hogg County, Texas",354,± 134
"Jim Wells County, Texas","4,354",± 687
"Jo Daviess County, Illinois","4,018",± 407
"Johnson County, Arkansas","2,709",± 358
"Johnson County, Georgia",745,± 148
"Johnson County, Illinois","1,416",± 192
"Johnson County, Indiana","35,238","± 1,597"
"Johnson County, Iowa","42,561","± 1,408"
"Johnson County, Kansas","182,343","± 2,620"
"Johnson County, Kentucky","2,535",± 468
"Johnson County, Missouri","7,955",± 554
"Johnson County, Nebraska",700,± 96
"Johnson County, Tennessee","1,642",± 327
"Johnson County, Texas","26,393","± 1,472"
"Johnson County, Wyoming","1,708",± 248
"Johnston County, North Carolina","39,868","± 1,615"
"Johnston County, Oklahoma","1,247",± 170
"Jones County, Georgia","4,464",± 451
"Jones County, Iowa","3,540",± 311
"Jones County, Mississippi","8,361",± 660
"Jones County, North Carolina","1,046",± 164
"Jones County, South Dakota",217,± 56
"Jones County, Texas","1,656",± 268
"Josephine County, Oregon","11,276",± 887
"Juab County, Utah","1,971",± 240
"Juana Díaz Municipio, Puerto Rico","4,002",± 526
"Judith Basin County, Montana",535,± 113
"Juncos Municipio, Puerto Rico","3,177",± 533
"Juneau City and Borough, Alaska","7,249",± 478
"Juneau County, Wisconsin","3,382",± 243
"Juniata County, Pennsylvania","2,794",± 237
"Kalamazoo County, Michigan","55,634","± 1,763"
"Kalawao County, Hawaii",7,± 4
"Kalkaska County, Michigan","1,946",± 192
"Kanabec County, Minnesota","2,168",± 168
"Kanawha County, West Virginia","30,959","± 1,381"
"Kandiyohi County, Minnesota","7,758",± 458
"Kane County, Illinois","100,521","± 2,067"
"Kane County, Utah","1,299",± 244
"Kankakee County, Illinois","15,157",± 885
"Karnes County, Texas","1,320",± 219
"Kauai County, Hawaii","10,780",± 773
"Kaufman County, Texas","26,835","± 1,416"
"Kay County, Oklahoma","5,402",± 426
"Kearney County, Nebraska","1,338",± 147
"Kearny County, Kansas",555,± 111
"Keith County, Nebraska","1,382",± 169
"Kemper County, Mississippi",982,± 232
"Kenai Peninsula Borough, Alaska","9,797",± 641
"Kendall County, Illinois","28,832","± 1,444"
"Kendall County, Texas","10,603",± 745
"Kenedy County, Texas",11,± 15
"Kennebec County, Maine","24,820",± 974
"Kenosha County, Wisconsin","31,392","± 1,006"
"Kent County, Delaware","28,900","± 1,377"
"Kent County, Maryland","4,020",± 376
"Kent County, Michigan","140,061","± 2,551"
"Kent County, Rhode Island","39,393","± 1,361"
"Kent County, Texas",82,± 32
"Kenton County, Kentucky","38,230","± 1,296"
"Keokuk County, Iowa","1,527",± 129
"Kern County, California","104,598","± 3,340"
"Kerr County, Texas","8,424",± 686
"Kershaw County, South Carolina","9,917",± 783
"Ketchikan Gateway Borough, Alaska","2,486",± 171
"Kewaunee County, Wisconsin","3,400",± 232
"Keweenaw County, Michigan",378,± 59
"Keya Paha County, Nebraska",225,± 50
"Kidder County, North Dakota",412,± 63
"Kimball County, Nebraska",375,± 94
"Kimble County, Texas",689,± 194
"King and Queen County, Virginia","1,176",± 280
"King County, Texas",32,± 19
"King County, Washington","697,281","± 5,625"
"King George County, Virginia","6,901",± 488
"King William County, Virginia","3,482",± 443
"Kingfisher County, Oklahoma","2,092",± 271
"Kingman County, Kansas","1,301",± 158
"Kings County, California","13,463",± 886
"Kings County, New York","584,860","± 5,170"
"Kingsbury County, South Dakota",986,± 89
"Kinney County, Texas",469,± 199
"Kiowa County, Colorado",262,± 60
"Kiowa County, Kansas",432,± 57
"Kiowa County, Oklahoma","1,063",± 147
"Kit Carson County, Colorado","1,200",± 184
"Kitsap County, Washington","51,112","± 1,721"
"Kittitas County, Washington","8,300",± 598
"Kittson County, Minnesota",751,± 79
"Klamath County, Oregon","9,182",± 580
"Kleberg County, Texas","3,969",± 596
"Klickitat County, Washington","4,211",± 390
"Knott County, Kentucky","1,494",± 338
"Knox County, Illinois","6,889",± 440
"Knox County, Indiana","5,888",± 564
"Knox County, Kentucky","2,756",± 398
"Knox County, Maine","7,325",± 519
"Knox County, Missouri",389,± 97
"Knox County, Nebraska","1,382",± 125
"Knox County, Ohio","9,531",± 737
"Knox County, Tennessee","105,217","± 2,363"
"Knox County, Texas",333,± 71
"Kodiak Island Borough, Alaska","1,827",± 280
"Koochiching County, Minnesota","1,680",± 233
"Kootenai County, Idaho","28,944","± 1,263"
"Kosciusko County, Indiana","12,112",± 707
"Kossuth County, Iowa","2,117",± 189
"Kusilvak Census Area, Alaska",647,± 81
"La Crosse County, Wisconsin","25,003","± 1,069"
"La Paz County, Arizona","1,628",± 250
"La Plata County, Colorado","12,602",± 666
"La Salle County, Texas",292,± 153
"Labette County, Kansas","3,541",± 359
"Lac qui Parle County, Minnesota","1,400",± 94
"Lackawanna County, Pennsylvania","37,537","± 1,413"
"Laclede County, Missouri","4,541",± 486
"Lafayette County, Arkansas",722,± 131
"Lafayette County, Florida",703,± 223
"Lafayette County, Mississippi","10,733",± 913
"Lafayette County, Missouri","5,051",± 565
"Lafayette County, Wisconsin","2,834",± 140
"Lafayette Parish, Louisiana","49,473","± 2,180"
"Lafourche Parish, Louisiana","13,285",± 819
"LaGrange County, Indiana","3,615",± 369
"Lajas Municipio, Puerto Rico","1,885",± 458
"Lake and Peninsula Borough, Alaska",179,± 63
"Lake County, California","7,806",± 845
"Lake County, Colorado","1,995",± 352
"Lake County, Florida","58,670","± 2,470"
"Lake County, Illinois","167,104","± 2,027"
"Lake County, Indiana","73,855","± 2,317"
"Lake County, Michigan",958,± 144
"Lake County, Minnesota","1,678",± 157
"Lake County, Montana","5,060",± 376
"Lake County, Ohio","47,534","± 1,320"
"Lake County, Oregon","1,151",± 188
"Lake County, South Dakota","2,214",± 278
"Lake County, Tennessee",383,± 101
"Lake of the Woods County, Minnesota",476,± 104
"Lamar County, Alabama","1,480",± 198
"Lamar County, Georgia","2,419",± 375
"Lamar County, Mississippi","12,911",± 844
"Lamar County, Texas","7,176",± 691
"Lamb County, Texas","1,767",± 190
"Lamoille County, Vermont","5,761",± 509
"LaMoure County, North Dakota",873,± 103
"Lampasas County, Texas","2,973",± 409
"Lancaster County, Nebraska","74,977","± 1,450"
"Lancaster County, Pennsylvania","104,416","± 2,366"
"Lancaster County, South Carolina","16,965","± 1,230"
"Lancaster County, Virginia","1,526",± 224
"Lander County, Nevada",805,± 249
"Lane County, Kansas",321,± 81
"Lane County, Oregon","70,056","± 1,596"
"Langlade County, Wisconsin","2,205",± 221
"Lanier County, Georgia","1,015",± 296
"Lapeer County, Michigan","13,904",± 672
"LaPorte County, Indiana","14,938",± 738
"Laramie County, Wyoming","19,316","± 1,033"
"Lares Municipio, Puerto Rico","2,442",± 362
"Larimer County, Colorado","91,430","± 2,246"
"Larue County, Kentucky","2,073",± 332
"Las Animas County, Colorado","1,644",± 188
"Las Marías Municipio, Puerto Rico",746,± 206
"Las Piedras Municipio, Puerto Rico","4,071",± 566
"LaSalle County, Illinois","15,637",± 790
"LaSalle Parish, Louisiana","1,870",± 353
"Lassen County, California","2,679",± 337
"Latah County, Idaho","8,548",± 679
"Latimer County, Oklahoma","1,088",± 130
"Lauderdale County, Alabama","13,089",± 894
"Lauderdale County, Mississippi","10,500",± 778
"Lauderdale County, Tennessee","2,185",± 294
"Laurel County, Kentucky","7,871",± 689
"Laurens County, Georgia","6,296",± 502
"Laurens County, South Carolina","7,979",± 705
"Lavaca County, Texas","3,293",± 320
"Lawrence County, Alabama","4,285",± 556
"Lawrence County, Arkansas","1,648",± 204
"Lawrence County, Illinois","1,635",± 219
"Lawrence County, Indiana","6,188",± 500
"Lawrence County, Kentucky","1,477",± 274
"Lawrence County, Mississippi",971,± 221
"Lawrence County, Missouri","4,087",± 545
"Lawrence County, Ohio","7,422",± 698
"Lawrence County, Pennsylvania","12,721",± 593
"Lawrence County, South Dakota","5,058",± 380
"Lawrence County, Tennessee","5,507",± 492
"Le Flore County, Oklahoma","4,988",± 320
"Le Sueur County, Minnesota","5,455",± 323
"Lea County, New Mexico","8,633",± 821
"Leake County, Mississippi","2,061",± 308
"Leavenworth County, Kansas","14,643",± 787
"Lebanon County, Pennsylvania","23,539","± 1,024"
"Lee County, Alabama","36,458","± 1,429"
"Lee County, Arkansas",893,± 233
"Lee County, Florida","113,305","± 2,946"
"Lee County, Georgia","7,606",± 796
"Lee County, Illinois","5,169",± 428
"Lee County, Iowa","5,056",± 389
"Lee County, Kentucky",549,± 119
"Lee County, Mississippi","13,876",± 866
"Lee County, North Carolina","8,833",± 751
"Lee County, South Carolina","1,327",± 241
"Lee County, Texas","2,679",± 415
"Lee County, Virginia","2,270",± 330
"Leelanau County, Michigan","4,350",± 299
"Leflore County, Mississippi","3,107",± 469
"Lehigh County, Pennsylvania","69,340","± 1,817"
"Lemhi County, Idaho","1,097",± 202
"Lenawee County, Michigan","13,659",± 746
"Lenoir County, North Carolina","6,467",± 651
"Leon County, Florida","71,656","± 2,006"
"Leon County, Texas","1,750",± 277
"Leslie County, Kentucky",825,± 247
"Letcher County, Kentucky","2,389",± 361
"Levy County, Florida","4,367",± 510
"Lewis and Clark County, Montana","17,752",± 931
"Lewis County, Idaho",448,± 53
"Lewis County, Kentucky","1,074",± 233
"Lewis County, Missouri","1,071",± 156
"Lewis County, New York","4,094",± 305
"Lewis County, Tennessee","1,432",± 306
"Lewis County, Washington","10,956",± 724
"Lewis County, West Virginia","2,116",± 343
"Lexington city, Virginia","1,499",± 271
"Lexington County, South Carolina","57,937","± 1,636"
"Liberty County, Florida",736,± 171
"Liberty County, Georgia","7,708",± 822
"Liberty County, Montana",405,± 127
"Liberty County, Texas","7,999",± 771
"Licking County, Ohio","33,667","± 1,207"
"Limestone County, Alabama","19,362","± 1,138"
"Limestone County, Texas","2,057",± 264
"Lincoln County, Arkansas","1,055",± 209
"Lincoln County, Colorado",831,± 115
"Lincoln County, Georgia","1,052",± 178
"Lincoln County, Idaho",637,± 88
"Lincoln County, Kansas",503,± 89
"Lincoln County, Kentucky","3,102",± 383
"Lincoln County, Maine","6,851",± 432
"Lincoln County, Minnesota","1,092",± 84
"Lincoln County, Mississippi","4,765",± 569
"Lincoln County, Missouri","8,928",± 867
"Lincoln County, Montana","2,401",± 305
"Lincoln County, Nebraska","5,311",± 420
"Lincoln County, Nevada",462,± 135
"Lincoln County, New Mexico","2,703",± 400
"Lincoln County, North Carolina","16,128","± 1,020"
"Lincoln County, Oklahoma","4,693",± 330
"Lincoln County, Oregon","6,742",± 588
"Lincoln County, South Dakota","17,299",± 946
"Lincoln County, Tennessee","5,467",± 546
"Lincoln County, Washington","1,954",± 171
"Lincoln County, West Virginia","1,630",± 379
"Lincoln County, Wisconsin","3,987",± 270
"Lincoln County, Wyoming","3,146",± 328
"Lincoln Parish, Louisiana","7,844",± 716
"Linn County, Iowa","48,715","± 1,615"
"Linn County, Kansas","1,250",± 154
"Linn County, Missouri","1,639",± 200
"Linn County, Oregon","19,793","± 1,003"
"Lipscomb County, Texas",493,± 85
"Little River County, Arkansas","1,512",± 315
"Live Oak County, Texas","1,249",± 229
"Livingston County, Illinois","4,927",± 413
"Livingston County, Kentucky","1,037",± 210
"Livingston County, Michigan","43,514","± 1,219"
"Livingston County, Missouri","2,315",± 243
"Livingston County, New York","11,004",± 602
"Livingston Parish, Louisiana","24,590","± 1,453"
"Llano County, Texas","2,845",± 383
"Logan County, Arkansas","2,645",± 287
"Logan County, Colorado","3,576",± 391
"Logan County, Illinois","4,039",± 328
"Logan County, Kansas",554,± 74
"Logan County, Kentucky","3,585",± 471
"Logan County, Nebraska",193,± 41
"Logan County, North Dakota",395,± 66
"Logan County, Ohio","6,132",± 506
"Logan County, Oklahoma","8,335",± 611
"Logan County, West Virginia","2,951",± 363
"Loíza Municipio, Puerto Rico","1,774",± 274
"Long County, Georgia","1,704",± 443
"Lonoke County, Arkansas","11,927",± 721
"Lorain County, Ohio","54,939","± 1,636"
"Los Alamos County, New Mexico","7,538",± 413
"Los Angeles County, California","1,957,075","± 11,707"
"Loudon County, Tennessee","8,338",± 789
"Loudoun County, Virginia","142,208","± 2,676"
"Louisa County, Iowa","1,479",± 188
"Louisa County, Virginia","6,625",± 541
"Loup County, Nebraska",134,± 32
"Love County, Oklahoma","1,112",± 150
"Loving County, Texas",21,± 18
"Lower Connecticut River Valley Planning Region, Connecticut","46,605","± 1,370"
"Lowndes County, Alabama",914,± 150
"Lowndes County, Georgia","15,889",± 986
"Lowndes County, Mississippi","7,907",± 724
"Lubbock County, Texas","61,077","± 2,167"
"Lucas County, Iowa","1,112",± 177
"Lucas County, Ohio","70,056","± 1,932"
"Luce County, Michigan",596,± 104
"Lumpkin County, Georgia","4,880",± 624
"Luna County, New Mexico","2,160",± 446
"Lunenburg County, Virginia","1,280",± 213
"Luquillo Municipio, Puerto Rico","1,321",± 259
"Luzerne County, Pennsylvania","51,505","± 1,578"
"Lycoming County, Pennsylvania","18,084",± 823
"Lyman County, South Dakota",598,± 79
"Lynchburg city, Virginia","14,857","± 1,088"
"Lynn County, Texas","1,002",± 121
"Lyon County, Iowa","2,197",± 198
"Lyon County, Kansas","5,312",± 435
"Lyon County, Kentucky",840,± 195
"Lyon County, Minnesota","4,785",± 362
"Lyon County, Nevada","7,081",± 650
"Mackinac County, Michigan","1,583",± 167
"Macomb County, Michigan","159,861","± 2,773"
"Macon County, Alabama","2,137",± 324
"Macon County, Georgia",846,± 164
"Macon County, Illinois","15,693",± 733
"Macon County, Missouri","2,249",± 245
"Macon County, North Carolina","5,034",± 513
"Macon County, Tennessee","2,700",± 412
"Macoupin County, Illinois","6,708",± 505
"Madera County, California","16,843","± 1,140"
"Madison County, Alabama","97,272","± 2,652"
"Madison County, Arkansas","1,863",± 323
"Madison County, Florida","1,502",± 231
"Madison County, Georgia","4,165",± 522
"Madison County, Idaho","9,413","± 1,075"
"Madison County, Illinois","49,735","± 1,573"
"Madison County, Indiana","18,191",± 964
"Madison County, Iowa","3,618",± 305
"Madison County, Kentucky","16,814",± 840
"Madison County, Mississippi","25,673","± 1,229"
"Madison County, Missouri","1,336",± 257
"Madison County, Montana","1,360",± 250
"Madison County, Nebraska","5,791",± 478
"Madison County, New York","12,182",± 696
"Madison County, North Carolina","3,825",± 363
"Madison County, Ohio","6,979",± 546
"Madison County, Tennessee","15,865",± 953
"Madison County, Texas","1,177",± 234
"Madison County, Virginia","2,409",± 370
"Madison Parish, Louisiana",982,± 156
"Magoffin County, Kentucky",785,± 185
"Mahaska County, Iowa","3,891",± 363
"Mahnomen County, Minnesota",695,± 50
"Mahoning County, Ohio","35,233","± 1,188"
"Major County, Oklahoma","1,125",± 140
"Malheur County, Oregon","3,198",± 334
"Manassas city, Virginia","9,259",± 577
"Manassas Park city, Virginia","3,423",± 541
"Manatee County, Florida","66,542","± 2,326"
"Manatí Municipio, Puerto Rico","3,841",± 508
"Manistee County, Michigan","3,045",± 271
"Manitowoc County, Wisconsin","12,904",± 728
"Marathon County, Wisconsin","26,418",± 803
"Marengo County, Alabama","2,237",± 359
"Maricao Municipio, Puerto Rico",128,± 72
"Maricopa County, Arizona","896,199","± 7,620"
"Maries County, Missouri",988,± 172
"Marin County, California","73,213","± 1,576"
"Marinette County, Wisconsin","5,864",± 403
"Marion County, Alabama","3,396",± 425
"Marion County, Arkansas","1,804",± 265
"Marion County, Florida","44,393","± 2,101"
"Marion County, Georgia",748,± 172
"Marion County, Illinois","4,733",± 376
"Marion County, Indiana","186,731","± 3,660"
"Marion County, Iowa","6,462",± 368
"Marion County, Kansas","2,121",± 184
"Marion County, Kentucky","2,407",± 333
"Marion County, Mississippi","2,125",± 385
"Marion County, Missouri","4,282",± 346
"Marion County, Ohio","7,166",± 519
"Marion County, Oregon","52,680","± 1,363"
"Marion County, South Carolina","2,860",± 403
"Marion County, Tennessee","3,138",± 409
"Marion County, Texas",919,± 204
"Marion County, West Virginia","9,501",± 581
"Mariposa County, California","2,468",± 398
"Marlboro County, South Carolina","2,004",± 311
"Marquette County, Michigan","10,643",± 588
"Marquette County, Wisconsin","1,781",± 130
"Marshall County, Alabama","13,730",± 888
"Marshall County, Illinois","1,527",± 154
"Marshall County, Indiana","5,720",± 462
"Marshall County, Iowa","5,949",± 454
"Marshall County, Kansas","1,739",± 190
"Marshall County, Kentucky","4,361",± 476
"Marshall County, Minnesota","1,576",± 109
"Marshall County, Mississippi","3,536",± 520
"Marshall County, Oklahoma","1,531",± 233
"Marshall County, South Dakota",797,± 167
"Marshall County, Tennessee","5,202",± 598
"Marshall County, West Virginia","3,852",± 475
"Martin County, Florida","25,893","± 1,307"
"Martin County, Indiana","1,551",± 204
"Martin County, Kentucky",942,± 288
"Martin County, Minnesota","3,329",± 286
"Martin County, North Carolina","2,676",± 401
"Martin County, Texas",719,± 190
"Martinsville city, Virginia","1,577",± 291
"Mason County, Illinois","1,856",± 183
"Mason County, Kentucky","2,275",± 301
"Mason County, Michigan","4,076",± 301
"Mason County, Texas",692,± 133
"Mason County, Washington","9,291",± 737
"Mason County, West Virginia","2,624",± 448
"Massac County, Illinois","1,423",± 187
"Matagorda County, Texas","4,089",± 524
"Matanuska-Susitna Borough, Alaska","16,523",± 608
"Mathews County, Virginia","1,413",± 297
"Maui County, Hawaii","26,573","± 1,060"
"Maunabo Municipio, Puerto Rico",492,± 191
"Maury County, Tennessee","17,701","± 1,175"
"Maverick County, Texas","5,487",± 682
"Mayagüez Municipio, Puerto Rico","6,097",± 624
"Mayes County, Oklahoma","5,131",± 395
"McClain County, Oklahoma","7,573",± 566
"McCone County, Montana",450,± 66
"McCook County, South Dakota","1,199",± 129
"McCormick County, South Carolina","1,168",± 226
"McCracken County, Kentucky","10,707",± 798
"McCreary County, Kentucky","1,523",± 391
"McCulloch County, Texas","1,044",± 213
"McCurtain County, Oklahoma","3,131",± 275
"McDonald County, Missouri","2,223",± 316
"McDonough County, Illinois","4,288",± 462
"McDowell County, North Carolina","5,281",± 569
"McDowell County, West Virginia","1,053",± 283
"McDuffie County, Georgia","2,957",± 414
"McHenry County, Illinois","66,915","± 1,864"
"McHenry County, North Dakota","1,039",± 128
"McIntosh County, Georgia","1,122",± 217
"McIntosh County, North Dakota",537,± 81
"McIntosh County, Oklahoma","1,831",± 228
"McKean County, Pennsylvania","5,577",± 441
"McKenzie County, North Dakota","2,287",± 347
"McKinley County, New Mexico","7,429",± 696
"McLean County, Illinois","39,006","± 1,410"
"McLean County, Kentucky","1,339",± 166
"McLean County, North Dakota","1,626",± 155
"McLennan County, Texas","41,777","± 1,752"
"McLeod County, Minnesota","5,757",± 441
"McMinn County, Tennessee","6,943",± 633
"McMullen County, Texas",89,± 41
"McNairy County, Tennessee","2,936",± 339
"McPherson County, Kansas","5,975",± 533
"McPherson County, Nebraska",94,± 25
"McPherson County, South Dakota",477,± 70
"Meade County, Kansas",910,± 111
"Meade County, Kentucky","4,259",± 517
"Meade County, South Dakota","4,945",± 548
"Meagher County, Montana",455,± 115
"Mecklenburg County, North Carolina","285,054","± 3,988"
"Mecklenburg County, Virginia","4,350",± 452
"Mecosta County, Michigan","5,277",± 397
"Medina County, Ohio","41,880","± 1,327"
"Medina County, Texas","7,937",± 684
"Meeker County, Minnesota","3,834",± 213
"Meigs County, Ohio","2,266",± 282
"Meigs County, Tennessee","1,383",± 301
"Mellette County, South Dakota",298,± 66
"Menard County, Illinois","2,454",± 219
"Menard County, Texas",222,± 94
"Mendocino County, California","11,844",± 860
"Menifee County, Kentucky",609,± 155
"Menominee County, Michigan","2,916",± 276
"Menominee County, Wisconsin",414,± 100
"Merced County, California","28,432","± 1,329"
"Mercer County, Illinois","2,146",± 247
"Mercer County, Kentucky","3,403",± 439
"Mercer County, Missouri",596,± 98
"Mercer County, New Jersey","88,259","± 2,049"
"Mercer County, North Dakota",850,± 186
"Mercer County, Ohio","6,782",± 453
"Mercer County, Pennsylvania","16,025",± 798
"Mercer County, West Virginia","7,794",± 757
"Meriwether County, Georgia","2,092",± 367
"Merrick County, Nebraska","1,580",± 145
"Merrimack County, New Hampshire","33,928","± 1,155"
"Mesa County, Colorado","27,949","± 1,062"
"Metcalfe County, Kentucky","1,224",± 241
"Miami County, Indiana","3,879",± 344
"Miami County, Kansas","6,108",± 474
"Miami County, Ohio","19,602",± 926
"Miami-Dade County, Florida","482,706","± 6,738"
"Middlesex County, Massachusetts","539,404","± 4,737"
"Middlesex County, New Jersey","210,145","± 3,244"
"Middlesex County, Virginia","1,471",± 235
"Midland County, Michigan","16,335",± 812
"Midland County, Texas","32,842","± 1,666"
"Mifflin County, Pennsylvania","5,448",± 503
"Milam County, Texas","3,457",± 449
"Millard County, Utah","1,463",± 161
"Mille Lacs County, Minnesota","3,565",± 244
"Miller County, Arkansas","5,013",± 514
"Miller County, Georgia",891,± 170
"Miller County, Missouri","3,611",± 327
"Mills County, Iowa","2,908",± 236
"Mills County, Texas",753,± 107
"Milwaukee County, Wisconsin","174,669","± 2,661"
"Miner County, South Dakota",442,± 77
"Mineral County, Colorado",201,± 57
"Mineral County, Montana",619,± 82
"Mineral County, Nevada",515,± 172
"Mineral County, West Virginia","3,536",± 421
"Mingo County, West Virginia","1,847",± 422
"Minidoka County, Idaho","2,562",± 322
"Minnehaha County, South Dakota","42,749","± 1,393"
"Missaukee County, Michigan","1,772",± 174
"Mississippi County, Arkansas","5,002",± 550
"Mississippi County, Missouri","1,072",± 190
"Missoula County, Montana","26,743","± 1,148"
"Mitchell County, Georgia","2,197",± 374
"Mitchell County, Iowa","1,987",± 235
"Mitchell County, Kansas","1,126",± 185
"Mitchell County, North Carolina","2,250",± 333
"Mitchell County, Texas",831,± 235
"Mobile County, Alabama","60,763","± 2,215"
"Moca Municipio, Puerto Rico","3,082",± 569
"Modoc County, California","1,340",± 264
"Moffat County, Colorado","2,006",± 329
"Mohave County, Arizona","22,442","± 1,480"
"Moniteau County, Missouri","2,161",± 242
"Monmouth County, New Jersey","166,982","± 2,619"
"Mono County, California","3,001",± 510
"Monona County, Iowa","1,364",± 154
"Monongalia County, West Virginia","27,584","± 1,172"
"Monroe County, Alabama","1,489",± 227
"Monroe County, Arkansas",634,± 171
"Monroe County, Florida","13,837",± 672
"Monroe County, Georgia","4,874",± 557
"Monroe County, Illinois","8,679",± 601
"Monroe County, Indiana","33,788","± 1,116"
"Monroe County, Iowa","1,359",± 166
"Monroe County, Kentucky","1,479",± 263
"Monroe County, Michigan","24,134",± 988
"Monroe County, Mississippi","3,572",± 465
"Monroe County, Missouri","1,073",± 147
