Geography,Percent with a disability—Total civilian noninstitutionalized population—DISABILITY TYPE BY DETAILED AGE—With an ambulatory difficulty—Estimate,MoE
"Greene County, North Carolina",10.90%,± 1.7%
"Greene County, Ohio",7%,± 0.5%
"Greene County, Pennsylvania",9.10%,± 0.9%
"Greene County, Tennessee",12.60%,± 1.2%
"Greene County, Virginia",6.90%,± 1.4%
"Greenlee County, Arizona",5%,± 1.6%
"Greensville County, Virginia",10%,± 2.3%
"Greenup County, Kentucky",11.80%,± 0.9%
"Greenville County, South Carolina",6.20%,± 0.3%
"Greenwood County, Kansas",11.30%,± 2.2%
"Greenwood County, South Carolina",7.50%,± 0.8%
"Greer County, Oklahoma",10.30%,± 2.7%
"Gregg County, Texas",6.70%,± 0.6%
"Gregory County, South Dakota",7.10%,± 1.6%
"Grenada County, Mississippi",10.10%,± 1.6%
"Griggs County, North Dakota",4.80%,± 1.7%
"Grimes County, Texas",7.60%,± 1.4%
"Grundy County, Illinois",5.60%,± 0.7%
"Grundy County, Iowa",4.50%,± 0.9%
"Grundy County, Missouri",8.70%,± 1.6%
"Grundy County, Tennessee",14.80%,± 2.1%
"Guadalupe County, New Mexico",11.90%,± 3.8%
"Guadalupe County, Texas",7%,± 0.5%
"Guánica Municipio, Puerto Rico",19.10%,± 2.5%
"Guayama Municipio, Puerto Rico",17.60%,± 1.7%
"Guayanilla Municipio, Puerto Rico",8.80%,± 1.5%
"Guaynabo Municipio, Puerto Rico",12.50%,± 0.9%
"Guernsey County, Ohio",9.90%,± 1%
"Guilford County, North Carolina",6.10%,± 0.3%
"Gulf County, Florida",11.70%,± 2.5%
"Gunnison County, Colorado",2.90%,± 0.9%
"Gurabo Municipio, Puerto Rico",12.30%,± 1.5%
"Guthrie County, Iowa",5.60%,± 1%
"Gwinnett County, Georgia",4%,± 0.2%
"Haakon County, South Dakota",8.50%,± 3.8%
"Habersham County, Georgia",9.60%,± 1.1%
"Haines Borough, Alaska",4.60%,± 2.7%
"Hale County, Alabama",11.80%,± 1.8%
"Hale County, Texas",6.60%,± 1%
"Halifax County, North Carolina",12%,± 1.2%
"Halifax County, Virginia",10.80%,± 1.3%
"Hall County, Georgia",5.90%,± 0.5%
"Hall County, Nebraska",6.30%,± 0.9%
"Hall County, Texas",9.50%,± 2.7%
"Hamblen County, Tennessee",12.10%,± 1.2%
"Hamilton County, Florida",11%,± 2.2%
"Hamilton County, Illinois",10.90%,± 2.3%
"Hamilton County, Indiana",3.20%,± 0.3%
"Hamilton County, Iowa",7.20%,± 1.5%
"Hamilton County, Kansas",6.60%,± 2.2%
"Hamilton County, Nebraska",3.60%,± 0.8%
"Hamilton County, New York",8.40%,± 2.2%
"Hamilton County, Ohio",6.10%,± 0.3%
"Hamilton County, Tennessee",8.60%,± 0.5%
"Hamilton County, Texas",10.90%,± 3%
"Hamlin County, South Dakota",3.20%,± 0.8%
"Hampden County, Massachusetts",8.50%,± 0.4%
"Hampshire County, Massachusetts",4.60%,± 0.4%
"Hampshire County, West Virginia",13.90%,± 1.9%
"Hampton city, Virginia",9.40%,± 0.7%
"Hampton County, South Carolina",13.20%,± 1.9%
"Hancock County, Georgia",10%,± 2.9%
"Hancock County, Illinois",9.50%,± 1.2%
"Hancock County, Indiana",6.10%,± 0.7%
"Hancock County, Iowa",6.50%,± 1.3%
"Hancock County, Kentucky",9.10%,± 1.7%
"Hancock County, Maine",6.70%,± 0.7%
"Hancock County, Mississippi",10.40%,± 1.4%
"Hancock County, Ohio",6%,± 0.7%
"Hancock County, Tennessee",14.60%,± 3%
"Hancock County, West Virginia",9.90%,± 1.5%
"Hand County, South Dakota",7.50%,± 1.7%
"Hanover County, Virginia",5.70%,± 0.5%
"Hansford County, Texas",5.80%,± 2%
"Hanson County, South Dakota",2.80%,± 0.8%
"Haralson County, Georgia",9.30%,± 1.4%
"Hardee County, Florida",7.90%,± 1.3%
"Hardeman County, Tennessee",12.90%,± 1.7%
"Hardeman County, Texas",11%,± 2.7%
"Hardin County, Illinois",14.70%,± 3.5%
"Hardin County, Iowa",6.10%,± 0.9%
"Hardin County, Kentucky",9.40%,± 0.7%
"Hardin County, Ohio",7.40%,± 1%
"Hardin County, Tennessee",11.60%,± 1.6%
"Hardin County, Texas",10.20%,± 1.3%
"Harding County, New Mexico",13.70%,± 4.7%
"Harding County, South Dakota",3.80%,± 2.3%
"Hardy County, West Virginia",11%,± 2.2%
"Harford County, Maryland",5.70%,± 0.4%
"Harlan County, Kentucky",18.90%,± 1.8%
"Harlan County, Nebraska",9.30%,± 1.8%
"Harmon County, Oklahoma",9.50%,± 2.4%
"Harnett County, North Carolina",7.80%,± 0.5%
"Harney County, Oregon",12.50%,± 2.2%
"Harper County, Kansas",11%,± 1.8%
"Harper County, Oklahoma",12.10%,± 2.6%
"Harris County, Georgia",9.30%,± 1.2%
"Harris County, Texas",5.20%,± 0.1%
"Harrison County, Indiana",8.70%,± 1.1%
"Harrison County, Iowa",7.40%,± 1.3%
"Harrison County, Kentucky",10.90%,± 1.8%
"Harrison County, Mississippi",10.40%,± 0.6%
"Harrison County, Missouri",11.70%,± 2%
"Harrison County, Ohio",9.20%,± 1.8%
"Harrison County, Texas",8.90%,± 1.1%
"Harrison County, West Virginia",8.40%,± 0.7%
"Harrisonburg city, Virginia",5.40%,± 0.9%
"Hart County, Georgia",12%,± 2%
"Hart County, Kentucky",11.40%,± 1.6%
"Hartley County, Texas",5%,± 2.1%
"Harvey County, Kansas",6.60%,± 1.1%
"Haskell County, Kansas",3.50%,± 1.3%
"Haskell County, Oklahoma",13.40%,± 1.2%
"Haskell County, Texas",13.40%,± 2.1%
"Hatillo Municipio, Puerto Rico",10.20%,± 1.3%
"Hawaii County, Hawaii",7.20%,± 0.4%
"Hawkins County, Tennessee",14.30%,± 1.2%
"Hayes County, Nebraska",7.20%,± 3.8%
"Hays County, Texas",5.10%,± 0.5%
"Haywood County, North Carolina",9.80%,± 0.9%
"Haywood County, Tennessee",13.70%,± 1.5%
"Heard County, Georgia",14.40%,± 2.2%
"Hemphill County, Texas",10.20%,± 3.7%
"Hempstead County, Arkansas",11.70%,± 1.9%
"Henderson County, Illinois",7.60%,± 1.6%
"Henderson County, Kentucky",10.80%,± 1.1%
"Henderson County, North Carolina",7.70%,± 0.6%
"Henderson County, Tennessee",9.10%,± 1.5%
"Henderson County, Texas",10.50%,± 1%
"Hendricks County, Indiana",4.90%,± 0.5%
"Hendry County, Florida",6.70%,± 1.2%
"Hennepin County, Minnesota",4.40%,± 0.2%
"Henrico County, Virginia",5.80%,± 0.4%
"Henry County, Alabama",11.60%,± 1.5%
"Henry County, Georgia",5%,± 0.5%
"Henry County, Illinois",6.20%,± 0.6%
"Henry County, Indiana",10.90%,± 0.9%
"Henry County, Iowa",7.30%,± 1.4%
"Henry County, Kentucky",9.90%,± 1.4%
"Henry County, Missouri",11.60%,± 1.2%
"Henry County, Ohio",5.80%,± 0.8%
"Henry County, Tennessee",13.30%,± 1.6%
"Henry County, Virginia",13%,± 1.1%
"Herkimer County, New York",7%,± 0.7%
"Hernando County, Florida",10.80%,± 0.6%
"Hertford County, North Carolina",12.90%,± 1.3%
"Hettinger County, North Dakota",10.80%,± 2.3%
"Hickman County, Kentucky",12.80%,± 2.9%
"Hickman County, Tennessee",11.20%,± 1.8%
"Hickory County, Missouri",16.40%,± 3.2%
"Hidalgo County, New Mexico",10.30%,± 2.5%
"Hidalgo County, Texas",6.50%,± 0.3%
"Highland County, Ohio",11%,± 1.4%
"Highland County, Virginia",8.60%,± 3.4%
"Highlands County, Florida",12%,± 1.1%
"Hill County, Montana",4.80%,± 0.9%
"Hill County, Texas",10.30%,± 1%
"Hillsborough County, Florida",6.40%,± 0.2%
"Hillsborough County, New Hampshire",5.10%,± 0.3%
"Hillsdale County, Michigan",8.20%,± 0.7%
"Hinds County, Mississippi",8.90%,± 0.5%
"Hinsdale County, Colorado",6.60%,± 3.1%
"Hitchcock County, Nebraska",10.70%,± 2.9%
"Hocking County, Ohio",9.30%,± 1.4%
"Hockley County, Texas",10%,± 1.3%
"Hodgeman County, Kansas",7.30%,± 2.4%
"Hoke County, North Carolina",10.90%,± 1.1%
"Holmes County, Florida",11.40%,± 1.5%
"Holmes County, Mississippi",13.20%,± 2%
"Holmes County, Ohio",4.10%,± 0.8%
"Holt County, Missouri",9.70%,± 1.8%
"Holt County, Nebraska",6.60%,± 1.3%
"Honolulu County, Hawaii",6.40%,± 0.2%
"Hood County, Texas",6.70%,± 0.8%
"Hood River County, Oregon",6.70%,± 1.3%
"Hooker County, Nebraska",7%,± 4.8%
"Hoonah-Angoon Census Area, Alaska",7.90%,± 1.7%
"Hopewell city, Virginia",11.10%,± 2%
"Hopkins County, Kentucky",11.90%,± 1.2%
"Hopkins County, Texas",8.70%,± 0.9%
"Hormigueros Municipio, Puerto Rico",17%,± 1.9%
"Horry County, South Carolina",9.20%,± 0.4%
"Hot Spring County, Arkansas",13.40%,± 1.6%
"Hot Springs County, Wyoming",11.50%,± 2.8%
"Houghton County, Michigan",4.70%,± 0.5%
"Houston County, Alabama",9.60%,± 0.4%
"Houston County, Georgia",6.90%,± 0.7%
"Houston County, Minnesota",6%,± 0.9%
"Houston County, Tennessee",10%,± 2%
"Houston County, Texas",12%,± 1.5%
"Howard County, Arkansas",9.30%,± 1.8%
"Howard County, Indiana",9.20%,± 0.9%
"Howard County, Iowa",5.10%,± 1.2%
"Howard County, Maryland",3.80%,± 0.3%
"Howard County, Missouri",8.70%,± 1.4%
"Howard County, Nebraska",7.10%,± 1.6%
"Howard County, Texas",8.60%,± 1.2%
"Howell County, Missouri",10.20%,± 1.2%
"Hubbard County, Minnesota",6.50%,± 1%
"Hudson County, New Jersey",5%,± 0.2%
"Hudspeth County, Texas",14.40%,± 6.8%
"Huerfano County, Colorado",12.90%,± 2.3%
"Hughes County, Oklahoma",12%,± 1.5%
"Hughes County, South Dakota",5.40%,± 1.6%
"Humacao Municipio, Puerto Rico",5.20%,± 0.9%
"Humboldt County, California",8.60%,± 0.7%
"Humboldt County, Iowa",7.80%,± 1.6%
"Humboldt County, Nevada",8.10%,± 1.9%
"Humphreys County, Mississippi",14.80%,± 2%
"Humphreys County, Tennessee",10.30%,± 1.9%
"Hunt County, Texas",8.30%,± 0.8%
"Hunterdon County, New Jersey",3.90%,± 0.5%
"Huntingdon County, Pennsylvania",8.70%,± 0.7%
"Huntington County, Indiana",7.60%,± 1%
"Huron County, Michigan",9.20%,± 0.7%
"Huron County, Ohio",8%,± 0.7%
"Hutchinson County, South Dakota",7.30%,± 1.3%
"Hutchinson County, Texas",9.70%,± 1.5%
"Hyde County, North Carolina",12.70%,± 5.7%
"Hyde County, South Dakota",3.90%,± 1.8%
"Iberia Parish, Louisiana",7.90%,± 0.9%
"Iberville Parish, Louisiana",9.70%,± 1.4%
"Ida County, Iowa",5%,± 1%
"Idaho County, Idaho",8.40%,± 1.4%
"Imperial County, California",8.70%,± 0.7%
"Independence County, Arkansas",11.60%,± 1.6%
"Indian River County, Florida",9.70%,± 0.8%
"Indiana County, Pennsylvania",7.40%,± 0.6%
"Ingham County, Michigan",6.20%,± 0.3%
"Inyo County, California",9.10%,± 1.7%
"Ionia County, Michigan",6.70%,± 0.9%
"Iosco County, Michigan",11.30%,± 1%
"Iowa County, Iowa",6.90%,± 1.1%
"Iowa County, Wisconsin",5.30%,± 0.7%
"Iredell County, North Carolina",6.30%,± 0.4%
"Irion County, Texas",8.80%,± 3.8%
"Iron County, Michigan",11.30%,± 1.6%
"Iron County, Missouri",12.90%,± 1.8%
"Iron County, Utah",4.60%,± 0.7%
"Iron County, Wisconsin",7.50%,± 1.2%
"Iroquois County, Illinois",9.40%,± 1%
"Irwin County, Georgia",5.40%,± 1.4%
"Isabela Municipio, Puerto Rico",15.80%,± 1.5%
"Isabella County, Michigan",6.40%,± 0.6%
"Isanti County, Minnesota",6.40%,± 0.7%
"Island County, Washington",7.50%,± 1%
"Isle of Wight County, Virginia",8.20%,± 1.2%
"Issaquena County, Mississippi",15.80%,± 5.2%
"Itasca County, Minnesota",8.60%,± 1%
"Itawamba County, Mississippi",8.20%,± 1.4%
"Izard County, Arkansas",17.10%,± 2.6%
"Jack County, Texas",6.60%,± 1.7%
"Jackson County, Alabama",12.80%,± 1.3%
"Jackson County, Arkansas",14.30%,± 1.7%
"Jackson County, Colorado",6.70%,± 3.6%
"Jackson County, Florida",12%,± 1.3%
"Jackson County, Georgia",7.20%,± 0.9%
"Jackson County, Illinois",8.40%,± 0.8%
"Jackson County, Indiana",8.70%,± 1%
"Jackson County, Iowa",5.20%,± 0.8%
"Jackson County, Kansas",7.20%,± 1.7%
"Jackson County, Kentucky",15.90%,± 3.1%
"Jackson County, Michigan",7.40%,± 0.6%
"Jackson County, Minnesota",6.60%,± 1.2%
"Jackson County, Mississippi",11.30%,± 0.9%
"Jackson County, Missouri",7.10%,± 0.2%
"Jackson County, North Carolina",6.40%,± 0.9%
"Jackson County, Ohio",12.30%,± 1.7%
"Jackson County, Oklahoma",8.80%,± 1.3%
"Jackson County, Oregon",7.90%,± 0.5%
"Jackson County, South Dakota",5.30%,± 1.8%
"Jackson County, Tennessee",16.50%,± 2.4%
"Jackson County, Texas",8.20%,± 1.7%
"Jackson County, West Virginia",11.50%,± 1.6%
"Jackson County, Wisconsin",6.80%,± 0.8%
"Jackson Parish, Louisiana",11.70%,± 1.6%
"James City County, Virginia",6.70%,± 0.7%
"Jasper County, Georgia",8%,± 1.8%
"Jasper County, Illinois",8.80%,± 1.6%
"Jasper County, Indiana",7.10%,± 0.9%
"Jasper County, Iowa",5.60%,± 0.6%
"Jasper County, Mississippi",15.60%,± 2.6%
"Jasper County, Missouri",8.30%,± 0.7%
"Jasper County, South Carolina",6.80%,± 1.4%
"Jasper County, Texas",7.90%,± 1.2%
"Jay County, Indiana",8.70%,± 1.4%
"Jayuya Municipio, Puerto Rico",13.40%,± 2.5%
"Jeff Davis County, Georgia",11.30%,± 2.5%
"Jeff Davis County, Texas",14.20%,± 8.1%
"Jefferson County, Alabama",8.40%,± 0.3%
"Jefferson County, Arkansas",11%,± 0.8%
"Jefferson County, Colorado",4.60%,± 0.2%
"Jefferson County, Florida",13.60%,± 2%
"Jefferson County, Georgia",9.10%,± 1.6%
"Jefferson County, Idaho",4.80%,± 1%
"Jefferson County, Illinois",9.40%,± 0.8%
"Jefferson County, Indiana",10.50%,± 1.6%
"Jefferson County, Iowa",6.50%,± 1.5%
"Jefferson County, Kansas",7.40%,± 1.2%
"Jefferson County, Kentucky",7.80%,± 0.3%
"Jefferson County, Mississippi",10.70%,± 3.9%
"Jefferson County, Missouri",7.30%,± 0.5%
"Jefferson County, Montana",8.90%,± 1.7%
"Jefferson County, Nebraska",10.60%,± 2.1%
"Jefferson County, New York",7.10%,± 0.5%
"Jefferson County, Ohio",9.50%,± 0.8%
"Jefferson County, Oklahoma",15.30%,± 2%
"Jefferson County, Oregon",10%,± 1.1%
"Jefferson County, Pennsylvania",7.60%,± 0.6%
"Jefferson County, Tennessee",11.20%,± 1.1%
"Jefferson County, Texas",9.30%,± 0.5%
"Jefferson County, Washington",9.90%,± 1.4%
"Jefferson County, West Virginia",6.60%,± 0.7%
"Jefferson County, Wisconsin",5%,± 0.5%
"Jefferson Davis County, Mississippi",13.30%,± 2.4%
"Jefferson Davis Parish, Louisiana",8.70%,± 1.2%
"Jefferson Parish, Louisiana",8.50%,± 0.4%
"Jenkins County, Georgia",15%,± 3.9%
"Jennings County, Indiana",9.40%,± 1.1%
"Jerauld County, South Dakota",8.40%,± 2.7%
"Jerome County, Idaho",6.50%,± 1.2%
"Jersey County, Illinois",8.60%,± 1.4%
"Jessamine County, Kentucky",7.50%,± 1%
"Jewell County, Kansas",9.90%,± 2.1%
"Jim Hogg County, Texas",7.20%,± 2.6%
"Jim Wells County, Texas",11.20%,± 1.5%
"Jo Daviess County, Illinois",7.90%,± 1%
"Johnson County, Arkansas",11.90%,± 1.5%
"Johnson County, Georgia",10.50%,± 1.8%
"Johnson County, Illinois",11.60%,± 1.6%
"Johnson County, Indiana",4.90%,± 0.4%
"Johnson County, Iowa",3.70%,± 0.4%
"Johnson County, Kansas",4%,± 0.3%
"Johnson County, Kentucky",17%,± 2.3%
"Johnson County, Missouri",5.60%,± 0.8%
"Johnson County, Nebraska",9.20%,± 2.5%
"Johnson County, Tennessee",10.80%,± 1.8%
"Johnson County, Texas",5.70%,± 0.5%
"Johnson County, Wyoming",5.70%,± 2.8%
"Johnston County, North Carolina",7.50%,± 0.7%
"Johnston County, Oklahoma",15.40%,± 1.6%
"Jones County, Georgia",9.50%,± 1.2%
"Jones County, Iowa",5.70%,± 1.3%
"Jones County, Mississippi",9.30%,± 1%
"Jones County, North Carolina",12.80%,± 2.1%
"Jones County, South Dakota",2.60%,± 1.4%
"Jones County, Texas",10%,± 1.5%
"Josephine County, Oregon",10.90%,± 0.9%
"Juab County, Utah",5.60%,± 1.4%
"Juana Díaz Municipio, Puerto Rico",14.10%,± 1.2%
"Judith Basin County, Montana",5.90%,± 2.2%
"Juncos Municipio, Puerto Rico",15.20%,± 1.6%
"Juneau City and Borough, Alaska",4.20%,± 0.9%
"Juneau County, Wisconsin",8.30%,± 0.8%
"Juniata County, Pennsylvania",6%,± 0.8%
"Kalamazoo County, Michigan",5.30%,± 0.3%
"Kalawao County, Hawaii",6.40%,± 5.8%
"Kalkaska County, Michigan",10.30%,± 1.3%
"Kanabec County, Minnesota",9.30%,± 1.1%
"Kanawha County, West Virginia",10.30%,± 0.7%
"Kandiyohi County, Minnesota",5.80%,± 0.7%
"Kane County, Illinois",4.70%,± 0.2%
"Kane County, Utah",9.30%,± 2.7%
"Kankakee County, Illinois",8.10%,± 0.6%
"Karnes County, Texas",7.60%,± 1.6%
"Kauai County, Hawaii",5.60%,± 0.6%
"Kaufman County, Texas",5.10%,± 0.5%
"Kay County, Oklahoma",9.90%,± 0.8%
"Kearney County, Nebraska",4.30%,± 1.6%
"Kearny County, Kansas",6.10%,± 2%
"Keith County, Nebraska",9.10%,± 1.9%
"Kemper County, Mississippi",10.10%,± 3.3%
"Kenai Peninsula Borough, Alaska",6.70%,± 0.7%
"Kendall County, Illinois",3.80%,± 0.6%
"Kendall County, Texas",4%,± 0.8%
"Kenedy County, Texas",26.10%,± 22.2%
"Kennebec County, Maine",7.40%,± 0.6%
"Kenosha County, Wisconsin",6.20%,± 0.5%
"Kent County, Delaware",9.30%,± 0.6%
"Kent County, Maryland",7.70%,± 1.4%
"Kent County, Michigan",4.70%,± 0.2%
"Kent County, Rhode Island",6.90%,± 0.5%
"Kent County, Texas",15.20%,± 9.8%
"Kenton County, Kentucky",6%,± 0.5%
"Keokuk County, Iowa",9.80%,± 1.4%
"Kern County, California",6.20%,± 0.2%
"Kerr County, Texas",8.40%,± 1%
"Kershaw County, South Carolina",8.50%,± 0.9%
"Ketchikan Gateway Borough, Alaska",8%,± 1%
"Kewaunee County, Wisconsin",6.80%,± 0.9%
"Keweenaw County, Michigan",6.30%,± 1.9%
"Keya Paha County, Nebraska",7%,± 3%
"Kidder County, North Dakota",6.40%,± 2.1%
"Kimball County, Nebraska",9.70%,± 2.4%
"Kimble County, Texas",8.90%,± 3.2%
"King and Queen County, Virginia",8.60%,± 2.6%
"King County, Texas",7.90%,± 6.7%
"King County, Washington",4.70%,± 0.1%
"King George County, Virginia",5.40%,± 0.9%
"King William County, Virginia",6.20%,± 1.3%
"Kingfisher County, Oklahoma",7.30%,± 1.5%
"Kingman County, Kansas",7.10%,± 1.8%
"Kings County, California",6.70%,± 0.5%
"Kings County, New York",6.80%,± 0.1%
"Kingsbury County, South Dakota",5.40%,± 1.2%
"Kinney County, Texas",26.60%,± 11.2%
"Kiowa County, Colorado",5.70%,± 2.5%
"Kiowa County, Kansas",5.80%,± 1.4%
"Kiowa County, Oklahoma",15.50%,± 2.1%
"Kit Carson County, Colorado",8%,± 1.8%
"Kitsap County, Washington",7.30%,± 0.4%
"Kittitas County, Washington",4.80%,± 0.7%
"Kittson County, Minnesota",5.10%,± 1.3%
"Klamath County, Oregon",10.80%,± 0.8%
"Kleberg County, Texas",8.70%,± 1.6%
"Klickitat County, Washington",6.50%,± 1.2%
"Knott County, Kentucky",17.80%,± 2.6%
"Knox County, Illinois",6.80%,± 0.7%
"Knox County, Indiana",8.40%,± 1.1%
"Knox County, Kentucky",13.30%,± 1.6%
"Knox County, Maine",5.80%,± 0.9%
"Knox County, Missouri",9.70%,± 2.3%
"Knox County, Nebraska",8.40%,± 1.4%
"Knox County, Ohio",7%,± 1%
"Knox County, Tennessee",6.50%,± 0.3%
"Knox County, Texas",8.10%,± 1.9%
"Kodiak Island Borough, Alaska",3%,± 1.2%
"Koochiching County, Minnesota",9.40%,± 1.5%
"Kootenai County, Idaho",7.40%,± 0.6%
"Kosciusko County, Indiana",6.60%,± 0.7%
"Kossuth County, Iowa",8%,± 1.3%
"Kusilvak Census Area, Alaska",5.10%,± 0.9%
"La Crosse County, Wisconsin",5.50%,± 0.6%
"La Paz County, Arizona",14.90%,± 2.6%
"La Plata County, Colorado",3.50%,± 0.5%
"La Salle County, Texas",5%,± 2.5%
"Labette County, Kansas",10.40%,± 1.4%
"Lac qui Parle County, Minnesota",7%,± 0.9%
"Lackawanna County, Pennsylvania",8.10%,± 0.4%
"Laclede County, Missouri",10.70%,± 1.4%
"Lafayette County, Arkansas",13.50%,± 2.2%
"Lafayette County, Florida",11%,± 4.1%
"Lafayette County, Mississippi",5.80%,± 0.9%
"Lafayette County, Missouri",8.10%,± 1.1%
"Lafayette County, Wisconsin",4.90%,± 0.7%
"Lafayette Parish, Louisiana",6.60%,± 0.5%
"Lafourche Parish, Louisiana",9.50%,± 0.7%
"LaGrange County, Indiana",5.40%,± 0.7%
"Lajas Municipio, Puerto Rico",16%,± 1.9%
"Lake and Peninsula Borough, Alaska",7.60%,± 2.2%
"Lake County, California",10.70%,± 1%
"Lake County, Colorado",4.50%,± 3.5%
"Lake County, Florida",8.60%,± 0.5%
"Lake County, Illinois",4.50%,± 0.2%
"Lake County, Indiana",7.20%,± 0.3%
"Lake County, Michigan",15.40%,± 1.5%
"Lake County, Minnesota",7.40%,± 1.3%
"Lake County, Montana",6.50%,± 0.8%
"Lake County, Ohio",6.80%,± 0.4%
"Lake County, Oregon",9.30%,± 2.2%
"Lake County, South Dakota",4.80%,± 1.4%
"Lake County, Tennessee",14.10%,± 2.8%
"Lake of the Woods County, Minnesota",6.40%,± 1.9%
"Lamar County, Alabama",13.80%,± 2.2%
"Lamar County, Georgia",8.20%,± 1.9%
"Lamar County, Mississippi",7.60%,± 0.7%
"Lamar County, Texas",10.90%,± 1.1%
"Lamb County, Texas",10.70%,± 1.5%
"Lamoille County, Vermont",5.60%,± 0.8%
"LaMoure County, North Dakota",5.70%,± 1.2%
"Lampasas County, Texas",11.80%,± 1.6%
"Lancaster County, Nebraska",5%,± 0.3%
"Lancaster County, Pennsylvania",5.30%,± 0.3%
"Lancaster County, South Carolina",7.30%,± 0.9%
"Lancaster County, Virginia",11.70%,± 2.6%
"Lander County, Nevada",5.80%,± 2.7%
"Lane County, Kansas",9%,± 3.4%
"Lane County, Oregon",7.60%,± 0.4%
"Langlade County, Wisconsin",7.90%,± 1.1%
"Lanier County, Georgia",7.60%,± 2.1%
"Lapeer County, Michigan",7%,± 0.6%
"LaPorte County, Indiana",7.70%,± 0.8%
"Laramie County, Wyoming",6.80%,± 0.6%
"Lares Municipio, Puerto Rico",12.80%,± 1.6%
"Larimer County, Colorado",4.20%,± 0.4%
"Larue County, Kentucky",9.80%,± 1.8%
"Las Animas County, Colorado",12.50%,± 1.6%
"Las Marías Municipio, Puerto Rico",4.50%,± 1.8%
"Las Piedras Municipio, Puerto Rico",4.90%,± 1.1%
"LaSalle County, Illinois",7.60%,± 0.6%
"LaSalle Parish, Louisiana",10.70%,± 2.1%
"Lassen County, California",11.70%,± 1.6%
"Latah County, Idaho",4.30%,± 0.6%
"Latimer County, Oklahoma",11.60%,± 1.6%
"Lauderdale County, Alabama",8.40%,± 0.7%
"Lauderdale County, Mississippi",10.70%,± 1.1%
"Lauderdale County, Tennessee",12.20%,± 1.4%
"Laurel County, Kentucky",11.10%,± 1%
"Laurens County, Georgia",8.70%,± 1.1%
"Laurens County, South Carolina",10%,± 0.8%
"Lavaca County, Texas",6.30%,± 1%
"Lawrence County, Alabama",13.20%,± 1.7%
"Lawrence County, Arkansas",16.20%,± 2%
"Lawrence County, Illinois",10.80%,± 1.8%
"Lawrence County, Indiana",10%,± 1%
"Lawrence County, Kentucky",15.80%,± 2.1%
"Lawrence County, Mississippi",11.50%,± 2.1%
"Lawrence County, Missouri",8.90%,± 1.1%
"Lawrence County, Ohio",13%,± 1.3%
"Lawrence County, Pennsylvania",9.40%,± 0.5%
"Lawrence County, South Dakota",7.30%,± 1.4%
"Lawrence County, Tennessee",9.60%,± 1%
"Le Flore County, Oklahoma",11.10%,± 0.6%
"Le Sueur County, Minnesota",4.20%,± 0.5%
"Lea County, New Mexico",6.50%,± 0.9%
"Leake County, Mississippi",16.10%,± 1.9%
"Leavenworth County, Kansas",6.40%,± 0.8%
"Lebanon County, Pennsylvania",6.60%,± 0.5%
"Lee County, Alabama",6.30%,± 0.6%
"Lee County, Arkansas",15.60%,± 2.4%
"Lee County, Florida",7.30%,± 0.3%
"Lee County, Georgia",5.50%,± 1%
"Lee County, Illinois",8.80%,± 1.1%
"Lee County, Iowa",8.40%,± 1.1%
"Lee County, Kentucky",18%,± 2.2%
"Lee County, Mississippi",7.70%,± 0.7%
"Lee County, North Carolina",7.60%,± 0.8%
"Lee County, South Carolina",10.40%,± 1.6%
"Lee County, Texas",8.60%,± 1.7%
"Lee County, Virginia",20%,± 2.3%
"Leelanau County, Michigan",5.20%,± 0.8%
"Leflore County, Mississippi",8.60%,± 1.3%
"Lehigh County, Pennsylvania",6.10%,± 0.3%
"Lemhi County, Idaho",13.60%,± 3.3%
"Lenawee County, Michigan",7.20%,± 0.6%
"Lenoir County, North Carolina",13.60%,± 1.2%
"Leon County, Florida",5.40%,± 0.4%
"Leon County, Texas",11.70%,± 2.1%
"Leslie County, Kentucky",17.80%,± 3.1%
"Letcher County, Kentucky",18.10%,± 2%
"Levy County, Florida",10.70%,± 1.2%
"Lewis and Clark County, Montana",6.50%,± 0.9%
"Lewis County, Idaho",14%,± 1.6%
"Lewis County, Kentucky",13.30%,± 2.2%
"Lewis County, Missouri",7.10%,± 1.5%
"Lewis County, New York",7.80%,± 0.8%
"Lewis County, Tennessee",11.10%,± 2.6%
"Lewis County, Washington",9.90%,± 0.7%
"Lewis County, West Virginia",10.80%,± 1.8%
"Lexington city, Virginia",5.30%,± 2.3%
"Lexington County, South Carolina",7.70%,± 0.4%
"Liberty County, Florida",14.10%,± 2.8%
"Liberty County, Georgia",8.20%,± 0.9%
"Liberty County, Montana",8%,± 3.5%
"Liberty County, Texas",9.40%,± 1%
"Licking County, Ohio",7.50%,± 0.5%
"Limestone County, Alabama",8.50%,± 0.9%
"Limestone County, Texas",10.10%,± 1.5%
"Lincoln County, Arkansas",8.60%,± 1.6%
"Lincoln County, Colorado",9.60%,± 2%
"Lincoln County, Georgia",13%,± 2.8%
"Lincoln County, Idaho",6.30%,± 1.3%
"Lincoln County, Kansas",6.30%,± 2.2%
"Lincoln County, Kentucky",11.40%,± 1.5%
"Lincoln County, Maine",7.80%,± 0.9%
"Lincoln County, Minnesota",6.70%,± 1%
"Lincoln County, Mississippi",8.50%,± 1.1%
"Lincoln County, Missouri",7.60%,± 1%
"Lincoln County, Montana",12.60%,± 1.7%
"Lincoln County, Nebraska",8%,± 1.1%
"Lincoln County, Nevada",15.50%,± 5.4%
