Geography,Unemployment rate—Population 16 years and over—Estimate,MoE
"Greenup County, Kentucky",6.20%,± 1.5%
"Greenville County, South Carolina",4.10%,± 0.4%
"Greenwood County, Kansas",2.60%,± 1.1%
"Greenwood County, South Carolina",5.50%,± 1.2%
"Greer County, Oklahoma",5.80%,± 4%
"Gregg County, Texas",3.70%,± 0.8%
"Gregory County, South Dakota",2.60%,± 1.8%
"Grenada County, Mississippi",4.10%,± 1.5%
"Griggs County, North Dakota",1.20%,± 1%
"Grimes County, Texas",5.60%,± 2%
"Grundy County, Illinois",4.20%,± 1%
"Grundy County, Iowa",2.50%,± 0.8%
"Grundy County, Missouri",4.10%,± 2%
"Grundy County, Tennessee",6.30%,± 2.6%
"Guadalupe County, New Mexico",9.80%,± 6.7%
"Guadalupe County, Texas",4.30%,± 0.7%
"Guánica Municipio, Puerto Rico",31.30%,± 5.5%
"Guayama Municipio, Puerto Rico",6.80%,± 3.1%
"Guayanilla Municipio, Puerto Rico",20.60%,± 4.9%
"Guaynabo Municipio, Puerto Rico",8.20%,± 1.4%
"Guernsey County, Ohio",4.60%,± 1.4%
"Guilford County, North Carolina",5.20%,± 0.5%
"Gulf County, Florida",4.30%,± 2.1%
"Gunnison County, Colorado",3.60%,± 1.4%
"Gurabo Municipio, Puerto Rico",14.70%,± 2.4%
"Guthrie County, Iowa",3.30%,± 1.1%
"Gwinnett County, Georgia",4.10%,± 0.3%
"Haakon County, South Dakota",0%,± 3%
"Habersham County, Georgia",2.30%,± 0.8%
"Haines Borough, Alaska",4.30%,± 3.3%
"Hale County, Alabama",7.60%,± 2.1%
"Hale County, Texas",4.70%,± 1.5%
"Halifax County, North Carolina",9.30%,± 1.8%
"Halifax County, Virginia",3.70%,± 1.4%
"Hall County, Georgia",3.90%,± 0.5%
"Hall County, Nebraska",2.90%,± 0.8%
"Hall County, Texas",7.50%,± 3.9%
"Hamblen County, Tennessee",6.60%,± 1.5%
"Hamilton County, Florida",9.20%,± 3.8%
"Hamilton County, Illinois",4.40%,± 2.3%
"Hamilton County, Indiana",2.70%,± 0.4%
"Hamilton County, Iowa",4%,± 1.2%
"Hamilton County, Kansas",0%,± 2.5%
"Hamilton County, Nebraska",3.60%,± 1.7%
"Hamilton County, New York",4.90%,± 2.1%
"Hamilton County, Ohio",5%,± 0.3%
"Hamilton County, Tennessee",4.40%,± 0.5%
"Hamilton County, Texas",2.80%,± 1.8%
"Hamlin County, South Dakota",2.50%,± 1.2%
"Hampden County, Massachusetts",6.20%,± 0.5%
"Hampshire County, Massachusetts",5.30%,± 0.6%
"Hampshire County, West Virginia",8.50%,± 2.5%
"Hampton city, Virginia",6.50%,± 0.8%
"Hampton County, South Carolina",10.70%,± 3.2%
"Hancock County, Georgia",6.20%,± 4.6%
"Hancock County, Illinois",4.70%,± 1.1%
"Hancock County, Indiana",2.70%,± 0.6%
"Hancock County, Iowa",2.10%,± 1%
"Hancock County, Kentucky",4.40%,± 1.7%
"Hancock County, Maine",3.90%,± 0.9%
"Hancock County, Mississippi",6.20%,± 1.7%
"Hancock County, Ohio",3.70%,± 0.8%
"Hancock County, Tennessee",10.10%,± 3.9%
"Hancock County, West Virginia",8.50%,± 2%
"Hand County, South Dakota",1.20%,± 1.2%
"Hanover County, Virginia",2.90%,± 0.6%
"Hansford County, Texas",4.30%,± 3.4%
"Hanson County, South Dakota",2%,± 1.1%
"Haralson County, Georgia",4.40%,± 1.2%
"Hardee County, Florida",8.70%,± 2.2%
"Hardeman County, Tennessee",12.80%,± 3.9%
"Hardeman County, Texas",2.50%,± 1.7%
"Hardin County, Illinois",2.60%,± 2.3%
"Hardin County, Iowa",3.50%,± 1.1%
"Hardin County, Kentucky",6.80%,± 1%
"Hardin County, Ohio",4.70%,± 1.3%
"Hardin County, Tennessee",3.30%,± 1.4%
"Hardin County, Texas",4.60%,± 1.2%
"Harding County, New Mexico",7.20%,± 6.8%
"Harding County, South Dakota",2.20%,± 2%
"Hardy County, West Virginia",4.60%,± 1.9%
"Harford County, Maryland",3.70%,± 0.4%
"Harlan County, Kentucky",10.80%,± 2.4%
"Harlan County, Nebraska",2%,± 1.5%
"Harmon County, Oklahoma",7.40%,± 4.2%
"Harnett County, North Carolina",5.30%,± 0.7%
"Harney County, Oregon",5.40%,± 2.3%
"Harper County, Kansas",5.30%,± 2.4%
"Harper County, Oklahoma",2.60%,± 2%
"Harris County, Georgia",5.80%,± 1.7%
"Harris County, Texas",6.40%,± 0.2%
"Harrison County, Indiana",3.80%,± 1.3%
"Harrison County, Iowa",2.70%,± 0.8%
"Harrison County, Kentucky",2.80%,± 1%
"Harrison County, Mississippi",8.40%,± 1%
"Harrison County, Missouri",2.30%,± 1.5%
"Harrison County, Ohio",4.50%,± 2.1%
"Harrison County, Texas",6.10%,± 1.3%
"Harrison County, West Virginia",5.30%,± 1%
"Harrisonburg city, Virginia",6.70%,± 1.5%
"Hart County, Georgia",4.80%,± 1.9%
"Hart County, Kentucky",3.50%,± 1.2%
"Hartley County, Texas",1.50%,± 1.7%
"Harvey County, Kansas",4.20%,± 1.5%
"Haskell County, Kansas",3.50%,± 2.8%
"Haskell County, Oklahoma",7.70%,± 1.6%
"Haskell County, Texas",6.30%,± 2.9%
"Hatillo Municipio, Puerto Rico",6%,± 2.5%
"Hawaii County, Hawaii",6.50%,± 0.8%
"Hawkins County, Tennessee",8.60%,± 1.5%
"Hayes County, Nebraska",0.20%,± 0.7%
"Hays County, Texas",5.10%,± 0.8%
"Haywood County, North Carolina",3.50%,± 1.1%
"Haywood County, Tennessee",8.50%,± 2.3%
"Heard County, Georgia",5.40%,± 2.2%
"Hemphill County, Texas",4.10%,± 3%
"Hempstead County, Arkansas",4.40%,± 2.2%
"Henderson County, Illinois",7.90%,± 3.1%
"Henderson County, Kentucky",3.80%,± 0.9%
"Henderson County, North Carolina",3.50%,± 0.8%
"Henderson County, Tennessee",5.40%,± 1.9%
"Henderson County, Texas",5.50%,± 1.1%
"Hendricks County, Indiana",2.40%,± 0.5%
"Hendry County, Florida",5.80%,± 1.9%
"Hennepin County, Minnesota",4.30%,± 0.2%
"Henrico County, Virginia",3.90%,± 0.5%
"Henry County, Alabama",5.30%,± 1.8%
"Henry County, Georgia",5.30%,± 0.8%
"Henry County, Illinois",4.50%,± 1%
"Henry County, Indiana",4.50%,± 1.1%
"Henry County, Iowa",2.70%,± 1%
"Henry County, Kentucky",3.90%,± 1.4%
"Henry County, Missouri",6.70%,± 1.9%
"Henry County, Ohio",4.50%,± 1.3%
"Henry County, Tennessee",4%,± 1.2%
"Henry County, Virginia",5.20%,± 1.2%
"Herkimer County, New York",4.20%,± 0.7%
"Hernando County, Florida",5.90%,± 0.8%
"Hertford County, North Carolina",7.20%,± 1.9%
"Hettinger County, North Dakota",4.20%,± 2%
"Hickman County, Kentucky",4.10%,± 3.1%
"Hickman County, Tennessee",3.70%,± 1.3%
"Hickory County, Missouri",8.80%,± 4%
"Hidalgo County, New Mexico",4.40%,± 2.3%
"Hidalgo County, Texas",7.60%,± 0.5%
"Highland County, Ohio",4.40%,± 1.1%
"Highland County, Virginia",14.70%,± 8%
"Highlands County, Florida",6.80%,± 1.1%
"Hill County, Montana",3.90%,± 1.3%
"Hill County, Texas",4.50%,± 0.8%
"Hillsborough County, Florida",4.80%,± 0.2%
"Hillsborough County, New Hampshire",3.70%,± 0.3%
"Hillsdale County, Michigan",4.40%,± 0.8%
"Hinds County, Mississippi",7.80%,± 0.8%
"Hinsdale County, Colorado",1.90%,± 2%
"Hitchcock County, Nebraska",1.90%,± 1.3%
"Hocking County, Ohio",4.70%,± 1.3%
"Hockley County, Texas",5.30%,± 1.3%
"Hodgeman County, Kansas",2.10%,± 1.9%
"Hoke County, North Carolina",6.40%,± 1.1%
"Holmes County, Florida",4.70%,± 1.7%
"Holmes County, Mississippi",8.80%,± 2.6%
"Holmes County, Ohio",2%,± 1%
"Holt County, Missouri",3.90%,± 1.3%
"Holt County, Nebraska",1.30%,± 0.8%
"Honolulu County, Hawaii",4.80%,± 0.3%
"Hood County, Texas",5.80%,± 2%
"Hood River County, Oregon",3.30%,± 1.3%
"Hooker County, Nebraska",3.20%,± 7.5%
"Hoonah-Angoon Census Area, Alaska",14%,± 4.5%
"Hopewell city, Virginia",8.80%,± 2.6%
"Hopkins County, Kentucky",7.70%,± 1.5%
"Hopkins County, Texas",4.80%,± 1.1%
"Hormigueros Municipio, Puerto Rico",16.50%,± 3.9%
"Horry County, South Carolina",5.60%,± 0.6%
"Hot Spring County, Arkansas",4.60%,± 1.5%
"Hot Springs County, Wyoming",1.40%,± 1.2%
"Houghton County, Michigan",6.20%,± 1.4%
"Houston County, Alabama",5%,± 0.5%
"Houston County, Georgia",4.80%,± 0.9%
"Houston County, Minnesota",1.60%,± 0.5%
"Houston County, Tennessee",4.20%,± 1.6%
"Houston County, Texas",4.50%,± 1.9%
"Howard County, Arkansas",6.40%,± 2.5%
"Howard County, Indiana",5.80%,± 0.9%
"Howard County, Iowa",1.50%,± 0.9%
"Howard County, Maryland",3.80%,± 0.4%
"Howard County, Missouri",4.50%,± 1.9%
"Howard County, Nebraska",4%,± 1.6%
"Howard County, Texas",5.20%,± 1.6%
"Howell County, Missouri",5.50%,± 1.5%
"Hubbard County, Minnesota",4.30%,± 0.8%
"Hudson County, New Jersey",5.80%,± 0.4%
"Hudspeth County, Texas",8.20%,± 7.2%
"Huerfano County, Colorado",6.40%,± 4.4%
"Hughes County, Oklahoma",6.30%,± 2%
"Hughes County, South Dakota",0.40%,± 0.5%
"Humacao Municipio, Puerto Rico",7.30%,± 1.9%
"Humboldt County, California",9.20%,± 1%
"Humboldt County, Iowa",2.50%,± 1.1%
"Humboldt County, Nevada",4.30%,± 1.2%
"Humphreys County, Mississippi",13.70%,± 4.5%
"Humphreys County, Tennessee",10.20%,± 3%
"Hunt County, Texas",5.80%,± 0.9%
"Hunterdon County, New Jersey",4.60%,± 0.6%
"Huntingdon County, Pennsylvania",5.10%,± 0.8%
"Huntington County, Indiana",3.40%,± 0.9%
"Huron County, Michigan",5.30%,± 0.9%
"Huron County, Ohio",4.40%,± 0.9%
"Hutchinson County, South Dakota",1.50%,± 0.8%
"Hutchinson County, Texas",4.30%,± 1.9%
"Hyde County, North Carolina",8.70%,± 8%
"Hyde County, South Dakota",0.70%,± 0.9%
"Iberia Parish, Louisiana",6.30%,± 1.4%
"Iberville Parish, Louisiana",7.50%,± 2%
"Ida County, Iowa",2%,± 1%
"Idaho County, Idaho",4.30%,± 1.7%
"Imperial County, California",13.20%,± 1.7%
"Independence County, Arkansas",5.20%,± 1.4%
"Indian River County, Florida",5.90%,± 1.1%
"Indiana County, Pennsylvania",6.50%,± 1%
"Ingham County, Michigan",6.40%,± 0.5%
"Inyo County, California",4.90%,± 1.8%
"Ionia County, Michigan",5.30%,± 1.2%
"Iosco County, Michigan",7.40%,± 1.5%
"Iowa County, Iowa",3.20%,± 1.1%
"Iowa County, Wisconsin",2.40%,± 0.9%
"Iredell County, North Carolina",4.60%,± 0.6%
"Irion County, Texas",1.30%,± 1.8%
"Iron County, Michigan",4.60%,± 1.3%
"Iron County, Missouri",3.30%,± 1.5%
"Iron County, Utah",3.30%,± 0.8%
"Iron County, Wisconsin",3.90%,± 1.1%
"Iroquois County, Illinois",4.90%,± 0.9%
"Irwin County, Georgia",6.20%,± 3.2%
"Isabela Municipio, Puerto Rico",7%,± 1.9%
"Isabella County, Michigan",7.20%,± 1.1%
"Isanti County, Minnesota",4.20%,± 1.3%
"Island County, Washington",5.50%,± 0.9%
"Isle of Wight County, Virginia",5.50%,± 1.1%
"Issaquena County, Mississippi",12.10%,± 12.9%
"Itasca County, Minnesota",6.20%,± 1.1%
"Itawamba County, Mississippi",2.80%,± 1.3%
"Izard County, Arkansas",7.50%,± 2.3%
"Jack County, Texas",8.20%,± 2.4%
"Jackson County, Alabama",6%,± 1.4%
"Jackson County, Arkansas",10.90%,± 3.1%
"Jackson County, Colorado",8.20%,± 6.8%
"Jackson County, Florida",4.70%,± 1.5%
"Jackson County, Georgia",3.60%,± 0.9%
"Jackson County, Illinois",8.10%,± 1.3%
"Jackson County, Indiana",2.70%,± 0.9%
"Jackson County, Iowa",4.20%,± 1.8%
"Jackson County, Kansas",2.10%,± 0.8%
"Jackson County, Kentucky",6%,± 3.9%
"Jackson County, Michigan",6.30%,± 0.7%
"Jackson County, Minnesota",2%,± 1%
"Jackson County, Mississippi",8.10%,± 1.2%
"Jackson County, Missouri",4.90%,± 0.3%
"Jackson County, North Carolina",5.90%,± 1.7%
"Jackson County, Ohio",5.90%,± 1.8%
"Jackson County, Oklahoma",4.20%,± 1.6%
"Jackson County, Oregon",5.50%,± 0.7%
"Jackson County, South Dakota",7.40%,± 5.9%
"Jackson County, Tennessee",7.20%,± 2.2%
"Jackson County, Texas",5.50%,± 2.5%
"Jackson County, West Virginia",3.60%,± 1.6%
"Jackson County, Wisconsin",5.50%,± 0.9%
"Jackson Parish, Louisiana",4.90%,± 2%
"James City County, Virginia",3.70%,± 0.8%
"Jasper County, Georgia",6.10%,± 2.2%
"Jasper County, Illinois",4.90%,± 2%
"Jasper County, Indiana",4.10%,± 1.7%
"Jasper County, Iowa",4.80%,± 1.2%
"Jasper County, Mississippi",3.80%,± 2.9%
"Jasper County, Missouri",4.10%,± 0.7%
"Jasper County, South Carolina",6.30%,± 2.5%
"Jasper County, Texas",12.50%,± 2.8%
"Jay County, Indiana",4.40%,± 1.5%
"Jayuya Municipio, Puerto Rico",19.80%,± 5.7%
"Jeff Davis County, Georgia",4.10%,± 2.5%
"Jeff Davis County, Texas",0%,± 6.5%
"Jefferson County, Alabama",5.40%,± 0.4%
"Jefferson County, Arkansas",7.80%,± 1.6%
"Jefferson County, Colorado",3.90%,± 0.3%
"Jefferson County, Florida",6.70%,± 2.1%
"Jefferson County, Georgia",4.50%,± 2.1%
"Jefferson County, Idaho",2.40%,± 0.8%
"Jefferson County, Illinois",6.50%,± 1.2%
"Jefferson County, Indiana",3.40%,± 1.2%
"Jefferson County, Iowa",5.20%,± 2%
"Jefferson County, Kansas",3.50%,± 1.1%
"Jefferson County, Kentucky",5.10%,± 0.3%
"Jefferson County, Mississippi",5.40%,± 5%
"Jefferson County, Missouri",3.80%,± 0.5%
"Jefferson County, Montana",3.40%,± 1.6%
"Jefferson County, Nebraska",1.10%,± 0.7%
"Jefferson County, New York",6.40%,± 1%
"Jefferson County, Ohio",5.50%,± 0.8%
"Jefferson County, Oklahoma",4.30%,± 1.6%
"Jefferson County, Oregon",7%,± 2.1%
"Jefferson County, Pennsylvania",5.40%,± 0.7%
"Jefferson County, Tennessee",5.40%,± 1.4%
"Jefferson County, Texas",5.40%,± 0.7%
"Jefferson County, Washington",8.40%,± 2.2%
"Jefferson County, West Virginia",4.90%,± 0.8%
"Jefferson County, Wisconsin",3.40%,± 0.8%
"Jefferson Davis County, Mississippi",9.20%,± 3.6%
"Jefferson Davis Parish, Louisiana",4%,± 1.3%
"Jefferson Parish, Louisiana",6%,± 0.5%
"Jenkins County, Georgia",4.90%,± 5.3%
"Jennings County, Indiana",5%,± 1.3%
"Jerauld County, South Dakota",0.70%,± 1%
"Jerome County, Idaho",3.50%,± 1.2%
"Jersey County, Illinois",3.40%,± 1.4%
"Jessamine County, Kentucky",4.50%,± 1.1%
"Jewell County, Kansas",1.50%,± 1.2%
"Jim Hogg County, Texas",4.50%,± 4%
"Jim Wells County, Texas",5.20%,± 1.6%
"Jo Daviess County, Illinois",2.70%,± 0.8%
"Johnson County, Arkansas",4.80%,± 1.4%
"Johnson County, Georgia",8.30%,± 3%
"Johnson County, Illinois",2.90%,± 1.1%
"Johnson County, Indiana",3.40%,± 0.7%
"Johnson County, Iowa",3.80%,± 0.6%
"Johnson County, Kansas",3.20%,± 0.3%
"Johnson County, Kentucky",5.30%,± 2%
"Johnson County, Missouri",4.80%,± 1%
"Johnson County, Nebraska",1.40%,± 1.1%
"Johnson County, Tennessee",4.40%,± 1.9%
"Johnson County, Texas",3.50%,± 0.5%
"Johnson County, Wyoming",2.30%,± 1.7%
"Johnston County, North Carolina",3.70%,± 0.6%
"Johnston County, Oklahoma",5.50%,± 1.5%
"Jones County, Georgia",4.30%,± 1.5%
"Jones County, Iowa",3.10%,± 1.2%
"Jones County, Mississippi",3.70%,± 1.1%
"Jones County, North Carolina",4.80%,± 2.2%
"Jones County, South Dakota",1.60%,± 2.4%
"Jones County, Texas",4.70%,± 2.5%
"Josephine County, Oregon",8.10%,± 1.5%
"Juab County, Utah",1.90%,± 0.8%
"Juana Díaz Municipio, Puerto Rico",18.50%,± 2.8%
"Judith Basin County, Montana",2.40%,± 1.6%
"Juncos Municipio, Puerto Rico",14.60%,± 3.1%
"Juneau City and Borough, Alaska",4.50%,± 1.4%
"Juneau County, Wisconsin",4.20%,± 1%
"Juniata County, Pennsylvania",3.10%,± 0.8%
"Kalamazoo County, Michigan",6.40%,± 0.6%
"Kalawao County, Hawaii",0%,± 49.4%
"Kalkaska County, Michigan",4.60%,± 0.9%
"Kanabec County, Minnesota",4.40%,± 1%
"Kanawha County, West Virginia",5.40%,± 0.8%
"Kandiyohi County, Minnesota",3.80%,± 0.9%
"Kane County, Illinois",5%,± 0.4%
"Kane County, Utah",3.50%,± 2%
"Kankakee County, Illinois",5.20%,± 0.7%
"Karnes County, Texas",5.30%,± 3.3%
"Kauai County, Hawaii",4.10%,± 0.6%
"Kaufman County, Texas",4.90%,± 0.7%
"Kay County, Oklahoma",6.20%,± 1.3%
"Kearney County, Nebraska",1.60%,± 1.1%
"Kearny County, Kansas",2.20%,± 2.4%
"Keith County, Nebraska",2.60%,± 1.4%
"Kemper County, Mississippi",14.10%,± 6.4%
"Kenai Peninsula Borough, Alaska",7.20%,± 1.3%
"Kendall County, Illinois",4.30%,± 0.7%
"Kendall County, Texas",4.80%,± 1.6%
"Kenedy County, Texas",0%,± 54.2%
"Kennebec County, Maine",4.10%,± 0.8%
"Kenosha County, Wisconsin",5.40%,± 0.6%
"Kent County, Delaware",6%,± 0.8%
"Kent County, Maryland",3.30%,± 1%
"Kent County, Michigan",4.50%,± 0.4%
"Kent County, Rhode Island",4.60%,± 0.6%
"Kent County, Texas",5.40%,± 6.7%
"Kenton County, Kentucky",4.40%,± 0.6%
"Keokuk County, Iowa",3.60%,± 1.1%
"Kern County, California",8.40%,± 0.4%
"Kerr County, Texas",3.30%,± 1%
"Kershaw County, South Carolina",4.70%,± 1.1%
"Ketchikan Gateway Borough, Alaska",4.10%,± 1.1%
"Kewaunee County, Wisconsin",2%,± 0.6%
"Keweenaw County, Michigan",4.70%,± 2%
"Keya Paha County, Nebraska",0.20%,± 0.6%
"Kidder County, North Dakota",1%,± 1%
"Kimball County, Nebraska",2.20%,± 1.9%
"Kimble County, Texas",0.80%,± 0.8%
"King and Queen County, Virginia",5.70%,± 2.3%
"King County, Texas",4.50%,± 8.1%
"King County, Washington",4.50%,± 0.2%
"King George County, Virginia",2.60%,± 1.1%
"King William County, Virginia",4%,± 2%
"Kingfisher County, Oklahoma",2.50%,± 1.3%
"Kingman County, Kansas",4.70%,± 2.4%
"Kings County, California",9.20%,± 1.5%
"Kings County, New York",7.30%,± 0.2%
"Kingsbury County, South Dakota",0.80%,± 0.6%
"Kinney County, Texas",1.90%,± 2.3%
"Kiowa County, Colorado",0%,± 5.6%
"Kiowa County, Kansas",3.60%,± 2.6%
"Kiowa County, Oklahoma",4.40%,± 2.2%
"Kit Carson County, Colorado",2.60%,± 1.2%
"Kitsap County, Washington",4.70%,± 0.5%
"Kittitas County, Washington",5.90%,± 1.4%
"Kittson County, Minnesota",3.10%,± 1.4%
"Klamath County, Oregon",7.60%,± 1.4%
"Kleberg County, Texas",7.50%,± 2.4%
"Klickitat County, Washington",6.90%,± 2.1%
"Knott County, Kentucky",10.60%,± 4.2%
"Knox County, Illinois",4.90%,± 1.1%
"Knox County, Indiana",3.20%,± 1.1%
"Knox County, Kentucky",8.90%,± 3.1%
"Knox County, Maine",3.80%,± 0.9%
"Knox County, Missouri",2.10%,± 1.7%
"Knox County, Nebraska",4.10%,± 1.1%
"Knox County, Ohio",3.30%,± 0.8%
"Knox County, Tennessee",3.80%,± 0.4%
"Knox County, Texas",1.60%,± 1.4%
"Kodiak Island Borough, Alaska",5.70%,± 2.3%
"Koochiching County, Minnesota",5.10%,± 1.7%
"Kootenai County, Idaho",3.10%,± 0.6%
"Kosciusko County, Indiana",3.30%,± 0.7%
"Kossuth County, Iowa",3.80%,± 1.5%
"Kusilvak Census Area, Alaska",20.90%,± 2.9%
"La Crosse County, Wisconsin",3.10%,± 0.6%
"La Paz County, Arizona",10.70%,± 4.4%
"La Plata County, Colorado",3.20%,± 0.8%
"La Salle County, Texas",4.20%,± 4.1%
"Labette County, Kansas",2.40%,± 0.8%
"Lac qui Parle County, Minnesota",2.10%,± 0.7%
"Lackawanna County, Pennsylvania",4.80%,± 0.4%
"Laclede County, Missouri",5.90%,± 2.1%
"Lafayette County, Arkansas",8.70%,± 3%
"Lafayette County, Florida",8.60%,± 4.5%
"Lafayette County, Mississippi",2.80%,± 1%
"Lafayette County, Missouri",2.40%,± 0.8%
"Lafayette County, Wisconsin",2.40%,± 0.5%
"Lafayette Parish, Louisiana",5.20%,± 0.6%
"Lafourche Parish, Louisiana",6.50%,± 1.2%
"LaGrange County, Indiana",3.20%,± 1%
"Lajas Municipio, Puerto Rico",19.80%,± 4.6%
"Lake and Peninsula Borough, Alaska",14%,± 4.6%
"Lake County, California",10.40%,± 1.6%
"Lake County, Colorado",2.40%,± 2%
"Lake County, Florida",5.50%,± 0.7%
"Lake County, Illinois",5%,± 0.3%
"Lake County, Indiana",6.70%,± 0.4%
"Lake County, Michigan",7.50%,± 1.9%
"Lake County, Minnesota",2.80%,± 1.2%
"Lake County, Montana",6.50%,± 1.2%
"Lake County, Ohio",4.40%,± 0.4%
"Lake County, Oregon",7.70%,± 3.3%
"Lake County, South Dakota",1.60%,± 0.7%
"Lake County, Tennessee",7%,± 3.3%
"Lake of the Woods County, Minnesota",2.10%,± 1.6%
"Lamar County, Alabama",5%,± 2.3%
"Lamar County, Georgia",5.40%,± 2.6%
"Lamar County, Mississippi",5.80%,± 1.3%
"Lamar County, Texas",3.90%,± 1%
"Lamb County, Texas",2.80%,± 1.3%
"Lamoille County, Vermont",3.90%,± 1.1%
"LaMoure County, North Dakota",1.70%,± 1.1%
"Lampasas County, Texas",5.30%,± 1.9%
"Lancaster County, Nebraska",3.20%,± 0.4%
"Lancaster County, Pennsylvania",3.40%,± 0.3%
"Lancaster County, South Carolina",5%,± 1.2%
"Lancaster County, Virginia",9.30%,± 4.2%
"Lander County, Nevada",11.70%,± 5.5%
"Lane County, Kansas",0.40%,± 0.6%
"Lane County, Oregon",6.70%,± 0.5%
"Langlade County, Wisconsin",4.90%,± 1.7%
"Lanier County, Georgia",2.30%,± 1.7%
"Lapeer County, Michigan",5.30%,± 0.9%
"LaPorte County, Indiana",5%,± 0.9%
"Laramie County, Wyoming",3.50%,± 0.7%
"Lares Municipio, Puerto Rico",11%,± 2.3%
"Larimer County, Colorado",4.60%,± 0.5%
"Larue County, Kentucky",2.80%,± 1.2%
"Las Animas County, Colorado",7.40%,± 2.4%
"Las Marías Municipio, Puerto Rico",8.10%,± 7.3%
"Las Piedras Municipio, Puerto Rico",10.90%,± 3%
"LaSalle County, Illinois",5.40%,± 0.7%
"LaSalle Parish, Louisiana",4.60%,± 2.4%
"Lassen County, California",7.90%,± 2.1%
"Latah County, Idaho",5.30%,± 1.3%
"Latimer County, Oklahoma",7.80%,± 1.9%
"Lauderdale County, Alabama",3.60%,± 0.9%
"Lauderdale County, Mississippi",5.50%,± 1%
"Lauderdale County, Tennessee",6.10%,± 1.5%
"Laurel County, Kentucky",3.60%,± 1%
"Laurens County, Georgia",5.50%,± 1.6%
"Laurens County, South Carolina",5.20%,± 1.1%
"Lavaca County, Texas",3%,± 1.1%
"Lawrence County, Alabama",3%,± 0.9%
"Lawrence County, Arkansas",6.70%,± 1.8%
"Lawrence County, Illinois",7.80%,± 2.8%
"Lawrence County, Indiana",3.30%,± 1%
"Lawrence County, Kentucky",5.20%,± 2.6%
"Lawrence County, Mississippi",12%,± 5%
"Lawrence County, Missouri",5.20%,± 1.8%
"Lawrence County, Ohio",3.80%,± 1%
"Lawrence County, Pennsylvania",6.80%,± 0.8%
"Lawrence County, South Dakota",2.50%,± 1%
"Lawrence County, Tennessee",6.30%,± 1.4%
"Le Flore County, Oklahoma",5.20%,± 0.9%
"Le Sueur County, Minnesota",3.60%,± 0.8%
"Lea County, New Mexico",7.40%,± 1.6%
"Leake County, Mississippi",6%,± 2.1%
"Leavenworth County, Kansas",4.50%,± 1.1%
"Lebanon County, Pennsylvania",4.40%,± 0.8%
"Lee County, Alabama",3.80%,± 0.7%
"Lee County, Arkansas",14.30%,± 5%
"Lee County, Florida",4.50%,± 0.3%
"Lee County, Georgia",4.40%,± 1.7%
"Lee County, Illinois",3.50%,± 0.9%
"Lee County, Iowa",4.60%,± 1.1%
"Lee County, Kentucky",8.10%,± 3.6%
"Lee County, Mississippi",5.60%,± 1.2%
"Lee County, North Carolina",5.20%,± 1.1%
"Lee County, South Carolina",9.20%,± 2.7%
"Lee County, Texas",2.80%,± 1.5%
"Lee County, Virginia",8.10%,± 3.2%
"Leelanau County, Michigan",3.20%,± 1%
"Leflore County, Mississippi",11.80%,± 3.5%
"Lehigh County, Pennsylvania",5.80%,± 0.5%
"Lemhi County, Idaho",3.10%,± 2.2%
"Lenawee County, Michigan",5.60%,± 1%
"Lenoir County, North Carolina",7.10%,± 1.4%
"Leon County, Florida",5.70%,± 0.5%
"Leon County, Texas",5.10%,± 2.5%
"Leslie County, Kentucky",10%,± 5%
"Letcher County, Kentucky",7.70%,± 3%
"Levy County, Florida",4.40%,± 1%
"Lewis and Clark County, Montana",3.50%,± 0.8%
"Lewis County, Idaho",4.20%,± 1.8%
"Lewis County, Kentucky",7.30%,± 3.2%
"Lewis County, Missouri",5.90%,± 1.9%
"Lewis County, New York",5.20%,± 1.2%
"Lewis County, Tennessee",5.20%,± 2.4%
"Lewis County, Washington",6.30%,± 0.9%
"Lewis County, West Virginia",8.70%,± 2.9%
"Lexington city, Virginia",2.50%,± 2.3%
"Lexington County, South Carolina",4.40%,± 0.4%
"Liberty County, Florida",8.20%,± 4.3%
"Liberty County, Georgia",8.70%,± 1.7%
"Liberty County, Montana",0.20%,± 0.4%
"Liberty County, Texas",6.90%,± 1.7%
"Licking County, Ohio",3.30%,± 0.5%
"Limestone County, Alabama",4.10%,± 0.8%
"Limestone County, Texas",3.60%,± 1.1%
"Lincoln County, Arkansas",4%,± 2.1%
"Lincoln County, Colorado",2.30%,± 1.8%
"Lincoln County, Georgia",3.60%,± 1.9%
"Lincoln County, Idaho",5.60%,± 2.5%
"Lincoln County, Kansas",1.80%,± 1.7%
"Lincoln County, Kentucky",6.60%,± 2.3%
"Lincoln County, Maine",3.30%,± 1%
"Lincoln County, Minnesota",2.70%,± 0.8%
"Lincoln County, Mississippi",4.30%,± 1.5%
"Lincoln County, Missouri",3.40%,± 0.8%
"Lincoln County, Montana",6.90%,± 2%
"Lincoln County, Nebraska",3.40%,± 1%
"Lincoln County, Nevada",4.10%,± 3.2%
"Lincoln County, New Mexico",5.30%,± 2.1%
"Lincoln County, North Carolina",4.40%,± 0.9%
"Lincoln County, Oklahoma",3%,± 0.6%
"Lincoln County, Oregon",7.70%,± 1.3%
"Lincoln County, South Dakota",1.40%,± 0.5%
"Lincoln County, Tennessee",4.30%,± 1.3%
"Lincoln County, Washington",5.30%,± 1.7%
"Lincoln County, West Virginia",5.90%,± 2.8%
"Lincoln County, Wisconsin",4.80%,± 1.2%
