Geography,"Production, transportation, and material moving occupations—Civilian employed population 16 years and over—Estimate",MoE
"Greene County, Tennessee",26.10%,± 2.2%
"Greene County, Virginia",11.10%,± 2.3%
"Greenlee County, Arizona",14.50%,± 6.2%
"Greensville County, Virginia",14.20%,± 5.1%
"Greenup County, Kentucky",15.40%,± 2.1%
"Greenville County, South Carolina",14.20%,± 0.6%
"Greenwood County, Kansas",17.20%,± 3.3%
"Greenwood County, South Carolina",24.20%,± 2.3%
"Greer County, Oklahoma",14.20%,± 4.9%
"Gregg County, Texas",18.10%,± 1.3%
"Gregory County, South Dakota",15.20%,± 2.9%
"Grenada County, Mississippi",18.60%,± 3.9%
"Griggs County, North Dakota",9.70%,± 3.1%
"Grimes County, Texas",14.30%,± 2.8%
"Grundy County, Illinois",18.50%,± 1.8%
"Grundy County, Iowa",17.50%,± 2.1%
"Grundy County, Missouri",21.90%,± 3.4%
"Grundy County, Tennessee",26.70%,± 3.7%
"Guadalupe County, New Mexico",15.70%,± 7.4%
"Guadalupe County, Texas",15.60%,± 1.3%
"Guánica Municipio, Puerto Rico",18.50%,± 5.1%
"Guayama Municipio, Puerto Rico",13.90%,± 3.6%
"Guayanilla Municipio, Puerto Rico",11.40%,± 2.8%
"Guaynabo Municipio, Puerto Rico",6.60%,± 1.2%
"Guernsey County, Ohio",21.30%,± 2.2%
"Guilford County, North Carolina",15.60%,± 0.7%
"Gulf County, Florida",8.10%,± 2.5%
"Gunnison County, Colorado",5.60%,± 1.5%
"Gurabo Municipio, Puerto Rico",11.30%,± 2.7%
"Guthrie County, Iowa",13.30%,± 1.9%
"Gwinnett County, Georgia",12.80%,± 0.6%
"Haakon County, South Dakota",9.40%,± 4.7%
"Habersham County, Georgia",19.20%,± 2.5%
"Haines Borough, Alaska",9.20%,± 4.7%
"Hale County, Alabama",19.30%,± 3.5%
"Hale County, Texas",18.50%,± 2.6%
"Halifax County, North Carolina",23.20%,± 2.7%
"Halifax County, Virginia",22.80%,± 2.8%
"Hall County, Georgia",20.30%,± 1.1%
"Hall County, Nebraska",24.70%,± 1.8%
"Hall County, Texas",14.70%,± 5.6%
"Hamblen County, Tennessee",21.10%,± 2.6%
"Hamilton County, Florida",14.80%,± 3.7%
"Hamilton County, Illinois",19.50%,± 4.4%
"Hamilton County, Indiana",7%,± 0.6%
"Hamilton County, Iowa",17.40%,± 2.4%
"Hamilton County, Kansas",6.30%,± 2.7%
"Hamilton County, Nebraska",11.30%,± 2.3%
"Hamilton County, New York",9.70%,± 2.1%
"Hamilton County, Ohio",12.60%,± 0.4%
"Hamilton County, Tennessee",14.40%,± 0.8%
"Hamilton County, Texas",15.40%,± 3.9%
"Hamlin County, South Dakota",19.50%,± 3%
"Hampden County, Massachusetts",14.90%,± 0.7%
"Hampshire County, Massachusetts",8.80%,± 1%
"Hampshire County, West Virginia",24.50%,± 4.3%
"Hampton city, Virginia",14.60%,± 1.1%
"Hampton County, South Carolina",20.50%,± 3.2%
"Hancock County, Georgia",26.20%,± 8.3%
"Hancock County, Illinois",18.40%,± 1.9%
"Hancock County, Indiana",12%,± 1.4%
"Hancock County, Iowa",22.90%,± 3.4%
"Hancock County, Kentucky",29.80%,± 4.4%
"Hancock County, Maine",12.10%,± 1.5%
"Hancock County, Mississippi",11.30%,± 2.2%
"Hancock County, Ohio",22.60%,± 1.8%
"Hancock County, Tennessee",19.80%,± 4.6%
"Hancock County, West Virginia",17.70%,± 2.7%
"Hand County, South Dakota",6.60%,± 2.1%
"Hanover County, Virginia",9.30%,± 1%
"Hansford County, Texas",6.20%,± 3%
"Hanson County, South Dakota",13.80%,± 2.3%
"Haralson County, Georgia",22.30%,± 2.4%
"Hardee County, Florida",17%,± 3.6%
"Hardeman County, Tennessee",33.70%,± 4.3%
"Hardeman County, Texas",22.20%,± 6.5%
"Hardin County, Illinois",22.50%,± 7.6%
"Hardin County, Iowa",17.10%,± 1.9%
"Hardin County, Kentucky",19.80%,± 1.5%
"Hardin County, Ohio",24.90%,± 2.7%
"Hardin County, Tennessee",23.30%,± 3%
"Hardin County, Texas",17.30%,± 2%
"Harding County, New Mexico",4.20%,± 4.3%
"Harding County, South Dakota",12.40%,± 4.9%
"Hardy County, West Virginia",26.60%,± 4.7%
"Harford County, Maryland",9.80%,± 0.7%
"Harlan County, Kentucky",13.50%,± 3.2%
"Harlan County, Nebraska",14.20%,± 3.1%
"Harmon County, Oklahoma",17.40%,± 4.5%
"Harnett County, North Carolina",16.50%,± 1.3%
"Harney County, Oregon",15%,± 3.9%
"Harper County, Kansas",18.30%,± 3.4%
"Harper County, Oklahoma",10%,± 4%
"Harris County, Georgia",13.60%,± 2.2%
"Harris County, Texas",13.50%,± 0.2%
"Harrison County, Indiana",17.10%,± 2.2%
"Harrison County, Iowa",14.80%,± 1.9%
"Harrison County, Kentucky",26.30%,± 4.4%
"Harrison County, Mississippi",12.20%,± 1.1%
"Harrison County, Missouri",20.90%,± 3.6%
"Harrison County, Ohio",22.90%,± 3.1%
"Harrison County, Texas",17.40%,± 1.6%
"Harrison County, West Virginia",12.80%,± 1.6%
"Harrisonburg city, Virginia",15.90%,± 2.1%
"Hart County, Georgia",18.80%,± 3.2%
"Hart County, Kentucky",23.20%,± 4%
"Hartley County, Texas",10.20%,± 4.4%
"Harvey County, Kansas",19%,± 2.5%
"Haskell County, Kansas",18.10%,± 4.4%
"Haskell County, Oklahoma",14.70%,± 2.1%
"Haskell County, Texas",8.80%,± 3.5%
"Hatillo Municipio, Puerto Rico",9.30%,± 2.4%
"Hawaii County, Hawaii",8.80%,± 0.9%
"Hawkins County, Tennessee",25.60%,± 2.4%
"Hayes County, Nebraska",8.40%,± 3.6%
"Hays County, Texas",10.50%,± 1%
"Haywood County, North Carolina",13.60%,± 1.7%
"Haywood County, Tennessee",29.50%,± 3.7%
"Heard County, Georgia",21.20%,± 3.8%
"Hemphill County, Texas",8.80%,± 3.6%
"Hempstead County, Arkansas",27%,± 4.3%
"Henderson County, Illinois",21%,± 4.2%
"Henderson County, Kentucky",21.20%,± 2.2%
"Henderson County, North Carolina",14.60%,± 1.4%
"Henderson County, Tennessee",23.90%,± 3.1%
"Henderson County, Texas",15.80%,± 1.4%
"Hendricks County, Indiana",15.10%,± 1%
"Hendry County, Florida",16.70%,± 3.2%
"Hennepin County, Minnesota",10.10%,± 0.3%
"Henrico County, Virginia",10.10%,± 0.7%
"Henry County, Alabama",18.40%,± 3.1%
"Henry County, Georgia",17.20%,± 1.3%
"Henry County, Illinois",17.10%,± 1.7%
"Henry County, Indiana",21.60%,± 1.9%
"Henry County, Iowa",22.70%,± 2.9%
"Henry County, Kentucky",20.70%,± 2.8%
"Henry County, Missouri",19.50%,± 2.6%
"Henry County, Ohio",25.80%,± 2.2%
"Henry County, Tennessee",22.20%,± 2.9%
"Henry County, Virginia",20.90%,± 2.1%
"Herkimer County, New York",14.20%,± 1.3%
"Hernando County, Florida",12.50%,± 1.2%
"Hertford County, North Carolina",23.60%,± 3%
"Hettinger County, North Dakota",18.10%,± 5.4%
"Hickman County, Kentucky",16.20%,± 6.8%
"Hickman County, Tennessee",15.90%,± 3.2%
"Hickory County, Missouri",18.40%,± 4.7%
"Hidalgo County, New Mexico",9.50%,± 4.6%
"Hidalgo County, Texas",12.80%,± 0.5%
"Highland County, Ohio",24.80%,± 2.5%
"Highland County, Virginia",8.80%,± 4%
"Highlands County, Florida",11.10%,± 1.7%
"Hill County, Montana",15.90%,± 3.1%
"Hill County, Texas",20.40%,± 1.8%
"Hillsborough County, Florida",10.40%,± 0.4%
"Hillsborough County, New Hampshire",12.60%,± 0.6%
"Hillsdale County, Michigan",23.80%,± 1.5%
"Hinds County, Mississippi",16.70%,± 1.1%
"Hinsdale County, Colorado",4.60%,± 4.2%
"Hitchcock County, Nebraska",15.50%,± 4%
"Hocking County, Ohio",16.80%,± 2.5%
"Hockley County, Texas",16.60%,± 2.7%
"Hodgeman County, Kansas",9.60%,± 3.3%
"Hoke County, North Carolina",16.30%,± 2%
"Holmes County, Florida",10.30%,± 2.6%
"Holmes County, Mississippi",28%,± 4.9%
"Holmes County, Ohio",31%,± 2.4%
"Holt County, Missouri",19%,± 3.2%
"Holt County, Nebraska",15%,± 2.8%
"Honolulu County, Hawaii",9.20%,± 0.3%
"Hood County, Texas",18.10%,± 2.1%
"Hood River County, Oregon",10.80%,± 2.4%
"Hooker County, Nebraska",8.60%,± 7.4%
"Hoonah-Angoon Census Area, Alaska",14.30%,± 7%
"Hopewell city, Virginia",24.40%,± 4.1%
"Hopkins County, Kentucky",21.70%,± 2.1%
"Hopkins County, Texas",20.60%,± 2.2%
"Hormigueros Municipio, Puerto Rico",11.40%,± 3.7%
"Horry County, South Carolina",9.60%,± 0.7%
"Hot Spring County, Arkansas",16.70%,± 2.9%
"Hot Springs County, Wyoming",13.30%,± 4.6%
"Houghton County, Michigan",10.60%,± 1.2%
"Houston County, Alabama",15.90%,± 0.9%
"Houston County, Georgia",14.70%,± 1.3%
"Houston County, Minnesota",19.30%,± 2%
"Houston County, Tennessee",24.50%,± 4.3%
"Houston County, Texas",16%,± 3%
"Howard County, Arkansas",23.60%,± 4.4%
"Howard County, Indiana",24.90%,± 2%
"Howard County, Iowa",24.60%,± 3.9%
"Howard County, Maryland",5.40%,± 0.5%
"Howard County, Missouri",16.60%,± 3.5%
"Howard County, Nebraska",16.60%,± 2.9%
"Howard County, Texas",16.30%,± 2.5%
"Howell County, Missouri",18.60%,± 1.9%
"Hubbard County, Minnesota",17.10%,± 1.7%
"Hudson County, New Jersey",12.30%,± 0.5%
"Hudspeth County, Texas",12.70%,± 14.7%
"Huerfano County, Colorado",9.30%,± 3.5%
"Hughes County, Oklahoma",17.10%,± 3%
"Hughes County, South Dakota",7.60%,± 2.9%
"Humacao Municipio, Puerto Rico",14%,± 2.4%
"Humboldt County, California",11.60%,± 1.2%
"Humboldt County, Iowa",22.20%,± 2.9%
"Humboldt County, Nevada",12.80%,± 2.8%
"Humphreys County, Mississippi",19.90%,± 5.2%
"Humphreys County, Tennessee",21.60%,± 4.8%
"Hunt County, Texas",15.70%,± 1.5%
"Hunterdon County, New Jersey",5.20%,± 0.6%
"Huntingdon County, Pennsylvania",18.40%,± 1.4%
"Huntington County, Indiana",25.40%,± 2.6%
"Huron County, Michigan",21%,± 1.5%
"Huron County, Ohio",26.30%,± 1.7%
"Hutchinson County, South Dakota",12.70%,± 2.8%
"Hutchinson County, Texas",22.70%,± 3.9%
"Hyde County, North Carolina",25.50%,± 10.7%
"Hyde County, South Dakota",14.40%,± 4.2%
"Iberia Parish, Louisiana",15.50%,± 2.2%
"Iberville Parish, Louisiana",16.30%,± 2.5%
"Ida County, Iowa",17.40%,± 2.9%
"Idaho County, Idaho",13.20%,± 2.4%
"Imperial County, California",13%,± 1.2%
"Independence County, Arkansas",20.90%,± 2.8%
"Indian River County, Florida",9.70%,± 1.1%
"Indiana County, Pennsylvania",15.80%,± 1.3%
"Ingham County, Michigan",13.20%,± 0.7%
"Inyo County, California",6%,± 1.9%
"Ionia County, Michigan",23.40%,± 1.6%
"Iosco County, Michigan",17.80%,± 2.8%
"Iowa County, Iowa",17.80%,± 2.2%
"Iowa County, Wisconsin",16%,± 1.6%
"Iredell County, North Carolina",17.20%,± 1%
"Irion County, Texas",19.30%,± 7.5%
"Iron County, Michigan",21.90%,± 3.9%
"Iron County, Missouri",15.60%,± 3%
"Iron County, Utah",14.10%,± 1.6%
"Iron County, Wisconsin",17.20%,± 2.5%
"Iroquois County, Illinois",20.30%,± 1.6%
"Irwin County, Georgia",26%,± 8.4%
"Isabela Municipio, Puerto Rico",13.40%,± 3.6%
"Isabella County, Michigan",15.10%,± 1.3%
"Isanti County, Minnesota",17.90%,± 1.9%
"Island County, Washington",11.80%,± 1.5%
"Isle of Wight County, Virginia",13.80%,± 1.6%
"Issaquena County, Mississippi",10.50%,± 10%
"Itasca County, Minnesota",14.80%,± 1.4%
"Itawamba County, Mississippi",24.70%,± 3.3%
"Izard County, Arkansas",20.50%,± 5.1%
"Jack County, Texas",17.30%,± 3.5%
"Jackson County, Alabama",24.20%,± 2.2%
"Jackson County, Arkansas",23.30%,± 4.1%
"Jackson County, Colorado",3.20%,± 3%
"Jackson County, Florida",10.80%,± 1.4%
"Jackson County, Georgia",14.50%,± 1.4%
"Jackson County, Illinois",11.40%,± 1.2%
"Jackson County, Indiana",29.20%,± 3.2%
"Jackson County, Iowa",20.30%,± 1.9%
"Jackson County, Kansas",16.70%,± 2.9%
"Jackson County, Kentucky",28.10%,± 5.9%
"Jackson County, Michigan",17.80%,± 1.1%
"Jackson County, Minnesota",20.50%,± 2.1%
"Jackson County, Mississippi",13.20%,± 1.3%
"Jackson County, Missouri",14.10%,± 0.6%
"Jackson County, North Carolina",8.70%,± 1.8%
"Jackson County, Ohio",21.80%,± 3%
"Jackson County, Oklahoma",14.50%,± 2.8%
"Jackson County, Oregon",12.60%,± 0.9%
"Jackson County, South Dakota",10.30%,± 5.8%
"Jackson County, Tennessee",23.70%,± 4.1%
"Jackson County, Texas",20.60%,± 4.5%
"Jackson County, West Virginia",18.50%,± 3.6%
"Jackson County, Wisconsin",21.50%,± 2.1%
"Jackson Parish, Louisiana",18.70%,± 3.7%
"James City County, Virginia",8.10%,± 1.3%
"Jasper County, Georgia",18.90%,± 3.2%
"Jasper County, Illinois",21%,± 3.5%
"Jasper County, Indiana",18.60%,± 2%
"Jasper County, Iowa",19.40%,± 2%
"Jasper County, Mississippi",27.50%,± 5.7%
"Jasper County, Missouri",20.10%,± 1.5%
"Jasper County, South Carolina",12.10%,± 3.4%
"Jasper County, Texas",14.70%,± 2.8%
"Jay County, Indiana",30.70%,± 3.2%
"Jayuya Municipio, Puerto Rico",24%,± 6.3%
"Jeff Davis County, Georgia",22.70%,± 5.1%
"Jeff Davis County, Texas",5.50%,± 5%
"Jefferson County, Alabama",13.80%,± 0.5%
"Jefferson County, Arkansas",21.70%,± 2.2%
"Jefferson County, Colorado",8%,± 0.3%
"Jefferson County, Florida",9.90%,± 2.9%
"Jefferson County, Georgia",28.50%,± 4.2%
"Jefferson County, Idaho",14.50%,± 2%
"Jefferson County, Illinois",22.70%,± 1.7%
"Jefferson County, Indiana",24.90%,± 2.8%
"Jefferson County, Iowa",17.10%,± 3.3%
"Jefferson County, Kansas",12%,± 2%
"Jefferson County, Kentucky",18.50%,± 0.5%
"Jefferson County, Mississippi",13%,± 5.9%
"Jefferson County, Missouri",14.50%,± 1%
"Jefferson County, Montana",9.70%,± 2.3%
"Jefferson County, Nebraska",20.10%,± 3.2%
"Jefferson County, New York",12.50%,± 1.3%
"Jefferson County, Ohio",16.70%,± 1.5%
"Jefferson County, Oklahoma",19.40%,± 3.7%
"Jefferson County, Oregon",17.50%,± 2.5%
"Jefferson County, Pennsylvania",23.60%,± 1.5%
"Jefferson County, Tennessee",18.70%,± 2.1%
"Jefferson County, Texas",14.90%,± 1.1%
"Jefferson County, Washington",12.20%,± 2.4%
"Jefferson County, West Virginia",12%,± 1.4%
"Jefferson County, Wisconsin",19.90%,± 1.3%
"Jefferson Davis County, Mississippi",27.70%,± 5.8%
"Jefferson Davis Parish, Louisiana",12.50%,± 2.3%
"Jefferson Parish, Louisiana",11%,± 0.6%
"Jenkins County, Georgia",24.20%,± 9.5%
"Jennings County, Indiana",22.80%,± 3%
"Jerauld County, South Dakota",19%,± 6.2%
"Jerome County, Idaho",18.30%,± 3.2%
"Jersey County, Illinois",18.10%,± 2.8%
"Jessamine County, Kentucky",13.10%,± 1.7%
"Jewell County, Kansas",15.60%,± 3.9%
"Jim Hogg County, Texas",23.60%,± 10.1%
"Jim Wells County, Texas",13.50%,± 2.7%
"Jo Daviess County, Illinois",15.50%,± 1.7%
"Johnson County, Arkansas",32%,± 2.9%
"Johnson County, Georgia",24%,± 5.7%
"Johnson County, Illinois",11.70%,± 3.1%
"Johnson County, Indiana",13.70%,± 1.1%
"Johnson County, Iowa",10.30%,± 1%
"Johnson County, Kansas",8.20%,± 0.4%
"Johnson County, Kentucky",18.10%,± 4%
"Johnson County, Missouri",17.90%,± 2.3%
"Johnson County, Nebraska",18.80%,± 4.3%
"Johnson County, Tennessee",18%,± 4.4%
"Johnson County, Texas",25.70%,± 1.5%
"Johnson County, Wyoming",9.40%,± 4.1%
"Johnston County, North Carolina",13.90%,± 1.1%
"Johnston County, Oklahoma",23.30%,± 3%
"Jones County, Georgia",12.70%,± 2.4%
"Jones County, Iowa",20.30%,± 2.7%
"Jones County, Mississippi",20.50%,± 2.5%
"Jones County, North Carolina",20.70%,± 4.6%
"Jones County, South Dakota",10%,± 5.8%
"Jones County, Texas",14.80%,± 3.6%
"Josephine County, Oregon",14.30%,± 1.6%
"Juab County, Utah",17.90%,± 3.4%
"Juana Díaz Municipio, Puerto Rico",14%,± 2.4%
"Judith Basin County, Montana",5.80%,± 2.3%
"Juncos Municipio, Puerto Rico",15.60%,± 3.5%
"Juneau City and Borough, Alaska",9.60%,± 1.6%
"Juneau County, Wisconsin",22.80%,± 2.1%
"Juniata County, Pennsylvania",25%,± 2.3%
"Kalamazoo County, Michigan",14%,± 0.9%
"Kalawao County, Hawaii",30.60%,± 29.9%
"Kalkaska County, Michigan",17.60%,± 2.2%
"Kanabec County, Minnesota",17.30%,± 1.6%
"Kanawha County, West Virginia",11.90%,± 1.2%
"Kandiyohi County, Minnesota",18%,± 1.5%
"Kane County, Illinois",16.60%,± 0.6%
"Kane County, Utah",8.20%,± 3.6%
"Kankakee County, Illinois",20.70%,± 1.4%
"Karnes County, Texas",9%,± 2.9%
"Kauai County, Hawaii",9%,± 1.1%
"Kaufman County, Texas",14.20%,± 1.2%
"Kay County, Oklahoma",19.20%,± 1.6%
"Kearney County, Nebraska",14.20%,± 3.2%
"Kearny County, Kansas",15.10%,± 7%
"Keith County, Nebraska",12.80%,± 3.1%
"Kemper County, Mississippi",29.20%,± 6.4%
"Kenai Peninsula Borough, Alaska",12.40%,± 1.4%
"Kendall County, Illinois",14.20%,± 1.5%
"Kendall County, Texas",5.80%,± 1.4%
"Kenedy County, Texas",30.40%,± 29.6%
"Kennebec County, Maine",11.40%,± 1%
"Kenosha County, Wisconsin",18.60%,± 1%
"Kent County, Delaware",15.20%,± 1.1%
"Kent County, Maryland",11.70%,± 2.4%
"Kent County, Michigan",17%,± 0.5%
"Kent County, Rhode Island",10.60%,± 0.7%
"Kent County, Texas",7.30%,± 8.1%
"Kenton County, Kentucky",15%,± 0.9%
"Keokuk County, Iowa",21.80%,± 2.4%
"Kern County, California",14.70%,± 0.5%
"Kerr County, Texas",10.40%,± 1.8%
"Kershaw County, South Carolina",18.30%,± 2.2%
"Ketchikan Gateway Borough, Alaska",12.40%,± 1.7%
"Kewaunee County, Wisconsin",20.90%,± 1.8%
"Keweenaw County, Michigan",8.30%,± 3.3%
"Keya Paha County, Nebraska",6.50%,± 3%
"Kidder County, North Dakota",13.40%,± 4.2%
"Kimball County, Nebraska",28.30%,± 6.5%
"Kimble County, Texas",7.70%,± 4.4%
"King and Queen County, Virginia",11.40%,± 3.5%
"King County, Texas",3.50%,± 6.3%
"King County, Washington",8.70%,± 0.2%
"King George County, Virginia",11.10%,± 2.1%
"King William County, Virginia",11.20%,± 2.1%
"Kingfisher County, Oklahoma",13.10%,± 2.9%
"Kingman County, Kansas",18.80%,± 3.3%
"Kings County, California",16.20%,± 1.5%
"Kings County, New York",8.40%,± 0.2%
"Kingsbury County, South Dakota",16.70%,± 2.3%
"Kinney County, Texas",21.80%,± 11.6%
"Kiowa County, Colorado",4%,± 2.6%
"Kiowa County, Kansas",10.80%,± 2.8%
"Kiowa County, Oklahoma",8.30%,± 2.2%
"Kit Carson County, Colorado",8.90%,± 2.2%
"Kitsap County, Washington",10.90%,± 0.7%
"Kittitas County, Washington",10%,± 1.5%
"Kittson County, Minnesota",16.20%,± 3.1%
"Klamath County, Oregon",15.50%,± 1.5%
"Kleberg County, Texas",13.90%,± 3.1%
"Klickitat County, Washington",11.50%,± 2.4%
"Knott County, Kentucky",13.20%,± 4%
"Knox County, Illinois",17.90%,± 1.5%
"Knox County, Indiana",19.30%,± 1.8%
"Knox County, Kentucky",14.80%,± 2.7%
"Knox County, Maine",12.60%,± 2.2%
"Knox County, Missouri",11.90%,± 3.6%
"Knox County, Nebraska",14.90%,± 2.6%
"Knox County, Ohio",18.20%,± 2.1%
"Knox County, Tennessee",10.70%,± 0.5%
"Knox County, Texas",16.70%,± 5%
"Kodiak Island Borough, Alaska",21.90%,± 4.7%
"Koochiching County, Minnesota",17.80%,± 3%
"Kootenai County, Idaho",12%,± 1.1%
"Kosciusko County, Indiana",30.60%,± 1.8%
"Kossuth County, Iowa",22.60%,± 2%
"Kusilvak Census Area, Alaska",18.30%,± 5.6%
"La Crosse County, Wisconsin",15.80%,± 1.1%
"La Paz County, Arizona",13.20%,± 3.8%
"La Plata County, Colorado",8.50%,± 1.3%
"La Salle County, Texas",9.30%,± 6.7%
"Labette County, Kansas",19.60%,± 3.1%
"Lac qui Parle County, Minnesota",15.30%,± 1.7%
"Lackawanna County, Pennsylvania",15.90%,± 0.9%
"Laclede County, Missouri",27%,± 3.5%
"Lafayette County, Arkansas",20.50%,± 5.5%
"Lafayette County, Florida",10.70%,± 4%
"Lafayette County, Mississippi",11.70%,± 2.2%
"Lafayette County, Missouri",17.30%,± 2.3%
"Lafayette County, Wisconsin",19.10%,± 1.5%
"Lafayette Parish, Louisiana",10.20%,± 0.9%
"Lafourche Parish, Louisiana",16.80%,± 1.4%
"LaGrange County, Indiana",38.80%,± 2.3%
"Lajas Municipio, Puerto Rico",20.30%,± 5.1%
"Lake and Peninsula Borough, Alaska",10.90%,± 7.6%
"Lake County, California",11.10%,± 1.8%
"Lake County, Colorado",11%,± 4.2%
"Lake County, Florida",9.50%,± 0.7%
"Lake County, Illinois",12.60%,± 0.5%
"Lake County, Indiana",18.60%,± 0.7%
"Lake County, Michigan",19.10%,± 2.8%
"Lake County, Minnesota",16.10%,± 3.4%
"Lake County, Montana",10.50%,± 1.6%
"Lake County, Ohio",16.80%,± 0.9%
"Lake County, Oregon",14.70%,± 4.2%
"Lake County, South Dakota",13.20%,± 2.7%
"Lake County, Tennessee",19.80%,± 6.5%
"Lake of the Woods County, Minnesota",26.40%,± 6.4%
"Lamar County, Alabama",29.60%,± 4.2%
"Lamar County, Georgia",13.20%,± 3.4%
"Lamar County, Mississippi",13.70%,± 2%
"Lamar County, Texas",18%,± 1.8%
"Lamb County, Texas",18.90%,± 3%
"Lamoille County, Vermont",9.40%,± 1.6%
"LaMoure County, North Dakota",9.70%,± 2.5%
"Lampasas County, Texas",13.10%,± 2.6%
"Lancaster County, Nebraska",12%,± 0.6%
"Lancaster County, Pennsylvania",17.80%,± 0.7%
"Lancaster County, South Carolina",17.40%,± 2.1%
"Lancaster County, Virginia",15.30%,± 4.4%
"Lander County, Nevada",17%,± 8.3%
"Lane County, Kansas",9.90%,± 5%
"Lane County, Oregon",12.60%,± 0.7%
"Langlade County, Wisconsin",23.40%,± 2.8%
"Lanier County, Georgia",15.60%,± 3.9%
"Lapeer County, Michigan",19.80%,± 1.3%
"LaPorte County, Indiana",21.50%,± 1.3%
"Laramie County, Wyoming",11.40%,± 1.3%
"Lares Municipio, Puerto Rico",15.10%,± 3.1%
"Larimer County, Colorado",9%,± 0.6%
"Larue County, Kentucky",25.40%,± 4.5%
"Las Animas County, Colorado",12.40%,± 2.4%
"Las Marías Municipio, Puerto Rico",10.80%,± 5.6%
"Las Piedras Municipio, Puerto Rico",14.50%,± 3.5%
"LaSalle County, Illinois",22.20%,± 1.2%
"LaSalle Parish, Louisiana",10.20%,± 3.5%
"Lassen County, California",15.30%,± 3.2%
"Latah County, Idaho",10.50%,± 1.7%
"Latimer County, Oklahoma",13.60%,± 3.1%
"Lauderdale County, Alabama",17.90%,± 1.6%
"Lauderdale County, Mississippi",15.10%,± 1.8%
"Lauderdale County, Tennessee",33.60%,± 3.7%
"Laurel County, Kentucky",22.40%,± 2.2%
"Laurens County, Georgia",17.90%,± 2.4%
"Laurens County, South Carolina",22.40%,± 2.3%
"Lavaca County, Texas",19%,± 3.1%
"Lawrence County, Alabama",25%,± 2.9%
"Lawrence County, Arkansas",23.50%,± 3.3%
"Lawrence County, Illinois",23.60%,± 3.5%
"Lawrence County, Indiana",23.70%,± 2.2%
"Lawrence County, Kentucky",21.30%,± 5.1%
"Lawrence County, Mississippi",18.60%,± 5.5%
"Lawrence County, Missouri",23.40%,± 2.6%
"Lawrence County, Ohio",17.10%,± 1.8%
"Lawrence County, Pennsylvania",16.30%,± 1.1%
"Lawrence County, South Dakota",9.80%,± 1.8%
"Lawrence County, Tennessee",22%,± 2.3%
"Le Flore County, Oklahoma",20.40%,± 1.5%
"Le Sueur County, Minnesota",18.70%,± 1.8%
"Lea County, New Mexico",19%,± 2.3%
"Leake County, Mississippi",21.10%,± 3.5%
"Leavenworth County, Kansas",13.50%,± 1.7%
"Lebanon County, Pennsylvania",18.30%,± 1.3%
"Lee County, Alabama",12.80%,± 1.1%
"Lee County, Arkansas",16.70%,± 4.5%
"Lee County, Florida",10%,± 0.6%
"Lee County, Georgia",8.50%,± 2%
"Lee County, Illinois",21%,± 2.3%
"Lee County, Iowa",19.70%,± 2%
"Lee County, Kentucky",24.40%,± 7%
"Lee County, Mississippi",21.70%,± 1.7%
"Lee County, North Carolina",22.30%,± 2.9%
"Lee County, South Carolina",26.30%,± 4%
"Lee County, Texas",16%,± 3.9%
"Lee County, Virginia",16.20%,± 3.3%
"Leelanau County, Michigan",9.50%,± 1.4%
"Leflore County, Mississippi",20.50%,± 4.5%
"Lehigh County, Pennsylvania",19.20%,± 0.7%
"Lemhi County, Idaho",17.60%,± 4.8%
"Lenawee County, Michigan",21.40%,± 1.4%
"Lenoir County, North Carolina",22.70%,± 2.3%
"Leon County, Florida",7.20%,± 0.6%
"Leon County, Texas",13.30%,± 3.3%
"Leslie County, Kentucky",18.20%,± 6.3%
"Letcher County, Kentucky",13.50%,± 3.7%
"Levy County, Florida",14%,± 2.2%
"Lewis and Clark County, Montana",8.60%,± 1.2%
"Lewis County, Idaho",15.30%,± 3%
"Lewis County, Kentucky",21.70%,± 4.4%
"Lewis County, Missouri",21.80%,± 3.1%
"Lewis County, New York",12.90%,± 1.5%
"Lewis County, Tennessee",25.10%,± 5.4%
"Lewis County, Washington",16.80%,± 1.4%
"Lewis County, West Virginia",11.10%,± 3%
"Lexington city, Virginia",5.20%,± 3.2%
"Lexington County, South Carolina",12.80%,± 0.8%
"Liberty County, Florida",12.60%,± 4.7%
"Liberty County, Georgia",17.60%,± 2.2%
"Liberty County, Montana",9.40%,± 4.7%
"Liberty County, Texas",19.40%,± 1.8%
"Licking County, Ohio",15.50%,± 1%
"Limestone County, Alabama",17.30%,± 1.6%
"Limestone County, Texas",19.70%,± 2.7%
"Lincoln County, Arkansas",19.70%,± 3.9%
"Lincoln County, Colorado",7.50%,± 2.2%
"Lincoln County, Georgia",16.80%,± 4.6%
"Lincoln County, Idaho",16.10%,± 2.8%
"Lincoln County, Kansas",15.80%,± 3.8%
"Lincoln County, Kentucky",24.10%,± 3.7%
"Lincoln County, Maine",12.20%,± 1.5%
"Lincoln County, Minnesota",13.70%,± 1.7%
"Lincoln County, Mississippi",19.50%,± 3.3%
"Lincoln County, Missouri",21%,± 2.4%
"Lincoln County, Montana",11.70%,± 2.3%
"Lincoln County, Nebraska",17.10%,± 2.1%
"Lincoln County, Nevada",9.30%,± 5.9%
"Lincoln County, New Mexico",7.40%,± 2.9%
"Lincoln County, North Carolina",17.50%,± 1.7%
"Lincoln County, Oklahoma",15.40%,± 1.5%
"Lincoln County, Oregon",10.30%,± 1.8%
