Geography,Total—AGE OF OWN CHILDREN—Households with own children of the householder under 18 years—Under 6 years only—Estimate,MoE
"Greene County, Ohio",21.90%,± 2.7%
"Greene County, Pennsylvania",21.50%,± 4.5%
"Greene County, Tennessee",17.50%,± 3.8%
"Greene County, Virginia",19.50%,± 6.7%
"Greenlee County, Arizona",13.60%,± 7.1%
"Greensville County, Virginia",26.50%,± 12.6%
"Greenup County, Kentucky",16.30%,± 4.3%
"Greenville County, South Carolina",21.90%,± 1.5%
"Greenwood County, Kansas",17.80%,± 7.2%
"Greenwood County, South Carolina",16.20%,± 3.3%
"Greer County, Oklahoma",22.30%,± 10.9%
"Gregg County, Texas",17.80%,± 2.8%
"Gregory County, South Dakota",25.20%,± 9.7%
"Grenada County, Mississippi",32%,± 8%
"Griggs County, North Dakota",22.40%,± 10.7%
"Grimes County, Texas",18.30%,± 6%
"Grundy County, Illinois",17.20%,± 3.4%
"Grundy County, Iowa",18%,± 3.6%
"Grundy County, Missouri",29%,± 7.2%
"Grundy County, Tennessee",22.50%,± 8.4%
"Guadalupe County, New Mexico",14.90%,± 11.2%
"Guadalupe County, Texas",17.60%,± 2.4%
"Guánica Municipio, Puerto Rico",11.10%,± 8.3%
"Guayama Municipio, Puerto Rico",18.40%,± 7.3%
"Guayanilla Municipio, Puerto Rico",12.80%,± 5.2%
"Guaynabo Municipio, Puerto Rico",17.70%,± 3.9%
"Guernsey County, Ohio",28.20%,± 5.2%
"Guilford County, North Carolina",19.60%,± 1.5%
"Gulf County, Florida",38%,± 11.2%
"Gunnison County, Colorado",25.50%,± 9.2%
"Gurabo Municipio, Puerto Rico",21.60%,± 5.9%
"Guthrie County, Iowa",22.10%,± 4.9%
"Gwinnett County, Georgia",17.10%,± 1.2%
"Haakon County, South Dakota",23.30%,± 13.1%
"Habersham County, Georgia",17.60%,± 4.7%
"Haines Borough, Alaska",7%,± 7.4%
"Hale County, Alabama",35.10%,± 13.1%
"Hale County, Texas",17.50%,± 5.9%
"Halifax County, North Carolina",17.20%,± 5%
"Halifax County, Virginia",17.70%,± 4.8%
"Hall County, Georgia",18.50%,± 2%
"Hall County, Nebraska",22.90%,± 3.4%
"Hall County, Texas",13.10%,± 9.4%
"Hamblen County, Tennessee",24.60%,± 5.8%
"Hamilton County, Florida",12%,± 7.3%
"Hamilton County, Illinois",18.20%,± 8.7%
"Hamilton County, Indiana",20.90%,± 1.7%
"Hamilton County, Iowa",23.90%,± 5.8%
"Hamilton County, Kansas",11.90%,± 10.9%
"Hamilton County, Nebraska",12.70%,± 4.8%
"Hamilton County, New York",27.20%,± 7.7%
"Hamilton County, Ohio",24.20%,± 1.2%
"Hamilton County, Tennessee",25%,± 2.2%
"Hamilton County, Texas",10.70%,± 7.2%
"Hamlin County, South Dakota",20.10%,± 3.8%
"Hampden County, Massachusetts",21.10%,± 1.7%
"Hampshire County, Massachusetts",20.80%,± 2.8%
"Hampshire County, West Virginia",23.40%,± 11%
"Hampton city, Virginia",24.80%,± 3.7%
"Hampton County, South Carolina",16.20%,± 6%
"Hancock County, Georgia",2.10%,± 4.6%
"Hancock County, Illinois",16%,± 3.9%
"Hancock County, Indiana",21.10%,± 4.1%
"Hancock County, Iowa",24%,± 5.3%
"Hancock County, Kentucky",25.60%,± 6.8%
"Hancock County, Maine",19.40%,± 3.7%
"Hancock County, Mississippi",12%,± 4%
"Hancock County, Ohio",26.20%,± 3.8%
"Hancock County, Tennessee",24.40%,± 9%
"Hancock County, West Virginia",23.20%,± 6.1%
"Hand County, South Dakota",13.70%,± 6%
"Hanover County, Virginia",20.30%,± 2.7%
"Hansford County, Texas",13.50%,± 10.4%
"Hanson County, South Dakota",16.90%,± 5.7%
"Haralson County, Georgia",17.30%,± 5.7%
"Hardee County, Florida",16.90%,± 5.5%
"Hardeman County, Tennessee",17.80%,± 5.7%
"Hardeman County, Texas",23%,± 10.4%
"Hardin County, Illinois",9.20%,± 10.5%
"Hardin County, Iowa",20.10%,± 4.9%
"Hardin County, Kentucky",18%,± 3%
"Hardin County, Ohio",21.40%,± 5.7%
"Hardin County, Tennessee",22.80%,± 7%
"Hardin County, Texas",21.70%,± 4.7%
"Harding County, New Mexico",6.90%,± 15.1%
"Harding County, South Dakota",37.50%,± 13.4%
"Hardy County, West Virginia",19%,± 8.9%
"Harford County, Maryland",22.50%,± 1.9%
"Harlan County, Kentucky",19.90%,± 4.8%
"Harlan County, Nebraska",6.10%,± 3.7%
"Harmon County, Oklahoma",27.30%,± 10.9%
"Harnett County, North Carolina",19.40%,± 2.2%
"Harney County, Oregon",18.80%,± 10%
"Harper County, Kansas",18%,± 7.5%
"Harper County, Oklahoma",20.90%,± 10.7%
"Harris County, Georgia",13.80%,± 4%
"Harris County, Texas",21.30%,± 0.6%
"Harrison County, Indiana",26.20%,± 5.6%
"Harrison County, Iowa",19.20%,± 3.6%
"Harrison County, Kentucky",24.60%,± 7.3%
"Harrison County, Mississippi",23.50%,± 2.7%
"Harrison County, Missouri",30.10%,± 8.1%
"Harrison County, Ohio",21.40%,± 6.5%
"Harrison County, Texas",18.10%,± 5.2%
"Harrison County, West Virginia",16.60%,± 3%
"Harrisonburg city, Virginia",17.50%,± 5.2%
"Hart County, Georgia",20.60%,± 8.1%
"Hart County, Kentucky",13.50%,± 3.9%
"Hartley County, Texas",18%,± 10.1%
"Harvey County, Kansas",19.10%,± 4.4%
"Haskell County, Kansas",17.20%,± 8.4%
"Haskell County, Oklahoma",18%,± 4.2%
"Haskell County, Texas",7.10%,± 4.9%
"Hatillo Municipio, Puerto Rico",15.90%,± 5.9%
"Hawaii County, Hawaii",15.60%,± 2.3%
"Hawkins County, Tennessee",23.20%,± 5%
"Hayes County, Nebraska",12.90%,± 8.3%
"Hays County, Texas",19.40%,± 2.3%
"Haywood County, North Carolina",30.80%,± 6.1%
"Haywood County, Tennessee",21.20%,± 7.2%
"Heard County, Georgia",18.20%,± 7.5%
"Hemphill County, Texas",11.10%,± 6.6%
"Hempstead County, Arkansas",13.70%,± 5.9%
"Henderson County, Illinois",28.10%,± 7.5%
"Henderson County, Kentucky",20.40%,± 4.4%
"Henderson County, North Carolina",23.80%,± 2.8%
"Henderson County, Tennessee",21.50%,± 7.4%
"Henderson County, Texas",21.50%,± 3.9%
"Hendricks County, Indiana",19.70%,± 2.2%
"Hendry County, Florida",16.60%,± 5.6%
"Hennepin County, Minnesota",25.10%,± 0.9%
"Henrico County, Virginia",20.40%,± 1.6%
"Henry County, Alabama",10.50%,± 4.1%
"Henry County, Georgia",16.20%,± 2.1%
"Henry County, Illinois",12.30%,± 2.6%
"Henry County, Indiana",21.70%,± 4.2%
"Henry County, Iowa",17.60%,± 4.9%
"Henry County, Kentucky",25.50%,± 8.1%
"Henry County, Missouri",18.90%,± 5.7%
"Henry County, Ohio",18.60%,± 4.2%
"Henry County, Tennessee",18.80%,± 5.4%
"Henry County, Virginia",16.50%,± 3.8%
"Herkimer County, New York",22%,± 2.9%
"Hernando County, Florida",16.10%,± 2.5%
"Hertford County, North Carolina",17.80%,± 4.9%
"Hettinger County, North Dakota",17.50%,± 9.5%
"Hickman County, Kentucky",24.80%,± 13.1%
"Hickman County, Tennessee",20.80%,± 7.6%
"Hickory County, Missouri",24.70%,± 13.8%
"Hidalgo County, New Mexico",33.10%,± 14.9%
"Hidalgo County, Texas",14.30%,± 1.1%
"Highland County, Ohio",25.10%,± 4.1%
"Highland County, Virginia",26.10%,± 16.2%
"Highlands County, Florida",17.90%,± 4%
"Hill County, Montana",24.50%,± 5.5%
"Hill County, Texas",22.20%,± 3.5%
"Hillsborough County, Florida",21.90%,± 1%
"Hillsborough County, New Hampshire",21.30%,± 1.5%
"Hillsdale County, Michigan",17.20%,± 2.5%
"Hinds County, Mississippi",20.60%,± 2.7%
"Hinsdale County, Colorado",34.10%,± 23.6%
"Hitchcock County, Nebraska",21.60%,± 7.1%
"Hocking County, Ohio",22.30%,± 5.5%
"Hockley County, Texas",16.80%,± 4.6%
"Hodgeman County, Kansas",11.50%,± 9.7%
"Hoke County, North Carolina",22.10%,± 3.4%
"Holmes County, Florida",10%,± 5.3%
"Holmes County, Mississippi",16.30%,± 7.7%
"Holmes County, Ohio",18.90%,± 3.1%
"Holt County, Missouri",20.90%,± 7.6%
"Holt County, Nebraska",24.80%,± 6.1%
"Honolulu County, Hawaii",22.90%,± 1.2%
"Hood County, Texas",19.80%,± 3.7%
"Hood River County, Oregon",18.30%,± 5.1%
"Hooker County, Nebraska",30%,± 22.1%
"Hoonah-Angoon Census Area, Alaska",11.40%,± 6.7%
"Hopewell city, Virginia",27.40%,± 8.8%
"Hopkins County, Kentucky",21.60%,± 4.3%
"Hopkins County, Texas",22.40%,± 4.5%
"Hormigueros Municipio, Puerto Rico",16.90%,± 9.4%
"Horry County, South Carolina",21%,± 2.1%
"Hot Spring County, Arkansas",14.10%,± 4.9%
"Hot Springs County, Wyoming",23%,± 13.8%
"Houghton County, Michigan",24.40%,± 4.4%
"Houston County, Alabama",19%,± 1.7%
"Houston County, Georgia",20.40%,± 3%
"Houston County, Minnesota",21.50%,± 4.5%
"Houston County, Tennessee",42.10%,± 13.4%
"Houston County, Texas",25.90%,± 8.7%
"Howard County, Arkansas",15.90%,± 7%
"Howard County, Indiana",16.70%,± 3.4%
"Howard County, Iowa",26.20%,± 7.7%
"Howard County, Maryland",18.60%,± 1.4%
"Howard County, Missouri",21%,± 6.5%
"Howard County, Nebraska",30.40%,± 7.7%
"Howard County, Texas",24.60%,± 6.1%
"Howell County, Missouri",19.40%,± 4.7%
"Hubbard County, Minnesota",21.10%,± 4%
"Hudson County, New Jersey",29.60%,± 1.2%
"Hudspeth County, Texas",16.20%,± 18%
"Huerfano County, Colorado",17.50%,± 12.5%
"Hughes County, Oklahoma",20.70%,± 4.8%
"Hughes County, South Dakota",21.30%,± 7.7%
"Humacao Municipio, Puerto Rico",11.40%,± 4.1%
"Humboldt County, California",19.40%,± 2.8%
"Humboldt County, Iowa",25.90%,± 7.7%
"Humboldt County, Nevada",23.90%,± 6.8%
"Humphreys County, Mississippi",12.50%,± 9.6%
"Humphreys County, Tennessee",24.50%,± 7.9%
"Hunt County, Texas",24.10%,± 3.4%
"Hunterdon County, New Jersey",21.40%,± 2.3%
"Huntingdon County, Pennsylvania",17.30%,± 4%
"Huntington County, Indiana",21%,± 3.8%
"Huron County, Michigan",17.40%,± 3.1%
"Huron County, Ohio",19.20%,± 3.6%
"Hutchinson County, South Dakota",25.10%,± 5.2%
"Hutchinson County, Texas",14.50%,± 5.8%
"Hyde County, North Carolina",6.30%,± 8.2%
"Hyde County, South Dakota",33.10%,± 11.9%
"Iberia Parish, Louisiana",24.50%,± 5.1%
"Iberville Parish, Louisiana",17.80%,± 6.1%
"Ida County, Iowa",17.70%,± 5%
"Idaho County, Idaho",31.10%,± 9.1%
"Imperial County, California",15.50%,± 2.4%
"Independence County, Arkansas",17.90%,± 5.6%
"Indian River County, Florida",24%,± 4.6%
"Indiana County, Pennsylvania",22%,± 3%
"Ingham County, Michigan",25.60%,± 2.2%
"Inyo County, California",17.90%,± 7%
"Ionia County, Michigan",25.50%,± 3.4%
"Iosco County, Michigan",30.20%,± 8.3%
"Iowa County, Iowa",18.70%,± 6%
"Iowa County, Wisconsin",19.40%,± 2.9%
"Iredell County, North Carolina",20.10%,± 2%
"Irion County, Texas",7.50%,± 12%
"Iron County, Michigan",19%,± 5.7%
"Iron County, Missouri",20.10%,± 6.1%
"Iron County, Utah",21.10%,± 4.1%
"Iron County, Wisconsin",24.10%,± 6.7%
"Iroquois County, Illinois",16%,± 2.9%
"Irwin County, Georgia",29.50%,± 13.2%
"Isabela Municipio, Puerto Rico",14.20%,± 5.8%
"Isabella County, Michigan",26.10%,± 4.3%
"Isanti County, Minnesota",21.40%,± 3.8%
"Island County, Washington",31.90%,± 4%
"Isle of Wight County, Virginia",18.70%,± 4.9%
"Issaquena County, Mississippi",0%,± 59%
"Itasca County, Minnesota",17%,± 3%
"Itawamba County, Mississippi",17.80%,± 6.3%
"Izard County, Arkansas",18.70%,± 8.9%
"Jack County, Texas",21.70%,± 7.2%
"Jackson County, Alabama",18.20%,± 4.2%
"Jackson County, Arkansas",35.10%,± 8.9%
"Jackson County, Colorado",24.30%,± 24.9%
"Jackson County, Florida",20.90%,± 5.3%
"Jackson County, Georgia",18.80%,± 3.3%
"Jackson County, Illinois",22.50%,± 4.4%
"Jackson County, Indiana",27.50%,± 4.5%
"Jackson County, Iowa",21.10%,± 4.4%
"Jackson County, Kansas",19.90%,± 5.7%
"Jackson County, Kentucky",19.60%,± 8.5%
"Jackson County, Michigan",21.80%,± 2.4%
"Jackson County, Minnesota",23.20%,± 5.4%
"Jackson County, Mississippi",18.20%,± 2.9%
"Jackson County, Missouri",22.20%,± 1.3%
"Jackson County, North Carolina",21%,± 5.6%
"Jackson County, Ohio",18.10%,± 6.2%
"Jackson County, Oklahoma",23.40%,± 4.5%
"Jackson County, Oregon",19.90%,± 2.5%
"Jackson County, South Dakota",21.30%,± 14.8%
"Jackson County, Tennessee",19%,± 8.9%
"Jackson County, Texas",15.20%,± 6.8%
"Jackson County, West Virginia",24.80%,± 6.1%
"Jackson County, Wisconsin",19.70%,± 3.2%
"Jackson Parish, Louisiana",19.20%,± 8.3%
"James City County, Virginia",13.80%,± 2.2%
"Jasper County, Georgia",19%,± 6.6%
"Jasper County, Illinois",18.20%,± 7.3%
"Jasper County, Indiana",18.40%,± 4.5%
"Jasper County, Iowa",16.50%,± 3.5%
"Jasper County, Mississippi",12.80%,± 7.7%
"Jasper County, Missouri",23.70%,± 2.9%
"Jasper County, South Carolina",19%,± 7.8%
"Jasper County, Texas",19%,± 6.1%
"Jay County, Indiana",20.80%,± 6.1%
"Jayuya Municipio, Puerto Rico",13.50%,± 8.3%
"Jeff Davis County, Georgia",16.30%,± 8.3%
"Jeff Davis County, Texas",43.80%,± 35.7%
"Jefferson County, Alabama",24%,± 1.7%
"Jefferson County, Arkansas",18.90%,± 3.9%
"Jefferson County, Colorado",24.20%,± 1.5%
"Jefferson County, Florida",18.50%,± 8.5%
"Jefferson County, Georgia",14.80%,± 7.2%
"Jefferson County, Idaho",19.10%,± 5.9%
"Jefferson County, Illinois",27.40%,± 3.5%
"Jefferson County, Indiana",27%,± 4.6%
"Jefferson County, Iowa",20.60%,± 8.9%
"Jefferson County, Kansas",21.10%,± 4.7%
"Jefferson County, Kentucky",25.40%,± 1.1%
"Jefferson County, Mississippi",36.90%,± 18.8%
"Jefferson County, Missouri",20.30%,± 2.2%
"Jefferson County, Montana",15%,± 4.9%
"Jefferson County, Nebraska",23.90%,± 8.9%
"Jefferson County, New York",30.80%,± 3.4%
"Jefferson County, Ohio",22.30%,± 4.1%
"Jefferson County, Oklahoma",21.40%,± 5.6%
"Jefferson County, Oregon",11.10%,± 4.7%
"Jefferson County, Pennsylvania",21.60%,± 2.8%
"Jefferson County, Tennessee",17%,± 4.2%
"Jefferson County, Texas",20.10%,± 1.9%
"Jefferson County, Washington",20.40%,± 6%
"Jefferson County, West Virginia",18.80%,± 3.2%
"Jefferson County, Wisconsin",20.30%,± 2.5%
"Jefferson Davis County, Mississippi",22.10%,± 10%
"Jefferson Davis Parish, Louisiana",18.10%,± 5.5%
"Jefferson Parish, Louisiana",24.20%,± 2.1%
"Jenkins County, Georgia",23.10%,± 20%
"Jennings County, Indiana",24.90%,± 7.5%
"Jerauld County, South Dakota",7.30%,± 5.7%
"Jerome County, Idaho",18.20%,± 4.3%
"Jersey County, Illinois",16.70%,± 4.7%
"Jessamine County, Kentucky",20.60%,± 4.6%
"Jewell County, Kansas",28.70%,± 10.6%
"Jim Hogg County, Texas",24.90%,± 15.7%
"Jim Wells County, Texas",20.80%,± 8.4%
"Jo Daviess County, Illinois",16.30%,± 5.3%
"Johnson County, Arkansas",18.20%,± 4.9%
"Johnson County, Georgia",18.70%,± 8.1%
"Johnson County, Illinois",16.90%,± 5.1%
"Johnson County, Indiana",20%,± 2.9%
"Johnson County, Iowa",29.90%,± 3.1%
"Johnson County, Kansas",23.40%,± 1.3%
"Johnson County, Kentucky",14.70%,± 4.5%
"Johnson County, Missouri",29.10%,± 3.5%
"Johnson County, Nebraska",20.60%,± 7.6%
"Johnson County, Tennessee",22.40%,± 7.7%
"Johnson County, Texas",18.10%,± 2.3%
"Johnson County, Wyoming",20.90%,± 10.9%
"Johnston County, North Carolina",22.60%,± 2.6%
"Johnston County, Oklahoma",14.20%,± 4.1%
"Jones County, Georgia",16.80%,± 5.1%
"Jones County, Iowa",23.70%,± 6.2%
"Jones County, Mississippi",19.40%,± 4.8%
"Jones County, North Carolina",31%,± 8.7%
"Jones County, South Dakota",39.30%,± 21.7%
"Jones County, Texas",17.90%,± 8.5%
"Josephine County, Oregon",16.20%,± 3.3%
"Juab County, Utah",16.20%,± 6%
"Juana Díaz Municipio, Puerto Rico",14.60%,± 4.8%
"Judith Basin County, Montana",12.40%,± 6.7%
"Juncos Municipio, Puerto Rico",18.60%,± 6%
"Juneau City and Borough, Alaska",22%,± 4.9%
"Juneau County, Wisconsin",24.30%,± 4%
"Juniata County, Pennsylvania",20.40%,± 4%
"Kalamazoo County, Michigan",26.20%,± 2.6%
"Kalawao County, Hawaii",-,**
"Kalkaska County, Michigan",21.70%,± 4.9%
"Kanabec County, Minnesota",20.20%,± 3.9%
"Kanawha County, West Virginia",24.60%,± 3%
"Kandiyohi County, Minnesota",19.60%,± 3.5%
"Kane County, Illinois",20.40%,± 1.5%
"Kane County, Utah",30.40%,± 12.4%
"Kankakee County, Illinois",19.30%,± 2.7%
"Karnes County, Texas",22.80%,± 10.8%
"Kauai County, Hawaii",14.80%,± 3.9%
"Kaufman County, Texas",18.90%,± 2.6%
"Kay County, Oklahoma",16.90%,± 3%
"Kearney County, Nebraska",23.10%,± 6.8%
"Kearny County, Kansas",26.50%,± 8.7%
"Keith County, Nebraska",16.60%,± 8.4%
"Kemper County, Mississippi",25.30%,± 14.2%
"Kenai Peninsula Borough, Alaska",19.40%,± 3.1%
"Kendall County, Illinois",17.10%,± 2.4%
"Kendall County, Texas",15.20%,± 4.8%
"Kenedy County, Texas",100%,± 100%
"Kennebec County, Maine",22.10%,± 2.9%
"Kenosha County, Wisconsin",19.50%,± 2.2%
"Kent County, Delaware",20.30%,± 2.4%
"Kent County, Maryland",16.30%,± 6.3%
"Kent County, Michigan",22.50%,± 1.3%
"Kent County, Rhode Island",23.10%,± 3%
"Kent County, Texas",8.70%,± 11.7%
"Kenton County, Kentucky",22%,± 2%
"Keokuk County, Iowa",31%,± 5.6%
"Kern County, California",18.70%,± 1.3%
"Kerr County, Texas",25.90%,± 6%
"Kershaw County, South Carolina",15.50%,± 3.3%
"Ketchikan Gateway Borough, Alaska",21.80%,± 4.7%
"Kewaunee County, Wisconsin",18.20%,± 3.4%
"Keweenaw County, Michigan",31.10%,± 12.7%
"Keya Paha County, Nebraska",10.10%,± 8.8%
"Kidder County, North Dakota",43.40%,± 14.2%
"Kimball County, Nebraska",18%,± 8.9%
"Kimble County, Texas",18.70%,± 13%
"King and Queen County, Virginia",36.10%,± 16.9%
"King County, Texas",31.40%,± 31.5%
"King County, Washington",24.20%,± 0.8%
"King George County, Virginia",17.40%,± 4.7%
"King William County, Virginia",28.90%,± 10.4%
"Kingfisher County, Oklahoma",14.30%,± 5.9%
"Kingman County, Kansas",19.20%,± 8.3%
"Kings County, California",21.20%,± 2.9%
"Kings County, New York",23.30%,± 0.7%
"Kingsbury County, South Dakota",21.30%,± 5.5%
"Kinney County, Texas",32.10%,± 30%
"Kiowa County, Colorado",18.60%,± 18.7%
"Kiowa County, Kansas",15.10%,± 7.7%
"Kiowa County, Oklahoma",17.40%,± 5.9%
"Kit Carson County, Colorado",27.90%,± 8.5%
"Kitsap County, Washington",25.80%,± 2.1%
"Kittitas County, Washington",20%,± 5.3%
"Kittson County, Minnesota",19.10%,± 5.9%
"Klamath County, Oregon",18%,± 3.8%
"Kleberg County, Texas",24.40%,± 8.6%
"Klickitat County, Washington",23.60%,± 6.5%
"Knott County, Kentucky",15.10%,± 6%
"Knox County, Illinois",22.90%,± 4.5%
"Knox County, Indiana",24.10%,± 6.7%
"Knox County, Kentucky",16.10%,± 4.6%
"Knox County, Maine",20.10%,± 4.6%
"Knox County, Missouri",19.20%,± 9.3%
"Knox County, Nebraska",22.40%,± 5.2%
"Knox County, Ohio",24.50%,± 4.7%
"Knox County, Tennessee",23.80%,± 1.5%
"Knox County, Texas",20.90%,± 11.2%
"Kodiak Island Borough, Alaska",33%,± 8.8%
"Koochiching County, Minnesota",14.50%,± 5.8%
"Kootenai County, Idaho",21.80%,± 2.8%
"Kosciusko County, Indiana",22.90%,± 4.1%
"Kossuth County, Iowa",27.80%,± 6.4%
"Kusilvak Census Area, Alaska",15.60%,± 4.6%
"La Crosse County, Wisconsin",24.90%,± 2.9%
"La Paz County, Arizona",22.60%,± 7.5%
"La Plata County, Colorado",23.40%,± 5.3%
"La Salle County, Texas",7.60%,± 12.7%
"Labette County, Kansas",22.90%,± 5.3%
"Lac qui Parle County, Minnesota",20.50%,± 3.7%
"Lackawanna County, Pennsylvania",22.10%,± 2.3%
"Laclede County, Missouri",21.80%,± 5.9%
"Lafayette County, Arkansas",15.20%,± 10.9%
"Lafayette County, Florida",13.40%,± 9.1%
"Lafayette County, Mississippi",30.90%,± 6.1%
"Lafayette County, Missouri",20.80%,± 4.4%
"Lafayette County, Wisconsin",22.30%,± 3.3%
"Lafayette Parish, Louisiana",23.70%,± 2.5%
"Lafourche Parish, Louisiana",24%,± 3.3%
"LaGrange County, Indiana",21.10%,± 4.3%
"Lajas Municipio, Puerto Rico",14.60%,± 7.8%
"Lake and Peninsula Borough, Alaska",11.40%,± 8.1%
"Lake County, California",23.90%,± 5.6%
"Lake County, Colorado",13.70%,± 11.4%
"Lake County, Florida",18%,± 2.2%
"Lake County, Illinois",19.70%,± 1%
"Lake County, Indiana",20.40%,± 1.5%
"Lake County, Michigan",14.40%,± 5.2%
"Lake County, Minnesota",22.90%,± 6.9%
"Lake County, Montana",19.40%,± 3.7%
"Lake County, Ohio",23.10%,± 2.1%
"Lake County, Oregon",21.80%,± 8.6%
"Lake County, South Dakota",16%,± 6.5%
"Lake County, Tennessee",33.30%,± 15.2%
"Lake of the Woods County, Minnesota",20.40%,± 10.9%
"Lamar County, Alabama",18.70%,± 6%
"Lamar County, Georgia",17.90%,± 8.6%
"Lamar County, Mississippi",20.40%,± 3.8%
"Lamar County, Texas",28.30%,± 4.8%
"Lamb County, Texas",12.90%,± 3.8%
"Lamoille County, Vermont",18.30%,± 4.6%
"LaMoure County, North Dakota",16.90%,± 5.2%
"Lampasas County, Texas",21.70%,± 6.2%
"Lancaster County, Nebraska",22.20%,± 1.7%
"Lancaster County, Pennsylvania",23.90%,± 1.5%
"Lancaster County, South Carolina",23.60%,± 3.5%
"Lancaster County, Virginia",18.60%,± 11.8%
"Lander County, Nevada",12.80%,± 9.3%
"Lane County, Kansas",11.90%,± 7.5%
"Lane County, Oregon",21.90%,± 1.8%
"Langlade County, Wisconsin",29.30%,± 6.8%
"Lanier County, Georgia",26.60%,± 12.2%
"Lapeer County, Michigan",17.90%,± 2.5%
"LaPorte County, Indiana",21%,± 3.4%
"Laramie County, Wyoming",24.30%,± 3%
"Lares Municipio, Puerto Rico",20%,± 7.4%
"Larimer County, Colorado",25.40%,± 2%
"Larue County, Kentucky",14.60%,± 5.1%
"Las Animas County, Colorado",20.10%,± 6.8%
"Las Marías Municipio, Puerto Rico",12%,± 7.9%
"Las Piedras Municipio, Puerto Rico",14.80%,± 6.5%
"LaSalle County, Illinois",26.10%,± 2.7%
"LaSalle Parish, Louisiana",18%,± 8.7%
"Lassen County, California",21.20%,± 5.3%
"Latah County, Idaho",27.80%,± 5.9%
"Latimer County, Oklahoma",22.70%,± 4.8%
"Lauderdale County, Alabama",22.30%,± 3.2%
"Lauderdale County, Mississippi",16.40%,± 3.5%
"Lauderdale County, Tennessee",23.40%,± 4.8%
"Laurel County, Kentucky",25.40%,± 3.8%
"Laurens County, Georgia",17.10%,± 3.8%
"Laurens County, South Carolina",24%,± 3.8%
"Lavaca County, Texas",22.40%,± 5.6%
"Lawrence County, Alabama",24.90%,± 5.8%
"Lawrence County, Arkansas",21.10%,± 6.6%
"Lawrence County, Illinois",20.40%,± 7.5%
"Lawrence County, Indiana",20.70%,± 4.4%
"Lawrence County, Kentucky",14.40%,± 7.4%
"Lawrence County, Mississippi",18.70%,± 6.7%
"Lawrence County, Missouri",17.90%,± 4.2%
"Lawrence County, Ohio",18.60%,± 3.7%
"Lawrence County, Pennsylvania",21.80%,± 2.7%
"Lawrence County, South Dakota",19.10%,± 6.6%
"Lawrence County, Tennessee",20%,± 4.5%
"Le Flore County, Oklahoma",19.90%,± 2.8%
"Le Sueur County, Minnesota",24.60%,± 3.8%
"Lea County, New Mexico",18.60%,± 4.9%
"Leake County, Mississippi",18.90%,± 6.5%
"Leavenworth County, Kansas",23%,± 3%
"Lebanon County, Pennsylvania",19.70%,± 2.8%
"Lee County, Alabama",18.90%,± 2.4%
"Lee County, Arkansas",11.10%,± 7.3%
"Lee County, Florida",19.70%,± 1.4%
"Lee County, Georgia",17.30%,± 4.6%
"Lee County, Illinois",23.60%,± 5.2%
"Lee County, Iowa",27.90%,± 4.8%
"Lee County, Kentucky",14.60%,± 8.6%
"Lee County, Mississippi",22.30%,± 3.4%
"Lee County, North Carolina",22.20%,± 4.2%
"Lee County, South Carolina",14.40%,± 6.9%
"Lee County, Texas",12.10%,± 7.8%
"Lee County, Virginia",15.50%,± 6%
"Leelanau County, Michigan",15%,± 3.8%
"Leflore County, Mississippi",12.10%,± 4.8%
"Lehigh County, Pennsylvania",22.10%,± 1.8%
"Lemhi County, Idaho",13.40%,± 8.7%
"Lenawee County, Michigan",21.50%,± 2.8%
"Lenoir County, North Carolina",16.70%,± 4.4%
"Leon County, Florida",22.60%,± 2.2%
"Leon County, Texas",15.80%,± 7.3%
"Leslie County, Kentucky",9.40%,± 9%
"Letcher County, Kentucky",14.40%,± 5.5%
"Levy County, Florida",21.90%,± 5.9%
"Lewis and Clark County, Montana",25%,± 3.9%
"Lewis County, Idaho",20.10%,± 6.7%
"Lewis County, Kentucky",28%,± 8.1%
"Lewis County, Missouri",20.40%,± 6.4%
"Lewis County, New York",23%,± 3.4%
"Lewis County, Tennessee",17.10%,± 9.4%
"Lewis County, Washington",19.10%,± 2.9%
"Lewis County, West Virginia",16.30%,± 5.8%
"Lexington city, Virginia",25.70%,± 19.6%
"Lexington County, South Carolina",21.50%,± 1.6%
"Liberty County, Florida",9.20%,± 6.9%
"Liberty County, Georgia",29.10%,± 4.9%
"Liberty County, Montana",11.40%,± 7.9%
"Liberty County, Texas",16.40%,± 3.9%
"Licking County, Ohio",21%,± 2.4%
"Limestone County, Alabama",21.50%,± 4.1%
"Limestone County, Texas",17.80%,± 5.5%
"Lincoln County, Arkansas",22.70%,± 8.3%
"Lincoln County, Colorado",22%,± 9.5%
"Lincoln County, Georgia",16.70%,± 9%
"Lincoln County, Idaho",21.10%,± 5.2%
"Lincoln County, Kansas",22.10%,± 9.1%
"Lincoln County, Kentucky",18.20%,± 4.4%
"Lincoln County, Maine",18.80%,± 4.5%
"Lincoln County, Minnesota",29.90%,± 4.7%
"Lincoln County, Mississippi",17.90%,± 5.8%
"Lincoln County, Missouri",22.90%,± 4.5%
"Lincoln County, Montana",13.30%,± 4.9%
"Lincoln County, Nebraska",24%,± 4.6%
"Lincoln County, Nevada",22.20%,± 14.2%
"Lincoln County, New Mexico",17.90%,± 8.5%
"Lincoln County, North Carolina",19.90%,± 3.7%
"Lincoln County, Oklahoma",15.50%,± 2.7%
