Geography,Percent with a disability—Total civilian noninstitutionalized population—Estimate,MoE
"Greenlee County, Arizona",12.50%,± 2.7%
"Greensville County, Virginia",17.40%,± 3.3%
"Greenup County, Kentucky",20.50%,± 1.5%
"Greenville County, South Carolina",12.30%,± 0.4%
"Greenwood County, Kansas",19.40%,± 2.7%
"Greenwood County, South Carolina",12.50%,± 1.1%
"Greer County, Oklahoma",21.60%,± 5.5%
"Gregg County, Texas",13.10%,± 0.9%
"Gregory County, South Dakota",12.80%,± 2%
"Grenada County, Mississippi",19.90%,± 2.5%
"Griggs County, North Dakota",11.80%,± 2.6%
"Grimes County, Texas",14.40%,± 1.8%
"Grundy County, Illinois",8.80%,± 0.9%
"Grundy County, Iowa",9.40%,± 1.1%
"Grundy County, Missouri",14.60%,± 2.3%
"Grundy County, Tennessee",24.70%,± 2.7%
"Guadalupe County, New Mexico",19.70%,± 5.3%
"Guadalupe County, Texas",13.70%,± 0.9%
"Guánica Municipio, Puerto Rico",34.10%,± 2.9%
"Guayama Municipio, Puerto Rico",24%,± 1.9%
"Guayanilla Municipio, Puerto Rico",14.40%,± 1.8%
"Guaynabo Municipio, Puerto Rico",22.20%,± 1.3%
"Guernsey County, Ohio",17.50%,± 1.5%
"Guilford County, North Carolina",11.90%,± 0.4%
"Gulf County, Florida",23%,± 3.2%
"Gunnison County, Colorado",7.40%,± 1.6%
"Gurabo Municipio, Puerto Rico",24.50%,± 1.7%
"Guthrie County, Iowa",11.40%,± 1.6%
"Gwinnett County, Georgia",7.90%,± 0.3%
"Haakon County, South Dakota",15.60%,± 4.6%
"Habersham County, Georgia",16.30%,± 1.5%
"Haines Borough, Alaska",15.10%,± 4.6%
"Hale County, Alabama",25%,± 3.7%
"Hale County, Texas",12.30%,± 1.3%
"Halifax County, North Carolina",20.10%,± 1.4%
"Halifax County, Virginia",20.10%,± 1.8%
"Hall County, Georgia",11.80%,± 0.7%
"Hall County, Nebraska",12.90%,± 1%
"Hall County, Texas",17.70%,± 4%
"Hamblen County, Tennessee",19.40%,± 1.3%
"Hamilton County, Florida",19.40%,± 3.1%
"Hamilton County, Illinois",22%,± 3%
"Hamilton County, Indiana",7.90%,± 0.6%
"Hamilton County, Iowa",13.90%,± 1.8%
"Hamilton County, Kansas",10.20%,± 2.9%
"Hamilton County, Nebraska",10.90%,± 2%
"Hamilton County, New York",17.80%,± 2.7%
"Hamilton County, Ohio",12.20%,± 0.3%
"Hamilton County, Tennessee",14.70%,± 0.5%
"Hamilton County, Texas",20%,± 3%
"Hamlin County, South Dakota",6.60%,± 1.1%
"Hampden County, Massachusetts",16.30%,± 0.5%
"Hampshire County, Massachusetts",11.70%,± 0.6%
"Hampshire County, West Virginia",25.90%,± 2.4%
"Hampton city, Virginia",16.10%,± 0.9%
"Hampton County, South Carolina",21%,± 2.5%
"Hancock County, Georgia",21.50%,± 4.3%
"Hancock County, Illinois",18.60%,± 1.6%
"Hancock County, Indiana",12.60%,± 1.1%
"Hancock County, Iowa",14.80%,± 1.9%
"Hancock County, Kentucky",20.70%,± 2.8%
"Hancock County, Maine",14.20%,± 0.8%
"Hancock County, Mississippi",18.40%,± 1.7%
"Hancock County, Ohio",12.80%,± 1%
"Hancock County, Tennessee",26.70%,± 3.3%
"Hancock County, West Virginia",18.60%,± 1.7%
"Hand County, South Dakota",14.90%,± 2%
"Hanover County, Virginia",11.10%,± 0.7%
"Hansford County, Texas",11.90%,± 3%
"Hanson County, South Dakota",6.50%,± 1.4%
"Haralson County, Georgia",16.90%,± 2%
"Hardee County, Florida",14.30%,± 1.5%
"Hardeman County, Tennessee",23.20%,± 2.3%
"Hardeman County, Texas",21.40%,± 4.2%
"Hardin County, Illinois",29.50%,± 4.9%
"Hardin County, Iowa",13.70%,± 1.3%
"Hardin County, Kentucky",17.70%,± 0.9%
"Hardin County, Ohio",13.10%,± 1.4%
"Hardin County, Tennessee",19.20%,± 1.7%
"Hardin County, Texas",18.60%,± 1.8%
"Harding County, New Mexico",18.40%,± 5.3%
"Harding County, South Dakota",8.20%,± 3.2%
"Hardy County, West Virginia",17.40%,± 2.5%
"Harford County, Maryland",11%,± 0.5%
"Harlan County, Kentucky",27.70%,± 2.1%
"Harlan County, Nebraska",17.60%,± 2.7%
"Harmon County, Oklahoma",18.50%,± 3.9%
"Harnett County, North Carolina",15.50%,± 0.8%
"Harney County, Oregon",21.90%,± 2.9%
"Harper County, Kansas",19%,± 2.6%
"Harper County, Oklahoma",18.10%,± 3.1%
"Harris County, Georgia",16%,± 1.4%
"Harris County, Texas",10%,± 0.1%
"Harrison County, Indiana",16.10%,± 1.6%
"Harrison County, Iowa",12.10%,± 1.4%
"Harrison County, Kentucky",17.40%,± 2.2%
"Harrison County, Mississippi",18.50%,± 1%
"Harrison County, Missouri",21.10%,± 2.3%
"Harrison County, Ohio",17.10%,± 2.1%
"Harrison County, Texas",17.40%,± 1.6%
"Harrison County, West Virginia",16.20%,± 1.2%
"Harrisonburg city, Virginia",11.60%,± 1.1%
"Hart County, Georgia",19.30%,± 2.1%
"Hart County, Kentucky",20.30%,± 2.1%
"Hartley County, Texas",10.60%,± 2.8%
"Harvey County, Kansas",14.20%,± 1.3%
"Haskell County, Kansas",8.80%,± 1.9%
"Haskell County, Oklahoma",23.40%,± 1.6%
"Haskell County, Texas",23.30%,± 2.9%
"Hatillo Municipio, Puerto Rico",21.40%,± 1.9%
"Hawaii County, Hawaii",15.30%,± 0.7%
"Hawkins County, Tennessee",23%,± 1.5%
"Hayes County, Nebraska",14.50%,± 4.6%
"Hays County, Texas",11.10%,± 0.7%
"Haywood County, North Carolina",17.20%,± 1.3%
"Haywood County, Tennessee",25%,± 2.5%
"Heard County, Georgia",23.90%,± 2.5%
"Hemphill County, Texas",18.90%,± 3.8%
"Hempstead County, Arkansas",20.10%,± 2.2%
"Henderson County, Illinois",17.30%,± 2.6%
"Henderson County, Kentucky",23.30%,± 1.6%
"Henderson County, North Carolina",14.80%,± 0.8%
"Henderson County, Tennessee",18%,± 2%
"Henderson County, Texas",17.80%,± 1%
"Hendricks County, Indiana",9.50%,± 0.6%
"Hendry County, Florida",12.20%,± 1.7%
"Hennepin County, Minnesota",10.10%,± 0.2%
"Henrico County, Virginia",11.70%,± 0.5%
"Henry County, Alabama",20.60%,± 2.2%
"Henry County, Georgia",10%,± 0.7%
"Henry County, Illinois",13.50%,± 1.1%
"Henry County, Indiana",19.60%,± 1.1%
"Henry County, Iowa",14.10%,± 1.7%
"Henry County, Kentucky",18.40%,± 1.8%
"Henry County, Missouri",19.70%,± 1.8%
"Henry County, Ohio",12.90%,± 1.5%
"Henry County, Tennessee",22.90%,± 1.9%
"Henry County, Virginia",21.60%,± 1.3%
"Herkimer County, New York",15.40%,± 1%
"Hernando County, Florida",19%,± 0.8%
"Hertford County, North Carolina",20.90%,± 1.6%
"Hettinger County, North Dakota",18.60%,± 3.3%
"Hickman County, Kentucky",20.30%,± 3.7%
"Hickman County, Tennessee",19.90%,± 2%
"Hickory County, Missouri",26.90%,± 3.5%
"Hidalgo County, New Mexico",17.50%,± 3.1%
"Hidalgo County, Texas",12.10%,± 0.4%
"Highland County, Ohio",17.50%,± 1.4%
"Highland County, Virginia",20.90%,± 4.8%
"Highlands County, Florida",20.30%,± 1.2%
"Hill County, Montana",11.90%,± 1.6%
"Hill County, Texas",17.40%,± 1.1%
"Hillsborough County, Florida",11.80%,± 0.2%
"Hillsborough County, New Hampshire",11.70%,± 0.5%
"Hillsdale County, Michigan",15.20%,± 0.9%
"Hinds County, Mississippi",14.60%,± 0.7%
"Hinsdale County, Colorado",17.20%,± 4.5%
"Hitchcock County, Nebraska",20.70%,± 3.1%
"Hocking County, Ohio",17.80%,± 1.8%
"Hockley County, Texas",15.70%,± 1.3%
"Hodgeman County, Kansas",17.10%,± 3.7%
"Hoke County, North Carolina",18.10%,± 1.4%
"Holmes County, Florida",18.80%,± 1.8%
"Holmes County, Mississippi",32.10%,± 3.1%
"Holmes County, Ohio",7.80%,± 1.1%
"Holt County, Missouri",19.60%,± 1.8%
"Holt County, Nebraska",12.50%,± 2%
"Honolulu County, Hawaii",11.70%,± 0.2%
"Hood County, Texas",12.90%,± 1.2%
"Hood River County, Oregon",12.10%,± 1.5%
"Hooker County, Nebraska",12.80%,± 5.3%
"Hoonah-Angoon Census Area, Alaska",19.90%,± 3.2%
"Hopewell city, Virginia",16.40%,± 2.1%
"Hopkins County, Kentucky",26.10%,± 1.7%
"Hopkins County, Texas",14.30%,± 1.2%
"Hormigueros Municipio, Puerto Rico",28.50%,± 2.8%
"Horry County, South Carolina",17.50%,± 0.7%
"Hot Spring County, Arkansas",24.70%,± 1.9%
"Hot Springs County, Wyoming",18.90%,± 3.6%
"Houghton County, Michigan",11.40%,± 0.8%
"Houston County, Alabama",16.80%,± 0.6%
"Houston County, Georgia",12.60%,± 0.9%
"Houston County, Minnesota",11.40%,± 1.2%
"Houston County, Tennessee",19.30%,± 2.4%
"Houston County, Texas",22.40%,± 2.6%
"Howard County, Arkansas",18.40%,± 2.8%
"Howard County, Indiana",17.30%,± 1.2%
"Howard County, Iowa",10.40%,± 1.6%
"Howard County, Maryland",8.40%,± 0.4%
"Howard County, Missouri",16.40%,± 2%
"Howard County, Nebraska",14%,± 2%
"Howard County, Texas",16.20%,± 1.7%
"Howell County, Missouri",19.20%,± 1.5%
"Hubbard County, Minnesota",14.70%,± 1%
"Hudson County, New Jersey",8.60%,± 0.3%
"Hudspeth County, Texas",32.30%,± 8.1%
"Huerfano County, Colorado",20.60%,± 3.8%
"Hughes County, Oklahoma",20.30%,± 1.8%
"Hughes County, South Dakota",12.50%,± 2.2%
"Humacao Municipio, Puerto Rico",9.40%,± 1.1%
"Humboldt County, California",17.90%,± 1%
"Humboldt County, Iowa",15%,± 2%
"Humboldt County, Nevada",14.60%,± 2.1%
"Humphreys County, Mississippi",27.70%,± 3.9%
"Humphreys County, Tennessee",17.20%,± 2.2%
"Hunt County, Texas",15.40%,± 0.9%
"Hunterdon County, New Jersey",8.80%,± 0.7%
"Huntingdon County, Pennsylvania",16.90%,± 0.9%
"Huntington County, Indiana",14.40%,± 1.3%
"Huron County, Michigan",15.90%,± 0.7%
"Huron County, Ohio",15.40%,± 1%
"Hutchinson County, South Dakota",13%,± 1.6%
"Hutchinson County, Texas",16.60%,± 1.9%
"Hyde County, North Carolina",18.80%,± 6.7%
"Hyde County, South Dakota",10.60%,± 2.4%
"Iberia Parish, Louisiana",16.80%,± 1.3%
"Iberville Parish, Louisiana",16.50%,± 1.8%
"Ida County, Iowa",12.20%,± 1.7%
"Idaho County, Idaho",18%,± 2.1%
"Imperial County, California",14.20%,± 0.8%
"Independence County, Arkansas",19.60%,± 2%
"Indian River County, Florida",16.20%,± 1%
"Indiana County, Pennsylvania",16.40%,± 1%
"Ingham County, Michigan",13.60%,± 0.5%
"Inyo County, California",16.70%,± 1.8%
"Ionia County, Michigan",13.30%,± 0.9%
"Iosco County, Michigan",20.70%,± 1.3%
"Iowa County, Iowa",13.50%,± 1.8%
"Iowa County, Wisconsin",11.80%,± 1%
"Iredell County, North Carolina",11.80%,± 0.6%
"Irion County, Texas",13%,± 3.9%
"Iron County, Michigan",20.80%,± 2%
"Iron County, Missouri",22.90%,± 2.1%
"Iron County, Utah",11.10%,± 1%
"Iron County, Wisconsin",16.60%,± 1.5%
"Iroquois County, Illinois",17.50%,± 1.4%
"Irwin County, Georgia",9.10%,± 2.3%
"Isabela Municipio, Puerto Rico",26.50%,± 2.2%
"Isabella County, Michigan",14.40%,± 0.9%
"Isanti County, Minnesota",12.70%,± 1%
"Island County, Washington",15.70%,± 1.1%
"Isle of Wight County, Virginia",14.70%,± 1.3%
"Issaquena County, Mississippi",37.70%,± 9.4%
"Itasca County, Minnesota",18%,± 1.1%
"Itawamba County, Mississippi",14.90%,± 1.7%
"Izard County, Arkansas",26.20%,± 3%
"Jack County, Texas",13.80%,± 2.1%
"Jackson County, Alabama",21.70%,± 1.4%
"Jackson County, Arkansas",23.20%,± 2.3%
"Jackson County, Colorado",12.70%,± 4.6%
"Jackson County, Florida",20.10%,± 1.6%
"Jackson County, Georgia",14%,± 1.2%
"Jackson County, Illinois",16.40%,± 1%
"Jackson County, Indiana",14.80%,± 1.3%
"Jackson County, Iowa",12.10%,± 1.2%
"Jackson County, Kansas",16.60%,± 1.8%
"Jackson County, Kentucky",24.10%,± 3.1%
"Jackson County, Michigan",14.90%,± 0.8%
"Jackson County, Minnesota",14.30%,± 1.8%
"Jackson County, Mississippi",20.50%,± 1.2%
"Jackson County, Missouri",12.90%,± 0.3%
"Jackson County, North Carolina",13.20%,± 1.3%
"Jackson County, Ohio",21.60%,± 2.2%
"Jackson County, Oklahoma",15.50%,± 1.5%
"Jackson County, Oregon",16%,± 0.6%
"Jackson County, South Dakota",9.40%,± 2.4%
"Jackson County, Tennessee",25.90%,± 3.2%
"Jackson County, Texas",15%,± 2.7%
"Jackson County, West Virginia",21.10%,± 2.4%
"Jackson County, Wisconsin",13.80%,± 1.1%
"Jackson Parish, Louisiana",20.70%,± 2.4%
"James City County, Virginia",13.10%,± 1%
"Jasper County, Georgia",15.90%,± 2.5%
"Jasper County, Illinois",16.80%,± 2.3%
"Jasper County, Indiana",15.60%,± 1.7%
"Jasper County, Iowa",13.20%,± 1%
"Jasper County, Mississippi",19.40%,± 2.5%
"Jasper County, Missouri",15.80%,± 0.9%
"Jasper County, South Carolina",14%,± 1.8%
"Jasper County, Texas",13.90%,± 1.5%
"Jay County, Indiana",17.50%,± 1.8%
"Jayuya Municipio, Puerto Rico",24.30%,± 3.5%
"Jeff Davis County, Georgia",20.60%,± 3.9%
"Jeff Davis County, Texas",15.20%,± 7.9%
"Jefferson County, Alabama",14.90%,± 0.4%
"Jefferson County, Arkansas",19.10%,± 1.3%
"Jefferson County, Colorado",10.50%,± 0.3%
"Jefferson County, Florida",20.20%,± 2.3%
"Jefferson County, Georgia",15.30%,± 2.3%
"Jefferson County, Idaho",10.70%,± 1.3%
"Jefferson County, Illinois",18.90%,± 1.3%
"Jefferson County, Indiana",19.20%,± 2%
"Jefferson County, Iowa",14.20%,± 1.8%
"Jefferson County, Kansas",14%,± 1.5%
"Jefferson County, Kentucky",14.10%,± 0.3%
"Jefferson County, Mississippi",14.50%,± 3.8%
"Jefferson County, Missouri",13.70%,± 0.7%
"Jefferson County, Montana",17.10%,± 2.4%
"Jefferson County, Nebraska",20%,± 3.2%
"Jefferson County, New York",14.60%,± 0.7%
"Jefferson County, Ohio",17.30%,± 1%
"Jefferson County, Oklahoma",26.30%,± 2.4%
"Jefferson County, Oregon",20.10%,± 1.6%
"Jefferson County, Pennsylvania",15.30%,± 0.8%
"Jefferson County, Tennessee",20.40%,± 1.6%
"Jefferson County, Texas",15.10%,± 0.6%
"Jefferson County, Washington",19.90%,± 2%
"Jefferson County, West Virginia",13.10%,± 1.1%
"Jefferson County, Wisconsin",11.70%,± 0.8%
"Jefferson Davis County, Mississippi",21.30%,± 2.6%
"Jefferson Davis Parish, Louisiana",16.40%,± 1.4%
"Jefferson Parish, Louisiana",15.80%,± 0.5%
"Jenkins County, Georgia",21.90%,± 4.8%
"Jennings County, Indiana",19.10%,± 1.9%
"Jerauld County, South Dakota",16%,± 3.7%
"Jerome County, Idaho",11.90%,± 1.6%
"Jersey County, Illinois",14.80%,± 1.9%
"Jessamine County, Kentucky",14.90%,± 1.3%
"Jewell County, Kansas",16.90%,± 2.4%
"Jim Hogg County, Texas",13.50%,± 4.4%
"Jim Wells County, Texas",17.30%,± 1.8%
"Jo Daviess County, Illinois",15.20%,± 1.6%
"Johnson County, Arkansas",20.60%,± 1.7%
"Johnson County, Georgia",19.90%,± 2.2%
"Johnson County, Illinois",16.80%,± 1.6%
"Johnson County, Indiana",10.90%,± 0.7%
"Johnson County, Iowa",9%,± 0.6%
"Johnson County, Kansas",8.90%,± 0.4%
"Johnson County, Kentucky",25.30%,± 2.4%
"Johnson County, Missouri",12.70%,± 1.2%
"Johnson County, Nebraska",18.50%,± 2.7%
"Johnson County, Tennessee",21.90%,± 2.5%
"Johnson County, Texas",10.80%,± 0.7%
"Johnson County, Wyoming",13.30%,± 3.4%
"Johnston County, North Carolina",12.80%,± 0.8%
"Johnston County, Oklahoma",25.30%,± 2.1%
"Jones County, Georgia",14.40%,± 1.6%
"Jones County, Iowa",13.10%,± 1.9%
"Jones County, Mississippi",16.30%,± 1.5%
"Jones County, North Carolina",20.50%,± 2.6%
"Jones County, South Dakota",4.50%,± 2.3%
"Jones County, Texas",17.40%,± 1.9%
"Josephine County, Oregon",21.10%,± 1.3%
"Juab County, Utah",12.40%,± 2.3%
"Juana Díaz Municipio, Puerto Rico",25%,± 1.6%
"Judith Basin County, Montana",12.10%,± 3.3%
"Juncos Municipio, Puerto Rico",25.60%,± 2.2%
"Juneau City and Borough, Alaska",11.50%,± 1.4%
"Juneau County, Wisconsin",16.90%,± 1.3%
"Juniata County, Pennsylvania",13.30%,± 1.2%
"Kalamazoo County, Michigan",12.40%,± 0.5%
"Kalawao County, Hawaii",21.30%,± 14.9%
"Kalkaska County, Michigan",18.60%,± 1.7%
"Kanabec County, Minnesota",15.90%,± 1.2%
"Kanawha County, West Virginia",18.80%,± 0.7%
"Kandiyohi County, Minnesota",13.20%,± 0.9%
"Kane County, Illinois",9.10%,± 0.4%
"Kane County, Utah",18.30%,± 3.7%
"Kankakee County, Illinois",14.60%,± 0.7%
"Karnes County, Texas",13.50%,± 2.3%
"Kauai County, Hawaii",11.10%,± 0.8%
"Kaufman County, Texas",10.90%,± 0.8%
"Kay County, Oklahoma",19%,± 0.9%
"Kearney County, Nebraska",8.90%,± 2%
"Kearny County, Kansas",13.20%,± 3.1%
"Keith County, Nebraska",14.80%,± 2.1%
"Kemper County, Mississippi",21.60%,± 4.1%
"Kenai Peninsula Borough, Alaska",15.50%,± 1.1%
"Kendall County, Illinois",7.30%,± 0.9%
"Kendall County, Texas",11.50%,± 1.3%
"Kenedy County, Texas",25%,± 26%
"Kennebec County, Maine",16.60%,± 0.8%
"Kenosha County, Wisconsin",13%,± 0.7%
"Kent County, Delaware",16.60%,± 0.8%
"Kent County, Maryland",15%,± 1.9%
"Kent County, Michigan",10.70%,± 0.3%
"Kent County, Rhode Island",14.80%,± 0.8%
"Kent County, Texas",20.10%,± 9.4%
"Kenton County, Kentucky",13.50%,± 0.7%
"Keokuk County, Iowa",17.40%,± 1.6%
"Kern County, California",11.40%,± 0.4%
"Kerr County, Texas",16.10%,± 1.5%
"Kershaw County, South Carolina",16.40%,± 1.3%
"Ketchikan Gateway Borough, Alaska",14.10%,± 1.1%
"Kewaunee County, Wisconsin",12.20%,± 1.2%
"Keweenaw County, Michigan",13.20%,± 2.1%
"Keya Paha County, Nebraska",11.30%,± 3.5%
"Kidder County, North Dakota",10.60%,± 2.4%
"Kimball County, Nebraska",19.10%,± 3.5%
"Kimble County, Texas",18.80%,± 4.3%
"King and Queen County, Virginia",15.10%,± 3%
"King County, Texas",12.50%,± 9.7%
"King County, Washington",10%,± 0.1%
"King George County, Virginia",9.40%,± 1.1%
"King William County, Virginia",12.70%,± 2.1%
"Kingfisher County, Oklahoma",12.70%,± 1.9%
"Kingman County, Kansas",16.40%,± 2.7%
"Kings County, California",12.40%,± 0.7%
"Kings County, New York",10.30%,± 0.2%
"Kingsbury County, South Dakota",11.20%,± 1.8%
"Kinney County, Texas",34%,± 11.3%
"Kiowa County, Colorado",9.60%,± 3%
"Kiowa County, Kansas",16.10%,± 2.6%
"Kiowa County, Oklahoma",22%,± 2.3%
"Kit Carson County, Colorado",15.90%,± 2.1%
"Kitsap County, Washington",14.70%,± 0.6%
"Kittitas County, Washington",13%,± 1.2%
"Kittson County, Minnesota",10.90%,± 2%
"Klamath County, Oregon",19.60%,± 1.2%
"Kleberg County, Texas",14.20%,± 1.9%
"Klickitat County, Washington",16.10%,± 1.9%
"Knott County, Kentucky",27.60%,± 2.2%
"Knox County, Illinois",15%,± 1.2%
"Knox County, Indiana",17.40%,± 1.8%
"Knox County, Kentucky",21.80%,± 2.1%
"Knox County, Maine",13.10%,± 1.4%
"Knox County, Missouri",17%,± 3.4%
"Knox County, Nebraska",16.50%,± 1.7%
"Knox County, Ohio",13.80%,± 1.2%
"Knox County, Tennessee",12.30%,± 0.4%
"Knox County, Texas",19.80%,± 3.4%
"Kodiak Island Borough, Alaska",9.20%,± 1.9%
"Koochiching County, Minnesota",19%,± 2.2%
"Kootenai County, Idaho",14.80%,± 0.9%
"Kosciusko County, Indiana",13.60%,± 1.1%
"Kossuth County, Iowa",16.30%,± 1.8%
"Kusilvak Census Area, Alaska",13.70%,± 1.5%
"La Crosse County, Wisconsin",11.40%,± 0.8%
"La Paz County, Arizona",23.20%,± 2.7%
"La Plata County, Colorado",10.10%,± 0.8%
"La Salle County, Texas",10.10%,± 3.7%
"Labette County, Kansas",20.70%,± 2.3%
"Lac qui Parle County, Minnesota",15.90%,± 1.4%
"Lackawanna County, Pennsylvania",16%,± 0.6%
"Laclede County, Missouri",18.20%,± 1.5%
"Lafayette County, Arkansas",21.70%,± 2.5%
"Lafayette County, Florida",21%,± 5.3%
"Lafayette County, Mississippi",9.50%,± 1.1%
"Lafayette County, Missouri",16.10%,± 2%
"Lafayette County, Wisconsin",10.70%,± 1.1%
"Lafayette Parish, Louisiana",12.20%,± 0.7%
"Lafourche Parish, Louisiana",17.20%,± 1.1%
"LaGrange County, Indiana",10.90%,± 1%
"Lajas Municipio, Puerto Rico",26.90%,± 2.6%
"Lake and Peninsula Borough, Alaska",13.70%,± 2.7%
"Lake County, California",19.80%,± 1.1%
"Lake County, Colorado",11%,± 4.2%
"Lake County, Florida",16.30%,± 0.6%
"Lake County, Illinois",9.70%,± 0.3%
"Lake County, Indiana",13.30%,± 0.4%
"Lake County, Michigan",26%,± 1.8%
"Lake County, Minnesota",15.70%,± 1.8%
"Lake County, Montana",15.20%,± 1.2%
"Lake County, Ohio",13.50%,± 0.5%
"Lake County, Oregon",18.90%,± 2.9%
"Lake County, South Dakota",12.90%,± 1.9%
"Lake County, Tennessee",27.90%,± 4.2%
"Lake of the Woods County, Minnesota",12.60%,± 3%
"Lamar County, Alabama",22.40%,± 2.6%
"Lamar County, Georgia",16.20%,± 2.6%
"Lamar County, Mississippi",14.50%,± 1.3%
"Lamar County, Texas",18.90%,± 1.4%
"Lamb County, Texas",16.30%,± 1.8%
"Lamoille County, Vermont",12.70%,± 1.1%
"LaMoure County, North Dakota",11.60%,± 1.5%
"Lampasas County, Texas",22.90%,± 2.3%
"Lancaster County, Nebraska",11.30%,± 0.4%
"Lancaster County, Pennsylvania",11.40%,± 0.4%
"Lancaster County, South Carolina",14.10%,± 1.2%
"Lancaster County, Virginia",19.80%,± 3.1%
"Lander County, Nevada",14.20%,± 4.1%
"Lane County, Kansas",16.30%,± 4.2%
"Lane County, Oregon",17.20%,± 0.6%
"Langlade County, Wisconsin",16.60%,± 1.5%
"Lanier County, Georgia",14.30%,± 3%
"Lapeer County, Michigan",14.40%,± 0.9%
"LaPorte County, Indiana",14.30%,± 1%
"Laramie County, Wyoming",14%,± 0.8%
"Lares Municipio, Puerto Rico",21.50%,± 1.9%
"Larimer County, Colorado",10%,± 0.5%
"Larue County, Kentucky",18.10%,± 2.3%
"Las Animas County, Colorado",23.30%,± 1.8%
"Las Marías Municipio, Puerto Rico",10.80%,± 3%
"Las Piedras Municipio, Puerto Rico",13.50%,± 1.6%
"LaSalle County, Illinois",13.60%,± 0.7%
"LaSalle Parish, Louisiana",15.20%,± 2.7%
"Lassen County, California",17.90%,± 1.7%
"Latah County, Idaho",12.30%,± 1.1%
"Latimer County, Oklahoma",21.90%,± 1.9%
"Lauderdale County, Alabama",15.30%,± 0.9%
"Lauderdale County, Mississippi",17.90%,± 1.3%
"Lauderdale County, Tennessee",22.70%,± 2%
"Laurel County, Kentucky",17.80%,± 1.3%
"Laurens County, Georgia",16.20%,± 1.4%
"Laurens County, South Carolina",17.20%,± 0.9%
"Lavaca County, Texas",14.40%,± 1.6%
"Lawrence County, Alabama",21.40%,± 2.1%
"Lawrence County, Arkansas",23.40%,± 2.1%
"Lawrence County, Illinois",19.40%,± 2.5%
"Lawrence County, Indiana",18.10%,± 1.3%
"Lawrence County, Kentucky",25.10%,± 3.1%
"Lawrence County, Mississippi",27.30%,± 3.8%
"Lawrence County, Missouri",16.50%,± 1.5%
"Lawrence County, Ohio",23.20%,± 1.5%
"Lawrence County, Pennsylvania",17.70%,± 0.9%
"Lawrence County, South Dakota",17.10%,± 1.8%
"Lawrence County, Tennessee",17.50%,± 1.3%
"Le Flore County, Oklahoma",21.20%,± 0.8%
"Le Sueur County, Minnesota",10.40%,± 0.9%
"Lea County, New Mexico",11.80%,± 1.3%
"Leake County, Mississippi",23.30%,± 2.1%
"Leavenworth County, Kansas",13.40%,± 1.1%
"Lebanon County, Pennsylvania",13.50%,± 0.7%
"Lee County, Alabama",13.20%,± 0.9%
"Lee County, Arkansas",24.80%,± 3.2%
"Lee County, Florida",13.80%,± 0.4%
"Lee County, Georgia",11.90%,± 1.7%
"Lee County, Illinois",16.60%,± 1.4%
"Lee County, Iowa",16.20%,± 1.4%
"Lee County, Kentucky",28.50%,± 3.1%
"Lee County, Mississippi",14%,± 0.9%
"Lee County, North Carolina",17.40%,± 1.4%
"Lee County, South Carolina",19%,± 2.6%
"Lee County, Texas",15.60%,± 2.6%
"Lee County, Virginia",29.70%,± 2.7%
"Leelanau County, Michigan",13.90%,± 1.3%
"Leflore County, Mississippi",13.40%,± 1.9%
"Lehigh County, Pennsylvania",12.90%,± 0.4%
"Lemhi County, Idaho",20.70%,± 3.7%
"Lenawee County, Michigan",14.10%,± 0.8%
"Lenoir County, North Carolina",23.40%,± 1.5%
"Leon County, Florida",11.90%,± 0.5%
"Leon County, Texas",22.50%,± 2.8%
"Leslie County, Kentucky",27.80%,± 3.8%
"Letcher County, Kentucky",31.20%,± 2.3%
"Levy County, Florida",19.90%,± 1.7%
"Lewis and Clark County, Montana",14%,± 1.2%
"Lewis County, Idaho",24.50%,± 2.3%
"Lewis County, Kentucky",20.80%,± 2.5%
"Lewis County, Missouri",14.20%,± 1.9%
"Lewis County, New York",15%,± 1.1%
"Lewis County, Tennessee",21.50%,± 3.3%
"Lewis County, Washington",19.50%,± 1%
"Lewis County, West Virginia",17.80%,± 2.3%
"Lexington city, Virginia",11.70%,± 3.5%
"Lexington County, South Carolina",13.90%,± 0.5%
"Liberty County, Florida",24.20%,± 3.9%
"Liberty County, Georgia",15.50%,± 1.3%
"Liberty County, Montana",19.80%,± 4.3%
"Liberty County, Texas",16.20%,± 1.3%
"Licking County, Ohio",15.20%,± 0.7%
"Limestone County, Alabama",14.30%,± 1%
"Limestone County, Texas",16.80%,± 1.6%
"Lincoln County, Arkansas",17.80%,± 2.4%
"Lincoln County, Colorado",15%,± 2.3%
"Lincoln County, Georgia",18.80%,± 2.8%
"Lincoln County, Idaho",13.30%,± 2.1%
"Lincoln County, Kansas",16.50%,± 2.6%
"Lincoln County, Kentucky",17.70%,± 2%
"Lincoln County, Maine",16%,± 1.3%
"Lincoln County, Minnesota",13.20%,± 1.2%
"Lincoln County, Mississippi",14.90%,± 1.5%
"Lincoln County, Missouri",14.40%,± 1.3%
"Lincoln County, Montana",22.20%,± 1.9%
"Lincoln County, Nebraska",15.30%,± 1.5%
"Lincoln County, Nevada",21.30%,± 5.6%
"Lincoln County, New Mexico",23.10%,± 2.5%
"Lincoln County, North Carolina",15.20%,± 1.3%
"Lincoln County, Oklahoma",20.20%,± 1%
"Lincoln County, Oregon",22.40%,± 1.4%
"Lincoln County, South Dakota",7.90%,± 0.9%
"Lincoln County, Tennessee",16.50%,± 1.6%
