Geography,Total—Total households—SELECTED HOUSEHOLDS BY TYPE—Households with one or more people under 18 years—Estimate,MoE
"Greene County, Pennsylvania",28.10%,± 1.8%
"Greene County, Tennessee",27.60%,± 1.7%
"Greene County, Virginia",35.20%,± 2.5%
"Greenlee County, Arizona",34.70%,± 4.6%
"Greensville County, Virginia",31%,± 5.3%
"Greenup County, Kentucky",29.60%,± 2.1%
"Greenville County, South Carolina",31%,± 0.7%
"Greenwood County, Kansas",28.50%,± 2.2%
"Greenwood County, South Carolina",28%,± 1.6%
"Greer County, Oklahoma",35.90%,± 6.2%
"Gregg County, Texas",33.60%,± 1.2%
"Gregory County, South Dakota",21.60%,± 3%
"Grenada County, Mississippi",26.10%,± 3.6%
"Griggs County, North Dakota",20.50%,± 3.2%
"Grimes County, Texas",33.10%,± 3.1%
"Grundy County, Illinois",35.20%,± 1.9%
"Grundy County, Iowa",31.50%,± 2.4%
"Grundy County, Missouri",24.90%,± 3.2%
"Grundy County, Tennessee",26.40%,± 2.8%
"Guadalupe County, New Mexico",20.60%,± 6.5%
"Guadalupe County, Texas",38.70%,± 1.6%
"Guánica Municipio, Puerto Rico",26.40%,± 3.7%
"Guayama Municipio, Puerto Rico",25.20%,± 2.4%
"Guayanilla Municipio, Puerto Rico",29.20%,± 3.4%
"Guaynabo Municipio, Puerto Rico",22.10%,± 1.6%
"Guernsey County, Ohio",27.30%,± 1.9%
"Guilford County, North Carolina",30.40%,± 0.7%
"Gulf County, Florida",25.70%,± 2.6%
"Gunnison County, Colorado",21.60%,± 2.9%
"Gurabo Municipio, Puerto Rico",30.40%,± 3.3%
"Guthrie County, Iowa",28.10%,± 2.1%
"Gwinnett County, Georgia",40.20%,± 0.8%
"Haakon County, South Dakota",23.30%,± 5.9%
"Habersham County, Georgia",29.40%,± 2.4%
"Haines Borough, Alaska",20.50%,± 7.6%
"Hale County, Alabama",23.60%,± 3.8%
"Hale County, Texas",38%,± 3%
"Halifax County, North Carolina",27.30%,± 2.1%
"Halifax County, Virginia",26.30%,± 2.5%
"Hall County, Georgia",35.80%,± 1.2%
"Hall County, Nebraska",35.10%,± 1.9%
"Hall County, Texas",30%,± 7%
"Hamblen County, Tennessee",31.30%,± 2.6%
"Hamilton County, Florida",28%,± 3.6%
"Hamilton County, Illinois",26.80%,± 3.5%
"Hamilton County, Indiana",39.10%,± 1%
"Hamilton County, Iowa",27%,± 2.5%
"Hamilton County, Kansas",32.30%,± 8.1%
"Hamilton County, Nebraska",31.90%,± 2.5%
"Hamilton County, New York",20.10%,± 3.2%
"Hamilton County, Ohio",27.70%,± 0.5%
"Hamilton County, Tennessee",27%,± 0.7%
"Hamilton County, Texas",21.60%,± 3.3%
"Hamlin County, South Dakota",37.70%,± 2.9%
"Hampden County, Massachusetts",28.60%,± 0.7%
"Hampshire County, Massachusetts",22.80%,± 1%
"Hampshire County, West Virginia",20.10%,± 3.8%
"Hampton city, Virginia",29.50%,± 1.4%
"Hampton County, South Carolina",27.90%,± 3.7%
"Hancock County, Georgia",15.90%,± 4.8%
"Hancock County, Illinois",24%,± 1.9%
"Hancock County, Indiana",32.40%,± 1.7%
"Hancock County, Iowa",26.40%,± 2%
"Hancock County, Kentucky",32.90%,± 3.7%
"Hancock County, Maine",21.10%,± 1.3%
"Hancock County, Mississippi",30.90%,± 3.1%
"Hancock County, Ohio",28.50%,± 1.6%
"Hancock County, Tennessee",29.40%,± 3.8%
"Hancock County, West Virginia",22.30%,± 2.2%
"Hand County, South Dakota",23.20%,± 3%
"Hanover County, Virginia",31.10%,± 1.5%
"Hansford County, Texas",35.40%,± 5.7%
"Hanson County, South Dakota",30.80%,± 5%
"Haralson County, Georgia",35%,± 3%
"Hardee County, Florida",41.10%,± 3.6%
"Hardeman County, Tennessee",24.30%,± 2.6%
"Hardeman County, Texas",25.50%,± 5.5%
"Hardin County, Illinois",19.10%,± 4.5%
"Hardin County, Iowa",24.60%,± 1.7%
"Hardin County, Kentucky",32.50%,± 1.6%
"Hardin County, Ohio",29.40%,± 2.2%
"Hardin County, Tennessee",26.70%,± 3.1%
"Hardin County, Texas",34.50%,± 2.4%
"Harding County, New Mexico",12.30%,± 6.5%
"Harding County, South Dakota",23.70%,± 6.3%
"Hardy County, West Virginia",24.30%,± 3.3%
"Harford County, Maryland",31.90%,± 1%
"Harlan County, Kentucky",29.60%,± 2.8%
"Harlan County, Nebraska",24.60%,± 3.9%
"Harmon County, Oklahoma",34.70%,± 6.1%
"Harnett County, North Carolina",35.30%,± 1.2%
"Harney County, Oregon",25.90%,± 3.8%
"Harper County, Kansas",27.30%,± 3%
"Harper County, Oklahoma",41.40%,± 5.9%
"Harris County, Georgia",33.20%,± 2%
"Harris County, Texas",36.40%,± 0.3%
"Harrison County, Indiana",30.40%,± 2.4%
"Harrison County, Iowa",29.70%,± 1.9%
"Harrison County, Kentucky",32.50%,± 3.4%
"Harrison County, Mississippi",32.70%,± 1.1%
"Harrison County, Missouri",27.30%,± 2.9%
"Harrison County, Ohio",25.30%,± 2.7%
"Harrison County, Texas",33.60%,± 2.3%
"Harrison County, West Virginia",25.90%,± 1.4%
"Harrisonburg city, Virginia",28.40%,± 1.9%
"Hart County, Georgia",24.50%,± 2.7%
"Hart County, Kentucky",29.50%,± 2.8%
"Hartley County, Texas",35.70%,± 5.3%
"Harvey County, Kansas",31.20%,± 2.3%
"Haskell County, Kansas",32.10%,± 4.2%
"Haskell County, Oklahoma",30.30%,± 2.4%
"Haskell County, Texas",26.50%,± 3.9%
"Hatillo Municipio, Puerto Rico",27.50%,± 2.9%
"Hawaii County, Hawaii",28%,± 1.2%
"Hawkins County, Tennessee",29%,± 2.1%
"Hayes County, Nebraska",22.70%,± 5.9%
"Hays County, Texas",32.40%,± 1.3%
"Haywood County, North Carolina",24.40%,± 2%
"Haywood County, Tennessee",29.10%,± 2.7%
"Heard County, Georgia",35.20%,± 4.2%
"Hemphill County, Texas",34.10%,± 6.5%
"Hempstead County, Arkansas",29.10%,± 2.7%
"Henderson County, Illinois",23%,± 3.1%
"Henderson County, Kentucky",31.60%,± 1.9%
"Henderson County, North Carolina",23.90%,± 1.3%
"Henderson County, Tennessee",31%,± 2.9%
"Henderson County, Texas",27.10%,± 1.6%
"Hendricks County, Indiana",38.20%,± 1.4%
"Hendry County, Florida",37.80%,± 4%
"Hennepin County, Minnesota",27.10%,± 0.4%
"Henrico County, Virginia",30.30%,± 0.9%
"Henry County, Alabama",25.90%,± 2.9%
"Henry County, Georgia",37%,± 1.6%
"Henry County, Illinois",30%,± 1.6%
"Henry County, Indiana",28.30%,± 1.7%
"Henry County, Iowa",29.20%,± 2.4%
"Henry County, Kentucky",32.80%,± 3.1%
"Henry County, Missouri",29.20%,± 2.3%
"Henry County, Ohio",29.20%,± 1.8%
"Henry County, Tennessee",23.80%,± 2%
"Henry County, Virginia",21.10%,± 1.6%
"Herkimer County, New York",23.90%,± 1.4%
"Hernando County, Florida",25.40%,± 1%
"Hertford County, North Carolina",24.30%,± 2.6%
"Hettinger County, North Dakota",20.40%,± 3.3%
"Hickman County, Kentucky",30.70%,± 6.7%
"Hickman County, Tennessee",26.20%,± 3.6%
"Hickory County, Missouri",13.30%,± 2.9%
"Hidalgo County, New Mexico",26.60%,± 5.3%
"Hidalgo County, Texas",46.60%,± 0.8%
"Highland County, Ohio",30.80%,± 2%
"Highland County, Virginia",16.20%,± 4.5%
"Highlands County, Florida",21.10%,± 1.3%
"Hill County, Montana",33.10%,± 3.2%
"Hill County, Texas",30.10%,± 1.8%
"Hillsborough County, Florida",30.10%,± 0.5%
"Hillsborough County, New Hampshire",28.50%,± 0.7%
"Hillsdale County, Michigan",27.20%,± 1.3%
"Hinds County, Mississippi",29.60%,± 1.1%
"Hinsdale County, Colorado",19.50%,± 9.3%
"Hitchcock County, Nebraska",26.10%,± 2.9%
"Hocking County, Ohio",31.60%,± 2.2%
"Hockley County, Texas",36.90%,± 2.7%
"Hodgeman County, Kansas",24.50%,± 4.7%
"Hoke County, North Carolina",36.10%,± 1.9%
"Holmes County, Florida",32.20%,± 3.9%
"Holmes County, Mississippi",27.50%,± 3.9%
"Holmes County, Ohio",40.10%,± 2%
"Holt County, Missouri",26.30%,± 2.5%
"Holt County, Nebraska",26.40%,± 3%
"Honolulu County, Hawaii",31.10%,± 0.4%
"Hood County, Texas",28.30%,± 1.7%
"Hood River County, Oregon",32.40%,± 3%
"Hooker County, Nebraska",22.30%,± 6.5%
"Hoonah-Angoon Census Area, Alaska",16.10%,± 5.1%
"Hopewell city, Virginia",33.90%,± 3.4%
"Hopkins County, Kentucky",31%,± 2%
"Hopkins County, Texas",33.10%,± 2.2%
"Hormigueros Municipio, Puerto Rico",25.60%,± 3.3%
"Horry County, South Carolina",22.60%,± 0.8%
"Hot Spring County, Arkansas",30%,± 2.9%
"Hot Springs County, Wyoming",23.40%,± 5%
"Houghton County, Michigan",23.90%,± 1.4%
"Houston County, Alabama",28.90%,± 0.8%
"Houston County, Georgia",35.90%,± 1.6%
"Houston County, Minnesota",25.30%,± 1.8%
"Houston County, Tennessee",23.30%,± 3.6%
"Houston County, Texas",27.60%,± 2.9%
"Howard County, Arkansas",31.10%,± 3.5%
"Howard County, Indiana",27.50%,± 1.4%
"Howard County, Iowa",29.70%,± 3.5%
"Howard County, Maryland",36.90%,± 0.8%
"Howard County, Missouri",26.70%,± 2.7%
"Howard County, Nebraska",31.30%,± 3.2%
"Howard County, Texas",37.20%,± 2.7%
"Howell County, Missouri",29.20%,± 2.3%
"Hubbard County, Minnesota",24%,± 1.5%
"Hudson County, New Jersey",28.40%,± 0.6%
"Hudspeth County, Texas",38.40%,± 10%
"Huerfano County, Colorado",15.80%,± 3.6%
"Hughes County, Oklahoma",25.80%,± 2.5%
"Hughes County, South Dakota",33%,± 3.7%
"Humacao Municipio, Puerto Rico",24.20%,± 2.1%
"Humboldt County, California",24.70%,± 1.1%
"Humboldt County, Iowa",26.70%,± 2.4%
"Humboldt County, Nevada",31.40%,± 3.9%
"Humphreys County, Mississippi",29.80%,± 3.8%
"Humphreys County, Tennessee",24.10%,± 2.7%
"Hunt County, Texas",32.60%,± 1.6%
"Hunterdon County, New Jersey",29.30%,± 1.2%
"Huntingdon County, Pennsylvania",26.80%,± 1.2%
"Huntington County, Indiana",27.60%,± 1.7%
"Huron County, Michigan",19.90%,± 0.9%
"Huron County, Ohio",31.20%,± 1.9%
"Hutchinson County, South Dakota",26.10%,± 2.6%
"Hutchinson County, Texas",29%,± 2.9%
"Hyde County, North Carolina",19.50%,± 7.6%
"Hyde County, South Dakota",27.90%,± 5.3%
"Iberia Parish, Louisiana",35%,± 2.1%
"Iberville Parish, Louisiana",29.60%,± 3.7%
"Ida County, Iowa",26.10%,± 2.9%
"Idaho County, Idaho",25.10%,± 2.6%
"Imperial County, California",39.80%,± 1.8%
"Independence County, Arkansas",33.70%,± 2.9%
"Indian River County, Florida",17.30%,± 1.3%
"Indiana County, Pennsylvania",21.60%,± 1%
"Ingham County, Michigan",24.60%,± 0.7%
"Inyo County, California",19%,± 2.5%
"Ionia County, Michigan",32%,± 1.5%
"Iosco County, Michigan",18.90%,± 1.4%
"Iowa County, Iowa",26.90%,± 1.7%
"Iowa County, Wisconsin",26.50%,± 1.5%
"Iredell County, North Carolina",33.60%,± 1.3%
"Irion County, Texas",29.20%,± 9.6%
"Iron County, Michigan",17.70%,± 2.1%
"Iron County, Missouri",32.20%,± 2.4%
"Iron County, Utah",35.40%,± 2%
"Iron County, Wisconsin",16%,± 1.6%
"Iroquois County, Illinois",27.40%,± 1.7%
"Irwin County, Georgia",31.10%,± 5.2%
"Isabela Municipio, Puerto Rico",23.10%,± 2.4%
"Isabella County, Michigan",24.80%,± 1.4%
"Isanti County, Minnesota",29.60%,± 1.8%
"Island County, Washington",24.40%,± 1.2%
"Isle of Wight County, Virginia",29.30%,± 2%
"Issaquena County, Mississippi",15.80%,± 7.2%
"Itasca County, Minnesota",23.10%,± 1.1%
"Itawamba County, Mississippi",30.40%,± 2.9%
"Izard County, Arkansas",25.10%,± 3%
"Jack County, Texas",33.70%,± 3.9%
"Jackson County, Alabama",28.40%,± 1.7%
"Jackson County, Arkansas",29.90%,± 3.6%
"Jackson County, Colorado",21.60%,± 9%
"Jackson County, Florida",28.30%,± 2.1%
"Jackson County, Georgia",37.90%,± 1.6%
"Jackson County, Illinois",21.20%,± 1.6%
"Jackson County, Indiana",32%,± 2.3%
"Jackson County, Iowa",26.50%,± 2.2%
"Jackson County, Kansas",25.80%,± 2.5%
"Jackson County, Kentucky",30.80%,± 5.4%
"Jackson County, Michigan",26.10%,± 1.1%
"Jackson County, Minnesota",24%,± 2%
"Jackson County, Mississippi",33.50%,± 1.4%
"Jackson County, Missouri",27.30%,± 0.5%
"Jackson County, North Carolina",19.30%,± 2.3%
"Jackson County, Ohio",30.40%,± 2.4%
"Jackson County, Oklahoma",34%,± 3%
"Jackson County, Oregon",27.10%,± 1%
"Jackson County, South Dakota",42.30%,± 6.8%
"Jackson County, Tennessee",23.20%,± 3.4%
"Jackson County, Texas",33.20%,± 4.1%
"Jackson County, West Virginia",25%,± 3.1%
"Jackson County, Wisconsin",26.60%,± 1.5%
"Jackson Parish, Louisiana",30.70%,± 3.5%
"James City County, Virginia",27.60%,± 1.8%
"Jasper County, Georgia",37.10%,± 3.2%
"Jasper County, Illinois",26.90%,± 3.8%
"Jasper County, Indiana",31.20%,± 2.9%
"Jasper County, Iowa",30.10%,± 1.6%
"Jasper County, Mississippi",31.10%,± 4.4%
"Jasper County, Missouri",31.70%,± 1.2%
"Jasper County, South Carolina",26.20%,± 3.7%
"Jasper County, Texas",31.80%,± 3.5%
"Jay County, Indiana",30.20%,± 2.7%
"Jayuya Municipio, Puerto Rico",28.70%,± 4.5%
"Jeff Davis County, Georgia",39.50%,± 4.5%
"Jeff Davis County, Texas",13.20%,± 7%
"Jefferson County, Alabama",28.50%,± 0.6%
"Jefferson County, Arkansas",26.80%,± 1.7%
"Jefferson County, Colorado",27.10%,± 0.6%
"Jefferson County, Florida",24.70%,± 3.4%
"Jefferson County, Georgia",32%,± 4.1%
"Jefferson County, Idaho",43.50%,± 2.6%
"Jefferson County, Illinois",30.70%,± 1.6%
"Jefferson County, Indiana",32.30%,± 2.5%
"Jefferson County, Iowa",23.70%,± 2.9%
"Jefferson County, Kansas",26.70%,± 2%
"Jefferson County, Kentucky",26.90%,± 0.4%
"Jefferson County, Mississippi",41.90%,± 7.5%
"Jefferson County, Missouri",32.90%,± 1.1%
"Jefferson County, Montana",29%,± 2.5%
"Jefferson County, Nebraska",21.70%,± 2.8%
"Jefferson County, New York",31.30%,± 1.3%
"Jefferson County, Ohio",24.20%,± 1.4%
"Jefferson County, Oklahoma",25.90%,± 2.1%
"Jefferson County, Oregon",30.40%,± 2.3%
"Jefferson County, Pennsylvania",24.90%,± 1%
"Jefferson County, Tennessee",30%,± 2.1%
"Jefferson County, Texas",32.30%,± 1.2%
"Jefferson County, Washington",14.50%,± 2%
"Jefferson County, West Virginia",31.70%,± 1.9%
"Jefferson County, Wisconsin",26.70%,± 1.2%
"Jefferson Davis County, Mississippi",22.70%,± 4.1%
"Jefferson Davis Parish, Louisiana",36.60%,± 3.1%
"Jefferson Parish, Louisiana",28.60%,± 0.7%
"Jenkins County, Georgia",26.70%,± 6.5%
"Jennings County, Indiana",36%,± 4%
"Jerauld County, South Dakota",26.70%,± 5.1%
"Jerome County, Idaho",44.50%,± 3.2%
"Jersey County, Illinois",28.50%,± 2.9%
"Jessamine County, Kentucky",32.60%,± 2.2%
"Jewell County, Kansas",21.80%,± 3.3%
"Jim Hogg County, Texas",42%,± 10.4%
"Jim Wells County, Texas",38.20%,± 4%
"Jo Daviess County, Illinois",21.50%,± 1.6%
"Johnson County, Arkansas",31.70%,± 2.9%
"Johnson County, Georgia",27.80%,± 3.8%
"Johnson County, Illinois",28.30%,± 2.7%
"Johnson County, Indiana",36.10%,± 1.4%
"Johnson County, Iowa",24.70%,± 1%
"Johnson County, Kansas",32.40%,± 0.6%
"Johnson County, Kentucky",33%,± 3.4%
"Johnson County, Missouri",30.40%,± 1.6%
"Johnson County, Nebraska",25.30%,± 4.6%
"Johnson County, Tennessee",26.90%,± 2.8%
"Johnson County, Texas",39.20%,± 1.5%
"Johnson County, Wyoming",22.30%,± 4.1%
"Johnston County, North Carolina",37.40%,± 1.1%
"Johnston County, Oklahoma",32.60%,± 2.6%
"Jones County, Georgia",32.10%,± 3.3%
"Jones County, Iowa",27.60%,± 2.4%
"Jones County, Mississippi",32.50%,± 2.4%
"Jones County, North Carolina",24%,± 3.2%
"Jones County, South Dakota",29.40%,± 9%
"Jones County, Texas",31.10%,± 3.9%
"Josephine County, Oregon",27%,± 1.5%
"Juab County, Utah",45.70%,± 3.9%
"Juana Díaz Municipio, Puerto Rico",30.90%,± 2.2%
"Judith Basin County, Montana",20.90%,± 4.1%
"Juncos Municipio, Puerto Rico",32.10%,± 3.2%
"Juneau City and Borough, Alaska",28.10%,± 2.3%
"Juneau County, Wisconsin",24.30%,± 1.3%
"Juniata County, Pennsylvania",27.20%,± 1.7%
"Kalamazoo County, Michigan",28%,± 1%
"Kalawao County, Hawaii",0%,± 52.4%
"Kalkaska County, Michigan",25.90%,± 2.1%
"Kanabec County, Minnesota",26.80%,± 1.6%
"Kanawha County, West Virginia",25%,± 1%
"Kandiyohi County, Minnesota",29%,± 1.5%
"Kane County, Illinois",36.40%,± 0.6%
"Kane County, Utah",22.50%,± 5%
"Kankakee County, Illinois",28.80%,± 1.3%
"Karnes County, Texas",34.40%,± 4.5%
"Kauai County, Hawaii",29%,± 1.8%
"Kaufman County, Texas",45.20%,± 1.3%
"Kay County, Oklahoma",30.60%,± 1.4%
"Kearney County, Nebraska",33.40%,± 4.1%
"Kearny County, Kansas",38.50%,± 6.9%
"Keith County, Nebraska",19.30%,± 2.9%
"Kemper County, Mississippi",29.80%,± 6.2%
"Kenai Peninsula Borough, Alaska",24.80%,± 1.4%
"Kendall County, Illinois",43%,± 1.7%
"Kendall County, Texas",34.90%,± 2.2%
"Kenedy County, Texas",28.90%,± 36.9%
"Kennebec County, Maine",25.10%,± 1.2%
"Kenosha County, Wisconsin",30.50%,± 1.1%
"Kent County, Delaware",31.60%,± 1.3%
"Kent County, Maryland",19.80%,± 2.5%
"Kent County, Michigan",32%,± 0.5%
"Kent County, Rhode Island",26.30%,± 1.1%
"Kent County, Texas",19.90%,± 8.7%
"Kenton County, Kentucky",30.10%,± 1.3%
"Keokuk County, Iowa",26.50%,± 2.4%
"Kern County, California",42.60%,± 0.7%
"Kerr County, Texas",23.10%,± 2%
"Kershaw County, South Carolina",30.70%,± 1.8%
"Ketchikan Gateway Borough, Alaska",27.20%,± 2%
"Kewaunee County, Wisconsin",27.50%,± 1.8%
"Keweenaw County, Michigan",18.30%,± 3.7%
"Keya Paha County, Nebraska",24.10%,± 6.8%
"Kidder County, North Dakota",22.80%,± 3.5%
"Kimball County, Nebraska",20%,± 3.4%
"Kimble County, Texas",23.30%,± 6.2%
"King and Queen County, Virginia",22.60%,± 5%
"King County, Texas",43.80%,± 17.8%
"King County, Washington",27.80%,± 0.3%
"King George County, Virginia",34%,± 2.8%
"King William County, Virginia",33.80%,± 3.3%
"Kingfisher County, Oklahoma",36.90%,± 3.8%
"Kingman County, Kansas",23.30%,± 3%
"Kings County, California",44.30%,± 1.7%
"Kings County, New York",28.80%,± 0.4%
"Kingsbury County, South Dakota",24.50%,± 2.2%
"Kinney County, Texas",10.80%,± 6.4%
"Kiowa County, Colorado",21.80%,± 5.8%
"Kiowa County, Kansas",21.70%,± 2.9%
"Kiowa County, Oklahoma",34.30%,± 3%
"Kit Carson County, Colorado",34.20%,± 3.7%
"Kitsap County, Washington",30%,± 0.8%
"Kittitas County, Washington",24.70%,± 1.5%
"Kittson County, Minnesota",27.60%,± 2.8%
"Klamath County, Oregon",27.30%,± 1.6%
"Kleberg County, Texas",32.60%,± 2.7%
"Klickitat County, Washington",21%,± 2.7%
"Knott County, Kentucky",32.60%,± 3.3%
"Knox County, Illinois",23.20%,± 1.4%
"Knox County, Indiana",30.50%,± 2.2%
"Knox County, Kentucky",31.70%,± 3.5%
"Knox County, Maine",21.10%,± 1.5%
"Knox County, Missouri",21.40%,± 4%
"Knox County, Nebraska",25.20%,± 2.4%
"Knox County, Ohio",30.80%,± 1.8%
"Knox County, Tennessee",28%,± 0.7%
"Knox County, Texas",27.40%,± 5.2%
"Kodiak Island Borough, Alaska",40.90%,± 3.9%
"Koochiching County, Minnesota",22.10%,± 2.3%
"Kootenai County, Idaho",28.90%,± 1.2%
"Kosciusko County, Indiana",29.90%,± 1.5%
"Kossuth County, Iowa",23.50%,± 2%
"Kusilvak Census Area, Alaska",70.40%,± 3.4%
"La Crosse County, Wisconsin",23.80%,± 1.1%
"La Paz County, Arizona",20.60%,± 2.1%
"La Plata County, Colorado",24.60%,± 1.7%
"La Salle County, Texas",41.60%,± 9.5%
"Labette County, Kansas",30.20%,± 2.6%
"Lac qui Parle County, Minnesota",24.60%,± 1.6%
"Lackawanna County, Pennsylvania",26.50%,± 0.8%
"Laclede County, Missouri",34.90%,± 2%
"Lafayette County, Arkansas",25.50%,± 4.2%
"Lafayette County, Florida",30.20%,± 6.8%
"Lafayette County, Mississippi",26.40%,± 2.1%
"Lafayette County, Missouri",28.20%,± 2.5%
"Lafayette County, Wisconsin",27.90%,± 1.4%
"Lafayette Parish, Louisiana",30.70%,± 1.4%
"Lafourche Parish, Louisiana",32%,± 1.6%
"LaGrange County, Indiana",37.90%,± 2.3%
"Lajas Municipio, Puerto Rico",21.30%,± 3.1%
"Lake and Peninsula Borough, Alaska",45.10%,± 5.9%
"Lake County, California",24.90%,± 1.5%
"Lake County, Colorado",20.70%,± 6.3%
"Lake County, Florida",23.90%,± 0.8%
"Lake County, Illinois",34.70%,± 0.6%
"Lake County, Indiana",31.20%,± 0.7%
"Lake County, Michigan",15.40%,± 1.8%
"Lake County, Minnesota",22.70%,± 2.6%
"Lake County, Montana",26.10%,± 1.7%
"Lake County, Ohio",24.40%,± 0.7%
"Lake County, Oregon",22.40%,± 3.6%
"Lake County, South Dakota",22.80%,± 2.6%
"Lake County, Tennessee",23.30%,± 6.1%
"Lake of the Woods County, Minnesota",16.50%,± 4.1%
"Lamar County, Alabama",27.30%,± 3.2%
"Lamar County, Georgia",27.30%,± 3.6%
"Lamar County, Mississippi",37.30%,± 2.1%
"Lamar County, Texas",31.90%,± 2.1%
"Lamb County, Texas",36.90%,± 3.6%
"Lamoille County, Vermont",26%,± 2.2%
"LaMoure County, North Dakota",24%,± 2.6%
"Lampasas County, Texas",32.40%,± 2.7%
"Lancaster County, Nebraska",29%,± 0.8%
"Lancaster County, Pennsylvania",29.80%,± 0.6%
"Lancaster County, South Carolina",30.90%,± 1.9%
"Lancaster County, Virginia",13.90%,± 3.6%
"Lander County, Nevada",38.50%,± 7.5%
"Lane County, Kansas",26.20%,± 6.3%
"Lane County, Oregon",24.70%,± 0.7%
"Langlade County, Wisconsin",20.80%,± 1.7%
"Lanier County, Georgia",33%,± 5.4%
"Lapeer County, Michigan",29%,± 1.2%
"LaPorte County, Indiana",28.80%,± 1.3%
"Laramie County, Wyoming",30.30%,± 1.5%
"Lares Municipio, Puerto Rico",24.30%,± 2.9%
"Larimer County, Colorado",25.50%,± 0.7%
"Larue County, Kentucky",34.50%,± 3.5%
"Las Animas County, Colorado",21.10%,± 2.3%
"Las Marías Municipio, Puerto Rico",23.10%,± 5.1%
"Las Piedras Municipio, Puerto Rico",26.90%,± 3.4%
"LaSalle County, Illinois",27.70%,± 1.1%
"LaSalle Parish, Louisiana",38.60%,± 4.3%
"Lassen County, California",26.80%,± 3%
"Latah County, Idaho",25.20%,± 2%
"Latimer County, Oklahoma",31.60%,± 2.2%
"Lauderdale County, Alabama",26.70%,± 1.8%
"Lauderdale County, Mississippi",31.80%,± 1.5%
"Lauderdale County, Tennessee",30.50%,± 2.6%
"Laurel County, Kentucky",34.40%,± 1.9%
"Laurens County, Georgia",33.30%,± 2.3%
"Laurens County, South Carolina",28.70%,± 1.9%
"Lavaca County, Texas",29.80%,± 2.5%
"Lawrence County, Alabama",25.60%,± 2.3%
"Lawrence County, Arkansas",30.40%,± 2.5%
"Lawrence County, Illinois",28.30%,± 3.2%
"Lawrence County, Indiana",27.80%,± 2.3%
"Lawrence County, Kentucky",30.80%,± 4.5%
"Lawrence County, Mississippi",32.60%,± 3.9%
"Lawrence County, Missouri",31%,± 2.3%
"Lawrence County, Ohio",31.60%,± 2.2%
"Lawrence County, Pennsylvania",25.60%,± 0.9%
"Lawrence County, South Dakota",20.70%,± 2.2%
"Lawrence County, Tennessee",31.40%,± 1.7%
"Le Flore County, Oklahoma",32.20%,± 1.5%
"Le Sueur County, Minnesota",31.50%,± 1.6%
"Lea County, New Mexico",39%,± 2.3%
"Leake County, Mississippi",31.40%,± 3.4%
"Leavenworth County, Kansas",34.50%,± 1.7%
"Lebanon County, Pennsylvania",29.20%,± 1%
"Lee County, Alabama",29.40%,± 1.2%
"Lee County, Arkansas",25.60%,± 4.4%
"Lee County, Florida",21.40%,± 0.6%
"Lee County, Georgia",41.80%,± 3.2%
"Lee County, Illinois",25.50%,± 2%
"Lee County, Iowa",26.50%,± 1.7%
"Lee County, Kentucky",26.90%,± 4%
"Lee County, Mississippi",33.40%,± 1.6%
"Lee County, North Carolina",33.40%,± 2.6%
"Lee County, South Carolina",27.10%,± 3.1%
"Lee County, Texas",34.60%,± 3.6%
"Lee County, Virginia",25.60%,± 2.6%
"Leelanau County, Michigan",20%,± 1.5%
"Leflore County, Mississippi",31.50%,± 2.9%
"Lehigh County, Pennsylvania",31.90%,± 0.8%
"Lemhi County, Idaho",20.20%,± 3.1%
"Lenawee County, Michigan",28.70%,± 1.1%
"Lenoir County, North Carolina",28.30%,± 2%
"Leon County, Florida",24.30%,± 0.8%
"Leon County, Texas",28.50%,± 4%
"Leslie County, Kentucky",24.90%,± 5.1%
"Letcher County, Kentucky",31.30%,± 3.2%
"Levy County, Florida",25.60%,± 2.2%
"Lewis and Clark County, Montana",26.90%,± 1.6%
"Lewis County, Idaho",20.80%,± 2.9%
"Lewis County, Kentucky",28.80%,± 3.4%
"Lewis County, Missouri",21.20%,± 2.7%
"Lewis County, New York",30.20%,± 1.5%
"Lewis County, Tennessee",26.90%,± 4.2%
"Lewis County, Washington",28.10%,± 1.5%
"Lewis County, West Virginia",27.30%,± 3.2%
"Lexington city, Virginia",17.90%,± 6%
"Lexington County, South Carolina",32.50%,± 1%
"Liberty County, Florida",36.10%,± 5.9%
"Liberty County, Georgia",36.60%,± 2.2%
"Liberty County, Montana",30.30%,± 7.5%
"Liberty County, Texas",37.40%,± 2.1%
"Licking County, Ohio",33.10%,± 1.1%
"Limestone County, Alabama",33.50%,± 1.9%
"Limestone County, Texas",32.50%,± 2.9%
"Lincoln County, Arkansas",30.50%,± 4.2%
"Lincoln County, Colorado",19.90%,± 3.1%
"Lincoln County, Georgia",26.30%,± 3.2%
"Lincoln County, Idaho",40.10%,± 3.6%
"Lincoln County, Kansas",21.70%,± 3.4%
"Lincoln County, Kentucky",34.70%,± 2.6%
"Lincoln County, Maine",21.60%,± 1.4%
"Lincoln County, Minnesota",25.40%,± 1.6%
"Lincoln County, Mississippi",33.40%,± 3.3%
"Lincoln County, Missouri",36.50%,± 1.8%
"Lincoln County, Montana",18.90%,± 2.1%
"Lincoln County, Nebraska",31.10%,± 2%
"Lincoln County, Nevada",30.30%,± 8.4%
"Lincoln County, New Mexico",20.40%,± 3.2%
"Lincoln County, North Carolina",30.10%,± 1.6%
"Lincoln County, Oklahoma",31.40%,± 1.3%
