Geography,Percent below poverty level—Population for whom poverty status is determined—Estimate,MoE
"Greene County, Virginia",11.10%,± 2.8%
"Greenlee County, Arizona",12.80%,± 3.8%
"Greensville County, Virginia",12.90%,± 4.8%
"Greenup County, Kentucky",15.10%,± 2.1%
"Greenville County, South Carolina",10.90%,± 0.6%
"Greenwood County, Kansas",15.30%,± 3.6%
"Greenwood County, South Carolina",17.30%,± 1.8%
"Greer County, Oklahoma",16.60%,± 4.2%
"Gregg County, Texas",16.50%,± 1.8%
"Gregory County, South Dakota",12.80%,± 2.5%
"Grenada County, Mississippi",22.20%,± 4.1%
"Griggs County, North Dakota",6.50%,± 2%
"Grimes County, Texas",14.40%,± 3.1%
"Grundy County, Illinois",6%,± 1.2%
"Grundy County, Iowa",5.90%,± 1%
"Grundy County, Missouri",16.50%,± 2.9%
"Grundy County, Tennessee",18.20%,± 2.7%
"Guadalupe County, New Mexico",20.70%,± 8.2%
"Guadalupe County, Texas",8.70%,± 1.2%
"Guánica Municipio, Puerto Rico",66.30%,± 4%
"Guayama Municipio, Puerto Rico",48%,± 4%
"Guayanilla Municipio, Puerto Rico",53.40%,± 4.6%
"Guaynabo Municipio, Puerto Rico",25.10%,± 2.1%
"Guernsey County, Ohio",17%,± 2.2%
"Guilford County, North Carolina",15.10%,± 0.6%
"Gulf County, Florida",12.30%,± 2.8%
"Gunnison County, Colorado",10.80%,± 3%
"Gurabo Municipio, Puerto Rico",31.90%,± 3.4%
"Guthrie County, Iowa",10.10%,± 1.8%
"Gwinnett County, Georgia",10.10%,± 0.7%
"Haakon County, South Dakota",10.70%,± 5%
"Habersham County, Georgia",13.60%,± 2.3%
"Haines Borough, Alaska",5.80%,± 3.2%
"Hale County, Alabama",25%,± 5.2%
"Hale County, Texas",18.50%,± 2.8%
"Halifax County, North Carolina",23.90%,± 2.3%
"Halifax County, Virginia",14.70%,± 2%
"Hall County, Georgia",13.50%,± 1%
"Hall County, Nebraska",12.80%,± 1.8%
"Hall County, Texas",18.60%,± 4.6%
"Hamblen County, Tennessee",17.10%,± 2.2%
"Hamilton County, Florida",26.40%,± 4%
"Hamilton County, Illinois",12.90%,± 3.4%
"Hamilton County, Indiana",4.20%,± 0.5%
"Hamilton County, Iowa",7.80%,± 1.6%
"Hamilton County, Kansas",7.90%,± 4.9%
"Hamilton County, Nebraska",5.50%,± 2.4%
"Hamilton County, New York",10.70%,± 3.8%
"Hamilton County, Ohio",14.90%,± 0.5%
"Hamilton County, Tennessee",12.30%,± 0.7%
"Hamilton County, Texas",17.10%,± 4.2%
"Hamlin County, South Dakota",7.40%,± 3%
"Hampden County, Massachusetts",15.80%,± 0.8%
"Hampshire County, Massachusetts",10.60%,± 0.8%
"Hampshire County, West Virginia",17.50%,± 4.1%
"Hampton city, Virginia",13.50%,± 1.3%
"Hampton County, South Carolina",20%,± 3.3%
"Hancock County, Georgia",27.50%,± 6.9%
"Hancock County, Illinois",13.10%,± 2.3%
"Hancock County, Indiana",4.90%,± 0.9%
"Hancock County, Iowa",9.90%,± 2.1%
"Hancock County, Kentucky",15.10%,± 3.2%
"Hancock County, Maine",10.90%,± 1.2%
"Hancock County, Mississippi",13.70%,± 2.7%
"Hancock County, Ohio",10.50%,± 1.5%
"Hancock County, Tennessee",32.30%,± 5.8%
"Hancock County, West Virginia",13.40%,± 2.4%
"Hand County, South Dakota",7.70%,± 3%
"Hanover County, Virginia",5.20%,± 0.7%
"Hansford County, Texas",8.40%,± 3.9%
"Hanson County, South Dakota",6%,± 3.1%
"Haralson County, Georgia",12.50%,± 2.7%
"Hardee County, Florida",28.50%,± 4.6%
"Hardeman County, Tennessee",16.10%,± 2.7%
"Hardeman County, Texas",11.20%,± 3.6%
"Hardin County, Illinois",11.50%,± 4.1%
"Hardin County, Iowa",8.40%,± 1.3%
"Hardin County, Kentucky",11.50%,± 1.2%
"Hardin County, Ohio",18.20%,± 3.1%
"Hardin County, Tennessee",19.40%,± 3.2%
"Hardin County, Texas",13.50%,± 2.2%
"Harding County, New Mexico",14.30%,± 5.6%
"Harding County, South Dakota",6.40%,± 2.9%
"Hardy County, West Virginia",17.30%,± 3.5%
"Harford County, Maryland",7.10%,± 0.7%
"Harlan County, Kentucky",30%,± 3.3%
"Harlan County, Nebraska",7.30%,± 2.4%
"Harmon County, Oklahoma",17.60%,± 4.5%
"Harnett County, North Carolina",14.40%,± 1.3%
"Harney County, Oregon",12.10%,± 3.3%
"Harper County, Kansas",15.50%,± 3.2%
"Harper County, Oklahoma",14.10%,± 5.1%
"Harris County, Georgia",7.50%,± 1.9%
"Harris County, Texas",15.80%,± 0.3%
"Harrison County, Indiana",7.60%,± 1.4%
"Harrison County, Iowa",7.60%,± 1.3%
"Harrison County, Kentucky",15.80%,± 3%
"Harrison County, Mississippi",18.40%,± 1.3%
"Harrison County, Missouri",16.50%,± 3.6%
"Harrison County, Ohio",15.40%,± 2.8%
"Harrison County, Texas",16.30%,± 2.2%
"Harrison County, West Virginia",13.70%,± 1.7%
"Harrisonburg city, Virginia",27.20%,± 1.9%
"Hart County, Georgia",10.80%,± 2.2%
"Hart County, Kentucky",22.60%,± 3.4%
"Hartley County, Texas",6.90%,± 4.2%
"Harvey County, Kansas",9.70%,± 2.1%
"Haskell County, Kansas",9%,± 3.4%
"Haskell County, Oklahoma",21.40%,± 2.3%
"Haskell County, Texas",15%,± 2.6%
"Hatillo Municipio, Puerto Rico",39.30%,± 4.2%
"Hawaii County, Hawaii",14.10%,± 1%
"Hawkins County, Tennessee",16.90%,± 2%
"Hayes County, Nebraska",14.70%,± 4.8%
"Hays County, Texas",12.90%,± 1%
"Haywood County, North Carolina",12.10%,± 1.6%
"Haywood County, Tennessee",21.90%,± 3.4%
"Heard County, Georgia",16.70%,± 4%
"Hemphill County, Texas",6.10%,± 4.9%
"Hempstead County, Arkansas",23%,± 3.4%
"Henderson County, Illinois",9.10%,± 2.7%
"Henderson County, Kentucky",17%,± 1.9%
"Henderson County, North Carolina",11.40%,± 1.3%
"Henderson County, Tennessee",18%,± 2.9%
"Henderson County, Texas",14.80%,± 1.8%
"Hendricks County, Indiana",5.20%,± 0.8%
"Hendry County, Florida",22.30%,± 3%
"Hennepin County, Minnesota",9.80%,± 0.3%
"Henrico County, Virginia",8.40%,± 0.7%
"Henry County, Alabama",15.50%,± 2.7%
"Henry County, Georgia",8.40%,± 1.1%
"Henry County, Illinois",9.20%,± 1.2%
"Henry County, Indiana",13.70%,± 1.7%
"Henry County, Iowa",11.30%,± 2.1%
"Henry County, Kentucky",16.20%,± 3.4%
"Henry County, Missouri",15%,± 2.4%
"Henry County, Ohio",9.50%,± 1.8%
"Henry County, Tennessee",18.10%,± 2.2%
"Henry County, Virginia",16.10%,± 1.8%
"Herkimer County, New York",12.10%,± 1.3%
"Hernando County, Florida",12.50%,± 1.1%
"Hertford County, North Carolina",20.30%,± 2.6%
"Hettinger County, North Dakota",10.20%,± 2.9%
"Hickman County, Kentucky",16.70%,± 4.4%
"Hickman County, Tennessee",14.30%,± 2.9%
"Hickory County, Missouri",17.60%,± 4.1%
"Hidalgo County, New Mexico",23.20%,± 5.8%
"Hidalgo County, Texas",27.70%,± 1%
"Highland County, Ohio",14.80%,± 1.8%
"Highland County, Virginia",10.30%,± 4.6%
"Highlands County, Florida",15.60%,± 1.5%
"Hill County, Montana",16.90%,± 3.2%
"Hill County, Texas",13.30%,± 1.7%
"Hillsborough County, Florida",13.70%,± 0.5%
"Hillsborough County, New Hampshire",6.90%,± 0.5%
"Hillsdale County, Michigan",15.20%,± 1.5%
"Hinds County, Mississippi",21%,± 1.5%
"Hinsdale County, Colorado",7.40%,± 4.3%
"Hitchcock County, Nebraska",12.40%,± 2.5%
"Hocking County, Ohio",16.60%,± 3.2%
"Hockley County, Texas",15.10%,± 2.4%
"Hodgeman County, Kansas",8.80%,± 3.4%
"Hoke County, North Carolina",17.30%,± 1.8%
"Holmes County, Florida",16.60%,± 3.1%
"Holmes County, Mississippi",35%,± 4.4%
"Holmes County, Ohio",8.90%,± 1.9%
"Holt County, Missouri",9.40%,± 2.4%
"Holt County, Nebraska",9.90%,± 2.4%
"Honolulu County, Hawaii",8.80%,± 0.4%
"Hood County, Texas",8.90%,± 1.4%
"Hood River County, Oregon",6.60%,± 1.9%
"Hooker County, Nebraska",8.10%,± 5%
"Hoonah-Angoon Census Area, Alaska",11.60%,± 3.9%
"Hopewell city, Virginia",21.30%,± 3.7%
"Hopkins County, Kentucky",19.20%,± 2.5%
"Hopkins County, Texas",13.40%,± 1.9%
"Hormigueros Municipio, Puerto Rico",41.10%,± 4.5%
"Horry County, South Carolina",13.10%,± 0.8%
"Hot Spring County, Arkansas",19.70%,± 3.1%
"Hot Springs County, Wyoming",16.10%,± 5.1%
"Houghton County, Michigan",17.30%,± 1.7%
"Houston County, Alabama",17.80%,± 1%
"Houston County, Georgia",9.70%,± 1.1%
"Houston County, Minnesota",7.20%,± 1.2%
"Houston County, Tennessee",13.40%,± 3%
"Houston County, Texas",17.60%,± 3.2%
"Howard County, Arkansas",18.30%,± 5%
"Howard County, Indiana",12.10%,± 1.3%
"Howard County, Iowa",8.70%,± 3%
"Howard County, Maryland",5.40%,± 0.6%
"Howard County, Missouri",12.80%,± 2.4%
"Howard County, Nebraska",4.90%,± 1.7%
"Howard County, Texas",14.50%,± 2.3%
"Howell County, Missouri",23%,± 3.1%
"Hubbard County, Minnesota",10.10%,± 1.3%
"Hudson County, New Jersey",14.20%,± 0.6%
"Hudspeth County, Texas",25.40%,± 10.1%
"Huerfano County, Colorado",20.60%,± 5.1%
"Hughes County, Oklahoma",20.80%,± 3%
"Hughes County, South Dakota",10%,± 2.8%
"Humacao Municipio, Puerto Rico",37.10%,± 2.9%
"Humboldt County, California",19.80%,± 1.2%
"Humboldt County, Iowa",13.30%,± 3%
"Humboldt County, Nevada",14.30%,± 3.4%
"Humphreys County, Mississippi",32.10%,± 6%
"Humphreys County, Tennessee",12%,± 3%
"Hunt County, Texas",12.20%,± 1.6%
"Hunterdon County, New Jersey",3.70%,± 0.5%
"Huntingdon County, Pennsylvania",11.30%,± 1.3%
"Huntington County, Indiana",11.10%,± 1.4%
"Huron County, Michigan",11.30%,± 1%
"Huron County, Ohio",11%,± 1.4%
"Hutchinson County, South Dakota",9.90%,± 2.8%
"Hutchinson County, Texas",10.40%,± 2%
"Hyde County, North Carolina",29.90%,± 9.7%
"Hyde County, South Dakota",6.70%,± 3.1%
"Iberia Parish, Louisiana",23.10%,± 2.1%
"Iberville Parish, Louisiana",16.80%,± 2.6%
"Ida County, Iowa",11.50%,± 2.2%
"Idaho County, Idaho",10.40%,± 2.1%
"Imperial County, California",21.10%,± 1.8%
"Independence County, Arkansas",19.30%,± 3%
"Indian River County, Florida",11.40%,± 1.3%
"Indiana County, Pennsylvania",13%,± 1.2%
"Ingham County, Michigan",16.50%,± 0.9%
"Inyo County, California",11.90%,± 2.5%
"Ionia County, Michigan",10.30%,± 1.1%
"Iosco County, Michigan",15.10%,± 1.8%
"Iowa County, Iowa",9.10%,± 2.1%
"Iowa County, Wisconsin",8%,± 1%
"Iredell County, North Carolina",9.40%,± 0.8%
"Irion County, Texas",7.40%,± 5.3%
"Iron County, Michigan",14.70%,± 2.4%
"Iron County, Missouri",19.50%,± 4.1%
"Iron County, Utah",14.10%,± 1.9%
"Iron County, Wisconsin",10.50%,± 1.7%
"Iroquois County, Illinois",10.70%,± 1.5%
"Irwin County, Georgia",22%,± 6.9%
"Isabela Municipio, Puerto Rico",48.20%,± 3.8%
"Isabella County, Michigan",23.60%,± 1.6%
"Isanti County, Minnesota",8.80%,± 1.6%
"Island County, Washington",6.80%,± 0.9%
"Isle of Wight County, Virginia",9.80%,± 1.6%
"Issaquena County, Mississippi",20.60%,± 9.8%
"Itasca County, Minnesota",11.80%,± 1.3%
"Itawamba County, Mississippi",10.40%,± 2.2%
"Izard County, Arkansas",19.70%,± 3.5%
"Jack County, Texas",14.50%,± 3.9%
"Jackson County, Alabama",18.60%,± 2.2%
"Jackson County, Arkansas",20.40%,± 3.5%
"Jackson County, Colorado",20.90%,± 9.5%
"Jackson County, Florida",19.20%,± 2.5%
"Jackson County, Georgia",8.10%,± 1.3%
"Jackson County, Illinois",23%,± 1.8%
"Jackson County, Indiana",12.40%,± 2%
"Jackson County, Iowa",10.20%,± 1.6%
"Jackson County, Kansas",7.90%,± 2.1%
"Jackson County, Kentucky",22.60%,± 4.8%
"Jackson County, Michigan",12.10%,± 0.8%
"Jackson County, Minnesota",9.70%,± 2%
"Jackson County, Mississippi",15.70%,± 1.4%
"Jackson County, Missouri",13.90%,± 0.6%
"Jackson County, North Carolina",19.30%,± 2.1%
"Jackson County, Ohio",17.40%,± 2.6%
"Jackson County, Oklahoma",14.50%,± 2.1%
"Jackson County, Oregon",13.30%,± 1%
"Jackson County, South Dakota",38.40%,± 9.5%
"Jackson County, Tennessee",19.70%,± 3.8%
"Jackson County, Texas",12%,± 3.5%
"Jackson County, West Virginia",19.60%,± 3.6%
"Jackson County, Wisconsin",12.70%,± 1.4%
"Jackson Parish, Louisiana",26.20%,± 3.6%
"James City County, Virginia",7.30%,± 1.3%
"Jasper County, Georgia",13.30%,± 3.9%
"Jasper County, Illinois",9.20%,± 2.7%
"Jasper County, Indiana",7.50%,± 1.7%
"Jasper County, Iowa",8.80%,± 1.5%
"Jasper County, Mississippi",17.20%,± 3.7%
"Jasper County, Missouri",18.50%,± 1.7%
"Jasper County, South Carolina",17.90%,± 3.5%
"Jasper County, Texas",22.80%,± 3.7%
"Jay County, Indiana",13.50%,± 2.7%
"Jayuya Municipio, Puerto Rico",54.70%,± 6.2%
"Jeff Davis County, Georgia",22.60%,± 5.9%
"Jeff Davis County, Texas",24.60%,± 13.7%
"Jefferson County, Alabama",15.90%,± 0.7%
"Jefferson County, Arkansas",19.50%,± 2%
"Jefferson County, Colorado",6.70%,± 0.5%
"Jefferson County, Florida",18.30%,± 3.5%
"Jefferson County, Georgia",19.40%,± 3.3%
"Jefferson County, Idaho",8.90%,± 2.3%
"Jefferson County, Illinois",14.10%,± 1.5%
"Jefferson County, Indiana",12.90%,± 2%
"Jefferson County, Iowa",14%,± 3.2%
"Jefferson County, Kansas",6%,± 1.5%
"Jefferson County, Kentucky",14.10%,± 0.5%
"Jefferson County, Mississippi",31.80%,± 7.5%
"Jefferson County, Missouri",8.30%,± 0.7%
"Jefferson County, Montana",5.10%,± 1.3%
"Jefferson County, Nebraska",11.10%,± 2.9%
"Jefferson County, New York",12.80%,± 1.3%
"Jefferson County, Ohio",18.20%,± 1.5%
"Jefferson County, Oklahoma",23.10%,± 3.1%
"Jefferson County, Oregon",12.70%,± 2.4%
"Jefferson County, Pennsylvania",14.10%,± 1.3%
"Jefferson County, Tennessee",11.10%,± 2%
"Jefferson County, Texas",18.20%,± 1.2%
"Jefferson County, Washington",13.80%,± 1.9%
"Jefferson County, West Virginia",9.10%,± 1.1%
"Jefferson County, Wisconsin",7.60%,± 1%
"Jefferson Davis County, Mississippi",23.10%,± 4.8%
"Jefferson Davis Parish, Louisiana",16%,± 3%
"Jefferson Parish, Louisiana",15.50%,± 0.8%
"Jenkins County, Georgia",27.90%,± 8.4%
"Jennings County, Indiana",13.90%,± 2.4%
"Jerauld County, South Dakota",9.10%,± 3.4%
"Jerome County, Idaho",14.70%,± 3.4%
"Jersey County, Illinois",8.10%,± 2.3%
"Jessamine County, Kentucky",12.10%,± 1.9%
"Jewell County, Kansas",18.70%,± 4.6%
"Jim Hogg County, Texas",29%,± 9.7%
"Jim Wells County, Texas",22.60%,± 3.7%
"Jo Daviess County, Illinois",7.80%,± 1.6%
"Johnson County, Arkansas",21.20%,± 2.8%
"Johnson County, Georgia",21.90%,± 4.7%
"Johnson County, Illinois",16.50%,± 3.7%
"Johnson County, Indiana",7.50%,± 1.1%
"Johnson County, Iowa",16.90%,± 1%
"Johnson County, Kansas",5.30%,± 0.3%
"Johnson County, Kentucky",21.40%,± 3.8%
"Johnson County, Missouri",12.30%,± 1.4%
"Johnson County, Nebraska",6.10%,± 2.1%
"Johnson County, Tennessee",21.60%,± 4.1%
"Johnson County, Texas",10.60%,± 1.3%
"Johnson County, Wyoming",16.70%,± 4.4%
"Johnston County, North Carolina",10.70%,± 1%
"Johnston County, Oklahoma",22.80%,± 2.9%
"Jones County, Georgia",14.30%,± 3.2%
"Jones County, Iowa",11.40%,± 2.1%
"Jones County, Mississippi",21.30%,± 2.7%
"Jones County, North Carolina",17.70%,± 3.2%
"Jones County, South Dakota",14.80%,± 7.1%
"Jones County, Texas",14.20%,± 3%
"Josephine County, Oregon",16.10%,± 1.7%
"Juab County, Utah",8.60%,± 2.1%
"Juana Díaz Municipio, Puerto Rico",44.30%,± 2.8%
"Judith Basin County, Montana",17.50%,± 5.9%
"Juncos Municipio, Puerto Rico",38.10%,± 4%
"Juneau City and Borough, Alaska",6.90%,± 1.4%
"Juneau County, Wisconsin",14.70%,± 1.2%
"Juniata County, Pennsylvania",9%,± 1.6%
"Kalamazoo County, Michigan",13.40%,± 0.9%
"Kalawao County, Hawaii",14.90%,± 18.9%
"Kalkaska County, Michigan",14.70%,± 2.2%
"Kanabec County, Minnesota",9.80%,± 1.6%
"Kanawha County, West Virginia",16.40%,± 1.1%
"Kandiyohi County, Minnesota",10.90%,± 1.4%
"Kane County, Illinois",8.30%,± 0.5%
"Kane County, Utah",12.90%,± 3.8%
"Kankakee County, Illinois",14%,± 1.1%
"Karnes County, Texas",21%,± 4.4%
"Kauai County, Hawaii",8.30%,± 1.2%
"Kaufman County, Texas",9.80%,± 1%
"Kay County, Oklahoma",16.40%,± 1.6%
"Kearney County, Nebraska",9.50%,± 3.8%
"Kearny County, Kansas",15.60%,± 6.1%
"Keith County, Nebraska",11.90%,± 3.4%
"Kemper County, Mississippi",22%,± 5.9%
"Kenai Peninsula Borough, Alaska",12.50%,± 1.7%
"Kendall County, Illinois",4.70%,± 1.1%
"Kendall County, Texas",5.10%,± 1.1%
"Kenedy County, Texas",2.60%,± 3.8%
"Kennebec County, Maine",12.40%,± 1.2%
"Kenosha County, Wisconsin",11.10%,± 1%
"Kent County, Delaware",12.30%,± 1%
"Kent County, Maryland",9.50%,± 2%
"Kent County, Michigan",10.70%,± 0.6%
"Kent County, Rhode Island",7.50%,± 0.8%
"Kent County, Texas",8%,± 5.2%
"Kenton County, Kentucky",11.90%,± 1.3%
"Keokuk County, Iowa",12.20%,± 2.3%
"Kern County, California",19.30%,± 0.7%
"Kerr County, Texas",12.50%,± 1.8%
"Kershaw County, South Carolina",14.40%,± 1.7%
"Ketchikan Gateway Borough, Alaska",9.70%,± 1.5%
"Kewaunee County, Wisconsin",6.70%,± 1.1%
"Keweenaw County, Michigan",7.80%,± 3%
"Keya Paha County, Nebraska",8.60%,± 4.9%
"Kidder County, North Dakota",12.80%,± 3.9%
"Kimball County, Nebraska",10%,± 3.2%
"Kimble County, Texas",12.40%,± 4.2%
"King and Queen County, Virginia",19.90%,± 4.5%
"King County, Texas",27.80%,± 19.2%
"King County, Washington",8.40%,± 0.3%
"King George County, Virginia",6.90%,± 1.8%
"King William County, Virginia",8%,± 2.4%
"Kingfisher County, Oklahoma",12.20%,± 3.1%
"Kingman County, Kansas",7.90%,± 2.8%
"Kings County, California",16.20%,± 1.7%
"Kings County, New York",19%,± 0.4%
"Kingsbury County, South Dakota",9.30%,± 2.2%
"Kinney County, Texas",15.60%,± 8.7%
"Kiowa County, Colorado",15.90%,± 4.7%
"Kiowa County, Kansas",5.20%,± 1.7%
"Kiowa County, Oklahoma",23.20%,± 4.6%
"Kit Carson County, Colorado",9.40%,± 2.6%
"Kitsap County, Washington",8.30%,± 0.6%
"Kittitas County, Washington",14.50%,± 1.8%
"Kittson County, Minnesota",11%,± 1.9%
"Klamath County, Oregon",17.80%,± 1.7%
"Kleberg County, Texas",30.60%,± 4.3%
"Klickitat County, Washington",13.80%,± 2.8%
"Knott County, Kentucky",27.70%,± 3.5%
"Knox County, Illinois",16.30%,± 1.8%
"Knox County, Indiana",13.20%,± 2.1%
"Knox County, Kentucky",34%,± 3.7%
"Knox County, Maine",10%,± 1.5%
"Knox County, Missouri",12.70%,± 3.1%
"Knox County, Nebraska",12%,± 1.8%
"Knox County, Ohio",12.90%,± 1.7%
"Knox County, Tennessee",12.40%,± 0.6%
"Knox County, Texas",11.40%,± 3.9%
"Kodiak Island Borough, Alaska",8%,± 2.1%
"Koochiching County, Minnesota",11.70%,± 2.4%
"Kootenai County, Idaho",9.30%,± 1%
"Kosciusko County, Indiana",8.90%,± 1.2%
"Kossuth County, Iowa",10.50%,± 1.8%
"Kusilvak Census Area, Alaska",34.30%,± 3.8%
"La Crosse County, Wisconsin",11.80%,± 0.9%
"La Paz County, Arizona",21%,± 3.2%
"La Plata County, Colorado",11.40%,± 1.3%
"La Salle County, Texas",28%,± 9.8%
"Labette County, Kansas",15.20%,± 2.5%
"Lac qui Parle County, Minnesota",8.70%,± 1.2%
"Lackawanna County, Pennsylvania",13%,± 0.8%
"Laclede County, Missouri",17.10%,± 2.9%
"Lafayette County, Arkansas",21.60%,± 3.9%
"Lafayette County, Florida",19.30%,± 7.4%
"Lafayette County, Mississippi",19.60%,± 2.6%
"Lafayette County, Missouri",9.20%,± 1.4%
"Lafayette County, Wisconsin",10.50%,± 1.6%
"Lafayette Parish, Louisiana",16.80%,± 1.3%
"Lafourche Parish, Louisiana",16.60%,± 1.7%
"LaGrange County, Indiana",5.70%,± 1.2%
"Lajas Municipio, Puerto Rico",56.10%,± 4.8%
"Lake and Peninsula Borough, Alaska",15.20%,± 4.5%
"Lake County, California",16.60%,± 1.8%
"Lake County, Colorado",7.30%,± 3.9%
"Lake County, Florida",9.70%,± 0.8%
"Lake County, Illinois",7.80%,± 0.4%
"Lake County, Indiana",14.70%,± 0.7%
"Lake County, Michigan",20.30%,± 2.3%
"Lake County, Minnesota",8.60%,± 1.8%
"Lake County, Montana",19%,± 2.4%
"Lake County, Ohio",7.60%,± 0.6%
"Lake County, Oregon",19.60%,± 5.8%
"Lake County, South Dakota",9.70%,± 3.2%
"Lake County, Tennessee",27.90%,± 5.1%
"Lake of the Woods County, Minnesota",10.70%,± 3.6%
"Lamar County, Alabama",15.30%,± 3.3%
"Lamar County, Georgia",11.20%,± 3.4%
"Lamar County, Mississippi",16.80%,± 2.2%
"Lamar County, Texas",16%,± 1.9%
"Lamb County, Texas",17.40%,± 4.3%
"Lamoille County, Vermont",8.60%,± 1.5%
"LaMoure County, North Dakota",12.20%,± 3.6%
"Lampasas County, Texas",9.50%,± 1.7%
"Lancaster County, Nebraska",11.80%,± 0.6%
"Lancaster County, Pennsylvania",8.20%,± 0.5%
"Lancaster County, South Carolina",12.10%,± 1.7%
"Lancaster County, Virginia",14%,± 2.9%
"Lander County, Nevada",10.80%,± 5.8%
"Lane County, Kansas",9%,± 4.4%
"Lane County, Oregon",16.10%,± 0.8%
"Langlade County, Wisconsin",12.20%,± 2.3%
"Lanier County, Georgia",32.10%,± 7%
"Lapeer County, Michigan",10.20%,± 1%
"LaPorte County, Indiana",14.70%,± 1.5%
"Laramie County, Wyoming",9%,± 1.3%
"Lares Municipio, Puerto Rico",56%,± 3.7%
"Larimer County, Colorado",11.40%,± 0.8%
"Larue County, Kentucky",18.80%,± 3.4%
"Las Animas County, Colorado",19%,± 3%
"Las Marías Municipio, Puerto Rico",52.80%,± 7.7%
"Las Piedras Municipio, Puerto Rico",39.10%,± 3.5%
"LaSalle County, Illinois",13.70%,± 1.3%
"LaSalle Parish, Louisiana",15.20%,± 3.5%
"Lassen County, California",15.20%,± 2.7%
"Latah County, Idaho",14%,± 1.8%
"Latimer County, Oklahoma",16.70%,± 2.3%
"Lauderdale County, Alabama",13.30%,± 1.1%
"Lauderdale County, Mississippi",24.80%,± 2.4%
"Lauderdale County, Tennessee",18%,± 2.4%
"Laurel County, Kentucky",20.50%,± 2.1%
"Laurens County, Georgia",24.40%,± 2.2%
"Laurens County, South Carolina",18.80%,± 2.1%
"Lavaca County, Texas",10.20%,± 2%
"Lawrence County, Alabama",15.80%,± 2.6%
"Lawrence County, Arkansas",17.80%,± 2.8%
"Lawrence County, Illinois",13.70%,± 3.3%
"Lawrence County, Indiana",10.70%,± 1.5%
"Lawrence County, Kentucky",26.30%,± 5.1%
"Lawrence County, Mississippi",22.50%,± 4.4%
"Lawrence County, Missouri",14.70%,± 2.2%
"Lawrence County, Ohio",17.90%,± 2%
"Lawrence County, Pennsylvania",12.30%,± 1%
"Lawrence County, South Dakota",11.10%,± 2.1%
"Lawrence County, Tennessee",16.10%,± 1.9%
"Le Flore County, Oklahoma",20.40%,± 1.3%
"Le Sueur County, Minnesota",7.40%,± 1.3%
"Lea County, New Mexico",17.80%,± 2.2%
"Leake County, Mississippi",21%,± 3.6%
"Leavenworth County, Kansas",10.10%,± 1.5%
"Lebanon County, Pennsylvania",10.90%,± 1.2%
"Lee County, Alabama",18.50%,± 1.3%
"Lee County, Arkansas",27.60%,± 4.8%
"Lee County, Florida",11.70%,± 0.6%
"Lee County, Georgia",8.80%,± 2.6%
"Lee County, Illinois",12.50%,± 2.2%
"Lee County, Iowa",12.80%,± 1.7%
"Lee County, Kentucky",31.40%,± 5.3%
"Lee County, Mississippi",13.50%,± 1.5%
"Lee County, North Carolina",16%,± 2.3%
"Lee County, South Carolina",27.80%,± 4.4%
"Lee County, Texas",13.20%,± 3.6%
"Lee County, Virginia",26%,± 3.8%
"Leelanau County, Michigan",6.70%,± 1%
"Leflore County, Mississippi",32.20%,± 4.5%
"Lehigh County, Pennsylvania",11.90%,± 0.8%
"Lemhi County, Idaho",10.70%,± 2.6%
"Lenawee County, Michigan",11.10%,± 1%
"Lenoir County, North Carolina",22.40%,± 2.2%
"Leon County, Florida",19.40%,± 1.1%
"Leon County, Texas",14.40%,± 2.8%
"Leslie County, Kentucky",33.60%,± 7.2%
"Letcher County, Kentucky",29%,± 4.2%
"Levy County, Florida",15.70%,± 2.3%
"Lewis and Clark County, Montana",9.40%,± 1.2%
"Lewis County, Idaho",17.70%,± 2.7%
"Lewis County, Kentucky",26.60%,± 5%
"Lewis County, Missouri",16.50%,± 3.3%
"Lewis County, New York",13.10%,± 1.4%
"Lewis County, Tennessee",18.90%,± 5.7%
"Lewis County, Washington",12.30%,± 1.3%
"Lewis County, West Virginia",16.80%,± 2.5%
"Lexington city, Virginia",16.60%,± 7.4%
"Lexington County, South Carolina",11.60%,± 0.8%
"Liberty County, Florida",21.80%,± 5.3%
"Liberty County, Georgia",15.40%,± 1.8%
"Liberty County, Montana",26.20%,± 10.1%
"Liberty County, Texas",17.70%,± 2.8%
"Licking County, Ohio",9.80%,± 0.9%
"Limestone County, Alabama",11.20%,± 1.1%
"Limestone County, Texas",21.50%,± 2.9%
"Lincoln County, Arkansas",17.70%,± 4.5%
"Lincoln County, Colorado",11.60%,± 2.9%
"Lincoln County, Georgia",18.10%,± 4%
"Lincoln County, Idaho",11.70%,± 3.7%
"Lincoln County, Kansas",12.80%,± 4.6%
"Lincoln County, Kentucky",17.40%,± 2.7%
"Lincoln County, Maine",9.10%,± 1.2%
"Lincoln County, Minnesota",9.10%,± 1.5%
"Lincoln County, Mississippi",22.30%,± 2.9%
"Lincoln County, Missouri",11.50%,± 1.5%
"Lincoln County, Montana",16.90%,± 3.1%
"Lincoln County, Nebraska",11%,± 1.6%
"Lincoln County, Nevada",7.20%,± 3%
"Lincoln County, New Mexico",15.70%,± 3.5%
"Lincoln County, North Carolina",9.30%,± 1.2%
"Lincoln County, Oklahoma",14.30%,± 1.5%
"Lincoln County, Oregon",14.70%,± 1.6%
"Lincoln County, South Dakota",6.50%,± 1.4%
"Lincoln County, Tennessee",11.90%,± 2.2%
